#Orgánico,Funcional,Económico,Concepto,Crédito Inicial,Crédito Definitivo,Obligado
0145,1110,16000,Seguridad social a cargo del ayuntamiento,12352.0,12352.0,0.0
0145,4621,22600,Promoción ciudad,0.0,0.0,0.0
015501,4541,12000,Retribuciones básicas de personal funcionario,157167.0,157167.0,150326.33
015501,4541,12100,Retribuciones complementarias personal funcionario,176005.0,176005.0,180271.43
015501,4541,14100,Otros personal,43058.0,43058.0,43735.82
015501,4541,16000,Seguridad social a cargo del ayuntamiento,97776.0,97776.0,110349.93
015501,4541,16500,Cuotas Elkarkidetza a cargo ayuntamiento,152.0,152.0,0.0
015501,4541,22699,Gastos materiales conservación archivo,6800.0,6800.0,6565.38
015501,4541,22752,Contratos archivo municipal,43000.0,43000.0,42997.5
015502,4512,12000,Retribuciones básicas de personal funcionario,187395.0,187395.0,171891.06
015502,4512,12100,Retribuciones complementarias personal funcionario,252649.0,252649.0,238856.88
015502,4512,14100,Otros personal,173758.0,173758.0,230627.28
015502,4512,16000,Seguridad social a cargo del ayuntamiento,169594.0,169594.0,185316.31
015502,4512,16500,Cuotas Elkarkidetza a cargo ayuntamiento,620.0,620.0,0.0
015502,4512,22624,Gastos programación Academia de folklore,28000.0,28000.0,24699.61
015502,4512,22757,Empresas de servicios Escuela de folklore,21582.0,21582.0,21314.71
015502,4514,22625,Colonias musicales Academia folklore,60000.0,60000.0,59894.23
015503,4444,22734,Noche verde,0.0,0.0,0.0
015503,4510,12000,Retribuciones básicas de personal funcionario,111014.0,111014.0,132175.69
015503,4510,12100,Retribuciones complementarias personal funcionario,143168.0,143168.0,174004.95
015503,4510,14100,Otros personal,76443.0,76443.0,37611.61
015503,4510,16000,Seguridad social a cargo del ayuntamiento,85803.0,85803.0,90235.1
015503,4510,16500,Cuotas Elkarkidetza a cargo ayuntamiento,228.0,228.0,0.0
015503,4511,20103,Alquileres,45000.0,45000.0,44632.14
015503,4511,22605,Dinamización espacios expositivos,34300.0,34300.0,33919.12
015503,4511,22635,Azkena rock festival,270000.0,350000.0,350000.0
015503,4511,22653,Difusión cultural,18000.0,18000.0,13683.5
015503,4511,22654,Estrategia cultural,3000.0,3000.0,3000.0
015503,4519,22643,"Reparación gigantes, tribunas y nacimiento",12000.0,12000.0,13516.53
015503,4519,22652,Otras actividades culturales,64000.0,64000.0,57050.4
015503,4519,22660,Carnaval,21000.0,19500.0,23436.38
015503,4519,22661,Fiestas Virgen Blanca,670000.0,695787.0,685834.01
015503,4519,22662,Olarizu,3000.0,3000.0,7853.67
015503,4519,22663,Campaña de navidad y reyes,180000.0,180000.0,177323.49
015503,4519,22664,Fiestas de San Antón y Santa Agueda,12600.0,12600.0,12856.14
015503,4519,22733,Programas culturales espacios públicos,145000.0,139800.0,146426.64
015503,4519,22756,Servicios actividad cultural,155000.0,159031.0,156828.39
015503,4519,22758,Contratos actos Batalla de Vitoria 200 aniversario,0.0,0.0,0.0
015504,4510,12000,Retribuciones básicas de personal funcionario,71820.0,71820.0,74084.8
015504,4510,12100,Retribuciones complementarias personal funcionario,117133.0,117133.0,112524.57
015504,4510,14100,Otros personal,113423.0,113423.0,0.0
015504,4510,16000,Seguridad social a cargo del ayuntamiento,72911.0,72911.0,42092.28
015504,4510,16500,Cuotas Elkarkidetza a cargo ayuntamiento,152.0,152.0,0.0
015504,4514,22622,Centro cultural Montehermoso,15000.0,15000.0,15317.02
015504,4514,22751,Contratos servicios Montehermoso,25000.0,25000.0,25150.64
015507,4530,12000,Retribuciones básicas de personal funcionario,120550.0,120550.0,120880.3
015507,4530,12100,Retribuciones complementarias personal funcionario,157973.0,157973.0,156691.31
015507,4530,14100,Otros personal,161876.0,161876.0,126878.68
015507,4530,16000,Seguridad social a cargo del ayuntamiento,111264.0,111264.0,108341.48
015507,4530,16500,Cuotas Elkarkidetza a cargo ayuntamiento,566.0,566.0,0.0
015507,4532,22115,Material técnico específico juventud,300.0,300.0,84.44
015507,4532,22732,Contratos servicios ocio y tiempo libre,180000.0,180000.0,181436.35
015507,4534,22732,Contratos de prestación de servicios juventud,115000.0,133200.0,122036.69
015507,4534,22775,Plan joven,100000.0,79000.0,73984.64
015507,4534,22776,Capital Europea de la juventud,20000.0,0.0,0.0
015508,4510,12000,Retribuciones básicas de personal funcionario,241830.0,241830.0,195843.49
015508,4510,12100,Retribuciones complementarias personal funcionario,318020.0,318020.0,247737.32
015508,4510,14100,Otros personal,30971.0,30971.0,65662.66
015508,4510,16000,Seguridad social a cargo del ayuntamiento,161659.0,161659.0,153821.89
015508,4510,16500,Cuotas Elkarkidetza a cargo ayuntamiento,789.0,789.0,0.0
015508,4510,21208,Reparación equipos audiovisuales,1000.0,1000.0,0.0
015508,4510,22111,"Menaje, útiles y herramientas",500.0,500.0,476.05
015508,4510,22300,Transporte,2400.0,2400.0,2545.8
015508,4510,22734,Contratos prestación servicios Iradier Arena,15000.0,15000.0,26595.64
015508,4541,22735,Prestación servicios difusión fondos Ephialte,12000.0,12000.0,12264.02
015510,4513,12000,Retribuciones básicas de personal funcionario,456405.0,456405.0,454053.03
015510,4513,12100,Retribuciones complementarias personal funcionario,593150.0,593150.0,584797.13
015510,4513,14100,Otros personal,78780.0,78780.0,115533.04
015510,4513,16000,Seguridad social a cargo del ayuntamiento,305650.0,305650.0,317762.86
015510,4513,16500,Cuotas Elkarkidetza a cargo ayuntamiento,1229.0,1229.0,0.0
015510,4513,21207,Mantenimiento y reparación de equipos,15000.0,15000.0,14990.56
015510,4513,22692,Banda música-colaboraciones,2000.0,2000.0,1950.0
015510,4513,22699,Gastos programación banda música,45000.0,45000.0,45198.47
015510,4513,22732,Contratos de prestación de servicios,8000.0,8000.0,7849.83
015520,4510,12000,Retribuciones básicas de personal funcionario,166977.0,166977.0,176418.82
015520,4510,12100,Retribuciones complementarias personal funcionario,222452.0,222452.0,233530.52
015520,4510,14100,Otros personal,31808.0,31808.0,36120.73
015520,4510,16000,Seguridad social a cargo del ayuntamiento,108911.0,108911.0,121128.3
015520,4510,16500,Cuotas Elkarkidetza a cargo ayuntamiento,276.0,276.0,0.0
015520,4518,22603,Publicidad especial red de teatros,12200.0,12200.0,12284.54
015520,4518,22627,Espectáculos y festivales red de teatro,720000.0,720000.0,714102.54
015520,4518,22732,Contratos de prestación de servicios,242000.0,242000.0,217741.0
0160,3101,12000,Retribuciones básicas de personal funcionario,92482.0,92482.0,103445.87
0160,3101,12100,Retribuciones complementarias personal funcionario,106998.0,106998.0,113404.3
0160,3101,14100,Otros personal,9925.0,9925.0,9903.81
0160,3101,16000,Seguridad social a cargo del ayuntamiento,49460.0,49460.0,59001.82
0160,3101,16500,Cuotas Elkarkidetza a cargo ayuntamiento,76.0,76.0,0.0
0160,3101,22115,Material técnico específico,550.0,550.0,300.51
0160,3101,22710,III Plan para la igualdad,269500.0,185118.0,165805.82
0160,3101,22773,Programación cursos de igualdad,45000.0,45000.0,32426.08
0171,1242,12000,Retribuciones básicas de personal funcionario,193336.0,193336.0,157100.97
0171,1242,12100,Retribuciones complementarias personal funcionario,228468.0,228468.0,184182.18
0171,1242,14100,Otros personal,155313.0,155313.0,116112.22
0171,1242,16000,Seguridad social a cargo del ayuntamiento,137313.0,137313.0,131178.29
0171,1242,16500,Cuotas Elkarkidetza a cargo ayuntamiento,598.0,598.0,0.0
0171,1242,22741,Cursos de euskera para madres y padres,385000.0,385000.0,378780.13
0171,1242,22748,Semana del euskera,30000.0,30000.0,20403.51
0171,1242,22780,Plan de euskera,228200.0,228200.0,183530.18
0171,1242,22799,Traducciones externas euskera,10000.0,10000.0,2006.57
0180,4621,11000,Retribuciones personal eventual gabinete,56688.0,56688.0,52764.89
0180,4621,12000,Retribuciones básicas de personal funcionario,14723.0,14723.0,15079.12
0180,4621,12100,Retribuciones complementarias personal funcionario,25151.0,25151.0,24664.56
0180,4621,16000,Seguridad social a cargo del ayuntamiento,23872.0,23872.0,25880.96
0180,4621,22634,Organización de eventos y gastos de representación,0.0,0.0,0.0
0187,4621,11000,Retribuciones personal eventual gabinete,136052.0,136052.0,87795.04
0187,4621,12000,Retribuciones básicas de personal funcionario,42243.0,42243.0,44091.02
0187,4621,12100,Retribuciones complementarias personal funcionario,43823.0,43823.0,45891.56
0187,4621,16000,Seguridad social a cargo del ayuntamiento,56683.0,56683.0,50803.92
0187,4621,16500,Cuotas Elkarkidetza a cargo ayuntamiento,66.0,66.0,0.0
0187,4621,22603,Publicaciones y publicidad,556000.0,656000.0,655242.27
0187,4621,22612,Adquisición prensa diaria,30000.0,30000.0,34262.99
0187,4621,22616,Servicios de prensa,15000.0,15000.0,36799.33
0187,4621,22631,Participación institucional,25000.0,25000.0,25605.21
0187,4621,22632,Suscripciones,5000.0,5000.0,2745.14
0187,4621,22645,Anuncios oficiales por ley,200000.0,200000.0,144378.34
0187,4621,22730,Servicio de almacenaje de fondos editoriales,23000.0,23000.0,20358.31
0210,1900,12000,Retribuciones básicas de personal funcionario,69283.0,69283.0,63158.89
0210,1900,12100,Retribuciones complementarias personal funcionario,111747.0,111747.0,85788.91
0210,1900,14100,Otros personal,41618.0,41618.0,97523.07
0210,1900,16000,Seguridad social a cargo del ayuntamiento,48926.0,48926.0,80292.32
0210,1900,16500,Cuotas Elkarkidetza a cargo ayuntamiento,2458.0,2458.0,0.0
0210,1900,22004,Edición y reproducción de cartografía y proyectos,4000.0,4000.0,1640.68
0210,1900,22707,Asistencias técnicas,6284.2,6284.2,854.94
0210,1900,22732,Contratos de prestación de servicios,0.0,9660.64,0.0
0210,1900,23901,Indemnizaciones jurados expropiación,3060.0,3060.0,720.0
0211,4321,12000,Retribuciones básicas de personal funcionario,23802.0,23802.0,103575.44
0211,4321,12100,Retribuciones complementarias personal funcionario,35418.0,35418.0,143224.66
0211,4321,16000,Seguridad social a cargo del ayuntamiento,9860.0,9860.0,121877.08
0211,4321,16500,Cuotas Elkarkidetza a cargo ayuntamiento,93.0,93.0,0.0
0211,4322,12000,Retribuciones básicas de personal funcionario,196416.0,196416.0,77235.18
0211,4322,12100,Retribuciones complementarias personal funcionario,257954.0,257954.0,97147.66
0211,4322,14100,Otros personal,177601.0,177601.0,0.0
0211,4322,16000,Seguridad social a cargo del ayuntamiento,159922.0,159922.0,47848.18
0211,4322,16500,Cuotas Elkarkidetza a cargo ayuntamiento,479.0,479.0,0.0
0213,4340,12000,Retribuciones básicas de personal funcionario,329647.0,329647.0,308578.93
0213,4340,12100,Retribuciones complementarias personal funcionario,421347.0,421347.0,408161.45
0213,4340,14100,Otros personal,32940.0,32940.0,18118.06
0213,4340,16000,Seguridad social a cargo del ayuntamiento,214800.0,214800.0,203637.91
0213,4340,16500,Cuotas Elkarkidetza a cargo ayuntamiento,1142.0,1142.0,0.0
0213,4340,22620,Obras subsidiarias y apuntalamiento,11000.0,51487.56,37317.55
0213,4340,22730,Servicio de almacenaje de fondos editoriales,10000.0,10000.0,15588.72
0214,4311,12000,Retribuciones básicas de personal funcionario,83994.0,83994.0,83467.77
0214,4311,12100,Retribuciones complementarias personal funcionario,100029.0,100029.0,99376.42
0214,4311,16000,Seguridad social a cargo del ayuntamiento,56577.0,56577.0,56772.95
0214,4311,16500,Cuotas Elkarkidetza a cargo ayuntamiento,374.0,374.0,0.0
0214,4330,12000,Retribuciones básicas de personal funcionario,159181.0,159181.0,168177.19
0214,4330,12100,Retribuciones complementarias personal funcionario,195498.0,195498.0,210631.71
0214,4330,14100,Otros personal,37851.0,37851.0,54676.61
0214,4330,16000,Seguridad social a cargo del ayuntamiento,106922.0,106922.0,122154.02
0214,4330,16500,Cuotas Elkarkidetza a cargo ayuntamiento,345.0,345.0,0.0
0216,4321,12000,Retribuciones básicas de personal funcionario,210216.0,210216.0,173075.86
0216,4321,12100,Retribuciones complementarias personal funcionario,265311.0,265311.0,249049.19
0216,4321,14100,Otros personal,19834.0,19834.0,34026.31
0216,4321,16000,Seguridad social a cargo del ayuntamiento,148961.0,148961.0,141488.61
0216,4321,16500,Cuotas Elkarkidetza a cargo ayuntamiento,979.0,979.0,0.0
0320,1900,12000,Retribuciones básicas de personal funcionario,70445.0,70445.0,44573.97
0320,1900,12100,Retribuciones complementarias personal funcionario,98776.0,98776.0,49798.31
0320,1900,16000,Seguridad social a cargo del ayuntamiento,29507.0,29507.0,33192.96
0320,1900,16500,Cuotas Elkarkidetza a cargo ayuntamiento,480.0,480.0,0.0
0325,2224,12000,Retribuciones básicas de personal funcionario,134773.0,134773.0,150021.31
0325,2224,12100,Retribuciones complementarias personal funcionario,163946.0,163946.0,179934.64
0325,2224,14100,Otros personal,82796.0,82796.0,105340.56
0325,2224,16000,Seguridad social a cargo del ayuntamiento,118976.0,118976.0,146605.07
0325,2224,16500,Cuotas Elkarkidetza a cargo ayuntamiento,393.0,393.0,0.0
0325,5111,20200,Mantenimientos expendedores talones OTA,250000.0,250000.0,249912.72
0325,5112,12000,Retribuciones básicas de personal funcionario,81742.0,81742.0,86143.45
0325,5112,12100,Retribuciones complementarias personal funcionario,105586.0,105586.0,108997.44
0325,5112,16000,Seguridad social a cargo del ayuntamiento,42696.0,42696.0,53289.75
0325,5112,16500,Cuotas Elkarkidetza a cargo ayuntamiento,293.0,293.0,0.0
0325,5112,21910,Mantenimiento sistema control de trafico,1140000.0,1140000.0,1153621.99
0325,5113,21050,Conservación de señalización,180000.0,180000.0,131774.44
0330,1900,12000,Retribuciones básicas de personal funcionario,346784.0,346784.0,346079.27
0330,1900,12100,Retribuciones complementarias personal funcionario,456250.0,456250.0,476650.68
0330,1900,14100,Otros personal,87228.0,87228.0,106787.03
0330,1900,16000,Seguridad social a cargo del ayuntamiento,260364.0,260364.0,280025.02
0330,1900,16500,Cuotas Elkarkidetza a cargo ayuntamiento,1226.0,1226.0,0.0
0340,2231,12000,Retribuciones básicas de personal funcionario,1590767.0,1590767.0,1507210.23
0340,2231,12100,Retribuciones complementarias personal funcionario,3014598.0,3014598.0,2875303.65
0340,2231,14100,Otros personal,1642757.0,1642757.0,1605390.92
0340,2231,16000,Seguridad social a cargo del ayuntamiento,2310605.0,2310605.0,2354798.95
0340,2231,16500,Cuotas Elkarkidetza a cargo ayuntamiento,35118.0,35118.0,194.07
0340,2231,21300,Reparación vehículos,50000.0,70000.0,65626.96
0340,2231,21900,Renovación y reposición de equipos,40000.0,40000.0,44364.69
0340,2231,22105,Vestuario y uniformes,92636.76,82636.76,80928.6
0340,2231,22111,"Menaje, útiles y herramientas",25000.0,25000.0,29756.66
0340,2231,22199,Otros suministros,30000.0,30000.0,29883.83
0340,2231,22699,Otros gastos diversos,10000.0,10000.0,6845.93
0340,2234,21000,Infraestructura y bienes naturales,1.0,1.0,0.0
0340,2234,21102,Gastos de emergencia y nevadas,300000.0,290000.0,84095.29
0340,2234,21104,Actuaciones nevadas,1.0,1.0,0.0
0350,2221,12000,Retribuciones básicas de personal funcionario,5559042.0,5726072.37,5912486.73
0350,2221,12100,Retribuciones complementarias personal funcionario,10820808.0,10820808.0,10460393.24
0350,2221,16000,Seguridad social a cargo del ayuntamiento,4465812.0,4522363.16,4810958.67
0350,2221,16500,Cuotas Elkarkidetza a cargo ayuntamiento,32503.0,32503.0,0.0
0350,2221,20501,Renting sistema radiocomunicaciones Tetra,8000.0,8000.0,7377.13
0350,2221,21300,Reparación vehículos,50000.0,80000.0,84924.23
0350,2221,21900,Renovación y reposición de equipos,40000.0,40000.0,42603.66
0350,2221,21905,Mantenimiento scanner seguridad y USP,7500.0,7500.0,5255.08
0350,2221,22105,Vestuario y uniformes,105000.0,95000.0,91907.62
0350,2221,22111,"Menaje, útiles y herramientas",20000.0,10000.0,10368.2
0350,2221,22112,Materiales y actuaciones sanitarias,3000.0,3000.0,581.4
0350,2221,22199,Otros suministros,20000.0,10000.0,9582.47
0350,2221,22699,Otros gastos diversos,10000.0,12200.0,11935.99
0350,2223,21900,Renovación y reposición de equipos,5000.0,5000.0,0.0
0350,2223,22199,Otros suministros,10000.0,10000.0,3539.72
0350,2223,22699,Otros gastos diversos,11000.0,11000.0,23159.84
0350,2234,21000,Infraestructura y bienes naturales,3900.0,3900.0,3063.69
0410,0111,32000,Intereses y comisiones deuda c/p,675000.0,675000.0,282022.24
0410,0111,33000,Intereses y comisiones deuda l/p,2222353.68,1561119.04,1075649.79
0410,0111,36100,Intereses devolución ingresos indebidos,140000.0,140000.0,250484.11
0410,0111,36101,Gastos financieros Asociacióniados a ingresos,130000.0,130000.0,123959.61
0410,0111,36900,Otros gastos financieros,10000.0,10000.0,48819.23
0410,0111,91005,Amortización créditos,14344111.84,14344111.84,14344111.84
0410,1200,22101,Energía eléctrica,0.0,0.0,0.0
0410,1200,22102,Suministro de agua y depuración de residuales,850000.0,1962750.26,1966894.98
0410,1200,22401,Seguros de edificios y locales municipales,350000.0,350000.0,281911.77
0410,1201,20301,Renting de vehículos,653000.0,653000.0,548345.32
0410,1201,21300,Reparación vehículos,200000.0,200000.0,137781.13
0410,1201,22104,Combustibles y carburantes,420000.0,420000.0,355628.69
0410,1201,22404,Seguros de vehículos,127000.0,127000.0,87300.0
0410,1203,21400,Reparación mobiliario,10000.0,10000.0,716.93
0410,1203,21500,Contratos mantenimientos de equipos,150000.0,161785.99,133695.3
0410,1203,22001,Ordinario no inventariable,240000.0,240000.0,135484.57
0410,1203,22110,Gastos de reprografía,80000.0,80000.0,62550.42
0410,1203,22663,Compensación cese aprovechamientos Elorriaga,52300.0,52300.0,51406.1
0410,1203,22732,Contratos de prestación de servicios,116000.0,115950.0,72699.75
0410,1204,20100,Arrendamiento locales y edificios,2713000.0,2713000.0,2625294.08
0410,1204,22402,Seguros de responsabilidad civil,315000.0,315000.0,262341.07
0410,1204,22407,Seguro vida y accidentes,20000.0,20000.0,24020.54
0410,1204,22499,Indemniz. por responsabilidad patrimonial,230000.0,230000.0,141567.83
0410,1204,22601,Gastos comunidades vecinos/as,250000.0,250000.0,199153.22
0410,1204,22760,Mantenimiento relojes públicos,20100.0,20100.0,22098.78
0410,1261,22639,Gastos conserjes,475.0,475.0,0.0
0410,1900,22695,Licencias de CEDRO,4800.0,4800.0,0.0
0410,6111,12000,Retribuciones básicas de personal funcionario,26336.0,26336.0,45337.71
0410,6111,12100,Retribuciones complementarias personal funcionario,48753.0,48753.0,71768.95
0410,6111,16000,Seguridad social a cargo del ayuntamiento,9866.0,9866.0,17222.79
0410,6111,16500,Cuotas Elkarkidetza a cargo ayuntamiento,93.0,93.0,0.0
0410,6111,22600,Gastos de registro de bienes,30000.0,30000.0,15942.9
0410,6111,22611,Mantenimiento del catastro,332450.0,332450.0,323854.13
0410,6111,22776,Servicios de la unidad de multas,190000.0,190000.0,189747.36
0411,6111,12000,Retribuciones básicas de personal funcionario,92336.0,92336.0,73260.66
0411,6111,12100,Retribuciones complementarias personal funcionario,123070.0,123070.0,94937.28
0411,6111,16000,Seguridad social a cargo del ayuntamiento,44666.0,44666.0,35621.52
0411,6111,16500,Cuotas Elkarkidetza a cargo ayuntamiento,191.0,191.0,0.0
0412,6111,12000,Retribuciones básicas de personal funcionario,52931.0,52931.0,119604.43
0412,6111,12100,Retribuciones complementarias personal funcionario,60239.0,60239.0,168933.57
0412,6111,16000,Seguridad social a cargo del ayuntamiento,25495.0,25495.0,63630.51
0412,6111,16500,Cuotas Elkarkidetza a cargo ayuntamiento,507.0,507.0,0.0
0414,6111,12000,Retribuciones básicas de personal funcionario,49211.0,49211.0,51687.01
0414,6111,12100,Retribuciones complementarias personal funcionario,73490.0,73490.0,87565.6
0414,6111,14100,Otros personal,44108.0,44108.0,57355.81
0414,6111,16000,Seguridad social a cargo del ayuntamiento,31751.0,31751.0,35005.92
0414,6111,16500,Cuotas Elkarkidetza a cargo ayuntamiento,93.0,93.0,0.0
0415,6111,12000,Retribuciones básicas de personal funcionario,94317.0,94317.0,94860.19
0415,6111,12100,Retribuciones complementarias personal funcionario,127297.0,127297.0,126817.6
0415,6111,16000,Seguridad social a cargo del ayuntamiento,49868.0,49868.0,55467.84
0415,6111,16500,Cuotas Elkarkidetza a cargo ayuntamiento,2272.0,2272.0,145.52
0416,6111,12000,Retribuciones básicas de personal funcionario,114664.0,114664.0,86593.56
0416,6111,12100,Retribuciones complementarias personal funcionario,158521.0,158521.0,111277.9
0416,6111,16000,Seguridad social a cargo del ayuntamiento,56685.0,56685.0,51435.27
0416,6111,16500,Cuotas Elkarkidetza a cargo ayuntamiento,418.0,418.0,0.0
0417,6111,12000,Retribuciones básicas de personal funcionario,62730.0,62730.0,81835.04
0417,6111,12100,Retribuciones complementarias personal funcionario,96949.0,96949.0,127228.3
0417,6111,16000,Seguridad social a cargo del ayuntamiento,32453.0,32453.0,49734.84
0417,6111,16500,Cuotas Elkarkidetza a cargo ayuntamiento,279.0,279.0,0.0
0418,6111,12000,Retribuciones básicas de personal funcionario,1152126.0,1152126.0,1082095.38
0418,6111,12100,Retribuciones complementarias personal funcionario,1479986.0,1479986.0,1427174.8
0418,6111,14100,Otros personal,351052.0,351052.0,413579.72
0418,6111,16000,Seguridad social a cargo del ayuntamiento,819820.0,819820.0,859399.77
0418,6111,16500,Cuotas Elkarkidetza a cargo ayuntamiento,8873.0,8873.0,0.0
0810,7211,12000,Retribuciones básicas de personal funcionario,3644.0,3644.0,217950.37
0810,7211,12100,Retribuciones complementarias personal funcionario,7063.0,7063.0,257156.87
0810,7211,14100,Otros personal,43058.0,43058.0,112039.82
0810,7211,16000,Seguridad social a cargo del ayuntamiento,14917.0,14917.0,160314.64
0810,7211,16500,Cuotas Elkarkidetza a cargo ayuntamiento,25.0,25.0,0.0
0817,4531,22640,Consejo Social del municipio,5530.0,5530.0,5314.21
0817,7110,22605,"Reuniones, conferencias y congresos",5000.0,5000.0,6694.23
0817,7110,22606,Contratos de patrocinio,15000.0,25000.0,17242.0
0817,7110,22707,Estudios y trabajos técnicos,10530.0,11530.0,12708.47
0817,7211,12000,Retribuciones básicas de personal funcionario,180757.0,180757.0,130517.66
0817,7211,12100,Retribuciones complementarias personal funcionario,238053.48,238053.48,151298.76
0817,7211,14100,Otros personal,85320.0,85320.0,82170.03
0817,7211,16000,Seguridad social a cargo del ayuntamiento,120296.81,120296.81,92841.66
0817,7211,16500,Cuotas Elkarkidetza a cargo ayuntamiento,1127.0,1127.0,0.0
0819,7211,12000,Retribuciones básicas de personal funcionario,127614.0,127614.0,0.0
0819,7211,12100,Retribuciones complementarias personal funcionario,156224.0,156224.0,0.0
0819,7211,16000,Seguridad social a cargo del ayuntamiento,76037.0,76037.0,0.0
0819,7211,16500,Cuotas Elkarkidetza a cargo ayuntamiento,492.0,492.0,0.0
0820,7211,12000,Retribuciones básicas de personal funcionario,13688.0,13688.0,0.0
0820,7211,12100,Retribuciones complementarias personal funcionario,20521.0,20521.0,0.0
0820,7211,16000,Seguridad social a cargo del ayuntamiento,8401.0,8401.0,0.0
0820,7211,16500,Cuotas Elkarkidetza a cargo ayuntamiento,196.0,196.0,0.0
0821,3220,22677,Apoyo a personas emprendedoras,60000.0,65500.0,63259.25
0821,3220,22678,Plan empleo comarcal personas emprendedoras,0.0,245000.0,26007.46
0821,3221,22712,Gestión semillero de empresas,40000.0,22992.55,9074.29
0821,3221,22744,Plan de calidad,0.0,0.0,0.0
0821,3221,22779,Apoyo a empresas,86000.0,86000.0,38127.31
0821,3224,22796,Plan de calidad,7000.0,7000.0,1815.0
0821,3224,22797,Dinamización económica,670000.0,357621.48,155440.75
0821,5142,22798,Gastos gestión sociocultural y dinamización Casco histórico,316030.0,155197.66,52469.63
0821,7211,12000,Retribuciones básicas de personal funcionario,68041.0,68041.0,68858.1
0821,7211,12100,Retribuciones complementarias personal funcionario,77123.0,77123.0,77270.36
0821,7211,16000,Seguridad social a cargo del ayuntamiento,32199.0,58279.57,81839.62
0821,7211,16500,Cuotas Elkarkidetza a cargo ayuntamiento,186.0,186.0,0.0
0822,3225,12000,Retribuciones básicas de personal funcionario,23067.0,23067.0,23498.52
0822,3225,12100,Retribuciones complementarias personal funcionario,29135.0,29135.0,29219.88
0822,3225,16000,Seguridad social a cargo del ayuntamiento,9866.0,9866.0,39024.2
0822,3225,16500,Cuotas Elkarkidetza a cargo ayuntamiento,93.0,93.0,0.0
0822,3225,20200,Arrendamiento de maquinaria e instalaciones,100000.0,100000.0,77354.3
0822,3225,22700,Iluminación navideña,115000.0,115000.0,117923.76
0822,3225,22771,Jornada Urban Commerce,0.0,0.0,0.0
0822,3225,22773,Mercados,35000.0,73088.0,67571.35
0822,3225,22798,Dinamización comercial,115880.0,85911.0,19437.98
0910,1240,12000,Retribuciones básicas de personal funcionario,93886.0,93886.0,50192.43
0910,1240,12100,Retribuciones complementarias personal funcionario,130265.0,130265.0,74960.68
0910,1240,14100,Otros personal,110363.0,110363.0,118494.02
0910,1240,16000,Seguridad social a cargo del ayuntamiento,74315.0,74315.0,57854.53
0910,1240,16007,Aportación complemento específico a personal funcionario,1.0,1.0,258168.65
0910,1240,16102,Indemnizaciones por jubilaciones anticipadas,1.0,510001.0,1310952.99
0910,1240,16104,Retribuciones según sentencia,1.0,1.0,6306.95
0910,1240,16204,Seguro de vida-autoseguro,1.0,1.0,0.0
0910,1240,16205,Seguro vida-accidentes personal empleado,1.0,1.0,782658.91
0910,1240,16206,Seguros corporativos,1.0,1.0,3685.76
0910,1240,16220,Indemnizaciones por daños,1.0,1.0,1304.6
0910,1240,16500,Cuotas Elkarkidetza a cargo ayuntamiento,465.0,465.0,0.0
