#Aplicación Presupuetaria,Programa,,Fecha,CIF,Tercero,Concepto,Importe
"Desinfectantes, raticidas",313,22115,2014-01-03,B38589842,MAXIMO PESTANO SANIDAD AMBIENTAL S.L.,Desratizacion y Desinsectacion  en el mes de enero en espacio s publicos,3852
Energía eléctrica,340,22100,2014-01-03,A81948077,ENDESA ENERGIA S.A.U.,Suministro Eléctrico nov. 2013 . Cod. Agrupación 1117247. Dir ecc.: Arquitecto Gómez Cuesta.,6290.82
Festejos y Actos Populares,338,22610,2014-01-03,A38010856,AGUAS DE VILAFLOR S.A.,"Suministro Agua. Pet 33CL., PE T 1,5l. Concejalia de Fiestas,  Cabalgata de Reyes",157.13
Festejos y Actos Populares,338,22610,2014-01-03,B38621850,FERRETERIA HERMALAY S.L.,"Banda Señalizacion y Soga, Cab algata de Reyes",161.6
Festejos y Actos Populares,338,22610,2014-01-03,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,Cordon 4 mm y Minimedia Espuma -Cabalgata de Reyes,50.58
Productos alimenticios,920,22105,2014-01-03,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",BOT 20L. Agua y Cuota Servicio . Polic?a Local.,31.02
Productos alimenticios,920,22105,2014-01-03,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Suministro Agua y Vasos. SAC L os Cristianos.,63.38
Festejos y Actos Populares,338,22610,2014-01-04,B38621850,FERRETERIA HERMALAY S.L.,"Suministro Material de Ferrete ria(plastico, hierro, malla et c) Cabalgata de Reyes",247.92
Festejos y Actos Populares,338,22610,2014-01-05,A38022182,RADIO CLUB DE CANARIAS S.A.,Cuñas Publicitarias Cabalgata de Reyes 2014.,512.7
Festejos y Actos Populares,338,22610,2014-01-05,B38220893,MOANA TRUCK S.L.,Alquiler Tren el 05/01/2014. C abalgata de Reyes 2014.,772.5
Festejos y Actos Populares,338,22610,2014-01-05,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,Imperdibles Acero y Fieltro Co lores-Cabalgata Reyes,93.15
Festejos y Actos Populares,338,22610,2014-01-05,G38914503,ASOCIACION DEPORTIVA Y CULTURAL TIERRA FIRME CANARIAS,"Actuacion en la Cabalgata de R eyes:6 Malabaristas, 2 Zancudo s, 2 Bailarinas , Acrobatas, E quilibristas",2461
Energía eléctrica,312,22100,2014-01-07,A81948077,ENDESA ENERGIA S.A.U.,Consumo El?ctrico Diciembvr 20 13 Cod. Agrupaci?n 1138926.,3172.18
Energía eléctrica,312,22100,2014-01-07,A81948077,ENDESA ENERGIA S.A.U.,Consumo Eléctrico Diciembre 20 13. Cod. Agrupación 1138696.,44173.89
Energía eléctrica,320,22100,2014-01-07,A81948077,ENDESA ENERGIA S.A.U.,Consumo Electrico Diciembre 20 13 Cod. Agrupaci?n 1138421,4950.77
Energía eléctrica,340,22100,2014-01-07,A81948077,ENDESA ENERGIA S.A.U.,Consumo Eléctrico Diciembre 20 13. Cod. Agrupación 1138696.,44173.89
Energía eléctrica,920,22100,2014-01-07,A81948077,ENDESA ENERGIA S.A.U.,Consumo Electrico Diciembre 20 13 Cod. Agrupaci?n 1136228.,3499.83
Energía eléctrica,920,22100,2014-01-07,A81948077,ENDESA ENERGIA S.A.U.,Consumo Eléctrico Diciembre 20 13. Cod. Agrupación 1138696.,44173.89
Festejos y Actos Populares,338,22610,2014-01-07,B38436499,TECNISUR TENERIFE S.L.,Campaña Fin de Año. Radio Deci belios del 23 al 31 diciembre 2013.,139.1
Festejos y Actos Populares,338,22610,2014-01-07,B38436499,TECNISUR TENERIFE S.L.,"Publicidad Radio Decibelios Ca mpaña de Reyes, del 1 al 5 de Enero 2014.",101.65
Festejos y Actos Populares,338,22610,2014-01-07,B38509170,COMERCIAL RAECAN S.L.,Castillo Fuegos Artificiales F iesta Fin de Año 23013.,730.01
Festejos y Actos Populares,338,22610,2014-01-07,B38509170,COMERCIAL RAECAN S.L.,Castillo Fuegos Artificiales. Cabalgata de Reyes 2014.,1165.96
Festejos y Actos Populares,338,22610,2014-01-07,B38987368,"A.D.E.S. SIGLO 21, S.L.",Servicio Ambulancia Cabalgata de Reyes 2014,140
Festejos y Actos Populares,338,22610,2014-01-07,B76587641,SERVICIOS E INVERSIONES TF S.L.,Controladores de Acceso Fiesta  Fin de Año.,577.8
Mantenimiento de Ascensores,323,21302,2014-01-07,A28011153,"ZARDOYA OTIS, S.A.",1º Trimestre Mantenimiento Col egio la Estrella,662.68
Material informático no inventariable,920,22002,2014-01-07,B78089893,"GARI, S.L.","Mantenimiento 2014 Aplicacion, Archivos y 3 Usuarios",806
Plan de Promoción Económica,433,22614,2014-01-07,B38436499,TECNISUR TENERIFE S.L.,"6 Cuñas Diarias del 14/12/2012  al 04/01/14, Campaña Navidad 2013",327.42
Aportación Comité Español Iluminación,165,42393,2014-01-08,G78487832,COMITE ESPAÑOL DE ILUMINACION,Cuota 2014 Entidad Colaborador a,440
Energía eléctrica,150,22100,2014-01-08,B82846825,ENDESA ENERGIA XXI S.L.,Consumo cod. Agrupaci?n 041064 8. Periodo del 11/10/2013 al 1 8/12/2013.,220.82
Energía eléctrica,312,22100,2014-01-08,B82846825,ENDESA ENERGIA XXI S.L.,Consumo Eléctrico Diciembre 20 13 Cod. Agrupación. 0410707,303.21
Energía eléctrica,312,22100,2014-01-08,B82846825,ENDESA ENERGIA XXI S.L.,Consumo Eléctrico Diciembre 20 13. Cod. Agrupación 0410690,2302.52
Energía eléctrica,320,22100,2014-01-08,B82846825,ENDESA ENERGIA XXI S.L.,Consumo Eléctrico Diciembre 20 13. Cod. Agrupación 0410690,2302.52
Energía eléctrica,920,22100,2014-01-08,B82846825,ENDESA ENERGIA XXI S.L.,Consumo El?ctrico Diciembre 20 13. Cod. Agrupaci?n 0410730,23644.37
Energía eléctrica,920,22100,2014-01-08,B82846825,ENDESA ENERGIA XXI S.L.,Consumo Electrico Bomba-Asomad a Cristianos. periodo del 21/0 8/2013 al 28/10/2013.,30.53
Energía eléctrica,920,22100,2014-01-08,B82846825,ENDESA ENERGIA XXI S.L.,Consumo Eléctrico Diciembre 20 13 Cod. Agrupacion 0373332.,596.26
Energía eléctrica,920,22100,2014-01-08,B82846825,ENDESA ENERGIA XXI S.L.,Consumo Eléctrico Diciembre 20 13. Cod. Agrupación 0410745.,1532.1
Festejos y Actos Populares,338,22610,2014-01-08,B38492237,HIT RADIO CANARIAS S.L.,"Promocion y Difusion ""Reyes Ma gos de Oriente""",214
Festejos y Actos Populares,338,22610,2014-01-08,B76587641,SERVICIOS E INVERSIONES TF S.L.,Controladores de Acceso Cabalg ata de Reyes 2014,716.9
Festejos y Actos Populares,338,22610,2014-01-08,B76603042,PARTY HOBBY S.L.,Actividades Cabalgata de Reyes  con Personajes de Figuracion y Animacion el 5/1/13-Concejal ia Fiestas,6848
Ordinario no inventariable,130,22000,2014-01-08,B38081790,THE RED PEN S.L.,10 Tals. de 50 MOVILES. Polici a Local.,58.85
Plan de Promoción Económica,433,22614,2014-01-08,B38517934,ERQUITO GOMERA S.L.,"Alquiler Carpas en V.S.Lorenzo , L. Cristianos, las Galletas el 04/01/2014",470.8
Plan de Promoción Económica,433,22614,2014-01-08,B38645735,AINHFER S.L.,"Montaje Escenario en Valle san  Lorenzo , Día 04/01/14 Campañ a Navidad Arona.",770.4
Plan de Promoción Económica,433,22614,2014-01-08,B38645735,AINHFER S.L.,Montaje Escenario Plaza Pescad ora los Cristianos. 03/01/14-0 4/01/14. Campaña de Navidad.,770.4
Plan de Promoción Económica,433,22614,2014-01-08,B76603042,PARTY HOBBY S.L.,"Actividades 4/1/14 en Cabo Bla nco, Parque la Reina, Galletas  y 5/1/14 los Cristianos Ludot eca y Hinchables y Talleres- P",7169
Plan de Promoción Económica,433,22614,2014-01-08,B76603042,PARTY HOBBY S.L.,Servicio Empaquetado Regalos p or 12 Monitoras el 19/12/13 al  05/01/14 en Arona- Promocion Ec,7404.4
Plan de Promoción Económica,433,22614,2014-01-08,G38035192,C.I.T. SUR,Servicio Azafata CAmpaña Dinam izacion Canarias folk Fest. No viembre a diciembre 2013.,432
"Reparación, man. y conserv. elementos de transport",150,21400,2014-01-08,B38788287,"TALLER JUAN GOMEZ, S.L.","Cambio Cristal Puerta y Cambio s Aceite y Filtro, VehÍculo TF 6838AK.",356.95
Atenciones protocolarias y representativas,912,22601,2014-01-09,B38715181,MEDIA PRESS INSULAR S.L.,Saludo de Navidad Alcalde de A rona,264.83
Energía eléctrica,150,22100,2014-01-09,A81948077,ENDESA ENERGIA S.A.U.,Consumo Electrico Diciembre 20 13 Cod. Agrupación 1139271.,17677.35
Energía eléctrica,340,22100,2014-01-09,A81948077,ENDESA ENERGIA S.A.U.,Consumo Electrico Diciembre 20 13 Cod. Agrupación 1139286,10142.41
Energía eléctrica,920,22100,2014-01-09,B82846825,ENDESA ENERGIA XXI S.L.,Consumo Electrico Cod. Agrupac ion 0373581. periodo del 14/11 /2013 al 16/12/2013.,102.03
Energía eléctrica,920,22100,2014-01-09,B82846825,ENDESA ENERGIA XXI S.L.,consumo Electrico Dic.2013 Cod . Agrupacion 0411238.,265.11
Fiestas del Municipio,338,22611,2014-01-09,A38010856,AGUAS DE VILAFLOR S.A.,"Suministro Agua 1,5L. y 33cl.C oncejalia de Fiestas,Fiestas S an Antonio Abad 2014",108.59
Postales,920,22201,2014-01-09,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 09/1/ 14, Multas 541",14.34
Postales,920,22201,2014-01-09,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 9/1/1 4, Catastro Not 901",12.67
Postales,920,22201,2014-01-09,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Renta s.,31.33
Actividades Socioculturales,339,22609,2014-01-10,B38092151,TROPICAL BUS S.L.,Servicio Transporte Cabo Blanc o/ Los Cristianos. Cabalgata d e Reyes,154.5
Festejos y Actos Populares,338,22610,2014-01-10,E38989778,C.B. ORQUESTA DELICIOSA,Actuación Orquesta Deliciosa e n Los Cristianos Fiesta Fin de  Año 2013.,3210
Fiestas del Municipio,338,22611,2014-01-10,B38977955,EUGENIO REVERON SIERRA S.L.,"30 Litros Vino Blanco-Concejal ia Fiestas, Fiestas San Antoni o Abad",72.23
Fiestas del Municipio,338,22611,2014-01-10,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion en Pz Cristo Salud , Festejos ayto arona, periodo : 16/01/14-20/01/14 ,Codigo ag rup 0374049",363.91
Locomoción de Miembros de Órganos de Gobierno,912,23100,2014-01-10,B38075115,VIAJES SOLYSUR S.L.,"Billete TFS-MAD (12-15 ENE) Mi guel Ángel Méndez Fdez, Curso  Monográfico de Estudios Super  iores Reforma Local, Granada.",390.65
"Prensa, revistas, libros y otras publicaciones",920,22001,2014-01-10,A58417346,WOLTERS KLUWER ESPAÑA S.A.,"2 Renovacion 2014,(A5000 )El C onsultor Ayunt y Juzgado Revis tas , Anual 2014, Secretaria e  Intervencion",1226
"Prensa, revistas, libros y otros",931,22001,2014-01-10,A58417346,WOLTERS KLUWER ESPAÑA S.A.,"2 Renovacion 2014,(A5000 )El C onsultor Ayunt y Juzgado Revis tas , Anual 2014, Secretaria e  Intervencion",1226
Tributos de las Entidades Locales,161,22502,2014-01-10,Q8850002J,CONSEJO INSULAR DE AGUAS DE TENERIFE,Servicio Diciembre 2013 Desala cion,219562.36
Fiestas del Municipio,338,22611,2014-01-11,G38646907,AGRUPACION FOLKLORICA CHAVEÑA,"Actuacion en Baile de Magos Ar ona 11/1/14, Agrupacion Chaveñ a",250
Festejos y Actos Populares,338,22610,2014-01-13,A38010856,AGUAS DE VILAFLOR S.A.,"Pet. 8L. Dispensing. (Agua),ca balgata de reyes 2014",18.24
"Prensa, revistas, libros y otras publicaciones",920,22001,2014-01-13,A79216651,EDICIONES FRANCIS LEFEBVRE S.A.,Memento Responsabilidad Patrim onial Administracion 2- Secret aria,77
Productos de limpieza y aseo,920,22110,2014-01-13,A38099263,COMERCIAL FJV S.A.,Suministroa Guantes de latex. Cementerio.,80.34
Fiestas del Municipio,338,22611,2014-01-14,B38709614,"GARDEN IKA, S.L.","16 Helechos Machos, Fiesta San  Antonio Abad",138.67
Fiestas del Municipio,338,22611,2014-01-14,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,Arpillera Yute Colores- Concej alia Fiestas,107.46
Plan de Promoción Económica,433,22614,2014-01-14,B38390589,SOUND BLACK S.L.,"Equipo Sonido ""La ilusióny la Fantasía Vuelve a Los Cristian os"".",1685.25
Repar. conserv. y man. elementos de transporte,132,21400,2014-01-14,B38233912,SERVICIOS E LEON S.L.,Reparación de Botonera de Vent ilador interior Vehículo TF687 5BM.,40.13
Dietas de Miembros de Órganos de Gobierno,912,23000,2014-01-15,B38075115,VIAJES SOLYSUR S.L.,"Billete TFS-MAD (20-24 ENE) Fr ancisco Niño Rguez y Alojamien to, Asistencia Feria FITUR 201 4.",746.33
Festejos y Actos Populares,338,22610,2014-01-15,A38015830,DECORACIONES ISLEÑAS S.A.,"""m2 jartin Ferial Siena"".(Moqu eta Ferial para Tarimas Reyes   Magos).",135.24
Locomoción de Miembros de Órganos de Gobierno,912,23100,2014-01-15,B38075115,VIAJES SOLYSUR S.L.,Billete TFS-MAD (20-24 ENE) Ev elia Santos Chinea. Asistencia  Feria FITUR 2014.,213.83
Locomoción de Miembros de Órganos de Gobierno,912,23100,2014-01-15,B38075115,VIAJES SOLYSUR S.L.,"Billete TFS-MAD (20-24 ENE) Fr ancisco Niño Rguez y Alojamien to, Asistencia Feria FITUR 201 4.",746.33
Locomoción de Miembros de Órganos de Gobierno,912,23100,2014-01-15,B38075115,VIAJES SOLYSUR S.L.,Billete TFS-MAD (21-24 ENE) Mi guel Angel Mendez Fdez. Asiste ncia Feria FITUR 2014.,213.83
Plan de Promoción Económica,433,22614,2014-01-15,A38011623,CANARIA DE AVISOS S.A.,"Insercion Anuncio Campaña ""En  Rebajas quédate en Arona"".",1819
Plan de Promoción Económica,433,22614,2014-01-15,B38794327,AUTO GRUAS CABELLO S.L.U.,"Transporte de Motor para Campa ña de Navidad, Cabo Blanco a l os Cristianos",148.57
Publicidad y Propaganda,920,22602,2014-01-15,A38011623,CANARIA DE AVISOS S.A.,"Publicacion Anuncio Vehiculos con sintomas de abandono, pag 11, 14/01/2014",539.28
Publicidad y Propaganda,920,22602,2014-01-15,A38011623,CANARIA DE AVISOS S.A.,"Publicacion Bando Alcaldia que da prohibido estacionar por ac tividades ludicas, pag 14,07/1 /14",359.52
Festejos y Actos Populares,338,22610,2014-01-16,A28010478,IMESAPI S.A.,"Revisión, Instalación Eléctric a y Guardia Presencial Fiesta Fin de Año,Los Cristianos 2013 .",523.06
Fiestas del Municipio,338,22611,2014-01-16,B38204889,PRODUCCIONES O.Y.E. S.L.,Contratacion Jovenes Cantadore s en 16/01/201 en Arona,2140
Fiestas del Municipio,338,22611,2014-01-16,B38621850,FERRETERIA HERMALAY S.L.,"Pintura Plastica, Fiestas San  Antonio Abad",80.25
Repar. conserv. y man. elementos de transporte,132,21400,2014-01-16,B38233912,SERVICIOS E LEON S.L.,Reparación Vehículo TF8774CC P olicía Local.,129.87
Repar. mant. y cons. Mobiliario,130,21500,2014-01-16,B38621850,FERRETERIA HERMALAY S.L.,Cerradura Buzon Aga- Policia L ocal,35.58
Señalizaciones Municipales,155,22613,2014-01-16,B38621850,FERRETERIA HERMALAY S.L.,"Arandela, Oxiron Negro- Callej ero",80.75
Actividades Culturales y Deportivas,323,22609,2014-01-17,G38027074,SOCIEDAD CANARIA ISAAC NEWTON DE PREFESORES DE MATEMATICAS,"Talleres Matemáticas Recreativ a,para Alumnado de 6º Primaria",1000
Atenciones protocolarias y representativas,912,22601,2014-01-17,B38729364,"FUNCANARIAS INTERNACIONAL, S.L.",Esquela Diario de Avisos D. Se bastián Martín Martín.,74.21
Cánones,173,20900,2014-01-17,Q3867002B,AUTORIDAD PORTUARIA DE SC DE TENERIFE,"Tasa de Actividad Dominio Publ ico, 47,30 m en Pto Los Cristi anos, Periodo(01/01/14-31/3/14 )",13.47
Cánones,173,20900,2014-01-17,Q3867002B,AUTORIDAD PORTUARIA DE SC DE TENERIFE,Tasa ocupacion Superficie Domi nio Público Puerto de Los Cris tianos. de 01/01/2014 a 31/03/ 2014.,67.34
Fiestas del Municipio,338,22611,2014-01-17,B38621850,FERRETERIA HERMALAY S.L.,Bridas y Alambres- Fiesta Aron a 2014,96.71
Fiestas del Municipio,338,22611,2014-01-17,B38645735,AINHFER S.L.,Montaje Escenario Fiestas San Antonio Abad-Arona.,567.1
Fiestas del Municipio,338,22611,2014-01-17,V38740841,S.A.T. BODEGAS DE VILAFLOR,"140 L, Tinto Granel-Fiestas Sa n Antonio Abad",321
Postales,920,22201,2014-01-17,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Notif . No Comunitarios.,130.68
Atenciones protocolarias y representativas,912,22601,2014-01-18,B38454781,DRAYCA SUR SERVICIOS S.L.,Cuadro Obsequio Principes de A sturias. Fitur.,80
Fiestas del Municipio,338,22611,2014-01-18,B38425468,ORQUESTA WAMAMPY,"Actuación Fiesta San Antonio A bad , el 18/01/2014.",1712
Fiestas del Municipio,338,22611,2014-01-18,G38957734,ASOCIACION DE BAILARINES HERREÑOS EN TENERIFE,Actuacion Romeria San Antonio  Abad 2014.,300
Festejos y Actos Populares,338,22610,2014-01-20,G38588232,ASOCIACION JUVENIL ETERNOS,Actuación de La Dixieland tom Sawyer. Cabalgata de Reyes Los  Cristianos.,600
Fiestas del Municipio,338,22611,2014-01-20,B38492237,HIT RADIO CANARIAS S.L.,Promoción y Difusion Fiestas S an Antonio Abad 2014,428
Fiestas del Municipio,338,22611,2014-01-20,B38869095,TRANSCRUZ 2006 S.L.,Servicio Preventivo de Cuba 12 000 Litros para Exibici?n Fueg os Artificiales Fiesta San Ant onio Abad.,428
Fiestas del Municipio,338,22611,2014-01-20,B38987368,"A.D.E.S. SIGLO 21, S.L.",Servicio Ambulancia Fiestas en  Honor San Antonio 2014.,385
Fiestas del Municipio,338,22611,2014-01-20,E38989778,C.B. ORQUESTA DELICIOSA,"Realizacion Actuacion el 17/01 /14 en Fiesta San Antonio , la  Orquesta Deliciosa",1284
Fiestas del Municipio,338,22611,2014-01-20,G38035192,C.I.T. SUR,Servicio Azafatas Fiesta San A ntonio 2014.,170
Fiestas del Municipio,338,22611,2014-01-20,G38083176,ASOCIACION CULTURAL VERODAL,"Realización, Coordinacion, Ens ayo de Candidatas en Gala Elec ción Romera Mayor Fiestas San Antonio Abad.",900
Plan de Promoción Económica,433,22614,2014-01-20,B76564996,"TRIBUNA FORUM, S.L.","Publicacion 1/2 Pagina de publ icidad a color, en la Revista Tribuna de Canaria Enero 2014 ""En rebajas quedate en Arona""",1070
Plan de Promoción Económica,433,22614,2014-01-20,G38588232,ASOCIACION JUVENIL ETERNOS,Actuación de La Dixieland Tom Sawyer en Actividades Campaña Navidad Los Cristianos el 04/0 1/14.,600
Productos alimenticios,920,22105,2014-01-20,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota Servicio Agua. C.C.Cabo Blanco.,9.63
Tributos de las Entidades Locales,161,22502,2014-01-20,Q8850002J,CONSEJO INSULAR DE AGUAS DE TENERIFE,Servicio Diciembre 2012 Depura cion y Vertido,154903.18
Fiestas del Municipio,338,22611,2014-01-21,A28010478,IMESAPI S.A.,Consumo Eléctrico Fiestas San Antonio 2014.,70.63
Fiestas del Municipio,338,22611,2014-01-21,B38509170,COMERCIAL RAECAN S.L.,1 Castillo Fuegos Artificiales - Fiesta San Antonio Abad 2014,1854
"Prensa, revistas, libros y otras publicaciones",920,22001,2014-01-21,A58417346,WOLTERS KLUWER ESPAÑA S.A.,Manuel Gestion Inteligente del  Ayuntamiento-Juan Pedro Garci a Garcia,118.75
Productos de limpieza y aseo,164,22110,2014-01-21,B38621850,FERRETERIA HERMALAY S.L.,Material Obra Cementerio.,726.34
Repar. mant. y conserv. elementos de transporte,920,21400,2014-01-21,B38905774,FRANELIPAL S.L.,Reparacion TF-1852-CC Seat Tol edo,642
Fiestas del Municipio,338,22611,2014-01-22,B38418653,SANITARIOS PORTATILES S.L.,"Alquiler Sanitarios, 1 Pace y 1 Accesible- Fiesta San Antoni o Abad",337.05
Fiestas del Municipio,338,22611,2014-01-22,B76587641,SERVICIOS E INVERSIONES TF S.L.,Controladores de Acceso Fiesta  San Antonio 2014.,761.84
Locomoción de Miembros de Órganos de Gobierno,912,23100,2014-01-22,A10005510,VIAJES HALCON S.A.,"Billete Dª. Clara Mª. Pérez Pé rez, Reunión de Trabajo Instit uto Canario de Igualdad, 24/0  1/2014, Las Palmas de G.C.",66
Plan de Promoción Económica,433,22614,2014-01-22,J38890836,ASOCIACION SOCIOCULTURAL BANDA MUSICA ARONA,"Concierto Año Nuevo Banda Musi ca de Arona,03./01/14 en Pz Pe scadora, los cristianos, Promo cion Economica.",1200
Servicios de Recaudación,931,22708,2014-01-22,S3826006C,DELEGACION PROVINCIAL HACIENDA,Coste Servicio Diciembre 2013  Aplicación Convenio FEMP-AEAT.,3094.65
Atenciones protocolarias y representativas,912,22601,2014-01-23,B38390589,SOUND BLACK S.L.,Montaje Rueda de Prensa Presen tación Convenio Regeneración t urística.,347.75
Fiestas del Municipio,338,22611,2014-01-23,B38390589,SOUND BLACK S.L.,Sonido e Iluminación Gala Rome ra y Baile de Magos. San Anton io Abad 2014.,4387
Postales,920,22201,2014-01-24,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 24/01 /2014, Multas 551",26.52
Postales,920,22201,2014-01-24,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Multa s.,42.38
Postales,920,22201,2014-01-24,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Multa s.,51.19
Postales,920,22201,2014-01-24,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Multa s.,75.87
Productos alimenticios,920,22105,2014-01-24,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota de Agua. Bot.20L. y Vaso s 500u.,136.88
Productos alimenticios,920,22105,2014-01-24,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota Servicio Agua. Turismo.,9.63
Productos alimenticios,920,22105,2014-01-24,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Cuota Servicio, agua y Vasos 5 00ud. Deportes.",105.82
Productos alimenticios,920,22105,2014-01-24,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota servicio. Bot 20L. Agua.,17.13
Productos alimenticios,920,22105,2014-01-24,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota Servicio. BOT 20l. Agua.  Informática.,50.13
Productos alimenticios,920,22105,2014-01-24,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota Servicio. BOT 20L. Agua.  Medio Ambiente.,24.63
Productos alimenticios,920,22105,2014-01-24,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota Servicio. BOT 20L. Agua.  Participación Ciudadana.,17.13
Productos alimenticios,920,22105,2014-01-24,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",cuota Servicio. BOT 20L. Agua.  Policía Local.,118.88
Productos alimenticios,920,22105,2014-01-24,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota Servicio. BOT 20L. Alcal día.,38.15
Productos alimenticios,920,22105,2014-01-24,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota Servicio. BOT.20L. Servi cio Obras e Infraestructura.,17.13
Productos alimenticios,920,22105,2014-01-24,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota Servicio. BOT20l. Agua. Recaudación.,17.13
Productos alimenticios,920,22105,2014-01-24,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota Servicio.Agua. Cementeri o.,9.63
Productos de limpieza y aseo,920,22110,2014-01-24,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",cuota Servicio. BOT 20L. Agua. Juventud.,17.13
Repar. conserv. y man. elementos de transporte,132,21400,2014-01-24,B38233912,SERVICIOS E LEON S.L.,Reparación Arranque y Juego Es cobillas Vehículo 9686DVL.,48.48
Actividades Socioculturales,339,22609,2014-01-25,B38490991,PATEA TUS MONTES S.L.,Servicio Senderismo en la Ruta  de los Almendros (2 Guias),154.08
Actividades Socioculturales,339,22609,2014-01-26,B38092151,TROPICAL BUS S.L.,"Transporte desde Pabello Crist ianos a Santiago del Teide"" Lo s Almendros en Flor""",247.2
