,,,,,
#EJECUCION INGRESOS CORRIENTES EJERCICIO 2014,,,,,
,,,,,
#Concepto,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
32601,Tasa de Retirada de Efectos de la Vía Pública,1000,0,1000,126.2
32901,Tasa por licencia de aperturas,200000,0,200000,379847.43
33100,Tasa por entrada de Vehículos,150000,0,150000,174921.39
33200,Tasa Uti.Privativa o Aprov.Especial Empresa Explot,775000,0,775000,711888.55
33300,Tasa U.Privativa o Aprov.Empresas S.Telecomunicaio,400000,0,400000,304799.68
33400,Tasa por Apertrua de Zanjas y Calas,10,0,10,102.35
33500,Tasa por ocupación de la vía pública con terrazas,10,0,10,0
33501,Tasa por Instalación de Mesas y Sillas,225000,0,225000,392438.12
33502,Tasa por ocupación del suelo,100000,0,100000,563355.37
33700,Tasa por aprovechamiento del vuelo,10,0,10,0
33901,Tasa por Instalación de Kioscos,10000,0,10000,9779.48
34200,Precios Públicos Cursos,2000,0,2000,0
36000,Ventas Placas de Vados,600,0,600,585
38000,Reintegro de Presupuestos Cerrados,10,0,10,62849.61
39100,Multas por infracciones urbanísticas.,50000,0,50000,1018667.65
39110,Multas por infracciones tributarias y análogas.,10,0,10,0
39120,Multas por infracciones de la Ordenanza de circula,350000,0,350000,1008586.33
39190,Otras multas y sanciones.,10,0,10,91877.64
39200,Recargos por declaración extemporánea sin requerim,1000,0,1000,0
39210,Recargo ejecutivo.,100000,0,100000,132423.71
39211,Recargo de apremio.,550000,0,550000,1008466.61
39300,Intereses de Demora,400000,0,400000,941674.8
39301,Otros Intereses de Demora,10,0,10,1662.44
39700,Canon por aprovechamientos urbanísticos.,10,0,10,0
39800,Indemnizaciones de Terceros,10000,0,10000,17974.16
39900,Otros Ingresos Diversos,10,0,10,79814.17
41000,De Organismos Autónomos de la Entidad Local,1,0,1,0
41100,Otras transferencias,10,0,10,0
42000,Participación en los Tributos del Estado.,10,0,10,0
42010,Fondo Complementario de Financiación.,15610000,0,15610000,14822373.9
42090,Otras transferencias corrientes de la Administraci,10,0,10,0
42100,Del Servicio Público de Empleo Estatal.,10,0,10,0
42104,Arona Agrícola 2013,0,0,0,-6263.55
42105,Arona Rural 2014,0,122755.31,122755.31,122755.31
42190,De otros Organismos Autónomos y Agencias.,10,0,10,0
42200,De Fundaciones Estatales,10,0,10,0
45000,Participación en tributos de la Comunidad Autónoma,6500000,0,6500000,3250042.54
45001,Otras transferencias incondicionadas.,10,0,10,0
45020,Dirección General Comunidad Autónoma,10,0,10,230701.39
45034,Plan Formativo Agrícola Arona 2014,0,6067.96,6067.96,0
45035,Feria del Pescado 2014,0,35457,35457,0
45036,Subvención Unidad de Menores y Familia 2014,0,20000,20000,20000
45037,Subv. Equipos Mp. E. Atención Infancia y Familia,0,118274.5,118274.5,118274.5
45038,Sub. C. y Servicios de día Atención de la Infancia,0,12202.58,12202.58,12202.58
45039,Apt. para Desarrollo de Acciones Emergencia Social,0,23842.73,23842.73,23842.73
45040,Aport. Lucha contra la Pobreza Infantil,0,17191.75,17191.75,17191.75
45100,De organismos Autónomos Administrativos,1,0,1,30863.88
45102,Acondicionamiento del Paisaje 2010,0,0,0,-5258.99
45103,Mejora de la Atención Municipal 2010,0,0,0,-4106.71
45105,Restauración de Senderos de Arona 2010,0,0,0,-52.28
45106,Cultura y Ocio en Arona 2010,0,0,0,-1013.88
45107,Desarrollo de la Actividad Empresarial 2010,0,0,0,-1298.69
45115,Programa Extraordinario Emb. y Reducción Desempleo,0,0,0,-2588.14
45116,Limpieza del Entorno de Arona 2010,0,0,0,-415.58
45117,Recuperación de los Caminos de Arona 2010,0,0,0,-35.01
45118,Mejora de los Servicios Municipales 2010,0,0,0,-260.43
45119,Programa Extra. Emb. y Reducción Desempleo/2011,0,0,0,-32592.77
45134,Programa de Promoción de Empleo Arona/2013,0,254798.27,254798.27,254798.27
45135,Programa Extra Bianual Empleo Social 2014-2015,0,200000,200000,200000
45200,De Fundaciones de la Comunidad Autonoma,10,0,10,0
45300,De OOAA comerciales y análogos,10,0,10,0
46100,Subvenciones Entidades Locales,10,0,10,0
46103,Gestión Sistema Desalación de Agua de Mar y Vertid,0,157290.57,157290.57,157290.57
46104,Subvención Dinamización Comercial/2013,0,0,0,-3230
46105,Subvención Dinamización Comercial 2014,0,5780,5780,2890
46106,Subv.Implementar Plan Esp. Empleo Social 2014-2015,0,30010.08,30010.08,30010.08
46107,Subvención Proyecto Urban 2007-2013,0,12000,12000,12000
46200,De Ayuntamientos.part.ingresos,10,0,10,0
46602,Apt. Para desarrollo Acciones emergencia social,0,32828.72,32828.72,32828.72
47000,De Empresas Privadas,10,0,10,0
48000,De Familias e Instituciones sin lucro,10,0,10,235126.47
48001,Apt. para Desarrollo de Acciones Emergencia Social,0,27201.84,27201.84,27201.84
52000,Intereses de Empresas Privadas,10000,0,10000,31123.02
52001,Intereses de Empresas Públicas,10,0,10,0
53000,Dividendos de Empresas,10,0,10,4548.51
54100,Arrendamiento de fincas urbanas,125000,0,125000,129433.24
55000,Concesiones adminis. con contraprestación periód.,1446000,0,1446000,1713763
55001,Concesiones de dominio público,113000,0,113000,122941.51
55200,Derecho de superficie con Contraprestación Periódi,10,0,10,0
55900,Otras explotaciones,10,0,10,0
71000,De Organismos Autónomos de la Entidad Local,10,0,10,0
72000,De la Administración General del Estado,10,0,10,8888
72022,L.E.2: Cohesión Soc.Partic.y Emprend.Proyec. URBAN,0,0,0,334504.87
72100,Del Servicio Público de Empleo Estatal.,10,0,10,0
72190,De otros Organismos Autónomos y agencias.,10,0,10,0
72200,De Fundaciones Estatales,10,0,10,0
73000,De la seguridad social,10,0,10,0
75020,De la Administración General de la CA,10,0,10,0
75024,Fondo Canario de Financiación Municipal,0,0,0,3250042.55
75100,De Organismos Autónomos Administrativos,10,0,10,0
75300,"De Organismos Autónomos com., ind. y financ.",10,0,10,0
76100,"De diputacones, consejos o cabildos",10,0,10,0
76117,Subvención Proyecto Urban 2007-2013,0,108749,108749,108749
76200,De Ayuntamientos,10,0,10,0
77000,De Empresas Privadas,10,0,10,0
77002,Canaragua Amortización y Costes Indirectos,0,380615.52,380615.52,380615.52
78000,De Familias e Instituciones sin ánimo de lucro,10,0,10,0
83000,Anticipos por Cuenta de Terceros,10,5465,5475,5465
83100,Anticipos a Personal,10,207300,207310,207300
87000,Remanente Tesorería  para Gastos Generales.,10,3000000,3000010,0
87010,Remanente Tesorería Gastos Financiación Afectada.,10,19497775.04,19497785.04,0
91000,Préstamos recibidos a corto plazo sec.Estado,10,0,10,0
,,,,,
,,,,,
#,TOTALES,84304045,24275605.87,108579650.87,97477970.49
