#Aplicación Presupuestaria,Programa,,Fecha,CIF,Tercero,Concepto,Importe
Festejos y Actos Populares,338,22610,2015-01-05,B76603042,PARTY HOBBY S.L.,Actividades Realizadas en Fin A?o en C.Cultural los Cristian os,3424
Festejos y Actos Populares,338,22610,2015-01-05,B76603042,PARTY HOBBY S.L.,Alquiler Personajes para Cabal gata de Reyes en los Cristiano s 05/01/2015,8025
Festejos y Actos Populares,338,22610,2015-01-05,J38890836,ASOCIACION SOCIOCULTURAL BANDA MUSICA ARONA,"Actuacion de la Banda Municipa l Arona, en Cabalgata de Reyes  Arona, 05/01/2015",800
Plan de Promoción Económica,433,22614,2015-01-05,B38492237,HIT RADIO CANARIAS S.L.,"40 Cuñas Campaña Navidad y Rey es, Enero 2015",342.4
"Desinfectantes, raticidas",311,22115,2015-01-07,B38589842,MAXIMO PESTANO SANIDAD AMBIENTAL S.L.,"Servicio Enero 2015, Desratiza ción y Desinsectación",3852
Energía eléctrica,320,22100,2015-01-07,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Diciembre, Codigo Agrupacion 1707519.",4279.19
Energía eléctrica,920,22100,2015-01-07,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Diciembre 2014, Co digo Agrupacion1707751.",25759.14
Festejos y Actos Populares,338,22610,2015-01-07,B38621850,FERRETERIA HERMALAY S.L.,Suministro Material de Ferrete ria- Cabalgata Reyes,115.43
Festejos y Actos Populares,338,22610,2015-01-07,B38987368,"A.D.E.S. SIGLO 21, S.L.",Ambulancia para la Cabalgata d e Reyes de los Cristianos,216
Festejos y Actos Populares,338,22610,2015-01-07,B76594670,ISLA BAJA RHS,Actuacion dia 5 Enero 2015 del  Grupo Tom Sawyer Dixieland Ja zz Band,720
Festejos y Actos Populares,338,22610,2015-01-07,G38973145,ASOCIACION SOCIOCULTURAL PLATONS S.L.,"Actuacion en Cabalgata Reyes ,  Concejalia de Fiesta",1800
Material informático no inventariable,920,22002,2015-01-07,B84413426,SPINBIZ COMPANY S.L.,"Suscripcion 12meses licencia I SL Online SaaS, Contrato C2014 1202/706",339
Productos alimenticios,920,22105,2015-01-07,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1Cuota Servicio Mensual 6Botel lones Agua, 1 Caja Vasos-Sac L os Cristianos",63.38
Productos alimenticios,920,22105,2015-01-07,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1Cuota Servicio, 5Botellones A gua-Policia Local",43.38
Atenciones protocolarias y representativas,912,22601,2015-01-08,B38454781,DRAYCA SUR SERVICIOS S.L.,2000 Carpetas con Anagrama y T exto y 3500 pins,4000
Energía eléctrica,150,22100,2015-01-08,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion Diciembre 2014, Co digo Agrupacion  0842279.",547.25
Energía eléctrica,150,22100,2015-01-08,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion Diciembre 2014, Co digo Agrupacion 0842357.",673.68
Energía eléctrica,312,22100,2015-01-08,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Diciembre 2014, Co digo Agrupacion 1707994.",2548.29
Energía eléctrica,312,22100,2015-01-08,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion Diciembre 2014, Co digo Agrupacion. 0842319.",2318.53
Energía eléctrica,312,22100,2015-01-08,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion Diciembre 2014,Cod igo Agrupacion 0842323.",162.48
Energía eléctrica,320,22100,2015-01-08,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion Diciembre 2014, Co digo Agrupacion. 0842319.",2318.53
Energía eléctrica,920,22100,2015-01-08,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion Diciembre 2014, Co digo Agrupacion 0842264.",342.29
Energía eléctrica,920,22100,2015-01-08,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion Diciembre 2014, Co digo Agrupacion 0842342.",16543.98
Energía eléctrica,920,22100,2015-01-08,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion Diciembre 2014, Co digo Agrupacion 0842357.",673.68
Festejos y Actos Populares,338,22610,2015-01-08,B38794327,AUTO GRUAS CABELLO S.L.U.,Traslado Montacarga desde V.Sa n Lorenzo a Los Cristianos- Ev ento Fin Año,74.28
Festejos y Actos Populares,338,22610,2015-01-08,B76589449,ANYMAX ANIMACION Y ESPECTACULOS S.L.,"Pasacalles Reyes 2015, Zancudo  y 3 Malabaristas-Fiestas Caba lgata de Reyes.",760
Fiestas del Municipio,338,22611,2015-01-08,B38621850,FERRETERIA HERMALAY S.L.,Suministro Material de Ferrete ria- Romeria San Antonio Abad,460.6
Material informático no inventariable,920,22002,2015-01-08,B78089893,"GARI, S.L.",Mantenimiento 2015 Aplicacion de Archivos  Licencia GA003050 3(GARI),814.05
Atenciones protocolarias y representativas,912,22601,2015-01-09,B38454781,DRAYCA SUR SERVICIOS S.L.,"4 Pintaderas Enmarcadas Homena je ""Dia Internacional de las P ersonas con Discapacidades""",224
Energía eléctrica,150,22100,2015-01-09,A81948077,ENDESA ENERGIA S.A.U.,Facturacion Diciembre 2014- Co digo Agrupacion 1708375.,15549.28
Energía eléctrica,320,22100,2015-01-09,B82846825,ENDESA ENERGIA XXI S.L.,Contrato 60006760673;Periodo d e consumo: 04 de diciembre de 2014 a 08 de enero de 2015;CUP S: ES0031607327576001KG0F-ALQU,18.65
Energía eléctrica,320,22100,2015-01-09,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion Diciembre 2014, Co digo Agrupacion 0842395.",13.85
Energía eléctrica,340,22100,2015-01-09,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Diciembre 2014, Co digo Agrupacion 1708381.",7762.92
Energía eléctrica,340,22100,2015-01-09,B82846825,ENDESA ENERGIA XXI S.L.,Facturacion Diciembre 2014-Cod igo Agrupacion 0843006.,422.88
Energía eléctrica,920,22100,2015-01-09,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 30/ 11/2014 AL 31/12/2014;CUPS: ES 0031607327588001JK0F-ALQUILERE S/VARIOS--,705.44
Energía eléctrica,920,22100,2015-01-09,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 30/ 11/2014 AL 31/12/2014;CUPS: ES 0031607328382001NS0F-ALQUILERE S/VARIOS--,1226.19
Energía eléctrica,920,22100,2015-01-09,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 30/ 11/2014 AL 31/12/2014;CUPS: ES 0031607331095001WG0F-ALQUILERE S/VARIOS--,659.94
Energía eléctrica,920,22100,2015-01-09,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 30/ 11/2014 AL 31/12/2014;CUPS: ES 0031607604682001HA0F-ALQUILERE S/VARIOS--,1343.15
Energía eléctrica,920,22100,2015-01-09,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 30/ 11/2014 AL 31/12/2014;CUPS: ES 0031607604683001SZ0F-ALQUILERE S/VARIOS--,331.47
Energía eléctrica,920,22100,2015-01-09,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 30/ 11/2014 AL 31/12/2014;CUPS: ES 0031607609139001WV0F-ALQUILERE S/VARIOS--,1402.41
Energía eléctrica,920,22100,2015-01-09,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 30/ 11/2014 AL 31/12/2014;CUPS: ES 0031607610611001QV0F-ALQUILERE S/VARIOS--,586.8
Energía eléctrica,920,22100,2015-01-09,A81948077,ENDESA ENERGIA S.A.U.,riodo de facturación del 30/11 /2014 AL 31/12/2014;CUPS: ES00 31607594323001NL0F-ALQUILERES/ VARIOS--,741.27
Energía eléctrica,920,22100,2015-01-09,B82846825,ENDESA ENERGIA XXI S.L.,Contrato 60006723789;Periodo d e consumo: 31 de octubre de 20 14 a 05 de enero de 2015;CUPS:  ES0031607324019001KT0F-ALQUIL,1334.3
Energía eléctrica,920,22100,2015-01-09,B82846825,ENDESA ENERGIA XXI S.L.,Contrato 60006723886;Periodo d e consumo: 31 de octubre de 20 14 a 05 de enero de 2015;CUPS:  ES0031607324031001JV0F-ALQUIL,1662.08
Energía eléctrica,920,22100,2015-01-09,B82846825,ENDESA ENERGIA XXI S.L.,Contrato 60006725294;Periodo d e consumo: 31 de octubre de 20 14 a 05 de enero de 2015;CUPS:  ES0031607324201001ER0F-ALQUIL,2832.56
Energía eléctrica,920,22100,2015-01-09,B82846825,ENDESA ENERGIA XXI S.L.,Contrato 60006725957;Periodo d e consumo: 31 de octubre de 20 14 a 05 de enero de 2015;CUPS:  ES0031607324713001HK0F-ALQUIL,1583.98
Energía eléctrica,920,22100,2015-01-09,B82846825,ENDESA ENERGIA XXI S.L.,Contrato 60006733500;Periodo d e consumo: 31 de octubre de 20 14 a 05 de enero de 2015;CUPS:  ES0031607325607001HB0F-ALQUIL,1583.47
Energía eléctrica,920,22100,2015-01-09,B82846825,ENDESA ENERGIA XXI S.L.,Contrato 60007645727;Periodo d e consumo: 31 de octubre de 20 14 a 05 de enero de 2015;CUPS:  ES0031607607627001CZ0F-ALQUIL,1988.52
Energía eléctrica,920,22100,2015-01-09,B82846825,ENDESA ENERGIA XXI S.L.,Contrato 60007670900;Periodo d e consumo: 31 de octubre de 20 14 a 05 de enero de 2015;CUPS:  ES0031607610737001KT0F-ALQUIL,1827.8
Energía eléctrica,920,22100,2015-01-09,B82846825,ENDESA ENERGIA XXI S.L.,Contrato 60008365971;Periodo d e consumo: 05 de diciembre de 2014;CUPS: ES0031601186850001M M0F-ALQUILERES/VARIOS--,62.07
Energía eléctrica,920,22100,2015-01-09,B82846825,ENDESA ENERGIA XXI S.L.,Contrato 60090281402; Periodo de consumo: 04 de diciembre de  2014 a 08 de enero de 2015;CU PS: ES0031601250564001JA0F-ALQ,96.32
Energía eléctrica,920,22100,2015-01-09,B82846825,ENDESA ENERGIA XXI S.L.,Contrato 60090596573;Periodo d e consumo: 05 de diciembre de 2014 a 08 de enero de 2015;CUP S: ES0031601252373001MF0F-ALQU,191.02
Energía eléctrica,920,22100,2015-01-09,B82846825,ENDESA ENERGIA XXI S.L.,Facturacion Diciembre 2014-Cod igo Agrupacion 0843006.,422.88
Energía eléctrica,920,22100,2015-01-09,B82846825,ENDESA ENERGIA XXI S.L.,"facturacion Diciembre 2015,Cod igo Agrupacion0806715.",242.41
Festejos y Actos Populares,338,22610,2015-01-09,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,Suministro Material Vario de M erceria- Cabalgata de Reyes,1204.99
Fiestas del Municipio,338,22611,2015-01-09,B38709614,"GARDEN IKA, S.L.","Helecho Macho m.20- Concejalia  de Fiestas, San Antonio Abad  2015",130
Fiestas del Municipio,338,22611,2015-01-09,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,Suministro Material de Merceri a Vario- Fiestas San Antonio A bad 2015,276.61
Plan de Promoción Económica,433,22614,2015-01-09,B76559681,"BRUJULA SEGURIDAD,S.L.","Custodia de la Casa del Mar, R ecinto de Navidad",3445.4
"Prensa, revistas, libros y otras publicaciones",920,22001,2015-01-09,A81962201,ARANZADI EDITORIAL,Agrupacion Revista Administrac ioo Practica-Secretaria,581.76
Repar. conserv. y man. elementos de transporte,132,21400,2015-01-09,B38233912,SERVICIOS E LEON S.L.,Reparación Vehículo 9165-FZW,98.71
Repar. conserv. y man. elementos de transporte,132,21400,2015-01-09,B38963542,LLAVE SUR Y LEGARA S.L.,"Trabajos Realizados en Tapa Ga solina y Copia Llave 1548DWG, Policia local",58.85
Tributos de las Entidades Locales,161,22502,2015-01-09,Q8850002J,CONSEJO INSULAR DE AGUAS DE TENERIFE,Servicio Diciembre  Depuracion  y Vertido 2014,137536.03
Festejos y Actos Populares,338,22610,2015-01-10,B38853990,SOUND CANARIAS S.L.U.,"Servicio Alquiler , Montaje e Iluminacion y Video de Fiestas  de Fin Año en los Cristianos 31/12/2014",2514.5
Festejos y Actos Populares,338,22610,2015-01-10,B38853990,SOUND CANARIAS S.L.U.,"Servicio Alquiler, Montaje Son ido e Iluminación para la Caba lgata de Reyes Magos en los Cr istianos, 5/1/15",968.35
Fiestas del Municipio,338,22611,2015-01-10,B38204889,PRODUCCIONES O.Y.E. S.L.,"Contratacion Yanira Martin dia  10 de Enero de 2015, Presenta cion Candidatas Fiesta San An  tonio Abad 2015",1016.5
Fiestas del Municipio,338,22611,2015-01-10,G38544557,GRUPO DE LA ESCUELA DE FOLKLORE DE ADEJE,Actuacion Realizada en el Bail e de Magos de las Fiestas de S an Antonio Abad 2015,250
Aportación a la FEMP,922,42392,2015-01-12,G28783991,"FEMP, FEDERACION ESPAÑOLA DE MUNICIPIOS Y PROV.",Cuota Asociado FEMP 2015,4559.57
Aportación a la FEMP,922,42392,2015-01-12,G28783991,"FEMP, FEDERACION ESPAÑOLA DE MUNICIPIOS Y PROV.",Cuota Extra XI Pleno Femp- Alc aldia,728.88
Energía eléctrica,320,22100,2015-01-12,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 04/ 12/2014 AL 08/01/2015;CUPS: ES 0031607325608001SE0F-ALQUILERE S/VARIOS--,541.37
Energía eléctrica,340,22100,2015-01-12,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 05/ 12/2014 AL 08/01/2015;CUPS: ES 0031601304443001MP0F-ALQUILERE S/VARIOS--,422.69
Energía eléctrica,920,22100,2015-01-12,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 01/ 12/2014 AL 04/01/2015;CUPS: ES 0031601130354001BD0F-ALQUILERE S/VARIOS--,475.25
Energía eléctrica,920,22100,2015-01-12,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 04/ 12/2014 AL 08/01/2015;CUPS: ES 0031601272635002SC0F-ALQUILERE S/VARIOS--,485.16
Energía eléctrica,920,22100,2015-01-12,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 04/ 12/2014 AL 08/01/2015;CUPS: ES 0031607597676003KN0F-ALQUILERE S/VARIOS--,685.55
Energía eléctrica,920,22100,2015-01-12,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 04/ 12/2014 AL 08/01/2015;CUPS: ES 0031607597677003LT0F-ALQUILERE S/VARIOS--,469.24
Energía eléctrica,920,22100,2015-01-12,B82846825,ENDESA ENERGIA XXI S.L.,Contrato 60006729612;Periodo d e consumo: 31 de octubre de 20 14 a 04 de enero de 2015;CUPS:  ES0031607325342001LV0F-ALQUIL,2352.95
Energía eléctrica,920,22100,2015-01-12,B82846825,ENDESA ENERGIA XXI S.L.,Contrato 60008104240;Periodo d e consumo: 04 de noviembre de 2014 a 07 de enero de 2015;CUP S: ES0031601101348001QE0F-ALQU,1269.77
Fiestas del Municipio,338,22611,2015-01-12,B38418653,SANITARIOS PORTATILES S.L.,3 Alquiler Sanitarios para Bai le de Magos 10/01/2015,160.5
Fiestas del Municipio,338,22611,2015-01-12,B38722203,IDEA GRAFICA FUENTES S.L.,"Carteles ,Tripticos, Volandera s  para Fiestas San Antonio Ab ad",2120.74
Material informático no inventariable,920,22002,2015-01-12,A81460669,Q-MATIC SISTEMAS S.A.,Mantenimiento Q-Matic- 01/01/2 015-31/12/2015,8008.95
"Reparaciones, Mante. y conserv. Maquinaria e Inst.",929,21300,2015-01-12,B76595370,CERRAJERIA MUNDO LLAVE S.L.U.,"Mano Obra Apertura de Caja Fue rte, Comprobación y Programaci ón en Recaudación Municipal",102.41
Actividades Socioculturales,336,22609,2015-01-13,B76546225,"MAC IMPRESIONS, S.L.","Carteles en Carton Pluma 1.80* 0.80, Fotos en Carton Pluma- P atrimonio Historico- Exposicio n Lucha Canaria",1004.71
Energía eléctrica,340,22100,2015-01-13,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 30/ 11/2014 AL 31/12/2014;CUPS: ES 0031607324029001HH0F-ALQUILERE S/VARIOS--,612.27
Energía eléctrica,920,22100,2015-01-13,A81948077,ENDESA ENERGIA S.A.U.,Periodo de Facturación: 01 de diciembre de 2014 a 01 de ener o de 2015 a 01 de enero de 201 5;CUPS: ES0031607331093001FM0F,683.78
Energía eléctrica,920,22100,2015-01-13,A81948077,ENDESA ENERGIA S.A.U.,Periodo de Facturación: 01 de diciembre de 2014 a 02 de ener o de 2015;CUPS: ES003160127263 6001JF0F-ALQUILERES/VARIOS--,358.05
Energía eléctrica,920,22100,2015-01-13,A81948077,ENDESA ENERGIA S.A.U.,Periodo de Facturación: 01 de diciembre de 2014 a 02 de ener o de 2015;CUPS: ES003160128687 6001YV0F-ALQUILERES/VARIOS--,463.27
Energía eléctrica,920,22100,2015-01-13,A81948077,ENDESA ENERGIA S.A.U.,Periodo de Facturación: 01 de diciembre de 2014 a 02 de ener o de 2015;CUPS: ES003160733109 4002GV0F-ALQUILERES/VARIOS--,578.33
Energía eléctrica,920,22100,2015-01-13,A81948077,ENDESA ENERGIA S.A.U.,Periodo de Facturación: 04 de noviembre de 2014 a 05 de ener o de 2015;CUPS: ES003160733109 0001ZH0F-ALQUILERES/VARIOS--,270.06
Energía eléctrica,920,22100,2015-01-13,A81948077,ENDESA ENERGIA S.A.U.,Periodo de Facturación: 24 de diciembre de 2014 a 05 de ener o de 2015;CUPS: ES003160733109 2001DV0F-ALQUILERES/VARIOS--,252.85
Energía eléctrica,920,22100,2015-01-13,B82846825,ENDESA ENERGIA XXI S.L.,Contrato 60007648752;Periodo d e consumo: 03 de noviembre de 2014 a 07 de enero de 2015;CUP S: ES0031607607737001LM0F-ALQU,787.08
Energía eléctrica,920,22100,2015-01-13,B82846825,ENDESA ENERGIA XXI S.L.,Contrato 60008253149;Periodo d e consumo: 05 de noviembre de 2014 a 07 de enero de 2015;CUP S: ES0031601172692001NT0F-ALQU,940.51
Energía eléctrica,920,22100,2015-01-13,B82846825,ENDESA ENERGIA XXI S.L.,Contrato 60090615105;Periodo d e consumo: 09 de diciembre de 2014 a 08 de enero de 2015;CUP S: ES0031601259395001FS0F-ALQU,32.82
Festejos y Actos Populares,338,22610,2015-01-13,B76546225,"MAC IMPRESIONS, S.L.","Pegatina 2m*1m, Pegatinas en C arton -Cabalgata de reyes",438.78
Festejos y Actos Populares,338,22610,2015-01-13,B76656404,ANIMA EVENTOS TENERIFE S.L.,Dj Fiesta Fin Año en los Crist ianos 31/12/2014,620.6
Festejos y Actos Populares,338,22610,2015-01-13,B76656404,ANIMA EVENTOS TENERIFE S.L.,"Figuracion Circo Monociclo, Tr en Circo con presentador y pay asa, Olaf y Personajes Nieve",4494
Plan de Promoción Económica,433,22614,2015-01-13,B76603042,PARTY HOBBY S.L.,"Talleres, Actividades, Actuaci ones el dia 4 y 5 Enero-Promoc ion Ec.",8185.5
Plan de Promoción Económica,433,22614,2015-01-13,B76656404,ANIMA EVENTOS TENERIFE S.L.,Actividades para los dias 4 y 5 Enero 2015 en los diferente Barrios de Arona-Campaña Navid ad,3049.5
Repar. conserv. y man. elementos de transporte,132,21400,2015-01-13,B38233912,SERVICIOS E LEON S.L.,ReparaciOn  Honda Moto TF-0837 -BY,80.25
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2015-01-13,B38621850,FERRETERIA HERMALAY S.L.,Cilindro Azbe Largo 70 mm- Ofi cina Participacion Ciudadana,10.55
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2015-01-13,H38351268,APTS. AMARILLA BAY FASE II C.P.,4 Trimestre Gastos Comunitario s de locales en C.P Amarilla B ay II,519.75
Vestuario,130,22104,2015-01-13,B35885805,ARMERIA MEDINA 1978 S.L.,"Gastos Suplido Compra en Armer ia Medina 1978 s.l,  Guantes A nticorte y Portaguantes, Ana J essica  Rodriguez Mendez",35
Energía eléctrica,150,22100,2015-01-14,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 04/ 12/2014 AL 09/01/2015;CUPS: ES 0031601117344007KB0F-ALQUILERE S/VARIOS--,229.79
Energía eléctrica,150,22100,2015-01-14,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 04/ 12/2014 AL 09/01/2015;CUPS: ES 0031601180629001YE0F-ALQUILERE S/VARIOS--,209.27
Energía eléctrica,150,22100,2015-01-14,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 04/ 12/2014 AL 09/01/2015;CUPS: ES 0031601261789001LZ0F-ALQUILERE S/VARIOS--,250.09
Energía eléctrica,150,22100,2015-01-14,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 04/ 12/2014 AL 09/01/2015;CUPS: ES 0031607324021001SE0F-ALQUILERE S/VARIOS--,281.5
Energía eléctrica,150,22100,2015-01-14,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 04/ 12/2014 AL 09/01/2015;CUPS: ES 0031607324022001JX0F-ALQUILERE S/VARIOS--,1385.88
Energía eléctrica,150,22100,2015-01-14,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 04/ 12/2014 AL 09/01/2015;CUPS: ES 0031607324028001KF0F-ALQUILERE S/VARIOS--,750.91
Energía eléctrica,150,22100,2015-01-14,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 04/ 12/2014 AL 09/01/2015;CUPS: ES 0031607579175001DA0F-ALQUILERE S/VARIOS--,2240.4
Energía eléctrica,150,22100,2015-01-14,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 04/ 12/2014 AL 09/01/2015;CUPS: ES 0031607579175002DG0F-ALQUILERE S/VARIOS--,467.67
Energía eléctrica,150,22100,2015-01-14,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 05/ 12/2014 AL 09/01/2015;CUPS: ES 0031601243866002KH0F-ALQUILERE S/VARIOS--,337
Energía eléctrica,150,22100,2015-01-14,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 05/ 12/2014 AL 09/01/2015;CUPS: ES 0031601243866003KL0F-ALQUILERE S/VARIOS--,826.85
Energía eléctrica,320,22100,2015-01-14,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 04/ 12/2014 AL 09/01/2015;CUPS: ES 0031607324027001TL0F-ALQUILERE S/VARIOS--,726.27
Energía eléctrica,340,22100,2015-01-14,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 02/ 12/2014 AL 05/01/2015;CUPS: ES 0031607591951001ZD0F-ALQUILERE S/VARIOS--,506.76
Energía eléctrica,340,22100,2015-01-14,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 04/ 12/2014 AL 09/01/2015;CUPS: ES 0031601082612001EY0F-ALQUILERE S/VARIOS--,299.56
Energía eléctrica,920,22100,2015-01-14,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 05/ 12/2014 AL 08/01/2015;CUPS: ES 0031607607795001XE0F-ALQUILERE S/VARIOS--,2892.91
Energía eléctrica,920,22100,2015-01-14,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 05/ 12/2014 AL 09/01/2015;CUPS: ES 0031601253620001BQ0F-ALQUILERE S/VARIOS--,1137.41
Energía eléctrica,920,22100,2015-01-14,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 09/ 12/2014 AL 07/01/2015;CUPS: ES 0031607604680001TG0F-ALQUILERE S/VARIOS--,1011.26
