#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2024ko Hasierako kreditua,2024ko Behin-betiko kreditua,O
022201,1691,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8887,8887,9545.9
022201,1721,60305,,Gardelegiko zabortegiko instalazioak,100000,100000,0
022201,1721,60305,R,Gardelegiko zabortegiko instalazioak,0,77822.8,623.43
022201,1722,62916,,Zabortegiaren ingurumen kalitatea,75000,75000,5989.5
022202,1722,22600,R,Urban new gastos diversos,0,74910.31,17816.01
022203,1621,22700,,Garbiketarako eta hondakinen bilketa eta garraiorako kontratua,10010927.61,10084927.61,10018467.07
022203,1621,22700,R,Garbiketarako eta hondakinen bilketa eta garraiorako kontratua,0,398479.72,177604.06
022203,1621,22703,,Bilketa pneumatikoaren kontratua alde zaharrean,1493685.72,1493685.72,1493685.72
022203,1621,22703,R,Bilketa pneumatikoaren energia elektrikoaren hornidura,0,94283.69,94283.64
022203,1621,22704,,Suministro eléctrico recogida neumática,590480,590480,441929.29
022203,1621,22704,R,Sumi elect recogida neumática,0,0,0
022203,1621,22715,,Garbiketarako eta hondakinen bilketa eta garraiorako kontratua,393000,494000,420471.95
022203,1621,22715,R,Garbiketarako eta hondakinen bilketa eta garraiorako kontratua,0,67876.68,66064.53
022203,1621,22724,,Garbiguneak ustiatzeko kontratua,511138.19,511138.19,511138.19
022203,1622,21204,,Zabortegiko instalazioak mantentzea,65000,205000,219795.77
022203,1622,21204,R,Zabortegiko instalazioak mantentzea,0,25216.65,25216.65
022203,1622,22699,,Bestelako hainbat gastu,80000,80000,9592.64
022203,1622,22707,,Dibertsitatea kontserbatzeko azterlanak,58500,58500,55649.08
022203,1622,22707,R,Dibertsitatea kontserbatzeko azterlanak,0,16000,16000
022203,1622,22723,,Zabortegia ustiatzeko kontratua,1451915.75,1451915.75,1411158.36
022203,1623,22111,,Tresnak,5000,5000,3785.11
022203,1623,22702,,Jundizko hiri hondakinen lantegia ustiatzeko kontratua,9857325.84,9900575.51,9421160.48
022203,1623,22710,,Tamaina handikoen bilketarako kontratua,1562302.7,1562302.7,1562302.7
022203,1623,47133,,"Hitzarmena, Vital Fundazioa, 0 plastiko",20000,25000,25000
022203,1623,60907,,"Uraren, airearen eta lurraren kalitatea kontrolatzea",30000,30000,10769
022203,1631,22700,,Kale-garbiketa,15020203.08,15020203.08,15020203.08
022203,1631,22700,R,Kale-garbiketa,0,747160.28,440599.33
022203,1631,22701,,Graffiti aurkako plana,97100,97100,87590.52
022203,1722,12000,,Funtzionarioen oinarrizko ordainsariak,184183.79,184183.79,165683.59
022203,1722,12100,,Funtzionarioen ordainsari osagarriak,254562,254562,227348.98
022203,1722,14100,,Bestelako langileak,41373,41373,200287.12
022203,1722,16000,,"Gizarte Segurantza, enpresaren kontura",143342,143342,187749.29
022203,1722,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7961,7961,10380.37
022204,1711,12000,,Funtzionarioen oinarrizko ordainsariak,65058.87,65058.87,68861.53
022204,1711,12100,,Funtzionarioen ordainsari osagarriak,88356,88356,86781.62
022204,1711,13000,,Lan-kontratudun langile finkoen ordainsariak,96602,96602,94128.83
022204,1711,14100,,Bestelako langileak,0,0,23653.22
022204,1711,16000,,"Gizarte Segurantza, enpresaren kontura",72020,72020,79758.18
022204,1711,16500,,"Elkarkidetzako kuotak, Udalaren kontura",4377,4377,4376.82
022204,1711,21073,,Arboretoa onik zaintzea,26250,8622.05,23318.03
022204,1711,21074,,Kanpoko Eraztun Berdea onik zaintzeko lanak,511436.51,690711.22,447748.88
022204,1711,21074,R,Kanpoko Eraztun Berdea onik zaintzeko lanak,0,14088.35,11811.2
022204,1711,22663,,Jabari publikoko kanon. Elorriaga-Arkaute,14000,14000,70098.08
022204,1711,22699,,Ekonomia zirkularraren estrategia,25000,25000,13839.65
022204,1711,60916,,Tokiko (Hiriko) 2030 Agenda,50000,50000,3000
022204,1711,60916,R,Tokiko (Hiriko) 2030 Agenda,0,78650,72116
022204,1711,62219,A,Eguzki-plaka fotovoltaikoak instalatzea,0,1002133.85,501066.93
022204,1711,64305,,Klimaren eta energia iraunkorraren aldeko ekintza plana,20000,20000,0
022204,1711,64305,R,Klimaren eta energia iraunkorraren aldeko ekintza plana,0,14762,14762
022204,1711,64306,,Eguzki-plaka fotovoltaikoak instalatzea,128981.28,128981.28,15867.11
022204,1711,64306,R,Eguzki-plaka fotovoltaikoak instalatzea,0,340000,0
022204,1711,64307,,Energia-komunitateak eremu degradatuetan,600000,0,0
022204,1711,64319,,Eremu elektromagnetikoak kontrolatzeko sarea,10000,10000,0
022204,1711,64319,R,Eremu elektromagnetikoak kontrolatzeko sarea,0,6897,6897
022204,1711,64321,,Energia berriztagarrien plana,10000,10000,7775
022204,1711,64321,A,Energia berriztagarrien plana,0,73575.5,27590.82
022204,1711,64336,,Trantsizio energetikorako inbertsioak,5000,5000,0
022204,1711,64336,A,Trantsizio energetikorako inbertsioak,0,223397.46,77471.46
022204,1711,64337,,Misio klimatikoak,10000,10000,18101.6
022204,1711,64337,R,Misio klimatikoak,0,8772.5,8772.5
022204,1711,64338,,Ingurumenarekiko sentsibilizazio plana (KONPONDU),10000,10000,0
022204,1711,78004,,Diru-laguntza: isolamendu akustikorako plana,100000,100000,0
022204,1711,78004,A,Diru-laguntza: isolamendu akustikorako plana,0,187478.13,2553.07
022204,1722,48067,,Energia-komunitateentzako dirulaguntza,0,90000,0
022204,1722,78005,,Energia-komunitateentzako dirulaguntza,0,510000,45500
022301,1623,60711,,Zabortegia 481/2001 Errege Dekretura egokitzea,200000,200000,82051.87
022301,1623,60711,A,Zabortegia 481/2001 Errege Dekretura egokitzea,0,452671.09,439170.36
022301,1623,60711,R,Zabortegia 481/2001 Errege Dekretura egokitzea,0,594172.2,592168.79
022301,1691,12000,,Funtzionarioen oinarrizko ordainsariak,56840.07,56840.07,89909.76
022301,1691,12100,,Funtzionarioen ordainsari osagarriak,81263,81263,108664.23
022301,1691,14100,,Bestelako langileak,0,0,42306.86
022301,1691,16000,,"Gizarte Segurantza, enpresaren kontura",32165,32165,76044.27
022301,1691,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3325,3325,5374.46
022301,1691,21040,,Kontrol- eta diagnosi-ekipoak mantentzea,150000,167627.95,127568.76
022301,1691,21040,R,Kontrol- eta diagnosi-ekipoak mantentzea,0,49475.14,49475.14
022301,1691,22115,,Ordezko piezak eta suntsikorrak,0,0,913.65
022301,1691,22605,,Jasangarritasun- eta energia-ekintzak,14750,12009.74,7356.38
022301,1691,22732,,EU-Erkidegoko trantsizio energetikoaren bulegoa,232000,232000,70977.3
022301,1691,22732,R,EU-Erkidegoko trantsizio energetikoaren bulegoa,0,101195.98,101195.98
022301,1691,48196,,Hitzarmena: Gaia,10000,10000,10000
022301,1721,64316,,Zaraten mapa estrategikoko ekintza plana,10000,10000,344.85
022301,1721,64316,R,Zaraten mapa estrategikoko ekintza plana,0,17787,17787
022301,1721,64329,,Erdi Aroko hirigunean zarataren kontra sentsibilizatzeko plana,4000,4000,0
022301,1721,64330,,Zarata kontrolatzeko sarea,5049,5049,0
022301,1721,64330,R,Zarata kontrolatzeko sarea,0,5038.44,5038.44
022301,1722,48100,,Conama fundazioa,0,30000,30000
022301,1722,60182,,Zuhaitz proiektua,10000,10000,4461.37
022301,1722,60182,R,Zuhaitz proiektua,0,29703.85,27063.12
022301,1722,60183,,Biodibertsitatea kontserbatzeko jarduerak,2000,0,0
022301,1722,60919,,Eraztun berdeko azpiegitura berdeak,1000,41000,1282.6
022301,1722,60932,,Eu-olarizuko lorategi botanikoa,0,387569.35,52656.12
022301,1722,60932,A,Eu-olarizuko lorategi botanikoa,0,465450.05,405793.56
022301,1722,60932,R,Eu-olarizuko lorategi botanikoa,0,165331.55,165282.09
022301,1722,60933,,"EU-Eraztun Berdearen konektagarritasuna hobetzea (PSTD, I. fasea)",0,123762.18,59005.46
022301,1722,60933,A,"EU-Eraztun Berdearen konektagarritasuna hobetzea (PSTD, I. fasea)",0,182314.59,167925.33
022301,1722,60933,R,"EU-Eraztun Berdearen konektagarritasuna hobetzea (PSTD, I. fasea)",0,600000,17121.5
022302,1515,64310,,PIIE- Energia-komunitateak eta plaka fotovoltaikoak Zaramagan,493488.39,121803.29,0
