#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2024ko Hasierako kreditua,2024ko Behin-betiko kreditua,O
0112,2301,12100,,Funtzionarioen ordainsari osagarriak,191613.0,191613.0,29699.62
0112,2301,14100,,Bestelako langileak,14543.0,14543.0,17565.35
0112,2301,16000,,"Gizarte Segurantza, enpresaren kontura",104416.0,104416.0,22410.74
0112,2301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7541.0,7541.0,1428.33
0116,2371,12000,,Funtzionarioen oinarrizko ordainsariak,143204.98,143204.98,19208.77
0116,2371,12100,,Funtzionarioen ordainsari osagarriak,182375.0,182375.0,32568.07
0116,2371,14100,,Bestelako langileak,103707.0,103707.0,11116.15
0116,2371,16000,,"Gizarte Segurantza, enpresaren kontura",133981.0,133981.0,21927.31
0116,2371,16500,,"Elkarkidetzako kuotak, Udalaren kontura",6040.0,6040.0,862.72
0116,2371,22115,,Berariazko material teknikoa,100.0,100.0,0.0
0116,2371,22734,,Aisialdi eta denbora libreko programa,370000.0,370000.0,4982.4
0116,2371,22736,,Gazteria Zerbitzuaren kontratua,215801.0,215801.0,82500.85
0116,2371,22737,,Gazteen Argibideetarako Udal Bulegoa,70000.0,70000.0,2685.34
0116,2371,22775,,Gazte Plana,100000.0,100000.0,13427.29
0116,2371,22776,,Gazte Plaza,50000.0,50000.0,0.0
0116,2371,41924,,Hitzarmena: Euskadiko Gazteria Kontseilua - Gazteen partaidetzaren sustapena,10500.0,10500.0,8400.0
0116,2371,48935,,Gazteriako dirulaguntza deialdi orokorra,30000.0,30000.0,0.0
0116,2371,48936,,Irakaskuntza Ertainetako gazte informatzaileen deialdia,11000.0,11000.0,0.0
0116,2371,62505,,Bestelako tresnak,6000.0,6000.0,0.0
0116,2371,62800,,"Argitalpenak eta liburuak erostea, Gazteen Argibideetarako Bulegorako",500.0,500.0,0.0
0125,9124,12000,,Funtzionarioen oinarrizko ordainsariak,128899.77,128899.77,13533.19
0125,9124,12100,,Funtzionarioen ordainsari osagarriak,195413.0,195413.0,28053.33
0125,9124,14100,,Bestelako langileak,39483.0,39483.0,11333.95
0125,9124,16000,,"Gizarte Segurantza, enpresaren kontura",95550.0,95550.0,17384.66
0125,9124,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7963.0,7963.0,1137.44
0126,9124,12000,,Funtzionarioen oinarrizko ordainsariak,1.0,1.0,0.0
0126,9124,12100,,Funtzionarioen ordainsari osagarriak,510.0,510.0,0.0
0130,9201,11000,,Kabineteko behin-behineko langileen ordainsariak,68802.14,68802.14,257.84
0130,9201,12000,,Funtzionarioen oinarrizko ordainsariak,234017.0,234017.0,30228.24
0130,9201,12100,,Funtzionarioen ordainsari osagarriak,412629.0,412629.0,68438.63
0130,9201,14100,,Bestelako langileak,68748.0,68748.0,4894.67
0130,9201,16000,,"Gizarte Segurantza, enpresaren kontura",159152.0,159152.0,23088.71
0130,9201,16500,,"Elkarkidetzako kuotak, Udalaren kontura",15714.0,15714.0,1980.42
0130,9201,22610,,Kalte-ordainak,1000.0,1000.0,0.0
0130,9201,22617,,"Ordainsariak, minutak",30000.0,30000.0,14205.8
0130,9201,62800,,Argitalpenak eta liburuak erostea,15000.0,15000.0,0.0
0145,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,299626.95,299626.95,54236.6
0145,9121,16000,,"Gizarte Segurantza, enpresaren kontura",59377.0,59377.0,12076.88
0145,9121,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1069.0,1069.0,712.38
0160,2381,12000,,Funtzionarioen oinarrizko ordainsariak,143631.1,143631.1,15657.98
0160,2381,12100,,Funtzionarioen ordainsari osagarriak,190054.0,190054.0,27009.51
0160,2381,14100,,Bestelako langileak,47097.0,47097.0,5959.03
0160,2381,16000,,"Gizarte Segurantza, enpresaren kontura",109498.0,109498.0,18805.54
0160,2381,16500,,"Elkarkidetzako kuotak, Udalaren kontura",6515.0,6515.0,625.26
0160,2381,22711,,Berdintasun Plana,65000.0,65000.0,0.0
0160,2381,22712,,Jabetze feministarako eskola,245000.0,245000.0,14882.64
0160,2381,22713,,Indarkeria matxistaren prebentzioa eta arreta,100000.0,100000.0,40499.99
0160,2381,22714,,Sexu- eta genero-aniztasunerako agenda,40000.0,40000.0,0.0
0160,2381,48120,,Hitzarmena: LGTBI behatokia,100000.0,100000.0,0.0
0160,2381,48139,,Emakume elkarteentzako diru-laguntza deialdia,100000.0,100000.0,0.0
0160,2381,62925,,Emakume elkarteentzako diru-laguntza deialdia,12000.0,12000.0,0.0
0171,3351,12000,,Berdintasun eraikinak,200353.42,200353.42,24749.41
0171,3351,12100,,Funtzionarioen oinarrizko ordainsariak,243547.0,243547.0,47238.72
0171,3351,14100,,Bestelako langileak,113195.0,113195.0,23828.69
0171,3351,16000,,"Gizarte Segurantza, enpresaren kontura",170075.0,170075.0,28986.4
0171,3351,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8145.0,8145.0,1260.35
0171,3351,22111,,Tresnak eta lanabesak,1500.0,1500.0,0.0
0171,3351,22741,,Gurasoentzako euskara eskolak,560000.0,560000.0,56374.81
0171,3351,22742,,Udal langileentzako ikastaroak,8500.0,8500.0,0.0
0171,3351,22780,,Euskara plana,200000.0,200000.0,13919.84
0171,3351,22781,,Gasteiz euskararen hiria,50000.0,50000.0,0.0
0171,3351,22799,,"Kanpoko itzulpenak, euskera",10000.0,10000.0,0.0
0171,3351,41803,,Hitzarmena: Euskaltzaindia,63000.0,63000.0,0.0
0171,3351,42302,,Hitzarmena: merkataritza-ganbera,10500.0,10500.0,0.0
0171,3351,48001,,"Euskara ikasteko laguntzak, herritarrentzat",150000.0,150000.0,0.0
0171,3351,48002,,Langileentzako ikasketa beka eta poltsak,30000.0,30000.0,0.0
0171,3351,48005,,Euskararen Plan Nagusiko dirulaguntzak,120000.0,120000.0,0.0
0171,3351,48044,,Hitzarmena GEUrekin,77175.0,77175.0,0.0
0171,3351,48048,,Hitzarmena Tinko elkartearekin,10500.0,10500.0,0.0
0171,3351,48049,,Hitzarmena Euskharan elkartearekin,25000.0,25000.0,0.0
0171,3351,48065,,Hitzarmena: Euskaraldia,50000.0,50000.0,0.0
0171,3351,48101,,Hitzarmena: Araba Euskaraz,20000.0,20000.0,0.0
0171,3351,48103,,Hitzarmena: Lazarraga - Izaskun arrue kulturgunea,350000.0,350000.0,0.0
0171,3351,48997,,Hitzarmena: Bai Euskarari,23100.0,23100.0,0.0
0171,3351,62501,,Euskararen etxea,190000.0,190000.0,0.0
0171,3351,62800,,Argitalpenak eta liburuak erostea,1000.0,1000.0,0.0
0180,9271,12000,,Funtzionarioen oinarrizko ordainsariak,165129.19,165129.19,19904.35
0180,9271,12100,,Funtzionarioen ordainsari osagarriak,207562.0,207562.0,33806.2
0180,9271,14100,,Bestelako langileak,27019.0,27019.0,5185.76
0180,9271,16000,,"Gizarte Segurantza, enpresaren kontura",125958.0,125958.0,20559.88
0180,9271,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8007.0,8007.0,1143.74
0180,9271,22603,,Argitalpenak eta publizitatea,600000.0,600000.0,64209.0
0180,9271,22612,,Eguneko prentsa erostea,25000.0,25000.0,0.0
0180,9271,22616,,Prentsa-zerbitzuak,30000.0,30000.0,2788.79
0180,9271,22628,,Ikus-entzunezko komunikazioa,20000.0,20000.0,0.0
0180,9271,22631,,Erakundeetako parte-hartzea,28000.0,28000.0,14281.73
0180,9271,22632,,Harpidetzak,500.0,500.0,0.0
0180,9271,22634,,Ekitaldiak antolatzea eta ordezkaritza-gastuak,100400.0,100400.0,15354.26
0180,9271,22645,,Legez argitaratu beharreko iragarki ofizialak,210000.0,210000.0,0.0
0180,9271,22730,,Argitalpen funtsak gordetzeko zerbitzua,7000.0,7000.0,194.58
0180,9271,22732,,Zerbitzuak emateko kontratuak,30000.0,30000.0,748.18
0180,9271,22799,,Itzulpen-zerbitzuak,30000.0,30000.0,9977.61
0180,3293,41902,,Hitzarmena: UPV-Nazioarteko zuzenbideari buruzko ikastaroak,30000.0,30000.0,0.0
0180,9271,62505,,Bestelako tresnak,6000.0,6000.0,0.0
0181,2327,12000,,Funtzionarioen oinarrizko ordainsariak,68173.27,68173.27,8279.44
0181,2327,12100,,Funtzionarioen ordainsari osagarriak,89273.0,89273.0,13878.01
0181,2327,14100,,Bestelako langileak,41972.0,41972.0,6580.32
0181,2327,16000,,"Gizarte Segurantza, enpresaren kontura",58710.0,58710.0,9624.76
0181,2327,16500,,"Elkarkidetzako kuotak, Udalaren kontura",2133.0,2133.0,96.95
0181,2361,22604,,Zurrumurruen kontrako estrategia,42500.0,42500.0,4811.75
0181,2361,22608,,Informazio- eta prestakuntza-programa,30000.0,30000.0,596.96
0181,2361,22610,,Hiri Hezitzailea,18000.0,18000.0,0.0
0181,2361,22613,,Itzulpena eta interpretazioa,44600.0,44600.0,2338.45
0181,2361,22642,,Bizikidetza eta Aniztasun Plana,120000.0,120000.0,0.0
0181,2361,41910,,Zurrumurruen kontrako euskal sarea,5000.0,5000.0,0.0
0181,2361,48128,,Hitzarmena: Arabako gorrak,22000.0,22000.0,0.0
0181,2361,48901,,Dirulaguntza deialdi orokorra,60000.0,60000.0,0.0
0181,2361,48970,,Hitzarmena: Eginaren Eginez elkartea,30000.0,30000.0,0.0
0181,2361,48983,,Hitzarmena: Goian,114000.0,114000.0,0.0
0181,2361,48986,,Martxoaren 3aren memorialaren fundazioa,25000.0,25000.0,0.0
0209,1701,12000,,Funtzionarioen oinarrizko ordainsariak,33134.97,33134.97,0.0
0209,1701,12100,,Funtzionarioen ordainsari osagarriak,60888.0,60888.0,0.0
0209,1701,16000,,"Gizarte Segurantza, enpresaren kontura",15267.0,15267.0,0.0
0209,1701,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1662.0,1662.0,0.0
0210,1502,11000,,Kabineteko behin-behineko langileen ordainsariak,61178.97,61178.97,224.08
0210,1502,12000,,Funtzionarioen oinarrizko ordainsariak,27842.0,27842.0,7447.86
0210,1502,12100,,Funtzionarioen ordainsari osagarriak,46711.0,46711.0,19151.45
0210,1502,16000,,"Gizarte Segurantza, enpresaren kontura",20647.0,20647.0,4815.22
0210,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1306.0,1306.0,474.92
0210,1502,22004,,Kartografia eta proiektuak editatu eta erreproduzitzea,2000.0,2000.0,0.0
0210,1502,22111,,Tresnak,1000.0,1000.0,0.0
0210,1502,22205,,"Bilerak, hitzaldiak eta biltzarrak",18000.0,18000.0,0.0
0210,1502,22707,,Laguntza teknikoak,4000.0,4000.0,0.0
0210,1502,23901,,Kalte-ordainak desjabetzeetako epaimahaiei,1000.0,1000.0,0.0
0211,1511,12000,,Funtzionarioen oinarrizko ordainsariak,332832.27,332832.27,39614.09
0211,1511,12100,,Funtzionarioen ordainsari osagarriak,442991.0,442991.0,74765.11
0211,1511,14100,,Bestelako langileak,105586.0,105586.0,22158.03
0211,1511,16000,,"Gizarte Segurantza, enpresaren kontura",262571.0,262571.0,45331.01
0211,1511,16500,,"Elkarkidetzako kuotak, Udalaren kontura",18181.0,18181.0,2596.92
0211,1511,60001,,Lurzoru desjabetzeak eta erosketak,150000.0,150000.0,0.0
0211,1511,60926,,Apezpikutzarekiko hitzarmenak erregulatzea. Katedraleko aparkalekua,100000.0,100000.0,0.0
0211,1511,61405,,Hiriko katalogoaren berrikuspena,37500.0,37500.0,0.0
0211,1511,64202,,Eguneratze kartografikoak,5000.0,5000.0,0.0
0211,1511,64203,,Ordainsariak,10000.0,8635.12,0.0
0211,1511,64206,,HAPO berrikustea,96000.0,96000.0,0.0
0211,1511,64208,,Hirigune historikoko plan bereziaren berrikuspena,137500.0,137500.0,0.0
0211,1511,64212,,Urbanizazio kuoten aurreikuspena,81000.0,81000.0,2643.85
0211,1511,64334,,Notarioen ordainsaria. Jabetzak erregulatzeko erregistroa.,21000.0,21000.0,600.0
0213,1512,12000,,Funtzionarioen oinarrizko ordainsariak,184123.98,184123.98,69742.29
0213,1512,12100,,Funtzionarioen ordainsari osagarriak,239242.0,239242.0,129756.02
0213,1512,14100,,Bestelako langileak,96695.0,96695.0,49457.46
0213,1512,16000,,"Gizarte Segurantza, enpresaren kontura",146584.0,146584.0,80097.03
0213,1512,16500,,"Elkarkidetzako kuotak, Udalaren kontura",10298.0,10298.0,3614.74
0213,1512,22620,,Lan subsidiarioak eta eskoratzeak,20000.0,20000.0,0.0
0213,1512,22747,,Eraikinen ikuskaritza teknikoa. Erdi Aroko eraikinetako esku hartzeak.,40000.0,40000.0,0.0
0213,1512,78901,,Zuntz optikoa alde zaharrera iristea,150000.0,150000.0,0.0
0214,9211,12000,,Funtzionarioen oinarrizko ordainsariak,224995.33,224995.33,24659.7
0214,9211,12100,,Funtzionarioen ordainsari osagarriak,281103.0,281103.0,41006.21
0214,9211,14100,,Beste langileak,0.0,0.0,70.13
0214,9211,16000,,"Gizarte Segurantza, enpresaren kontura",146553.0,146553.0,21415.25
0214,9211,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8206.0,8206.0,978.26
0214,9210,60205,,EU Maturana-Berastegi jauregia birgaitzea,500000.0,500000.0,0.0
0214,9211,60507,,Aramangelu - abetxuko,1.0,1.0,0.0
0214,1515,62213,,PIIE- Eguneko arreta zentroa Zaramagan,1900172.88,1900172.88,0.0
0214,9211,62215,,Udal ondareko inbertsioak,100000.0,100000.0,0.0
0214,9211,62226,,Udal etxebizitzak birgaitzea,100000.0,100000.0,0.0
0214,9212,62290,,Principal antzokia eraberritzea,5850000.0,5850000.0,0.0
0214,9211,62297,,Udal eraikinak birgaitzea - EBren 2012/2017 Zuzentaraua,200000.0,200000.0,0.0
0214,1502,62630,,Software-lizentziak,1000.0,1000.0,0.0
0214,1502,62901,,Tresneria erostea,1000.0,1000.0,0.0
0214,1502,64201,,Azterlanak eta proiektuak,10000.0,10000.0,0.0
0215,9211,72229,,Etxebizitzen udal parkea birgaitzea. E21-Udala,850000.0,850000.0,0.0
0216,1502,12000,,Funtzionarioen oinarrizko ordainsariak,245132.69,245132.69,26906.16
0216,1502,12100,,Funtzionarioen ordainsari osagarriak,316730.0,316730.0,54562.96
0216,1502,14100,,Bestelako langileak,35930.0,35930.0,5255.32
0216,1502,16000,,"Gizarte Segurantza, enpresaren kontura",166627.0,166627.0,26543.31
0216,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",6913.0,6913.0,873.86
0224,1514,12000,,Funtzionarioen oinarrizko ordainsariak,372440.13,372440.13,0.0
0224,1514,12100,,Funtzionarioen ordainsari osagarriak,491743.0,491743.0,0.0
0224,1514,14100,,Bestelako langileak,180042.0,180042.0,0.0
0224,1514,16000,,"Gizarte Segurantza, enpresaren kontura",320720.0,320720.0,0.0
0224,1514,16500,,"Elkarkidetzako kuotak, Udalaren kontura",17805.0,17805.0,0.0
0320,1301,11000,,Kabineteko behin-behineko langileen ordainsariak,35682.0,35682.0,13431.31
0320,1301,12000,,Funtzionarioen oinarrizko ordainsariak,48902.38,48902.38,3313.51
0320,1301,12100,,Funtzionarioen ordainsari osagarriak,67320.0,67320.0,5020.67
0320,1301,14100,,Bestelako langileak,0.0,0.0,6483.16
0320,1301,16000,,"Gizarte Segurantza, enpresaren kontura",34280.0,34280.0,7763.91
0320,1301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1662.0,1662.0,237.46
0330,1301,12000,,Funtzionarioen oinarrizko ordainsariak,413631.63,413631.63,54188.74
0330,1301,12100,,Funtzionarioen ordainsari osagarriak,560970.0,560970.0,103757.02
0330,1301,14100,,Bestelako langileak,73339.0,73339.0,14797.04
0330,1301,16000,,"Gizarte Segurantza, enpresaren kontura",324547.0,324547.0,59868.26
0330,1301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",17184.0,17184.0,2600.22
0340,1361,12000,,Funtzionarioen oinarrizko ordainsariak,1856953.91,1856953.91,201359.87
0340,1361,12100,,Funtzionarioen ordainsari osagarriak,3693330.0,3693330.0,632368.83
0340,1361,14100,,Bestelako langileak,518280.0,518280.0,91608.08
0340,1361,16000,,"Gizarte Segurantza, enpresaren kontura",2540662.0,2540662.0,414731.47
0340,1361,16500,,"Elkarkidetzako kuotak, Udalaren kontura",73509.0,73509.0,10652.46
0340,1351,21102,,Larrialdi eta elurteetako gastuak,75000.0,75000.0,0.0
0340,1351,21300,,Ibilgailuak konpontzea,75000.0,75000.0,13128.2
0340,1361,21900,,Ekipoak berritzea eta erostea,75000.0,75000.0,2738.16
0340,1361,22105,,Jantziak eta uniformeak,150000.0,150000.0,6802.31
0340,1361,22111,,Tresna eta lanabesak ,25000.0,25000.0,0.0
0340,1361,22199,,Bestelako hornikuntzak,20000.0,20000.0,3946.1
0340,1361,22699,,Bestelako hainbat gastu,20000.0,20000.0,941.54
0340,1351,22701,,Jaietako gastu operatibo sanitarioak,18000.0,18000.0,0.0
0340,1361,62400,,Ibilgailuak,107500.0,107500.0,0.0
0340,1361,62901,,Ekipoak erostea,45000.0,45000.0,0.0
0350,1321,12000,,Funtzionarioen oinarrizko ordainsariak,6497454.53,6497454.53,743588.42
0350,1321,12100,,Funtzionarioen ordainsari osagarriak,13918974.0,13918974.0,2557266.21
0350,1321,16000,,"Gizarte Segurantza, enpresaren kontura",7831152.0,7831152.0,1367795.27
0350,1321,16500,,"Elkarkidetzako kuotak, Udalaren kontura",337474.0,337474.0,50763.16
0350,1321,20501,,TETRA irratikomunikazio sistemaren rentinga,10000.0,10000.0,713.42
0350,1321,21001,,Andre Maria Zuriaren jaietako segurtasuna,10000.0,10000.0,0.0
0350,1321,21300,,Ibilgailuak konpontzea,70000.0,70000.0,9680.56
0350,1321,21900,,Ekipoak berritzea eta erostea,190000.0,190000.0,2652.98
0350,1321,21905,,Segurtasun scannerra eta USPa onik zaintzea,7500.0,7500.0,0.0
0350,1321,22105,,Jantziak eta uniformeak,220000.0,220000.0,678.3
0350,1321,22111,,Tresna eta lanabesak ,20000.0,20000.0,3450.45
0350,1321,22122,,Drogak eta alkohola atzematea,63000.0,63000.0,0.0
0350,1321,22199,,Bestelako hornikuntzak,0.0,0.0,7105.96
0350,1321,22624,,Gaueko garabi-zerbitzua,90000.0,90000.0,0.0
0350,1321,22699,,Bestelako hainbat gastu,70000.0,70000.0,4270.41
0350,1321,62400,,Ibilgailuak,130000.0,130000.0,0.0
0350,1321,62501,,Altzariak,42000.0,42000.0,0.0
0350,1321,62901,,Ekipoak eta instalazioak erostea,20000.0,20000.0,324.99
0360,1331,12000,,Funtzionarioen oinarrizko ordainsariak,283981.33,283981.33,30392.57
0360,1331,12100,,Funtzionarioen ordainsari osagarriak,353152.0,353152.0,56212.96
0360,1331,14100,,Bestelako langileak,164812.0,164812.0,37111.28
0360,1331,16000,,"Gizarte Segurantza, enpresaren kontura",295566.0,295566.0,52960.98
0360,1331,16500,,"Elkarkidetzako kuotak, Udalaren kontura",16912.0,16912.0,2628.64
0360,1331,20200,,Aparkalekuak mantendu eta arautzea,240000.0,240000.0,1197.9
0360,1331,21005,,TAO agenteen aldagela,10000.0,10000.0,6530.76
0360,1331,21050,,Seinaleztapena onik zaintzea,125000.0,125000.0,3182.09
0360,1331,21910,,Trafikoa kontrolatzeko sistema mantentzea,1532000.0,1532000.0,0.0
0360,1331,60107,,Zirkulazioa kontrolatzeko sistema,150000.0,150000.0,0.0
0360,1331,60108,,Emisioi gutxiko eremua,60000.0,60000.0,0.0
0360,1331,60109,,Trafikoarentzako aukeren azterketa,15000.0,15000.0,0.0
0360,1331,60143,,Bide segurtasuna hiriaren zabalpenetan,95000.0,95000.0,0.0
0360,1331,61108,,Eu-Trafikoa eta udal-aparkalekuak kudeatzeko inbertsioak,0.0,0.0,0.0
0360,1331,62901,,Tresneria erostea,15000.0,15000.0,6043.47
0360,4412,77000,,Taxi elektrikoak erosteko dirulaguntza,40000.0,40000.0,0.0
0410,9319,12000,,Funtzionarioen oinarrizko ordainsariak,77031.7,77031.7,8621.53
0410,9319,12100,,Funtzionarioen ordainsari osagarriak,130216.0,130216.0,21405.81
0410,9319,13000,,Lan-kontratudun langile finkoen ordainsariak,62201.0,62201.0,8887.17
0410,9319,14100,,Bestelako langileak,0.0,0.0,7679.51
0410,9319,16000,,"Gizarte Segurantza, enpresaren kontura",66219.0,66219.0,13471.29
0410,9202,16205,,Bizi-asegurua - langileen istripuak,864000.0,864000.0,212812.44
0410,9202,16206,,Aseguru korporatiboak,6000.0,6000.0,850.23
0410,9319,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3020.0,3020.0,193.9
0410,9207,20100,,Lokal eta eraikinak alokatzea,4000000.0,4000000.0,685613.56
0410,9205,20301,,Ibilgailuen rentinga,380000.0,380000.0,39002.02
0410,9205,21300,,Ibilgailuak konpontzea,220000.0,220000.0,20254.55
0410,9206,21400,,Altzariak konpontzea,2000.0,2000.0,0.0
0410,9206,21500,,Ekipoak mantentzeko kontratuak,175000.0,175000.0,4155.88
0410,9206,22001,,"Ohikoa, inbentariatu ezina",211750.0,211750.0,33064.83
0410,9213,22102,,Ur-hornidura eta hondar-urak araztea,1500000.0,1500000.0,0.0
0410,9213,22103,,Ur hornikuntza zatikatzea - AMVISArekin hitzarmena,680000.0,680000.0,0.0
0410,9205,22104,,Erregaiak,390000.0,390000.0,27812.31
0410,9207,22110,,Kopiagintza-gastuak,35000.0,115179.02,1613.4
0410,9206,22122,,Kopiagintzako renting kontratuak,105179.02,105179.02,0.0
0410,9331,22401,,Udal eraikin eta lokalen aseguruak,535000.0,535000.0,88600.59
0410,9207,22402,,Erantzukizun zibileko aseguruak,345000.0,345000.0,70516.61
0410,9205,22404,,Ibilgailuen aseguruak,110957.81,110957.81,0.0
0410,9207,22407,,Bizitza- eta istripu-asegurua,40000.0,40000.0,15371.11
0410,9311,22499,,Ondarearen gaineko erantzukizunarengatiko kalte-ordaina,100000.0,100000.0,42971.64
0410,1621,22502,,7/2022 Legearen zabortegi-hondakinen gaineko zerga,100000.0,100000.0,21578.92
0410,9207,22600,,Ondasunen erregistro-gastuak,10000.0,10000.0,486.17
0410,1722,22601,,Biosferaren erreserbak Gasteiz eta Araba Erdialdea,50000.0,50000.0,0.0
0410,9331,22601,,Auzo-komunitateetako gastuak,400000.0,400000.0,168234.17
0410,9331,22631,,AIREF tasa,6838.52,6838.52,6838.52
0410,2381,22675,,Udal-Aurrkontua genero-ikuspegiarekin egiteko laguntza teknikoa,20000.0,20000.0,0.0
0410,9207,22732,,Zerbitzuak emateko kontratuak,68200.0,68200.0,163.71
0410,9207,22733,,Helburu estrategikoekin lerrokatutako aurrekontuen laguntza teknikoa,18150.0,18150.0,0.0
0410,9331,22760,,Erloju publikoak mantentzea,20500.0,20500.0,1708.33
0410,9321,22776,,Isunen Ataleko zerbitzuak,148799.75,148799.75,12399.98
0410,0111,33201,,Epe luzeko maileguen interesak,2239652.36,2239652.36,103430.42
0410,9341,36100,,"Interesak, zor ez ziren sarrerak itzultzean",30000.0,30000.0,219298.2
0410,9341,36101,,Diru-sarrerei loturiko finantza-gastuak,50000.0,50000.0,2632.09
0410,9341,36102,,Berandutze interesak,60000.0,60000.0,0.0
0410,9341,36900,,Bestelako finantza-gastuak,60651.0,60651.0,9527.9
0410,9271,41800,,EUDELi,318937.55,318937.55,0.0
0410,1722,43102,,Ingurugiro Gaietarako Ikastegiari,2900000.0,2900000.0,2900000.0
0410,4411,43300,,"Ekarpena, TUVISAri",18296551.33,18296551.33,9000000.0
0410,4411,43301,,"Ekarpena, TUVISAri garraioaren konpentsazioa. Udala",2110346.01,2110346.01,0.0
0410,4411,43302,,"Ekarpena, TUVISAri garraioaren konpentsazioa. Administrazio Orokorra",703448.67,703448.67,0.0
0410,4411,43303,,"Ekarpena, TUVISAri garraioaren konpentsazioa. Eusko Jaurlaritza",703448.67,703448.67,0.0
0410,9211,62298,,"Inbertsioak, San Martin",15000.0,15000.0,2117.5
0410,9211,62299,,Segurtasuneko san martin inbertsioak cpd,25000.0,25000.0,0.0
0410,9206,62318,,Erreprografiako inbertsioak,30000.0,-50179.02,0.0
0410,9205,62400,,Ibilgailuak,100000.0,100000.0,10899.99
0410,9206,62501,,Altzariak,15000.0,15000.0,12903.15
0410,9206,62505,,Udal sailetako hainbat erosketa,12000.0,12000.0,0.0
0410,9204,62629,,"Sistema informatikoa, udal inbentarioa",20000.0,20000.0,0.0
0410,9207,62900,,Ezbeharrengatiko berritzeak,1.0,1.0,0.0
0410,9331,64900,,Industria jabegoa,1000.0,1000.0,0.0
0410,1513,73102,,Ingurugiro Gaietarako Ikastegiari,150000.0,150000.0,0.0
0410,4411,73300,,TUVISAri,886000.0,886000.0,0.0
0410,4411,73309,,TUVISAri autobusak erosteko,4000000.0,4000000.0,0.0
0410,1513,73310,,21. Zabalguneari ,1550000.0,1550000.0,0.0
0410,1515,73312,,Piie - 21 zabalguneari zaramaga zaharberritzeko laguntzak,1500000.0,1500000.0,521570.52
0410,1515,73313,,PIIE- 21  Zabalgunea. Bizitegi erakinen digitalizazioa eta monitorizazioa Zaramagan,559765.37,559765.37,0.0
0410,1515,73314,,PIIE- 21 Zabalgunea. Komunitate energetikoak,162312.5,162312.5,0.0
0410,0111,93300,,Epe luzeko maileguen amortizazioa,12930475.07,12930475.07,1000590.13
0411,9321,12000,,Funtzionarioen oinarrizko ordainsariak,54312.76,54312.76,6471.0
0411,9321,12100,,Funtzionarioen ordainsari osagarriak,80411.0,80411.0,12486.84
0411,9321,14100,,Bestelako langileak,52092.0,52092.0,7357.12
0411,9321,16000,,"Gizarte Segurantza, enpresaren kontura",49325.0,49325.0,7964.5
0411,9321,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3325.0,3325.0,474.92
