#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2022ko Hasierako kreditua,2022ko Behin-betiko kreditua,Behartua
0116,2371,62800,,"Argitalpenak eta liburuak erostea, Gazteen Argibideetarako Bulegorako",500.0,500.0,0.0
0125,9124,12000,,Funtzionarioen oinarrizko ordainsariak,117368.0,117368.0,21439.84
0125,9124,12100,,Funtzionarioen ordainsari osagarriak,192325.0,192325.0,47116.62
0125,9124,14100,,Bestelako langileak,85565.0,85565.0,20063.47
0125,9124,16000,,"Gizarte Segurantza, enpresaren kontura",98847.0,98847.0,24865.2
0125,9124,16500,,"Elkarkidetzako kuotak, Udalaren kontura",5970.0,5970.0,1296.81
0126,9124,12000,,Funtzionarioen oinarrizko ordainsariak,19295.0,19295.0,0.0
0126,9124,12100,,Funtzionarioen ordainsari osagarriak,26303.0,26303.0,0.0
0126,9124,16000,,"Gizarte Segurantza, enpresaren kontura",14067.0,14067.0,0.0
0130,9201,11000,,Kabineteko behin-behineko langileen ordainsariak,87446.0,87446.0,19187.63
0130,9201,12000,,Funtzionarioen oinarrizko ordainsariak,222108.0,222108.0,35885.25
0130,9201,12100,,Funtzionarioen ordainsari osagarriak,328406.0,328406.0,79576.86
0130,9201,14100,,Bestelako langileak,19451.0,19451.0,5864.54
0130,9201,16000,,"Gizarte Segurantza, enpresaren kontura",131209.0,131209.0,32590.78
0130,9201,16500,,"Elkarkidetzako kuotak, Udalaren kontura",10401.0,10401.0,2292.16
0130,9201,22610,,Kalte-ordainak,1000.0,1000.0,4984.66
0130,9201,22617,,"Ordainsariak, minutak",30000.0,30000.0,3715.43
0130,9201,62800,,Argitalpenak eta liburuak erostea,15000.0,15000.0,0.0
0145,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,245192.0,245192.0,54975.33
0145,9121,16000,,"Gizarte Segurantza, enpresaren kontura",45849.0,45849.0,11698.11
0160,2381,12000,,Funtzionarioen oinarrizko ordainsariak,108321.0,108321.0,19370.25
0160,2381,12100,,Funtzionarioen ordainsari osagarriak,122120.0,122120.0,29596.22
0160,2381,14100,,Bestelako langileak,108274.0,108274.0,24332.74
0160,2381,16000,,"Gizarte Segurantza, enpresaren kontura",93748.0,93748.0,23158.25
0160,2381,16500,,"Elkarkidetzako kuotak, Udalaren kontura",5554.0,5554.0,1298.61
0160,2381,22711,,Berdintasun Plana,65000.0,65000.0,18572.61
0160,2381,22712,,Jabetze feministarako eskola,210000.0,210000.0,34104.26
0160,2381,22713,,Indarkeria matxistaren prebentzioa eta arreta,80000.0,80000.0,1487.73
0160,2381,22714,,Sexu- eta genero-aniztasunerako agenda,40000.0,40000.0,0.0
0160,2381,48120,,Hitzarmena: LGTBI behatokia,80000.0,80000.0,0.0
0160,2381,48139,,Emakume elkarteentzako diru-laguntza deialdia,85000.0,85000.0,0.0
0160,2381,48139,R,Emakume elkarteentzako diru-laguntza deialdia,0.0,11120.81,1180.0
0160,2381,62925,,LGTBI behatokia,5000.0,5000.0,0.0
0171,3351,12000,,Funtzionarioen oinarrizko ordainsariak,180993.0,180993.0,34052.57
0171,3351,12100,,Funtzionarioen ordainsari osagarriak,199893.0,199893.0,54439.8
0171,3351,14100,,Bestelako langileak,79871.0,79871.0,11294.98
0171,3351,16000,,"Gizarte Segurantza, enpresaren kontura",139164.0,139164.0,32221.94
0171,3351,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8368.0,8368.0,1629.18
0171,3351,22111,,Bestelako tresnak ,1500.0,1500.0,0.0
0171,3351,22741,,Gurasoentzako euskara eskolak,315000.0,339000.0,72460.8
0171,3351,22742,,Udal langileentzako ikastaroak,8500.0,8500.0,0.0
0171,3351,22780,,Euskara plana,200000.0,200000.0,520.3
0171,3351,22799,,"Kanpoko itzulpenak, euskera",10000.0,10000.0,0.0
0171,3351,41803,,Hitzarmena: Euskaltzaindia,63000.0,63000.0,0.0
0171,3351,41803,R,Hitzarmena: Euskaltzaindia,0.0,12600.0,0.0
0171,3351,48001,,"Euskara ikasteko laguntzak, herritarrentzat",150000.0,150000.0,0.0
0171,3351,48002,,Langileentzako ikasketa beka eta poltsak,30000.0,30000.0,239.0
0171,3351,48003,,Euskaltegientzako dirulaguntzak,99000.0,75000.0,0.0
0171,3351,48005,,Euskararen Plan Nagusiko dirulaguntzak,120000.0,120000.0,0.0
0171,3351,48005,A,Euskararen Plan Nagusiko dirulaguntzak,0.0,457.44,457.44
0171,3351,48005,R,Euskararen Plan Nagusiko dirulaguntzak,0.0,18847.76,808.12
0171,3351,48044,,Hitzarmena GEUrekin,77175.0,77175.0,61740.0
0171,3351,48044,R,Hitzarmena GEUrekin,0.0,15435.0,0.0
0171,3351,48048,,Hitzarmena Tinko elkartearekin,10500.0,10500.0,0.0
0171,3351,48048,R,Hitzarmena Tinko elkartearekin,0.0,2100.0,0.0
0171,3351,48049,,Hitzarmena Euskharan elkartearekin,25000.0,25000.0,0.0
0171,3351,48049,R,Hitzarmena Euskharan elkartearekin,0.0,3600.0,0.0
0171,3351,48064,,Hitzarmena: Korrika,4000.0,4000.0,3200.0
0171,3351,48065,,Hitzarmena: Euskaraldia,50000.0,50000.0,0.0
0171,3351,48065,R,Hitzarmena: Euskaraldia,0.0,10000.0,0.0
0171,3351,48101,,Hitzarmena: Araba Euskaraz,25000.0,25000.0,0.0
0171,3351,48103,,Hitzarmena: Lazarraga,65000.0,65000.0,0.0
0171,3351,48104,,Hitzarmena: Eusko Ikaskuntza,5000.0,5000.0,0.0
0171,3351,48997,,Hitzarmena: Bai Euskarari,23100.0,23100.0,0.0
0171,3351,48997,R,Hitzarmena: Bai Euskarari,0.0,4620.0,0.0
0171,3351,62501,,Euskararen Etxea,300000.0,300000.0,0.0
0171,3351,62800,,Argitalpenak eta liburuak erostea,1000.0,1000.0,0.0
0180,3293,41902,,Hitzarmena EHUrekin - Nazioarteko Zuzenbideko ikastaroak,0.0,30000.0,0.0
0180,9271,12000,,Funtzionarioen oinarrizko ordainsariak,144862.0,144862.0,25143.49
0180,9271,12100,,Funtzionarioen ordainsari osagarriak,157166.0,157166.0,38457.65
0180,9271,13000,,Lan-kontratudun langile finkoen ordainsariak,41271.0,41271.0,0.0
0180,9271,14100,,Bestelako langileak,8347.0,8347.0,0.0
0180,9271,16000,,"Gizarte Segurantza, enpresaren kontura",101047.0,101047.0,19640.81
0180,9271,16500,,"Elkarkidetzako kuotak, Udalaren kontura",6063.0,6063.0,1158.25
0180,9271,22603,,Argitalpenak eta publizitatea,600000.0,600000.0,69350.06
0180,9271,22603,R,Argitalpenak eta publizitatea,0.0,101648.36,0.0
0180,9271,22612,,Eguneko prentsa erostea,25000.0,25000.0,8195.2
0180,9271,22616,,Prentsari laguntza teknikoa emateko zerbitzuak,20000.0,20000.0,7173.26
0180,9271,22616,R,Prentsari laguntza teknikoa emateko zerbitzuak,0.0,444.01,0.0
0180,9271,22628,,Ikus-entzunezko komunikazioa,10000.0,10000.0,5989.5
0180,9271,22631,,Erakundeetako parte-hartzea,28000.0,28000.0,27915.15
0180,9271,22632,,Harpidetzak,500.0,500.0,0.0
0180,9271,22634,,Ekitaldiak antolatzea eta ordezkaritza-gastuak,100400.0,100400.0,40611.64
0180,9271,22634,R,Ekitaldiak antolatzea eta ordezkaritza-gastuak,0.0,9105.25,0.0
0180,9271,22645,,Legez argitaratu beharreko iragarki ofizialak,200000.0,200000.0,0.0
0180,9271,22730,,Argitalpen funtsak gordetzeko zerbitzua,20000.0,20000.0,9292.54
0180,9271,22732,,Zerbitzuak emateko kontratuak,30000.0,30000.0,682.84
0180,9271,22732,R,Zerbitzuak emateko kontratuak,0.0,5280.05,682.84
0180,9271,22799,,Itzulpen-zerbitzuak,23000.0,23000.0,318.35
0180,9271,62505,,Bestelako tresnak,2500.0,2500.0,127.9
0180,9271,62518,,Prentsa-aretoa berritu eta eguneratzea,50000.0,50000.0,0.0
0181,2327,12000,,Funtzionarioen oinarrizko ordainsariak,56066.0,56066.0,11382.7
0181,2327,12100,,Funtzionarioen ordainsari osagarriak,69638.0,69638.0,17823.58
0181,2327,14100,,Bestelako langileak,1.0,1.0,9516.48
0181,2327,16000,,"Gizarte Segurantza, enpresaren kontura",37990.0,37990.0,13063.83
0181,2361,22604,,Zurrumurruen kontrako estrategia,42500.0,42500.0,4297.52
0181,2361,22608,,Informazio- eta prestakuntza-programa,31000.0,31000.0,5418.25
0181,2361,22610,,Hiri Hezitzailea,17500.0,17500.0,1056.0
0181,2361,22613,,Itzulpena eta interpretazioa,50000.0,50000.0,3862.95
0181,2361,22642,,Bizikidetza eta Aniztasun Plana,103054.0,103054.0,7314.01
0181,2361,41910,,Zurrumurruen kontrako euskal sarea,5000.0,5000.0,0.0
0181,2361,41910,R,Zurrumurruen kontrako euskal sarea,0.0,1000.0,0.0
0181,2361,48128,,Hitzarmena: Arabako gorrak,22000.0,22000.0,0.0
0181,2361,48128,R,Hitzarmena: Arabako gorrak,0.0,4400.0,4400.0
0181,2361,48901,,Dirulaguntza deialdi orokorra,60000.0,60000.0,0.0
0181,2361,48901,R,Dirulaguntza deialdi orokorra,0.0,11999.99,3953.37
0181,2361,48970,,Hitzarmena: Eginaren Eginez elkartea,30000.0,30000.0,0.0
0181,2361,48970,R,Hitzarmena: Eginaren Eginez elkartea,0.0,3600.0,3600.0
0181,2361,48983,,Hitzarmena: Goian,104000.0,104000.0,0.0
0181,2361,48983,R,Hitzarmena: Goian,0.0,20800.0,0.0
0181,2361,48986,,Martxoaren 3aren memorialaren fundazioa,25000.0,25000.0,0.0
0210,1502,11000,,Kabineteko behin-behineko langileen ordainsariak,46991.77,46991.77,12550.89
0210,1502,12000,,Funtzionarioen oinarrizko ordainsariak,35391.0,35391.0,8060.46
0210,1502,12100,,Funtzionarioen ordainsari osagarriak,59054.0,59054.0,16696.2
0210,1502,14100,,Bestelako langileak,61319.0,61319.0,10437.74
0210,1502,16000,,"Gizarte Segurantza, enpresaren kontura",55137.0,55137.0,14476.69
0210,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3342.0,3342.0,665.04
0210,1502,22004,,Kartografia eta proiektuak editatu eta erreproduzitzea,5000.0,5000.0,0.0
0210,1502,22111,,Tresnak,2000.0,2000.0,0.0
0210,1502,22205,,"Bilerak, hitzaldiak eta biltzarrak",5000.0,5000.0,3000.0
0210,1502,22707,,Laguntza teknikoak,4000.0,4000.0,0.0
0210,1502,23901,,Kalte-ordainak desjabetzeetako epaimahaiei,1000.0,1000.0,0.0
0211,1511,12000,,Funtzionarioen oinarrizko ordainsariak,209610.0,209610.0,45797.51
0211,1511,12100,,Funtzionarioen ordainsari osagarriak,262620.0,262620.0,81099.95
0211,1511,14100,,Bestelako langileak,73368.0,73368.0,19654.21
0211,1511,16000,,"Gizarte Segurantza, enpresaren kontura",154525.0,154525.0,45007.94
0211,1511,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8002.0,8002.0,2749.82
0211,1511,60001,,Lurzoru desjabetzeak eta erosketak,500000.0,500000.0,0.0
0211,1511,60001,R,Lurzoru desjabetzeak eta erosketak,0.0,176790.05,0.0
0211,1511,60926,,Apezpikutzarekiko hitzarmenak erregulatzea. Katedraleko aparkalekua,50000.0,50000.0,0.0
0211,1511,61405,,Hiriko katalogoaren berrikuspena,40000.0,40000.0,0.0
0211,1511,61405,R,Hiriko katalogoaren berrikuspena,0.0,18143.95,18143.95
0211,1511,64202,,Eguneratze kartografikoak,72500.0,72500.0,0.0
0211,1511,64203,,Ordainsariak,132000.0,132000.0,0.0
0211,1511,64203,R,Ordainsariak,0.0,16335.0,0.0
0211,1511,64206,,HAPO berrikustea,15000.0,15000.0,0.0
0211,1511,64206,A,HAPO berrikustea,0.0,576000.0,0.0
0211,1511,64208,,Hirigune historikoko plan bereziaren berrikuspena,200000.0,200000.0,0.0
0211,1511,64212,,Urbanizazio kuoten aurreikuspena,50000.0,50000.0,0.0
0211,1511,64334,,Notarioen ordainsaria. Jabetzak erregulatzeko erregistroa.,50000.0,50000.0,0.0
0213,1512,12000,,Funtzionarioen oinarrizko ordainsariak,288371.0,288371.0,68403.86
0213,1512,12100,,Funtzionarioen ordainsari osagarriak,325062.0,325062.0,135909.53
0213,1512,14100,,Bestelako langileak,150956.0,150956.0,63454.85
0213,1512,16000,,"Gizarte Segurantza, enpresaren kontura",200235.0,200235.0,85925.6
0213,1512,16500,,"Elkarkidetzako kuotak, Udalaren kontura",12118.0,12118.0,4119.71
0213,1512,22620,,Lan subsidiarioak eta eskoratzeak,10000.0,10000.0,0.0
0213,1512,22620,A,Lan subsidiarioak eta eskoratzeak,0.0,39627.67,0.0
0213,1512,22747,,Eraikinen ikuskaritza teknikoa. Erdi Aroko eraikinetako esku hartzeak.,40000.0,40000.0,2869.64
0214,1502,62630,,Software-lizentziak,25000.0,25000.0,0.0
0214,1502,62901,,Tresneria erostea,5000.0,5000.0,0.0
0214,1502,64201,,Azterlanak eta proiektuak,30000.0,30000.0,0.0
0214,1502,64201,R,Azterlanak eta proiektuak,0.0,17061.0,0.0
0214,1502,64516,A,Gasteiz Antzokia,0.0,636079.17,45517.51
0214,3421,62257,A,Beti Jai frontoiak,0.0,51740.38,51740.38
0214,3421,62257,R,Beti Jai frontoiak,0.0,54518.9,54518.9
0214,9211,12000,,Funtzionarioen oinarrizko ordainsariak,198509.0,198509.0,35799.79
0214,9211,12100,,Funtzionarioen ordainsari osagarriak,239071.0,239071.0,61232.44
0214,9211,14100,,Bestelako langileak,68091.0,68091.0,11903.19
0214,9211,16000,,"Gizarte Segurantza, enpresaren kontura",147780.0,147780.0,35698.27
0214,9211,16500,,"Elkarkidetzako kuotak, Udalaren kontura",9249.0,9249.0,1864.2
0214,9211,60507,,Aramangelu - Abetxuko,300000.0,300000.0,0.0
0214,9211,62201,R,Gamarrako esparruko eraikina eraberritzea,0.0,535263.2,117547.49
0214,9211,62215,,Udal ondareko inbertsioak,1000000.0,1000000.0,0.0
0214,9211,62226,,Udal etxebizitzak birgaitzea,200000.0,200000.0,0.0
0214,9211,62278,,Udal txakurtegia,1000000.0,1000000.0,0.0
0214,9211,62278,R,Udal txakurtegia,0.0,330000.0,0.0
0214,9211,62297,,Udal eraikinak birgaitzea - EBren 2012/2017 Zuzentaraua,800000.0,800000.0,0.0
0214,9211,62297,R,Udal eraikinak birgaitzea - EBren 2012/2017 Zuzentaraua,0.0,224987.4,0.0
0214,9211,64326,,Hirigunea biziberritzeko plana,250000.0,250000.0,0.0
0214,9211,64326,R,Hirigunea biziberritzeko plana,0.0,250000.0,0.0
0214,9211,64516,A,Gasteiz Antzokia,0.0,1498010.0,0.0
0214,9212,62290,,Principal antzokia eraberritzea,950000.0,950000.0,0.0
0216,1502,12000,,Funtzionarioen oinarrizko ordainsariak,332265.0,332265.0,57678.2
0216,1502,12100,,Funtzionarioen ordainsari osagarriak,399181.0,399181.0,97311.81
0216,1502,14100,,Bestelako langileak,88719.0,88719.0,16772.24
0216,1502,16000,,"Gizarte Segurantza, enpresaren kontura",238724.0,238724.0,56067.99
0216,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",11265.0,11265.0,2609.07
0218,1741,60150,,Herrietako obrak,150000.0,150000.0,0.0
0218,1741,60150,R,Herrietako obrak,0.0,88942.84,19722.31
0218,1741,60700,,Nekazaritza Eremuko paisaia hobetzea,20000.0,20000.0,2330.76
0218,1741,72000,,"AFA, lursailen arteko bideak egitea",0.0,0.0,0.0
0218,1741,73401,,Foru-planeko obren baterako finantzaketa,200000.0,200000.0,0.0
0218,1742,22700,,Garbiketarako eta hondakinen bilketa eta garraiorako kontratua,1150000.0,1150000.0,180568.56
0218,1743,21000,,Azpiegiturak eta ondasun naturalak,60000.0,60000.0,4267.36
0218,1743,21902,,"Baso-bide, landaketak eta naturguneak mantentzea",60000.0,60000.0,0.0
0218,1743,21902,R,"Baso-bide, landaketak eta naturguneak mantentzea",0.0,194.79,194.79
0218,1743,21911,,Herrietako lorategiak onik zaintzea,292661.86,292661.86,0.0
0218,1743,22111,,Tresnak,19145.0,19145.0,3130.44
0218,1743,22145,,Eremu hondatuak lehengoratzea,30000.0,30000.0,919.6
0218,1743,72000,,"AFA, lursailen arteko bideak egitea",100000.0,100000.0,0.0
0218,1749,12000,,Funtzionarioen oinarrizko ordainsariak,140878.0,140878.0,24263.09
0218,1749,12100,,Funtzionarioen ordainsari osagarriak,202396.0,202396.0,51726.54
0218,1749,13000,,Lan-kontratudun langile finkoen ordainsariak,116614.0,116614.0,26978.68
0218,1749,16000,,"Gizarte Segurantza, enpresaren kontura",135519.0,135519.0,32478.9
0218,1749,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8930.0,8930.0,1904.19
0218,1749,48112,,Hitzarmena: Kontzejuen elkartea,115000.0,115000.0,0.0
0218,1749,78919,,Dirulaguntzak: gizarte zentroak,40000.0,40000.0,0.0
0218,1749,78919,R,Dirulaguntzak: gizarte zentroak,0.0,40000.0,0.0
022201,1691,12000,,Funtzionarioen oinarrizko ordainsariak,150101.0,150101.0,21463.44
022201,1691,12100,,Funtzionarioen ordainsari osagarriak,194586.0,194586.0,40096.29
022201,1691,14100,,Bestelako langileak,43531.0,43531.0,19572.98
022201,1691,16000,,"Gizarte Segurantza, enpresaren kontura",120189.0,120189.0,30437.38
022201,1691,16500,,"Elkarkidetzako kuotak, Udalaren kontura",6456.0,6456.0,1169.64
022201,1721,60305,,Gardelegiko zabortegiko instalazioak,20000.0,20000.0,0.0
022201,1722,62916,,Zabortegiaren ingurumen kalitatea,75000.0,75000.0,0.0
022202,1623,60706,,Hondakinen plana,0.0,0.0,0.0
022202,1623,60711,,Zabortegia 481/2001 Errege Dekretura egokitzea,0.0,0.0,0.0
022202,1623,64316,,Zaraten mapa estrategikoko ekintza plana,0.0,0.0,0.0
022202,1722,12000,,Funtzionarioen oinarrizko ordainsariak,1805.0,1805.0,0.0
022202,1722,12100,,Funtzionarioen ordainsari osagarriak,3626.0,3626.0,0.0
022202,1722,16000,,"Gizarte Segurantza, enpresaren kontura",1233.0,1233.0,0.0
022202,1722,16500,,"Elkarkidetzako kuotak, Udalaren kontura",111.0,111.0,0.0
022202,1722,48196,,Hitzarmena: Gaia,0.0,0.0,0.0
022202,1722,60182,,Zuhaitz proiektua,0.0,0.0,0.0
022202,1722,60919,,Eraztun berdeko azpiegitura berdeak,0.0,0.0,0.0
022202,1722,64329,,Erdi Aroko hirigunean zarataren kontra sentsibilizatzeko plana,0.0,0.0,0.0
022202,1722,64330,,Zarata kontrolatzeko sarea,0.0,0.0,0.0
022203,1621,22700,,Garbiketarako eta hondakinen bilketa eta garraiorako kontratua,8731336.7,10162598.39,1659891.06
022203,1621,22700,R,Garbiketarako eta hondakinen bilketa eta garraiorako kontratua,0.0,50952.59,9687.04
022203,1621,22703,,Bilketa pneumatikoaren kontratua alde zaharrean,2346707.96,2346707.96,468447.42
022203,1621,22703,R,Bilketa pneumatikoaren kontratua alde zaharrean,0.0,41706.48,41706.48
022203,1621,22715,,Hondakinen gaikako bilketa,500000.0,500000.0,24709.95
022203,1621,22715,A,Hondakinen gaikako bilketa,0.0,28656.97,28656.97
022203,1621,22715,R,Hondakinen gaikako bilketa,0.0,225217.71,71289.46
022203,1621,22724,,Garbiguneak ustiatzeko kontratua,567931.32,567931.32,31449.68
022203,1622,21204,,Zabortegiko instalazioak mantentzea,10000.0,10000.0,0.0
022203,1622,22707,,Dibertsitatea kontserbatzeko azterlanak,0.0,178514.67,11839.72
022203,1622,22723,,Zabortegia ustiatzeko kontratua,1416496.09,1416496.09,105417.79
022203,1622,64304,,"Ordainsariak, azterlanak eta proiektuak",20000.0,20000.0,0.0
022203,1622,64304,R,"Ordainsariak, azterlanak eta proiektuak",0.0,17968.5,0.0
022203,1622,64318,,Dibertsitatea kontserbatzeko azterlanak,200000.0,96375.0,6545.0
022203,1623,22111,,Tresnak,5000.0,5000.0,80.01
022203,1623,22702,,Jundizko hiri hondakinen lantegia ustiatzeko kontratua,8321927.96,8321927.96,1386988.0
022203,1623,22710,,Tamaina handikoen bilketarako kontratua,1562302.7,1562302.7,260383.86
022203,1623,22710,R,Tamaina handikoen bilketarako kontratua,0.0,781151.35,0.0
022203,1623,47133,,"Hitzarmena, Vital Fundazioa, 0 plastiko",20000.0,20000.0,0.0
022203,1623,60907,,"Uraren, airearen eta lurraren kalitatea kontrolatzea",55000.0,55000.0,0.0
022203,1623,62901,,Ekipoak erostea,6000.0,6000.0,0.0
022203,1631,22700,,Kale-garbiketa,16757999.49,15326737.8,2503367.18
022203,1722,12000,,Funtzionarioen oinarrizko ordainsariak,170192.0,170192.0,29133.06
022203,1722,12100,,Funtzionarioen ordainsari osagarriak,231170.0,231170.0,56602.67
022203,1722,13000,,Lan-kontratudun langile finkoen ordainsariak,13466.0,13466.0,0.0
022203,1722,14100,,Bestelako langileak,1716.0,1716.0,9442.34
022203,1722,16000,,"Gizarte Segurantza, enpresaren kontura",129007.0,129007.0,33276.63
022203,1722,16500,,"Elkarkidetzako kuotak, Udalaren kontura",6870.0,6870.0,1656.96
022204,1711,12000,,Funtzionarioen oinarrizko ordainsariak,65541.0,65541.0,11648.4
022204,1711,12100,,Funtzionarioen ordainsari osagarriak,84123.0,84123.0,21042.33
022204,1711,13000,,Lan-kontratudun langile finkoen ordainsariak,73811.0,73811.0,17541.35
022204,1711,16000,,"Gizarte Segurantza, enpresaren kontura",64674.0,64674.0,17527.22
022204,1711,16500,,"Elkarkidetzako kuotak, Udalaren kontura",4106.0,4106.0,875.58
022204,1711,21073,,Arboretoa onik zaintzea,26250.0,26250.0,3029.99
022204,1711,21074,,Kanpoko Eraztun Berdea onik zaintzeko lanak,400000.0,400000.0,36017.55
022204,1711,21074,R,Kanpoko Eraztun Berdea onik zaintzeko lanak,0.0,25543.23,11910.4
022204,1711,22699,,Ekonomia zirkularraren estrategia,55000.0,55000.0,5266.25
022204,1711,47139,,Diru-laguntza: isolamendu akustikorako plana,150000.0,150000.0,0.0
022204,1711,60916,,Tokiko (Hiriko) 2030 Agenda ,60000.0,20000.0,0.0
022204,1711,60916,R,Tokiko (Hiriko) 2030 Agenda ,0.0,25137.75,0.0
022204,1711,60931,,EU - VG Tokiko hiri-agendaren ekintza-plana,0.0,290000.0,0.0
022204,1711,64305,,Klimaren eta energia iraunkorraren aldeko ekintza plana,70000.0,70000.0,0.0
022204,1711,64305,A,Klimaren eta energia iraunkorraren aldeko ekintza plana,0.0,19833.33,19833.33
022204,1711,64305,R,Klimaren eta energia iraunkorraren aldeko ekintza plana,0.0,74573.96,3966.66
022204,1711,64319,,Eremu elektromagnetikoak kontrolatzeko sarea,5000.0,5000.0,0.0
022204,1711,64319,R,Eremu elektromagnetikoak kontrolatzeko sarea,0.0,9026.6,9026.6
022204,1711,64321,,Energia berriztagarrien plana,125000.0,125000.0,0.0
022204,1711,64336,,Trantsizio energetikorako inbertsioak,465000.0,465000.0,0.0
022204,1711,64336,R,Trantsizio energetikorako inbertsioak,0.0,299492.35,47853.55
022301,1623,60706,,Hondakinen plana,85000.0,85000.0,0.0
022301,1623,60711,,Zabortegia 481/2001 Errege Dekretura egokitzea,800000.0,800000.0,0.0
022301,1623,60711,A,Zabortegia 481/2001 Errege Dekretura egokitzea,0.0,34978.75,0.0
022301,1623,60711,R,Zabortegia 481/2001 Errege Dekretura egokitzea,0.0,1531945.19,0.0
022301,1691,12000,,Funtzionarioen oinarrizko ordainsariak,50898.0,50898.0,9138.33
022301,1691,12100,,Funtzionarioen ordainsari osagarriak,66038.0,66038.0,17168.7
022301,1691,14100,,Bestelako langileak,87482.0,87482.0,18488.95
022301,1691,16000,,"Gizarte Segurantza, enpresaren kontura",54439.0,54439.0,13901.92
022301,1691,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3007.0,3007.0,1357.13
