#Organikoa,Funtzionala,Ekonomikoa,Azalpena,Hasierako kreditua,Behin betiko kreditua,Behartua
0182,1743,21902,"Baso-bide, landaketak eta naturguneak mantentzea",45000.0,45000.0,37048.12
0182,1743,21911,Herrietako lorategiak onik zaintzea,260000.0,260000.0,259805.23
0182,1743,22111,Tresnak eta lanabesak,12000.0,12000.0,12048.28
0182,1743,22145,Eremu hondatuak lehengoratzea,25000.0,25000.0,24969.75
0182,1749,12000,Funtzionarioen oinarrizko ordainsariak,121849.75,121849.75,130600.83
0182,1749,12100,Funtzionarioen ordainsari osagarriak,177039.0,177039.0,179875.94
0182,1749,13000,Lan-kontratudun langile finkoen ordainsariak,110300.0,110300.0,109057.6
0182,1749,14100,Bestelako langileak,666.0,666.0,2475.64
0182,1749,16000,"Gizarte Segurantza, enpresaren kontura",126653.0,126653.0,111266.83
0182,1749,16500,"Elkarkidetzako kuotak, Udalaren kontura",8895.0,8895.0,8962.72
0187,9271,11000,Kabineteko behin-behineko langileen ordainsariak,97959.65,97959.65,100966.55
0187,9271,12000,Funtzionarioen oinarrizko ordainsariak,48214.0,48214.0,40990.5
0187,9271,12100,Funtzionarioen ordainsari osagarriak,46420.0,46420.0,38092.22
0187,9271,16000,"Gizarte Segurantza, enpresaren kontura",63307.0,63307.0,47367.23
0187,9271,16500,"Elkarkidetzako kuotak, Udalaren kontura",3360.0,3360.0,2131.76
0187,9271,22603,Argitalpenak eta publizitatea,500000.0,595000.0,596934.71
0187,9271,22604,Liburu-argitalpenak,0.0,0.0,0.0
0187,9271,22612,Eguneko prentsa erostea,25000.0,25000.0,32168.36
0187,9271,22616,Prentsa-zerbitzuak,20000.0,20000.0,24220.62
0187,9271,22631,Erakundeetako parte-hartzea,28000.0,33700.0,42698.1
0187,9271,22632,Harpidetzak,5000.0,5000.0,394.77
0187,9271,22634,Ekitaldiak antolatzea eta ordezkaritza-gastuak,63500.0,123500.0,131826.87
0187,9271,22645,Legez argitaratu beharreko iragarki ofizialak,200000.0,200000.0,159831.74
0187,9271,22730,Argitalpen funtsak gordetzeko zerbitzua,15000.0,15000.0,26684.77
0210,1502,11000,Kabineteko behin-behineko langileen ordainsariak,52320.27,52320.27,5022.38
0210,1502,12000,Funtzionarioen oinarrizko ordainsariak,76588.0,76588.0,99579.58
0210,1502,12100,Funtzionarioen ordainsari osagarriak,113390.0,113390.0,147408.46
0210,1502,14100,Bestelako langileak,88375.0,88375.0,94755.75
0210,1502,16000,"Gizarte Segurantza, enpresaren kontura",100855.0,100855.0,71117.77
0210,1502,16500,"Elkarkidetzako kuotak, Udalaren kontura",5474.0,5474.0,5236.1
0210,1502,22004,Kartografia eta proiektuak editatu eta erreproduzitzea,3500.0,3500.0,920.88
0210,1502,22707,Laguntza teknikoak,4100.0,4100.0,1661.66
0210,1502,23901,Kalte-ordainak desjabetzeetako epaimahaiei,1000.0,1000.0,180.0
0211,1511,12000,Funtzionarioen oinarrizko ordainsariak,197029.61,197029.61,201458.95
0211,1511,12100,Funtzionarioen ordainsari osagarriak,243325.0,243325.0,245531.34
0211,1511,14100,Bestelako langileak,194585.0,194585.0,229554.55
0211,1511,16000,"Gizarte Segurantza, enpresaren kontura",192233.0,192233.0,183261.33
0211,1511,16500,"Elkarkidetzako kuotak, Udalaren kontura",10193.0,10193.0,8182.51
0213,1502,22730,Argitalpen funtsak gordetzeko zerbitzua,7000.0,7000.0,6534.35
0213,1512,12000,Funtzionarioen oinarrizko ordainsariak,324610.78,324610.78,300512.65
0213,1512,12100,Funtzionarioen ordainsari osagarriak,410844.0,410844.0,375371.24
0213,1512,14100,Bestelako langileak,5526.0,5526.0,101443.24
0213,1512,16000,"Gizarte Segurantza, enpresaren kontura",216304.0,216304.0,189086.92
0213,1512,16500,"Elkarkidetzako kuotak, Udalaren kontura",17588.0,17588.0,13285.65
0213,1512,22620,Lan subsidiarioak eta eskoratzeak,40000.0,40000.0,0.0
0213,1512,22621,"Betearazte subsidiarioa, Barnekale Berria, 32",0.0,56320.33,0.0
0214,9211,12000,Funtzionarioen oinarrizko ordainsariak,230703.83,230703.83,219251.54
0214,9211,12100,Funtzionarioen ordainsari osagarriak,287068.0,287068.0,250670.49
0214,9211,14100,Bestelako langileak,113021.0,113021.0,119450.47
0214,9211,16000,"Gizarte Segurantza, enpresaren kontura",195595.0,195595.0,155391.25
0214,9211,16500,"Elkarkidetzako kuotak, Udalaren kontura",10329.0,10329.0,5081.5
0216,1502,12000,Funtzionarioen oinarrizko ordainsariak,173815.13,173815.13,162600.08
0216,1502,12100,Funtzionarioen ordainsari osagarriak,227394.0,227394.0,203542.06
0216,1502,14100,Bestelako langileak,97656.0,97656.0,106641.87
0216,1502,16000,"Gizarte Segurantza, enpresaren kontura",152090.0,152090.0,121903.52
0216,1502,16500,"Elkarkidetzako kuotak, Udalaren kontura",12618.0,12618.0,8280.74
0320,1301,11000,Kabineteko behin-behineko langileen ordainsariak,77567.72,77567.72,83827.77
0320,1301,12000,Funtzionarioen oinarrizko ordainsariak,50947.0,50947.0,51323.24
0320,1301,12100,Funtzionarioen ordainsari osagarriak,50863.0,50863.0,50928.53
0320,1301,16000,"Gizarte Segurantza, enpresaren kontura",40071.0,40071.0,34449.66
0320,1301,16500,"Elkarkidetzako kuotak, Udalaren kontura",3360.0,3360.0,3367.18
0325,1331,12000,Funtzionarioen oinarrizko ordainsariak,207047.52,207047.52,169215.09
0325,1331,12100,Funtzionarioen ordainsari osagarriak,231289.0,231289.0,194724.08
0325,1331,14100,Bestelako langileak,167872.0,167872.0,272752.99
0325,1331,16000,"Gizarte Segurantza, enpresaren kontura",208427.0,208427.0,200711.7
0325,1331,16500,"Elkarkidetzako kuotak, Udalaren kontura",11491.0,11491.0,5330.97
0325,1331,20200,TAO txartelak saltzeko makinak mantentzea,250000.0,250000.0,249761.65
0325,1331,21050,Seinaleztapena onik zaintzea,150000.0,150000.0,112689.29
0325,1331,21910,Trafikoa kontrolatzeko sistema mantentzea,1220000.0,1220000.0,1181393.6
0330,1301,12000,Funtzionarioen oinarrizko ordainsariak,356150.56,356150.56,378578.78
0330,1301,12100,Funtzionarioen ordainsari osagarriak,447436.0,447436.0,468799.59
0330,1301,14100,Bestelako langileak,114265.0,114265.0,123396.99
0330,1301,16000,"Gizarte Segurantza, enpresaren kontura",286717.0,286717.0,263186.78
0330,1301,16500,"Elkarkidetzako kuotak, Udalaren kontura",18145.0,18145.0,12905.23
0340,1351,21102,Larrialdi eta elurteetako gastuak,150000.0,150000.0,83246.88
0340,1351,21104,Elurteetako jardunak,0.0,0.0,0.0
0340,1361,12000,Funtzionarioen oinarrizko ordainsariak,1638773.66,1638773.66,1721373.21
0340,1361,12100,Funtzionarioen ordainsari osagarriak,3040740.0,3040740.0,3187449.85
0340,1361,14100,Bestelako langileak,1832584.0,1832584.0,1985864.82
0340,1361,16000,"Gizarte Segurantza, enpresaren kontura",4157331.0,3028842.0,2498678.16
0340,1361,16500,"Elkarkidetzako kuotak, Udalaren kontura",100411.0,100411.0,81316.37
0340,1361,21000,Azpiegitura mantentzea,8000.0,8000.0,4996.18
0340,1361,21300,Ibilgailuak konpontzea,65000.0,65000.0,70819.87
0340,1361,21900,Ekipoak berritzea eta erostea,40000.0,70250.0,70057.3
0340,1361,22105,Jantziak eta uniformeak,75000.0,75000.0,74847.39
0340,1361,22111,Tresna eta lanabesak,20000.0,20000.0,15419.77
0340,1361,22199,Bestelako hornikuntzak,30000.0,30000.0,31052.36
0340,1361,22699,Bestelako hainbat gastu,10000.0,10000.0,14026.89
0350,1321,12000,Funtzionarioen oinarrizko ordainsariak,5874405.34,5811422.34,6189547.09
0350,1321,12100,Funtzionarioen ordainsari osagarriak,10816900.0,10662699.0,10041994.44
0350,1321,16000,"Gizarte Segurantza, enpresaren kontura",5127646.0,5060319.0,4329192.72
0350,1321,16500,"Elkarkidetzako kuotak, Udalaren kontura",259596.0,259596.0,228726.06
0350,1321,20501,TETRA irratikomunikazio sistemaren rentinga,8000.0,8000.0,8000.0
0350,1321,21000,Azpiegiturak eta ondasun naturalak,0.0,0.0,0.0
0350,1321,21300,Ibilgailuak konpontzea,75000.0,84000.0,83475.16
0350,1321,21301,Ibilgailuen konponketa osagarriak,0.0,0.0,0.0
0350,1321,21900,Ekipoak berritzea eta erostea,40000.0,46000.0,36679.73
0350,1321,21905,Segurtasun scannerra eta USPa onik zaintzea,7500.0,7500.0,5255.08
0350,1321,22105,Jantziak eta uniformeak,85000.0,76000.0,66104.12
0350,1321,22111,Tresna eta lanabesak,10000.0,4000.0,2760.37
0350,1321,22112,Osasun-material eta -jarduerak,0.0,0.0,0.0
0350,1321,22199,Bestelako hornikuntzak,15000.0,15000.0,16480.68
0350,1321,22699,Bestelako hainbat gastu,25000.0,25000.0,18333.99
0410,0111,32000,Epe laburreko zorraren interes eta komisioak,348053.0,31219.57,24468.19
0410,0111,33000,Epe luzeko zorraren interesak eta komisioak,932982.0,584025.78,570255.88
0410,0111,91005,Kredituen amortizazioa,14344111.87,14344111.87,14344111.87
0410,9205,20301,Ibilgailuen rentinga,530000.0,470000.0,373887.91
0410,9205,21300,Ibilgailuak konpontzea,150000.0,186000.0,181011.55
0410,9205,22104,Erregaiak,350000.0,270000.0,264243.96
0410,9205,22404,Ibilgailuen aseguruak,120000.0,120000.0,100230.09
0410,9206,21400,Altzariak konpontzea,4000.0,4000.0,150.04
0410,9206,21500,Ekipoak mantentzeko kontratuak,100000.0,180000.0,171052.31
0410,9206,22001,"Ohikoa, inbentariatu ezina",180000.0,180000.0,162749.19
0410,9207,20100,Lokal eta eraikinak alokatzea,4164876.82,4164876.82,4085032.43
0410,9207,22110,Kopiagintza-gastuak,50000.0,56000.0,85606.88
0410,9207,22402,Erantzukizun zibileko aseguruak,301700.0,301700.0,262341.07
0410,9207,22407,Bizitza- eta istripu-asegurua,25000.0,25000.0,32414.34
0410,9207,22600,Ondasunen erregistro-gastuak,20000.0,20000.0,19162.6
0410,9207,22639,Atezaintza-gastuak,0.0,0.0,0.0
0410,9207,22695,CEDRO lizentziak,0.0,0.0,0.0
0410,9207,22732,Zerbitzuak emateko kontratuak,90000.0,90000.0,78901.94
0410,9213,22103,Ur hornikuntza zatikatzea,0.0,0.0,0.0
0410,9311,22499,Ondarearen gaineko erantzukizunarengatiko kalte-ordaina,150000.0,150000.0,101167.33
0410,9319,12000,Funtzionarioen oinarrizko ordainsariak,30863.12,30863.12,50138.92
0410,9319,12100,Funtzionarioen ordainsari osagarriak,50772.0,50772.0,89940.02
0410,9319,16000,"Gizarte Segurantza, enpresaren kontura",21257.0,21257.0,21533.15
0410,9319,16500,"Elkarkidetzako kuotak, Udalaren kontura",2841.0,2841.0,2427.28
0410,9321,22611,Katastroa mantentzea,111225.0,111225.0,110816.64
0410,9321,22699,Bestelako hainbat gastu,0.0,0.0,0.0
0410,9321,22776,Isunen Ataleko zerbitzuak,190000.0,190000.0,185894.26
0410,9331,22401,Udal eraikin eta lokalen aseguruak,310000.0,310000.0,297815.55
0410,9331,22601,Auzo-komunitateetako gastuak,427357.97,427357.97,352230.33
0410,9331,22610,Europa aparkalekuarekin hitzartutako kalte-ordaina,411297.5,411297.5,411297.49
0410,9331,22663,Elorriagako ustiapenak bertan behera geratzea konpentsatzea,52300.0,52300.0,50892.05
0410,9331,22760,Erloju publikoak mantentzea,20100.0,20100.0,19306.1
0410,9341,36100,"Interesak, zor ez ziren sarrerak itzultzean",113965.0,113965.0,127632.68
0410,9341,36101,Diru-sarrerei loturiko finantza-gastuak,110000.0,110000.0,146005.4
0410,9341,36102,Berandutze interesak,1140070.39,10581262.47,10419523.73
0410,9341,36900,Bestelako finantza-gastuak,20000.0,20000.0,386.61
0411,9321,12000,Funtzionarioen oinarrizko ordainsariak,78830.48,78830.48,54960.79
0411,9321,12100,Funtzionarioen ordainsari osagarriak,96168.0,96168.0,65541.0
0411,9321,16000,"Gizarte Segurantza, enpresaren kontura",39436.0,39436.0,34925.88
0411,9321,16500,"Elkarkidetzako kuotak, Udalaren kontura",1850.0,1850.0,2907.2
0412,9314,12000,Funtzionarioen oinarrizko ordainsariak,31575.55,31575.55,129640.8
0412,9314,12100,Funtzionarioen ordainsari osagarriak,49766.0,49766.0,171123.43
0412,9314,16000,"Gizarte Segurantza, enpresaren kontura",13603.0,13603.0,53675.42
0412,9314,16500,"Elkarkidetzako kuotak, Udalaren kontura",1850.0,1850.0,5547.58
0414,9312,12000,Funtzionarioen oinarrizko ordainsariak,54968.24,54968.24,108469.58
0414,9312,12100,Funtzionarioen ordainsari osagarriak,80284.0,80284.0,148207.15
0414,9312,14100,Bestelako langileak,51548.0,51548.0,48062.4
0414,9312,16000,"Gizarte Segurantza, enpresaren kontura",43925.0,43925.0,63012.85
0414,9312,16500,"Elkarkidetzako kuotak, Udalaren kontura",1850.0,1850.0,1453.6
0415,9323,12000,Funtzionarioen oinarrizko ordainsariak,103914.51,103914.51,103355.82
0415,9323,12100,Funtzionarioen ordainsari osagarriak,128698.0,128698.0,129651.44
0415,9323,16000,"Gizarte Segurantza, enpresaren kontura",52270.0,52270.0,42198.4
0415,9323,16500,"Elkarkidetzako kuotak, Udalaren kontura",6065.0,6065.0,4800.84
0416,9341,12000,Funtzionarioen oinarrizko ordainsariak,96295.61,96295.61,99827.6
0416,9341,12100,Funtzionarioen ordainsari osagarriak,112898.0,112898.0,120565.28
0416,9341,16000,"Gizarte Segurantza, enpresaren kontura",62388.0,62388.0,49690.76
0416,9341,16500,"Elkarkidetzako kuotak, Udalaren kontura",3700.0,3700.0,4360.8
0417,9322,12000,Funtzionarioen oinarrizko ordainsariak,90118.8,90118.8,90784.26
0417,9322,12100,Funtzionarioen ordainsari osagarriak,132065.0,132065.0,133905.49
0417,9322,16000,"Gizarte Segurantza, enpresaren kontura",60962.0,60962.0,43067.23
0417,9322,16500,"Elkarkidetzako kuotak, Udalaren kontura",6178.0,6178.0,4854.56
0418,9319,12000,Funtzionarioen oinarrizko ordainsariak,1142398.75,1142398.75,957549.18
0418,9319,12100,Funtzionarioen ordainsari osagarriak,1411380.0,1411380.0,1112093.5
0418,9319,14100,Bestelako langileak,377760.0,377760.0,349621.64
0418,9319,16000,"Gizarte Segurantza, enpresaren kontura",913999.0,913999.0,638438.29
0418,9319,16500,"Elkarkidetzako kuotak, Udalaren kontura",66880.0,66880.0,45656.37
0421,9314,12000,Funtzionarioen oinarrizko ordainsariak,98548.99,98548.99,0.0
0421,9314,12100,Funtzionarioen ordainsari osagarriak,121109.0,121109.0,0.0
0421,9314,16000,"Gizarte Segurantza, enpresaren kontura",52436.0,52436.0,0.0
0421,9314,16500,"Elkarkidetzako kuotak, Udalaren kontura",5210.0,5210.0,0.0
0422,4413,12000,Funtzionarioen oinarrizko ordainsariak,113430.23,113430.23,107040.35
0422,4413,12100,Funtzionarioen ordainsari osagarriak,151218.0,151218.0,154921.67
0422,4413,14100,Bestelako langileak,270241.0,270241.0,349999.52
0422,4413,16000,"Gizarte Segurantza, enpresaren kontura",172445.0,172445.0,172327.17
0422,4413,21105,Autobus-geltokia onik zaindu eta mantentzea,94000.0,94000.0,52245.63
0422,4413,22101,Energia elektrikoa,174000.0,174000.0,84376.96
0422,4413,22102,Ur-hornidura eta hondar-urak araztea,19000.0,19000.0,0.0
0422,4413,22103,Gasa,30000.0,30000.0,3454.26
0422,4413,22734,Segurtasuna,50000.0,50000.0,49252.61
0422,4413,22783,Garbiketa-zerbitzuaren kontratua,120000.0,120000.0,138347.78
0810,4301,11000,Kabineteko behin-behineko langileen ordainsariak,51821.66,51821.66,2338.87
0810,4301,12000,Funtzionarioen oinarrizko ordainsariak,7442.0,7442.0,28328.6
0810,4301,12100,Funtzionarioen ordainsari osagarriak,20616.0,20616.0,49672.36
0810,4301,14100,Bestelako langileak,140175.0,140175.0,119877.41
0810,4301,16000,"Gizarte Segurantza, enpresaren kontura",85599.0,85599.0,48447.99
0810,4301,16500,"Elkarkidetzako kuotak, Udalaren kontura",1775.0,1775.0,2640.38
0817,4332,11000,Kabineteko behin-behineko langileen ordainsariak,1310.01,1310.01,0.0
0817,4332,12000,Funtzionarioen oinarrizko ordainsariak,156760.0,156760.0,74490.23
0817,4332,12100,Funtzionarioen ordainsari osagarriak,170805.0,170805.0,72342.61
0817,4332,14100,Bestelako langileak,67447.0,67447.0,13522.83
0817,4332,16000,"Gizarte Segurantza, enpresaren kontura",118538.0,118538.0,40036.43
0817,4332,16500,"Elkarkidetzako kuotak, Udalaren kontura",5285.0,5285.0,415.32
0817,4332,22605,"Bilerak, hitzaldiak eta biltzarrak",2000.0,2000.0,2699.99
0817,4332,22606,Babes kontratuak,0.0,0.0,0.0
0817,4332,22707,Azterlanak eta lan teknikoak,8000.0,8000.0,15549.73
0817,4334,85112,"CEIA, kapital-zabalkuntza",122335.36,122335.36,122335.36
0817,9241,22640,Udalerriko Gizarte Kontseilua,0.0,0.0,0.0
0819,4301,12000,Funtzionarioen oinarrizko ordainsariak,212254.51,212254.51,182367.31
0819,4301,12100,Funtzionarioen ordainsari osagarriak,243532.0,243532.0,208309.52
0819,4301,14100,Bestelako langileak,49138.0,49138.0,75868.66
0819,4301,16000,"Gizarte Segurantza, enpresaren kontura",150018.0,150018.0,119590.28
0819,4301,16500,"Elkarkidetzako kuotak, Udalaren kontura",10612.0,10612.0,6878.4
0820,4301,12000,Funtzionarioen oinarrizko ordainsariak,74727.94,74727.94,116445.0
0820,4301,12100,Funtzionarioen ordainsari osagarriak,75321.0,75321.0,119709.55
0820,4301,16000,"Gizarte Segurantza, enpresaren kontura",39629.0,39629.0,77885.56
0820,4301,16500,"Elkarkidetzako kuotak, Udalaren kontura",5550.0,5550.0,6333.54
0821,4331,12000,Funtzionarioen oinarrizko ordainsariak,67021.89,67021.89,108012.78
0821,4331,12100,Funtzionarioen ordainsari osagarriak,65751.0,65751.0,118075.4
0821,4331,14100,Bestelako langileak,120851.0,120851.0,129178.15
0821,4331,16000,"Gizarte Segurantza, enpresaren kontura",78217.0,78217.0,96255.25
0821,4331,16500,"Elkarkidetzako kuotak, Udalaren kontura",3369.0,3369.0,4153.14
0821,4331,22677,Ekintzaileentzako laguntza,50000.0,69000.0,60549.08
0821,4331,22712,Enpresa-mintegien kudeaketa,30000.0,9000.0,7467.98
0821,4331,22796,Kalitate Plana,5000.0,5000.0,4395.95
0821,4331,22797,Dinamizazio ekonomikoa,380000.0,270000.0,189794.03
0821,4333,22798,Erdi Aroko hiriguneko kudeaketa soziokulturalaren eta dinamizazio ekonomikoaren gastuak,0.0,0.0,0.0
0821,4333,22799,"Paisaia-muralak margotzeko lehiaketa, Zaramaga",30000.0,30000.0,26699.99
0822,4314,12000,Funtzionarioen oinarrizko ordainsariak,26479.45,26479.45,25514.18
0822,4314,12100,Funtzionarioen ordainsari osagarriak,29538.0,29538.0,29540.23
0822,4314,14100,Bestelako langileak,110352.0,110352.0,130363.46
0822,4314,16000,"Gizarte Segurantza, enpresaren kontura",52487.0,52487.0,67313.62
0822,4314,16500,"Elkarkidetzako kuotak, Udalaren kontura",1850.0,1850.0,1453.6
0822,4314,20200,Makineria eta instalazioak alokatzea,85000.0,94000.0,79810.5
0822,4314,22700,Eguberrietako argiztapena,70000.0,70000.0,65824.38
0822,4314,22773,Azokak,30000.0,30000.0,33698.3
0822,4314,22798,Merkataritza dinamizatzea,130000.0,78100.0,40446.68
0823,2411,12000,Funtzionarioen oinarrizko ordainsariak,344296.85,344296.85,315486.31
0823,2411,12100,Funtzionarioen ordainsari osagarriak,367300.0,367300.0,341949.55
0823,2411,13000,Lan-kontratudun langile finkoen ordainsariak,622.0,622.0,806009.61
0823,2411,14100,Bestelako langileak,411664.0,681840.36,422345.63
0823,2411,16000,"Gizarte Segurantza, enpresaren kontura",356192.0,436137.18,565015.38
0823,2411,16500,"Elkarkidetzako kuotak, Udalaren kontura",24351.0,24351.0,17879.73
