#Ekonomikoa,Diru-sarreren aplikazioaren izena,Hasierako kreditua 2019,Behin betiko kreditua 2019,DRN 2019
39601,Telefonia-enpresen sarrerak,,1000000.0,214593.5
39901,Dohaintzak,,2000.0,0.0
39902,Bestelako diru-sarrerak,,50000.0,28614.32
39903,Aurreko ekitaldietako berandutze-interesak,,4000.0,-13781.12
39906,Floridako jaiotzako dohainak,,15405.33,15708.5
39907,San Anton zozketako diru-sarrerak,,1.0,14446.1
39909,Aparkalekuetako diru-sarreretako partizipazioa,,40000.0,0.0
40000,Administrazio Orokorretik,,447897.62,45144.68
41000,Eusko Jaurlaritzatik,,12678457.05,4804721.71
42000,Arabako Foru Aldunditik,,9135254.7,7066301.66
42001,FOFEL,,172649154.35,86315217.29
42003,Hitzartu gabeko zergak,,300000.0,71748.09
43000,"Ente publikoak, udalerriaren barruan",,12000.0,0.0
48000,Familietatik,,80000.0,50000.0
49000,Europar Batasuneko erakundeetatik,,209593.59,33451.2
52500,Udalaren interesak banku eta kutxetan,,5000.0,2322.86
53200,Beste enpresa batzuetatik,,600000.77,600000.77
54001,Udalaren hiri-funtsen alokairu-errentak,,150000.0,52985.43
54002,Enpresa-mintegietako lokalak alokatzea,,100000.0,62303.71
54004,Udal eraikinetan ostalaritza-zerbitzuak ustiatzea,,0.0,22377.63
54200,Landa-lursailenak,,1.0,0.0
55000,Emakiden emaitzak,,800000.0,447600.57
55005,Hiri-altzarietako publizitatea ustiatzeko emakida,,150000.0,0.0
59002,Lur sailak erabiltzea,,40000.0,38914.96
60300,"Udalaren lurzoru-ondareko lursailak saltzea, oinarrizko proiektuetako ordainsariak barne",,1277231.3,3851068.05
61200,Eraikinak eta bestelako eraikuntzak,,1767000.0,0.0
65000,hirigintza-kuotak,,0.0,3559.63
70000,Estatutik,,1700000.0,1700000.0
71000,Eusko Jaurlaritzatik,,21239882.57,149263.77
72000,Arabako Foru Aldunditik,,9577667.42,2500000.0
73000,"Ente publikoak, udalerrian",,25000.0,37296.04
87200,"Diruzaintza-soberakina, gastu orokorretarako",,15952974.89,0.0
87201,"Diruzaintza-soberakina, atxikitako finantzaketako gastuetarako",,16128802.43,0.0
93301,Inbertsioak finantzatzeko maileguak,,10750000.0,0.0
