#Ekonomikoa,Diru-sarreren aplikazioaren izena,Hasierako kreditua 2019,Behin betiko kreditua 2019,DRN 2019
31029,Ontzi eta hondakinen gaikako bilketa,,1706000.0,541177.77
31101,Establezimenduak irekitzeko lizentziak,,300000.0,322863.9
31105,TAO,,0.0,280.78
31201,Hirigintza-lizentziak ematea,,306000.0,274618.99
32001,TAO - Ibilgailuak bide publikoetan aparkatzea,,1950000.0,1002529.1
32005,Salbatzailearen hilerriko lurzoru-lagapenak,,198900.0,37234.25
32102,Bide publikoetako kioskoak,,2550.0,2016.0
32103,"Hesiak, aldamioak, edukiontziak eta eraikuntza-materiala, bide publikoan",,0.0,400546.07
32104,Bide publikoetako mahaitxoak,,332000.0,354035.59
32105,Bide publikoetako instalazioak,,663000.0,444071.82
32107,Zangak irekitzea,,510000.0,8362.48
32109,"Hornikuntza-enpresek lurra, lurgaina eta lurpea okupatzea",,4950000.0,68735.15
32110,Zerbitzu- eta hornikuntza-enpresek lurzorua okupatzea,,0.0,2846185.33
32111,"Biltzar-jauregia, Principal antzokia, zezen-plaza eta beste erabiltzea",,153000.0,0.0
32112,Gizarte-etxeetako aretoak erabiltzea,,30600.0,167197.11
32113,Jundizko enpresa-zentroko aretoak erabiltzea,,10200.0,5927.4
32114,Adinekoentzako zentro soziokulturaletako espazioak erabiltzea,,1020.0,413.4
32201,"Ibilgailuak espaloietatik sartzea, eta bide publikoa aparkatzeko erreserbatzea",,1550000.0,1378442.13
34000,Udal sozietate anonimoek zerbitzuak ematea,,700000.0,0.0
34001,Osasun eta Kontsumo Sailaren lantegiak,,30600.0,20187.79
34002,"Haur eskolak, udaleku irekiak eta jolas txokoak",,663000.0,365925.73
34004,Etxez etxeko laguntza (3. adina),,675000.0,838454.25
34005,Egoitzetako egonaldiak (3. adina),,4490000.0,2495044.01
34006,Gizartegintzako lantegiak,,71400.0,17533.44
34007,Lanaren bidezko prestakuntza,,51000.0,17933.41
34008,Mendizorrotzeko instalazioetarako abonamendua,,6140000.0,6301795.92
34009,Aldi baterako eta denboraldiko abonamenduak (Gamarra),,165000.0,125847.0
34010,Kirol instalazioak erabiltzea (erreserba eta salmenta),,1270000.0,846833.88
34012,Udal Folklore Akademiako matrikulak,,148920.0,36514.51
34013,Kultur ikastaro eta lantegiak,,306000.0,330545.02
34014,Antzokiko leihatilak,,840000.0,526077.8
34015,Ludoteketako zerbitzuak,,6691.2,10618.1
34016,"Ikus-entzunezko materiala eta argiztapen-materiala mailegatzea, gazteei",,8160.0,6605.83
34018,Lehendakaritzako lantegiak,,290700.0,252151.05
34020,Kirol kanpainetako abonatuak,,1370000.0,1074772.34
34023,"Egonaldia, CAMAS",,40800.0,34022.32
34025,Adinekoentzako zentro soziokulturaletako bazkariak,,500000.0,270015.1
34026,Egoitzetako egonaldien likidazioa (3. adina),,62500.0,35667.28
34032,Lehendakaritzako sarrera salmenta,,0.0,5390.52
34038,Ezkontza-zerbitzua,,30000.0,17449.38
34039,Kudeaketa gastuen konpentsazioa,,1000000.0,0.0
34040,Autobus-geltoki berriko diru-sarrerak,,640000.0,463503.04
34041,Udalaren hiri-baratzeetan lursailak erabiltzea,,0.0,9852.7
34043,Bizikleta-aparkaleku seguruen kudeaketako diru-sarrerak,,0.0,4152.93
36003,UNESPA eta hitzartu gabeko konpainien kuota,,1040000.0,0.0
36100,Suteak itzaltzea - cuota UNESPA y Cías. no conveniadas,,0.0,1080386.35
38001,Reintegro por pagos,,700000.0,853158.45
38002,Iragarki-argitalpenen gastuak itzultzea,,50000.0,6075.59
38003,Aseguru-etxeek gastu eta kalte-ordainak itzultzea,,106656.25,106669.32
38004,Premiamendu-bideko kostuak itzultzea,,8000.0,2894.76
38005,Bide judizialeko kalte-ordainak itzultzea,,15000.0,0.0
38007,Laneko Arriskuen Prebentzioarako Zerbitzuaren itzulketa,,71035.0,0.0
38008,Zerbitzu-ustiapenen itzulketak,,0.0,83390.14
39101,Trafiko arau-hausteengatiko isunak,,5480000.0,3290344.44
39102,Prozedura zigortzaileetako diru-sarrerak,,805420.0,1077200.89
39103,Kontratuaen hausteengatiko isunak,,0.0,-62524.0
39104,Lokaletako higiene- eta osasungarritasun-baldintzen arloko zigorrak,,100000.0,0.0
39201,Premiamendu-gainordainak,,950000.0,681601.7
39401,Auto-istripuek bide publikoan eragindako kalteak,,100000.0,55559.67
39402,Ekintza basatiek ondasunetan eragindako kalteak,,7500.0,14449.67
39404,Betearazte subsidiarioengatiko sarrerak,,90000.0,0.0
39405,Epai kostuek sortutako sarrerak,,25000.0,3499.75
39601,Telefonia-enpresen sarrerak,,1000000.0,214593.5
39901,Dohaintzak,,2000.0,0.0
39902,Bestelako diru-sarrerak,,50000.0,111231.21
39903,Aurreko ekitaldietako berandutze-interesak,,4000.0,-13781.12
39906,Floridako jaiotzako dohainak,,15405.33,15708.5
39907,San Anton zozketako diru-sarrerak,,1.0,14446.1
39909,Aparkalekuetako diru-sarreretako partizipazioa,,40000.0,2126.5
40000,Administrazio Orokorretik,,480406.44,144396.7
41000,Eusko Jaurlaritzatik,,13783582.37,7050711.03
42000,Arabako Foru Aldunditik,,9170254.7,7830002.26
42001,FOFEL,,172649154.35,129468145.99
42003,Hitzartu gabeko zergak,,300000.0,143496.18
43000,"Ente publikoak, udalerriaren barruan",,12000.0,0.0
48000,Familietatik,,130000.0,50000.0
49000,Europar Batasuneko erakundeetatik,,209593.59,95697.51
52500,Udalaren interesak banku eta kutxetan,,5000.0,2322.86
53200,Beste enpresa batzuetatik,,600000.77,600000.77
54001,Udalaren hiri-funtsen alokairu-errentak,,150000.0,61698.33
54002,Enpresa-mintegietako lokalak alokatzea,,100000.0,93808.77
54004,Udal eraikinetan ostalaritza-zerbitzuak ustiatzea,,0.0,22377.63
54200,Landa-lursailenak,,1.0,0.0
55000,Emakiden emaitzak,,800000.0,493398.68
55005,Hiri-altzarietako publizitatea ustiatzeko emakida,,150000.0,0.0
59002,Lur sailak erabiltzea,,40000.0,38914.96
60300,"Udalaren lurzoru-ondareko lursailak saltzea, oinarrizko proiektuetako ordainsariak barne",,1277231.3,3851068.05
61200,Eraikinak eta bestelako eraikuntzak,,1767000.0,0.0
65000,hirigintza-kuotak,,0.0,4195.43
70000,Estatutik,,1700000.0,1700000.0
71000,Eusko Jaurlaritzatik,,21239882.57,290091.81
72000,Arabako Foru Aldunditik,,9577667.42,2500000.0
73000,"Ente publikoak, udalerrian",,25000.0,37296.04
87200,"Diruzaintza-soberakina, gastu orokorretarako",,15952974.89,0.0
87201,"Diruzaintza-soberakina, atxikitako finantzaketako gastuetarako",,16128802.43,0.0
93301,Inbertsioak finantzatzeko maileguak,,10750000.0,0.0
