#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2019ko Hasierako kreditua,Behin betiko kreditua,Behartua
0162,2391,12100,,Funtzionarioen ordainsari osagarriak,101123.0,101123.0,81466.18
0162,2391,14100,,Bestelako langileak,0.0,0.0,7277.45
0162,2391,16000,,"Gizarte Segurantza, enpresaren kontura",47646.0,47646.0,42421.62
0162,2391,16500,,"Elkarkidetzako kuotak, Udalaren kontura",2119.0,2119.0,1602.6
0162,2391,22696,,Euskal Fondoaren kuota,11237.4,11237.4,11237.4
0162,2391,22699,,Lankidetzako bestelako hainbat gastu,16000.0,16000.0,2768.07
0162,2391,22707,,Azterlanak eta lan teknikoak,87571.67,87571.67,3593.4
0162,2391,22707,R,Azterlanak eta lan teknikoak,0.0,9147.6,4840.0
0162,2391,22799,,Kanpoko beste zenbait lan,30000.0,30000.0,12285.98
0162,2391,48200,,Lankidetzarako diru-laguntzak,1497262.6,1497262.6,619651.22
0162,2391,48205,,Hitzarmena: Larrialdietarako Arabako Funtsa,132000.0,132000.0,132000.0
0162,2391,48206,,Hitzarmena: RASD-ren lagunen elkartea,320000.0,320000.0,308800.0
0162,2391,48207,,Hitzarmena: Euskal Fondoa,207000.0,207000.0,207000.0
0162,2391,48210,,Hitzarmena: Setem Hego Haizea,25000.0,25000.0,0.0
0162,2391,48211,,Hitzarmena: GGKEen koordinakundea,24000.0,24000.0,24000.0
0162,2391,48212,,Hitzarmena: AFINIS - oporrak bakean,16000.0,16000.0,16000.0
0162,2391,48213,,Hitzarmena: bidezko merkataritza,32000.0,32000.0,32000.0
0171,3351,12000,,Funtzionarioen oinarrizko ordainsariak,191819.0,191819.0,127199.61
0171,3351,12100,,Funtzionarioen ordainsari osagarriak,213197.0,213197.0,161371.01
0171,3351,14100,,Bestelako langileak,57665.0,57665.0,48123.39
0171,3351,16000,,"Gizarte Segurantza, enpresaren kontura",134654.0,134654.0,102247.68
0171,3351,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7039.0,7039.0,4842.2
0171,3351,22741,,Gurasoentzako euskara eskolak,500000.0,500000.0,213218.0
0171,3351,22748,,Euskararen Astea,25000.0,25000.0,155.87
0171,3351,22780,,Euskara plana,200044.8,200044.8,19513.23
0171,3351,22780,R,Euskara plana,0.0,12797.02,9567.02
0171,3351,22799,,"Kanpoko itzulpenak, euskera",15000.0,15000.0,5067.48
0171,3351,41802,,"Hitzarmena, Euskaltzaindiaren mendeurrena",25000.0,25000.0,0.0
0171,3351,41803,,Hitzarmena Euskaltzaindiarekin,63000.0,38000.0,63000.0
0171,3351,42302,,Hitzarmena: Merkataritza-ganbera,10500.0,10500.0,0.0
0171,3351,48001,,"Euskara ikasteko laguntzak, herritarrentzat",150000.0,150000.0,0.0
0171,3351,48002,,Langileentzako ikasketa beka eta poltsak,60000.0,60000.0,0.0
0171,3351,48003,,Euskaltegientzako diru-laguntzak,99000.0,99000.0,0.0
0171,3351,48005,,Euskararen Plan Nagusiko diru-laguntzak,120000.0,120000.0,0.0
0171,3351,48044,,Hitzarmena GEUrekin,77175.0,77175.0,77175.0
0171,3351,48048,,Hitzarmena Tinko elkartearekin,10500.0,10500.0,0.0
0171,3351,48049,,Hitzarmena Euskharan elkartearekin,24255.0,24255.0,24255.0
0171,3351,48064,,Hitzarmena: Korrika,3465.0,50000.0,50000.0
0171,3351,48123,,Hitzarmena: araba euskaraz,0.0,25000.0,25000.0
0171,3351,48997,,Hitzarmena: Bai euskarari,23100.0,23100.0,23100.0
0171,3351,62800,,Argitalpenak eta liburuak erostea,1000.0,1000.0,0.0
0180,9271,11000,,Kabineteko behin-behineko langileen ordainsariak,78599.0,78599.0,70603.01
0180,9271,12000,,Funtzionarioen oinarrizko ordainsariak,85404.0,85404.0,70538.86
0180,9271,12100,,Funtzionarioen ordainsari osagarriak,99744.0,99744.0,90039.54
0180,9271,14100,,Bestelako langileak,0.0,0.0,3667.61
0180,9271,16000,,"Gizarte Segurantza, enpresaren kontura",75367.0,75367.0,74198.13
0180,9271,16500,,"Elkarkidetzako kuotak, Udalaren kontura",4157.0,4157.0,4006.89
0180,9271,22603,,Publizitatea,650000.0,650000.0,322948.8
0180,9271,22603,R,Publizitatea,0.0,48566.23,48512.84
0180,9271,22612,,Eguneko prentsa erostea,25000.0,25000.0,18933.16
0180,9271,22616,,Prentsari laguntza teknikoa emateko zerbitzuak,20000.0,20000.0,15705.87
0180,9271,22631,,Erakundeetako udal parte-hartzea,28000.0,28000.0,5815.0
0180,9271,22632,,Harpidetzak,4397.43,4397.43,0.0
0180,9271,22634,,Ekitaldiak antolatzea eta ordezkaritza-gastuak,107411.27,119751.27,116674.21
0180,9271,22634,R,Ekitaldiak antolatzea eta ordezkaritza-gastuak,0.0,1739.82,0.0
0180,9271,22645,,Legez argitaratu beharreko iragarki ofizialak,180000.0,180000.0,102683.64
0180,9271,22730,,Argitalpen funtsak gordetzeko zerbitzua,20000.0,20000.0,17951.34
0180,9271,22732,,Bideo-akten zerbitzuaren kontratua,59000.0,30000.0,574.75
0180,9271,62505,,Bestelako tresnak,2502.57,2502.57,2215.51
0181,2327,12000,,Funtzionarioen oinarrizko ordainsariak,60345.0,60345.0,42137.18
0181,2327,12100,,Funtzionarioen ordainsari osagarriak,68506.0,68506.0,56290.86
0181,2327,14100,,Bestelako langileak,48456.0,48456.0,30503.81
0181,2327,16000,,"Gizarte Segurantza, enpresaren kontura",50441.0,50441.0,36627.04
0181,2327,16500,,"Elkarkidetzako kuotak, Udalaren kontura",902.0,902.0,880.4
0181,2361,22604,,Zurrumurruen kontrako estrategia,15000.0,15000.0,6261.4
0181,2361,22608,,Informazio- eta prestakuntza-programa,18000.0,18000.0,13532.05
0181,2361,22610,,Hiri Hezitzailea,23000.0,23000.0,11598.24
0181,2361,22613,,Itzulpena eta interpretazioa,20000.0,20000.0,15831.33
0181,2361,22642,,Bizikidetza eta Aniztasun Plana,200000.0,210000.0,51775.06
0181,2361,48128,,Hitzarmena: Arabako Gorren Zentroa,20000.0,20000.0,20000.0
0181,2361,48150,,"Hitzarmena, Seniors Españoles para la Cooperación Técnica (SECOT) elkartearekin",0.0,3000.0,0.0
0181,2361,48901,,Diru-laguntza deialdi orokorra,65000.0,65000.0,51999.95
0181,2361,48970,,Hitzarmena: Eginaren Eginez elkartea,27000.0,27000.0,27000.0
0181,2361,48983,,Hitzarmena: Goian,100000.0,100000.0,100000.0
0181,2361,48984,,Desagertuen familientzako laguntzak,5000.0,5000.0,0.0
0181,2361,48985,,Diru-laguntzak: memoria historikoa,15000.0,15000.0,11980.0
0182,1741,60150,,Herrietako obrak,160500.0,160500.0,0.0
0182,1741,60150,R,Herrietako obrak,0.0,143598.5,23376.1
0182,1741,60700,,Nekazaritza Eremuko paisaia,20000.0,20000.0,0.0
0182,1742,22700,,"Hondakinak jasotzea eta mantentze lanak, herrietan eta hilerrian",1400000.0,1234535.0,721549.05
0182,1743,21000,,Azpiegiturak eta ondasun naturalak,45000.0,45000.0,39145.68
0182,1743,21902,,"Baso-bide, landaketak eta naturguneak mantentzea",45000.0,45000.0,2541.59
0182,1743,21902,R,"Baso-bide, landaketak eta naturguneak mantentzea",0.0,181.11,0.0
0182,1743,21911,,Herrietako lorategiak onik zaintzea,260000.0,260000.0,178670.24
0182,1743,22111,,Tresnak,12000.0,12000.0,2066.29
0182,1743,22145,,Eremu hondatuak lehengoratzea,25000.0,25000.0,13253.74
0182,1743,72000,,"AFA, lursailen arteko bideak egitea",100000.0,100000.0,0.0
0182,1749,12000,,Funtzionarioen oinarrizko ordainsariak,132528.0,132528.0,99293.14
0182,1749,12100,,Funtzionarioen ordainsari osagarriak,197941.0,197941.0,164420.58
0182,1749,13000,,Lan-kontratudun langile finkoen ordainsariak,115043.0,115043.0,83381.75
0182,1749,14100,,Bestelako langileak,0.0,0.0,2837.08
0182,1749,16000,,"Gizarte Segurantza, enpresaren kontura",128189.0,128189.0,103049.82
0182,1749,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8874.0,8874.0,7070.59
0182,1749,48112,,Diru-laguntzak: Kontzejuen elkartea,115000.0,115000.0,115000.0
0182,1749,78919,,Diru-laguntzak: gizarte zentroak,40000.0,40000.0,0.0
0182,1749,78919,R,Diru-laguntzak: gizarte zentroak,0.0,20000.0,20000.0
0182,2411,22100,,GEPO - Nekazaritza Eremuko Zerbitzua,6715.5,6715.5,4497.56
0187,9271,22634,,Ekitaldiak antolatzea eta ordezkaritza-gastuak,688.73,688.73,110.0
0188,9251,12000,,Funtzionarioen oinarrizko ordainsariak,607633.0,607633.0,422916.1
0188,9251,12100,,Funtzionarioen ordainsari osagarriak,757837.0,757837.0,579001.92
0188,9251,14100,,Bestelako langileak,196286.0,196286.0,160454.65
0188,9251,16000,,"Gizarte Segurantza, enpresaren kontura",451056.0,451056.0,366529.02
0188,9251,16500,,"Elkarkidetzako kuotak, Udalaren kontura",26197.0,26197.0,22338.74
0188,9251,22201,,Herritarrei argibideak emateko sistema (010),610000.0,610000.0,392796.46
0188,9251,22201,R,Herritarrei argibideak emateko sistema (010),0.0,36874.72,35128.57
0188,9251,22707,,Azterlanak eta lan teknikoak,61000.0,66500.0,6775.52
0188,9251,22707,R,Azterlanak eta lan teknikoak,0.0,8015.04,8015.04
0188,9251,22747,,Banagailu elektronikok,64800.0,64800.0,0.0
0210,1502,12000,,Funtzionarioen oinarrizko ordainsariak,117256.0,117256.0,65201.91
0210,1502,12100,,Funtzionarioen ordainsari osagarriak,179218.0,179218.0,110962.44
0210,1502,14100,,Bestelako langileak,40510.0,40510.0,36781.29
0210,1502,16000,,"Gizarte Segurantza, enpresaren kontura",72614.0,72614.0,45059.83
0210,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",5905.0,5905.0,3144.41
0210,1502,22004,,Kartografia eta proiektuak editatu eta erreproduzitzea,3500.0,3500.0,503.41
0210,1502,22111,,Tresna eta lanabesak,0.0,0.0,1273.74
0210,1502,22707,,Laguntza teknikoak,4100.0,4100.0,0.0
0210,1502,22732,,Zerbitzuak emateko kontratuak,5000.0,5000.0,0.0
0210,1502,23901,,Kalte-ordainak desjabetzeetako epaimahaiei,1000.0,1000.0,360.0
0211,1511,12000,,Funtzionarioen oinarrizko ordainsariak,237004.0,237004.0,126107.49
0211,1511,12100,,Funtzionarioen ordainsari osagarriak,297403.0,297403.0,173646.02
0211,1511,14100,,Bestelako langileak,67369.0,67369.0,55987.08
0211,1511,16000,,"Gizarte Segurantza, enpresaren kontura",173732.0,173732.0,107026.36
0211,1511,16500,,"Elkarkidetzako kuotak, Udalaren kontura",9262.0,9262.0,4082.23
0211,1511,22732,R,MASTERPLAN erdialdea,0.0,86440.0,77440.0
0211,1511,60001,,Lurzoru desjabetzeak eta erosketak,240748.0,240748.0,0.0
0211,1511,64201,,"HAPO, aldakuntzak",20000.0,20000.0,0.0
0211,1511,64202,,Eguneratze kartografikoak,25498.66,25498.66,2107.8
0211,1511,64203,,Ordainsariak,20000.0,20000.0,2998.38
0211,1511,64206,,HAPO berrikustea,266000.0,266000.0,23000.0
0211,1511,64206,A,HAPO berrikustea,0.0,217000.0,217000.0
0211,1511,64206,R,HAPO berrikustea,0.0,384000.0,0.0
0211,1511,64215,,"Akordio estrajudiziala, GSDNren lurzoruak okupatzea",20000.0,20000.0,9825.31
0211,1511,64215,R,"Akordio estrajudiziala, GSDNren lurzoruak okupatzea",0.0,118689.36,118686.36
0211,1513,73301,,21 Zabalguneari - ARICHen higiezinen gastuak,42000.0,42000.0,0.0
0213,1502,22730,,Argitalpen funtsak gordetzeko zerbitzua,10000.0,10000.0,4409.16
0213,1512,12000,,Funtzionarioen oinarrizko ordainsariak,278824.0,278824.0,222200.39
0213,1512,12100,,Funtzionarioen ordainsari osagarriak,387186.0,387186.0,335835.6
0213,1512,14100,,Bestelako langileak,118404.0,118404.0,85899.24
0213,1512,16000,,"Gizarte Segurantza, enpresaren kontura",215757.0,215757.0,187389.1
0213,1512,16500,,"Elkarkidetzako kuotak, Udalaren kontura",11248.0,11248.0,8352.87
0213,1512,22620,,Lan subsidiarioak eta eskoratzeak,135314.46,135314.46,0.0
0213,1512,22620,A,Lan subsidiarioak eta eskoratzeak,0.0,9643.87,0.0
0213,1512,22747,,Eraikinen ikuskaritza teknikoa. Erdi Aroko eraikinetako esku hartzeak.,150000.0,150000.0,0.0
0214,1502,62901,,Tresneria erostea,1000.0,1000.0,0.0
0214,1502,64201,,Azterlanak eta proiektuak,30000.0,30000.0,14706.1
0214,1502,64516,,Gasteiz antzokia,800000.0,1563398.9,17545.0
0214,1502,64516,R,Gasteiz antzokia,0.0,56885.92,40388.71
0214,3421,62257,,"Astronomos, Adurtza, Abetxuko eta Beti Jai",2500000.0,1950000.0,0.0
0214,9211,12000,,Funtzionarioen oinarrizko ordainsariak,239353.0,239353.0,160841.34
0214,9211,12100,,Funtzionarioen ordainsari osagarriak,296409.0,296409.0,219973.56
0214,9211,13000,,Lan-kontratudun langile finkoen ordainsariak,50879.0,50879.0,24470.0
0214,9211,14100,,Bestelako langileak,39772.0,39772.0,18926.43
0214,9211,16000,,"Gizarte Segurantza, enpresaren kontura",169934.0,169934.0,122781.32
0214,9211,16500,,"Elkarkidetzako kuotak, Udalaren kontura",9631.0,9631.0,7224.38
0214,9211,62215,,Udal ondareko inbertsioak,15000.0,15000.0,1046.95
0214,9211,62278,,Udal txakurtegia,100000.0,100000.0,0.0
0214,9211,62297,,Udal eraikinak birgaitzea - EBren 2012/2017 Zuzentaraua,50000.0,50000.0,0.0
0214,9211,64326,,Hirigunea biziberritzeko plana,771.38,771.38,750.2
0216,1502,12000,,Funtzionarioen oinarrizko ordainsariak,162461.0,162461.0,125388.76
0216,1502,12100,,Funtzionarioen ordainsari osagarriak,199995.0,199995.0,172348.03
0216,1502,14100,,Bestelako langileak,76328.0,76328.0,20285.27
0216,1502,16000,,"Gizarte Segurantza, enpresaren kontura",113597.0,113597.0,88960.73
0216,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7851.0,7851.0,5358.04
0320,1301,11000,,Kabineteko behin-behineko langileen ordainsariak,84052.0,84052.0,60284.4
0320,1301,12000,,Funtzionarioen oinarrizko ordainsariak,50013.0,50013.0,33068.78
0320,1301,12100,,Funtzionarioen ordainsari osagarriak,53902.0,53902.0,39708.91
0320,1301,16000,,"Gizarte Segurantza, enpresaren kontura",36600.0,36600.0,30061.8
0320,1301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",4358.0,4358.0,3036.6
0325,1331,12000,,Funtzionarioen oinarrizko ordainsariak,177231.0,177231.0,149040.74
0325,1331,12100,,Funtzionarioen ordainsari osagarriak,223253.0,223253.0,207908.93
0325,1331,14100,,Bestelako langileak,203374.0,203374.0,89741.91
0325,1331,16000,,"Gizarte Segurantza, enpresaren kontura",192285.0,192285.0,154248.69
0325,1331,16500,,"Elkarkidetzako kuotak, Udalaren kontura",9602.0,9602.0,7843.29
0325,1331,20200,,Aparkalekuak mantendu eta arautzea,230000.0,235250.59,123520.11
0325,1331,21050,,Seinaleztapena onik zaintzea,150000.0,150000.0,23389.37
0325,1331,21050,R,Seinaleztapena onik zaintzea,0.0,50709.64,0.0
0325,1331,21910,,Trafikoa kontrolatzeko sistema mantentzea,1254116.38,1254116.38,714428.01
0325,1331,22105,,TAO agenteen aldagela,15000.0,15000.0,487.16
0325,1331,60107,,Zirkulazioa kontrolatzeko sistema,15000.0,15000.0,1801.69
0325,1331,62901,,Tresneria erostea,15000.0,15000.0,941.38
0330,1301,12000,,Funtzionarioen oinarrizko ordainsariak,402190.0,402190.0,251950.0
0330,1301,12100,,Funtzionarioen ordainsari osagarriak,534364.0,534364.0,368022.65
0330,1301,14100,,Bestelako langileak,4066.0,4066.0,15731.19
0330,1301,16000,,"Gizarte Segurantza, enpresaren kontura",263923.0,263923.0,191095.06
0330,1301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",10550.0,10550.0,6748.0
0340,1351,21102,,Larrialdi eta elurteetako gastuak,150000.0,150000.0,83555.4
0340,1351,21102,R,Larrialdi eta elurteetako gastuak,0.0,16000.0,16000.0
0340,1351,22701,,Jaietako gastu operatibo sanitarioak,13000.0,13000.0,12324.85
0340,1361,12000,,Funtzionarioen oinarrizko ordainsariak,1563928.0,1563928.0,995914.67
0340,1361,12100,,Funtzionarioen ordainsari osagarriak,3267054.0,3267054.0,2318259.76
0340,1361,14100,,Bestelako langileak,536774.0,536774.0,423971.53
0340,1361,16000,,"Gizarte Segurantza, enpresaren kontura",1978791.0,1978791.0,1494279.11
0340,1361,16500,,"Elkarkidetzako kuotak, Udalaren kontura",65298.0,65298.0,44378.68
0340,1361,21300,,Ibilgailuak konpontzea,65000.0,65000.0,41337.87
0340,1361,21900,,Ekipoak berritzea eta erostea,80000.0,75000.0,19466.45
0340,1361,22105,,Jantziak eta uniformeak,90000.0,90000.0,52735.78
0340,1361,22105,R,Jantziak eta uniformeak,0.0,33045.71,31239.78
0340,1361,22111,,Tresna eta lanabesak,40000.0,40000.0,17688.97
0340,1361,22199,,Bestelako hornikuntzak,30000.0,30000.0,17559.63
0340,1361,22699,,Bestelako hainbat gastu,10000.0,10000.0,10141.34
0340,1361,62400,,Ibilgailuak,140000.0,140000.0,0.0
0340,1361,62400,R,Ibilgailuak,0.0,75079.0,23206.66
0340,1361,62401,A,Altuerako ibilgailua —autoeskailera— erostea,0.0,700000.0,0.0
0340,1361,62901,,Tresneria erostea,0.0,5000.0,4908.4
0350,1321,12000,,Funtzionarioen oinarrizko ordainsariak,6276836.0,6276836.0,3866662.51
0350,1321,12100,,Funtzionarioen ordainsari osagarriak,11805035.0,11805035.0,8812922.32
0350,1321,14100,,Bestelako langileak,0.0,0.0,5091.0
0350,1321,16000,,"Gizarte Segurantza, enpresaren kontura",6399454.0,6399454.0,4623868.94
0350,1321,16500,,"Elkarkidetzako kuotak, Udalaren kontura",248260.0,248260.0,194500.31
0350,1321,20501,,TETRA irratikomunikazio sistemaren rentinga,9000.0,9000.0,4280.52
0350,1321,21001,,Andre Maria Zuriaren jaietako segurtasuna,2997.07,2997.07,1343.09
0350,1321,21300,,Ibilgailuak konpontzea,75000.0,75000.0,32818.14
0350,1321,21900,,Ekipoak berritzea eta erostea,40000.0,40000.0,19421.98
0350,1321,21905,,Segurtasun scannerra eta USPa onik zaintzea,7500.0,7500.0,2153.18
0350,1321,22105,,Jantziak eta uniformeak,155000.0,325382.0,14130.42
0350,1321,22105,R,Jantziak eta uniformeak,0.0,80052.71,43771.27
0350,1321,22111,,Tresna eta lanabesak,30000.0,30000.0,0.0
0350,1321,22199,,Bestelako hornikuntzak,15000.0,15000.0,14197.73
0350,1321,22699,,Bestelako hainbat gastu,25000.0,25000.0,11727.94
0350,1321,22707,,Bide-segurtasuneko Plana,30000.0,30000.0,0.0
0350,1321,62400,,Ibilgailuak,30000.0,30000.0,0.0
0350,1321,62400,R,Ibilgailuak,0.0,29900.7,29900.7
0350,1321,62501,,Altzariak,3000.0,3000.0,516.83
0350,1321,62901,,Tresneria eta instalazioak erostea,7000.0,7000.0,57.0
0350,1331,62904,,NARCOTEST ekipoak erostea,5000.0,5000.0,0.0
0410,0111,32201,,Epe laburreko maileguen interesak,64200.0,26063.52,5187.28
0410,0111,33201,,Epe luzeko maileguen interesak,875732.59,602162.6,278383.75
0410,0111,93300,,Epe luzeko maileguen amortizazioa,18232050.0,18232050.0,14377154.93
0410,1513,73102,,Ingurugiro Gaietarako Ikastegiari,30000.0,30000.0,0.0
0410,1513,73310,,21. Zabalguneari: urrezko auzoetako inbertsioak,360666.66,1260666.66,1260666.66
0410,1722,43102,,Ingurugiro Gaietarako Ikastegiari,2408537.08,2408537.08,1926829.68
0410,2411,20301,,GEPO - Ibilgailuen rentinga,42350.0,42350.0,0.0
0410,2411,20301,R,GEPO - Ibilgailuen rentinga,0.0,38383.63,34304.01
0410,4411,43300,,"Ekarpena, TUVISAri",13395351.05,13395351.05,10720000.0
0410,4411,47122,,"AFA eta Parke teknologikoarekiko hitzarmena, bidaiarien garraiorako",20000.0,20000.0,7836.22
0410,4411,73300,,TUVISAri,833833.33,774714.64,0.0
0410,4413,21105,,Autobus-geltokia onik zaindu eta mantentzea,85000.0,0.0,0.0
0410,4413,22101,,Energia elektrikoaren hornikuntza,150000.0,0.0,0.0
0410,9205,20301,,Ibilgailuen rentinga,400000.0,400000.0,228075.38
0410,9205,21300,,Ibilgailuak konpontzea,175000.0,175000.0,148727.88
0410,9205,22104,,Erregaiak,300000.0,300000.0,138434.95
0410,9205,22404,,Ibilgailuen aseguruak,138000.0,138000.0,48379.43
0410,9205,62400,,Ibilgailuak,140000.0,140000.0,78006.65
0410,9206,21400,,Altzariak konpontzea,4000.0,4000.0,0.0
0410,9206,21500,,Ekipoak mantentzeko kontratuak,170000.0,170000.0,72148.41
0410,9206,21500,R,Ekipoak mantentzeko kontratuak,0.0,1.0,0.0
0410,9206,22001,,"Ohikoa, inbentariatu ezina",200000.0,200000.0,95417.63
0410,9206,62501,,Altzariak,10000.0,10000.0,6624.5
0410,9206,62505,,Udal sailetako hainbat erosketa,15000.0,15000.0,2626.91
0410,9207,20100,,Lokal eta eraikinak alokatzea,3431000.0,3431000.0,2614794.37
