#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2019ko Hasierako kreditua,Behin betiko kreditua,Behartua
0116,2371,48935,,Gazteriako diru-laguntza deialdi orokorra,25000.0,25000.0,25000.0
0116,2371,48936,,Irakaskuntza Ertainetako gazte informatzaileen deialdia,10000.0,10000.0,10000.0
0116,2371,62505,,Bestelako tresnak,1000.0,1000.0,985.03
0116,2371,62800,,"Argitalpenak eta liburuak erostea, Gazteen Argibideetarako Bulegorako",1000.0,1000.0,995.55
0125,9124,12000,,Funtzionarioen oinarrizko ordainsariak,100445.0,100445.0,93268.37
0125,9124,12100,,Funtzionarioen ordainsari osagarriak,155337.0,155337.0,138283.71
0125,9124,14100,,Bestelako langileak,59200.0,59200.0,87343.47
0125,9124,16000,,"Gizarte Segurantza, enpresaren kontura",91079.0,91079.0,83349.95
0125,9124,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3730.0,3730.0,7040.5
0126,9124,12000,,Funtzionarioen oinarrizko ordainsariak,26651.0,26651.0,7360.49
0126,9124,12100,,Funtzionarioen ordainsari osagarriak,54230.0,54230.0,23775.22
0126,9124,14100,,Bestelako langileak,0.0,0.0,12468.42
0126,9124,16000,,"Gizarte Segurantza, enpresaren kontura",19350.0,19350.0,11891.71
0126,9124,16500,,"Elkarkidetzako kuotak, Udalaren kontura",2073.0,2073.0,794.42
0130,9201,11000,,Kabineteko behin-behineko langileen ordainsariak,82799.0,82799.0,83167.98
0130,9201,12000,,Funtzionarioen oinarrizko ordainsariak,186918.0,186918.0,200219.24
0130,9201,12100,,Funtzionarioen ordainsari osagarriak,291025.0,291025.0,300335.74
0130,9201,14100,,Bestelako langileak,197.0,197.0,4493.62
0130,9201,16000,,"Gizarte Segurantza, enpresaren kontura",107922.0,107922.0,112858.46
0130,9201,16500,,"Elkarkidetzako kuotak, Udalaren kontura",11207.0,11207.0,9565.74
0130,9201,22610,,Kalte-ordainak,14000.0,14000.0,0.0
0130,9201,22617,,"Ordainsariak, minutak",39620.0,69620.0,62352.65
0145,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,247425.0,247425.0,201999.23
0145,9121,16000,,"Gizarte Segurantza, enpresaren kontura",40704.0,40704.0,36646.07
0160,2381,12000,,Funtzionarioen oinarrizko ordainsariak,112137.0,112137.0,123742.21
0160,2381,12100,,Funtzionarioen ordainsari osagarriak,132720.0,132720.0,146026.27
0160,2381,14100,,Bestelako langileak,50013.0,50013.0,3058.5
0160,2381,16000,,"Gizarte Segurantza, enpresaren kontura",88276.0,88276.0,75914.13
0160,2381,16500,,"Elkarkidetzako kuotak, Udalaren kontura",4074.0,4074.0,3974.46
0160,2381,22115,,Berariazko material teknikoa,550.0,0.0,0.0
0160,2381,22711,,Berdintasun Plana,210000.0,210000.0,113221.34
0160,2381,22743,,Emakumeentzako etxe inklusiboa,31520.0,0.0,2456.75
0160,2381,22773,,Berdintasunerako ikastaroak programatzea,75000.0,75000.0,146726.42
0160,2381,22773,R,Berdintasunerako ikastaroak programatzea,0.0,3388.0,3388.0
0160,2381,22775,,"LGTBQ - 0 tolerantzia homofobia, lesbofobia eta transfobiarekin",50000.0,50000.0,35995.39
0160,2381,48118,,Emakumeen etxearen hitzarmena,0.0,90000.0,90000.0
0160,2381,48120,,LGTBI behatokirako hitzarmena,0.0,30000.0,30000.0
0160,2381,48139,,Emakume elkarteentzako diru-laguntza deialdia,50000.0,50000.0,50000.0
0160,2381,62208,,Emakumeen etxea,100000.0,100000.0,20457.49
0162,2391,12000,,Funtzionarioen oinarrizko ordainsariak,75320.0,75320.0,87493.88
0162,2391,12100,,Funtzionarioen ordainsari osagarriak,101123.0,101123.0,110072.92
0162,2391,14100,,Bestelako langileak,0.0,0.0,7277.45
0162,2391,16000,,"Gizarte Segurantza, enpresaren kontura",47646.0,47646.0,56697.56
0162,2391,16500,,"Elkarkidetzako kuotak, Udalaren kontura",2119.0,2119.0,2243.64
0162,2391,22696,,Euskal Fondoaren kuota,11237.4,11237.4,11237.4
0162,2391,22699,,Lankidetzako bestelako hainbat gastu,16000.0,6000.0,3423.52
0162,2391,22707,,Azterlanak eta lan teknikoak,87571.67,29227.64,27055.3
0162,2391,22707,R,Azterlanak eta lan teknikoak,0.0,9147.6,9147.6
0162,2391,22799,,Kanpoko beste zenbait lan,30000.0,30000.0,34748.82
0162,2391,48200,,Lankidetzarako diru-laguntzak,1497262.6,1481262.6,1481262.6
0162,2391,48205,,Hitzarmena: Larrialdietarako Arabako Funtsa,132000.0,132000.0,132000.0
0162,2391,48206,,Hitzarmena: RASD-ren lagunen elkartea,320000.0,320000.0,320000.0
0162,2391,48207,,Hitzarmena: Euskal Fondoa,207000.0,207000.0,207000.0
0162,2391,48210,,Hitzarmena: Setem Hego Haizea,25000.0,25000.0,25000.0
0162,2391,48211,,Hitzarmena: GGKEen koordinakundea,24000.0,24000.0,24000.0
0162,2391,48212,,Hitzarmena: AFINIS - oporrak bakean,16000.0,16000.0,16000.0
0162,2391,48213,,Hitzarmena: bidezko merkataritza,32000.0,32000.0,32000.0
0171,3351,12000,,Funtzionarioen oinarrizko ordainsariak,191819.0,191819.0,184843.94
0171,3351,12100,,Funtzionarioen ordainsari osagarriak,213197.0,213197.0,212408.86
0171,3351,14100,,Bestelako langileak,57665.0,57665.0,48123.39
0171,3351,16000,,"Gizarte Segurantza, enpresaren kontura",134654.0,134654.0,130169.4
0171,3351,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7039.0,7039.0,6603.0
0171,3351,22741,,Gurasoentzako euskara eskolak,500000.0,500000.0,380110.4
0171,3351,22748,,Euskararen Astea,25000.0,25000.0,15814.17
0171,3351,22780,,Euskara plana,200044.8,200044.8,163236.11
0171,3351,22780,R,Euskara plana,0.0,12797.02,12797.02
0171,3351,22799,,"Kanpoko itzulpenak, euskera",15000.0,15000.0,11087.84
0171,3351,41802,,"Hitzarmena, Euskaltzaindiaren mendeurrena",25000.0,25000.0,0.0
0171,3351,41803,,Hitzarmena Euskaltzaindiarekin,63000.0,38000.0,63000.0
0171,3351,42302,,Hitzarmena: Merkataritza-ganbera,10500.0,10500.0,5250.0
0171,3351,48001,,"Euskara ikasteko laguntzak, herritarrentzat",150000.0,150000.0,146337.17
0171,3351,48002,,Langileentzako ikasketa beka eta poltsak,60000.0,60000.0,20100.61
0171,3351,48003,,Euskaltegientzako diru-laguntzak,99000.0,99000.0,99000.0
0171,3351,48005,,Euskararen Plan Nagusiko diru-laguntzak,120000.0,120000.0,109239.66
0171,3351,48044,,Hitzarmena GEUrekin,77175.0,77175.0,77175.0
0171,3351,48048,,Hitzarmena Tinko elkartearekin,10500.0,10500.0,4000.0
0171,3351,48049,,Hitzarmena Euskharan elkartearekin,24255.0,24255.0,24255.0
0171,3351,48064,,Hitzarmena: Korrika,3465.0,50000.0,50000.0
0171,3351,48123,,Hitzarmena: araba euskaraz,0.0,25000.0,25000.0
0171,3351,48997,,Hitzarmena: Bai euskarari,23100.0,23100.0,23100.0
0171,3351,62800,,Argitalpenak eta liburuak erostea,1000.0,1000.0,262.11
0180,9271,11000,,Kabineteko behin-behineko langileen ordainsariak,78599.0,78599.0,93447.81
0180,9271,12000,,Funtzionarioen oinarrizko ordainsariak,85404.0,85404.0,104570.78
0180,9271,12100,,Funtzionarioen ordainsari osagarriak,99744.0,99744.0,121587.62
0180,9271,14100,,Bestelako langileak,0.0,0.0,3667.61
0180,9271,16000,,"Gizarte Segurantza, enpresaren kontura",75367.0,75367.0,99481.58
0180,9271,16500,,"Elkarkidetzako kuotak, Udalaren kontura",4157.0,4157.0,5652.77
0180,9271,22603,,Publizitatea,650000.0,650000.0,515902.04
0180,9271,22603,R,Publizitatea,0.0,48566.23,48512.84
0180,9271,22612,,Eguneko prentsa erostea,25000.0,25000.0,23389.58
0180,9271,22615,,“El silencio de la ciudad blanca” filmaren babesa,0.0,0.0,35800.0
0180,9271,22616,,Prentsari laguntza teknikoa emateko zerbitzuak,20000.0,20000.0,18012.56
0180,9271,22631,,Erakundeetako udal parte-hartzea,28000.0,28000.0,14830.18
0180,9271,22632,,Harpidetzak,4397.43,4397.43,0.0
0180,9271,22634,,Ekitaldiak antolatzea eta ordezkaritza-gastuak,107411.27,79751.27,136046.74
0180,9271,22634,R,Ekitaldiak antolatzea eta ordezkaritza-gastuak,0.0,1739.82,0.0
0180,9271,22645,,Legez argitaratu beharreko iragarki ofizialak,180000.0,180000.0,122479.24
0180,9271,22730,,Argitalpen funtsak gordetzeko zerbitzua,20000.0,20000.0,22444.72
0180,9271,22732,,Bideo-akten zerbitzuaren kontratua,59000.0,30000.0,14287.48
0180,9271,62505,,Bestelako tresnak,2502.57,2502.57,2215.51
0181,2327,12000,,Funtzionarioen oinarrizko ordainsariak,60345.0,60345.0,63832.48
0181,2327,12100,,Funtzionarioen ordainsari osagarriak,68506.0,68506.0,77537.89
0181,2327,14100,,Bestelako langileak,48456.0,48456.0,36868.88
0181,2327,16000,,"Gizarte Segurantza, enpresaren kontura",50441.0,50441.0,49334.03
0181,2327,16500,,"Elkarkidetzako kuotak, Udalaren kontura",902.0,902.0,1232.56
0181,2361,22604,,Zurrumurruen kontrako estrategia,15000.0,15000.0,15175.74
0181,2361,22608,,Informazio- eta prestakuntza-programa,18000.0,18000.0,18120.19
0181,2361,22610,,Hiri Hezitzailea,23000.0,23000.0,22566.48
0181,2361,22613,,Itzulpena eta interpretazioa,20000.0,20000.0,22880.33
0181,2361,22642,,Bizikidetza eta Aniztasun Plana,200000.0,210000.0,154119.67
0181,2361,48128,,Hitzarmena: Arabako Gorren Zentroa,20000.0,20000.0,20000.0
0181,2361,48150.0,,"Hitzarmena, Seniors Españoles para la Cooperación Técnica (SECOT) elkartearekin",0.0,3000.0,600.0
0181,2361,48901,,Diru-laguntza deialdi orokorra,65000.0,65000.0,64999.96
0181,2361,48970,,Hitzarmena: Eginaren Eginez elkartea,27000.0,27000.0,27000.0
0181,2361,48983,,Hitzarmena: Goian,100000.0,100000.0,100000.0
0181,2361,48984,,Desagertuen familientzako laguntzak,5000.0,5000.0,0.0
0181,2361,48985,,Diru-laguntzak: memoria historikoa,15000.0,15000.0,14975.0
0182,1741,60150,,Herrietako obrak,160500.0,160500.0,11726.91
0182,1741,60150,R,Herrietako obrak,0.0,143598.5,135533.55
0182,1741,60700,,Nekazaritza Eremuko paisaia,20000.0,20000.0,11087.84
0182,1742,22700,,"Hondakinak jasotzea eta mantentze lanak, herrietan eta hilerrian",1400000.0,1234535.0,1112678.05
0182,1743,21000,,Azpiegiturak eta ondasun naturalak,45000.0,45000.0,44532.38
0182,1743,21902,,"Baso-bide, landaketak eta naturguneak mantentzea",45000.0,45000.0,36817.68
0182,1743,21902,R,"Baso-bide, landaketak eta naturguneak mantentzea",0.0,181.11,0.0
0182,1743,21911,,Herrietako lorategiak onik zaintzea,260000.0,260000.0,268005.36
0182,1743,22111,,Tresnak,12000.0,12000.0,6640.94
0182,1743,22145,,Eremu hondatuak lehengoratzea,25000.0,25000.0,41709.99
0182,1743,72000,,"AFA, lursailen arteko bideak egitea",100000.0,100000.0,87967.96
0182,1749,12000,,Funtzionarioen oinarrizko ordainsariak,132528.0,132528.0,150423.6
0182,1749,12100,,Funtzionarioen ordainsari osagarriak,197941.0,197941.0,219787.08
0182,1749,13000,,Lan-kontratudun langile finkoen ordainsariak,115043.0,115043.0,116089.34
0182,1749,14100,,Bestelako langileak,0.0,0.0,2837.08
0182,1749,16000,,"Gizarte Segurantza, enpresaren kontura",128189.0,128189.0,137757.72
0182,1749,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8874.0,8874.0,9971.27
0182,1749,48112,,Diru-laguntzak: Kontzejuen elkartea,115000.0,115000.0,115000.0
0182,1749,78919,,Diru-laguntzak: gizarte zentroak,40000.0,40000.0,0.0
0182,1749,78919,R,Diru-laguntzak: gizarte zentroak,0.0,20000.0,20000.0
0182,2411,22100,,GEPO - Nekazaritza Eremuko Zerbitzua,6715.5,6715.5,5398.64
0187,9271,22634,,Ekitaldiak antolatzea eta ordezkaritza-gastuak,688.73,688.73,110.0
0188,9251,12000,,Funtzionarioen oinarrizko ordainsariak,607633.0,607633.0,630313.1
0188,9251,12100,,Funtzionarioen ordainsari osagarriak,757837.0,757837.0,772475.51
0188,9251,14100,,Bestelako langileak,196286.0,196286.0,218956.87
0188,9251,16000,,"Gizarte Segurantza, enpresaren kontura",451056.0,451056.0,491485.48
0188,9251,16500,,"Elkarkidetzako kuotak, Udalaren kontura",26197.0,26197.0,31333.18
0188,9251,22201,,Herritarrei argibideak emateko sistema (010),610000.0,610000.0,593410.11
0188,9251,22201,R,Herritarrei argibideak emateko sistema (010),0.0,36874.72,35128.57
0188,9251,22707,,Azterlanak eta lan teknikoak,61000.0,66500.0,9730.08
0188,9251,22707,R,Azterlanak eta lan teknikoak,0.0,8015.04,8015.04
0188,9251,22747,,Banagailu elektronikok,64800.0,64800.0,0.0
0210,1502,12000,,Funtzionarioen oinarrizko ordainsariak,117256.0,117256.0,97572.36
0210,1502,12100,,Funtzionarioen ordainsari osagarriak,179218.0,179218.0,147949.92
0210,1502,14100,,Bestelako langileak,40510.0,40510.0,51696.24
0210,1502,16000,,"Gizarte Segurantza, enpresaren kontura",72614.0,72614.0,60058.61
0210,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",5905.0,5905.0,4359.05
0210,1502,22004,,Kartografia eta proiektuak editatu eta erreproduzitzea,3500.0,3500.0,3635.97
0210,1502,22111,,Tresna eta lanabesak,0.0,0.0,1568.14
0210,1502,22707,,Laguntza teknikoak,4100.0,4100.0,0.0
0210,1502,22732,,Zerbitzuak emateko kontratuak,5000.0,5000.0,0.0
0210,1502,23901,,Kalte-ordainak desjabetzeetako epaimahaiei,1000.0,1000.0,360.0
0211,1511,12000,,Funtzionarioen oinarrizko ordainsariak,237004.0,237004.0,184014.62
0211,1511,12100,,Funtzionarioen ordainsari osagarriak,297403.0,297403.0,229091.98
0211,1511,14100,,Bestelako langileak,67369.0,67369.0,74437.66
0211,1511,16000,,"Gizarte Segurantza, enpresaren kontura",173732.0,173732.0,143518.42
0211,1511,16500,,"Elkarkidetzako kuotak, Udalaren kontura",9262.0,9262.0,6016.99
0211,1511,22732,R,MASTERPLAN erdialdea,0.0,86440.0,86440.0
0211,1511,60001,,Lurzoru desjabetzeak eta erosketak,240748.0,240748.0,0.0
0211,1511,64201,,"HAPO, aldakuntzak",20000.0,20000.0,0.0
0211,1511,64202,,Eguneratze kartografikoak,25498.66,37498.66,3184.7
0211,1511,64203,,Ordainsariak,20000.0,20000.0,8951.58
0211,1511,64206,,HAPO berrikustea,266000.0,279320.0,32165.04
0211,1511,64206,A,HAPO berrikustea,0.0,217000.0,217000.0
0211,1511,64206,R,HAPO berrikustea,0.0,384000.0,0.0
0211,1511,64215,,"Akordio estrajudiziala, GSDNren lurzoruak okupatzea",20000.0,20000.0,14158.25
0211,1511,64215,R,"Akordio estrajudiziala, GSDNren lurzoruak okupatzea",0.0,118689.36,118686.36
0211,1513,73301,,21 Zabalguneari - ARICHen higiezinen gastuak,42000.0,30000.0,0.0
0213,1502,22730,,Argitalpen funtsak gordetzeko zerbitzua,10000.0,10000.0,6587.2
0213,1512,12000,,Funtzionarioen oinarrizko ordainsariak,278824.0,278824.0,331468.4
0213,1512,12100,,Funtzionarioen ordainsari osagarriak,387186.0,387186.0,451917.91
0213,1512,14100,,Bestelako langileak,118404.0,118404.0,121774.02
0213,1512,16000,,"Gizarte Segurantza, enpresaren kontura",215757.0,215757.0,252858.15
0213,1512,16500,,"Elkarkidetzako kuotak, Udalaren kontura",11248.0,11248.0,11490.63
0213,1512,22620,,Lan subsidiarioak eta eskoratzeak,135314.46,135314.46,29749.15
0213,1512,22620,A,Lan subsidiarioak eta eskoratzeak,0.0,9643.87,0.0
0213,1512,22747,,Eraikinen ikuskaritza teknikoa. Erdi Aroko eraikinetako esku hartzeak.,150000.0,100000.0,0.0
0214,1502,62901,,Tresneria erostea,1000.0,1000.0,0.0
0214,1502,64201,,Azterlanak eta proiektuak,30000.0,30000.0,14996.5
0214,1502,64516,,Gasteiz antzokia,800000.0,1563398.9,17545.0
0214,1502,64516,R,Gasteiz antzokia,0.0,56885.92,40388.71
0214,3421,62257,,"Astronomos, Adurtza, Abetxuko eta Beti Jai",2500000.0,1900000.0,413711.81
0214,9211,12000,,Funtzionarioen oinarrizko ordainsariak,239353.0,239353.0,240282.4
0214,9211,12100,,Funtzionarioen ordainsari osagarriak,296409.0,296409.0,295928.2
0214,9211,13000,,Lan-kontratudun langile finkoen ordainsariak,50879.0,50879.0,24470.0
0214,9211,14100,,Bestelako langileak,39772.0,39772.0,33215.65
0214,9211,16000,,"Gizarte Segurantza, enpresaren kontura",169934.0,169934.0,164274.93
0214,9211,16500,,"Elkarkidetzako kuotak, Udalaren kontura",9631.0,9631.0,10219.78
0214,9211,62215,,Udal ondareko inbertsioak,15000.0,15000.0,13001.44
0214,9211,62278,,Udal txakurtegia,100000.0,100000.0,0.0
0214,9211,62297,,Udal eraikinak birgaitzea - EBren 2012/2017 Zuzentaraua,50000.0,50000.0,0.0
0214,9211,64326,,Hirigunea biziberritzeko plana,771.38,771.38,750.2
0216,1502,12000,,Funtzionarioen oinarrizko ordainsariak,162461.0,162461.0,224961.89
0216,1502,12100,,Funtzionarioen ordainsari osagarriak,199995.0,199995.0,267414.93
0216,1502,14100,,Bestelako langileak,76328.0,76328.0,30166.8
0216,1502,16000,,"Gizarte Segurantza, enpresaren kontura",113597.0,113597.0,138091.84
0216,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7851.0,7851.0,8668.1
0320,1301,11000,,Kabineteko behin-behineko langileen ordainsariak,84052.0,84052.0,83737.58
0320,1301,12000,,Funtzionarioen oinarrizko ordainsariak,50013.0,50013.0,45570.27
0320,1301,12100,,Funtzionarioen ordainsari osagarriak,53902.0,53902.0,48925.27
0320,1301,14100,,Bestelako langileak,0.0,0.0,3649.29
0320,1301,16000,,"Gizarte Segurantza, enpresaren kontura",36600.0,36600.0,40913.01
0320,1301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",4358.0,4358.0,4251.24
0325,1331,12000,,Funtzionarioen oinarrizko ordainsariak,177231.0,177231.0,233431.07
0325,1331,12100,,Funtzionarioen ordainsari osagarriak,223253.0,223253.0,284977.91
0325,1331,14100,,Bestelako langileak,203374.0,203374.0,115990.26
0325,1331,16000,,"Gizarte Segurantza, enpresaren kontura",192285.0,192285.0,208937.44
0325,1331,16500,,"Elkarkidetzako kuotak, Udalaren kontura",9602.0,9602.0,11243.35
0325,1331,20200,,Aparkalekuak mantendu eta arautzea,230000.0,235250.59,215310.02
0325,1331,21050,,Seinaleztapena onik zaintzea,150000.0,150000.0,55707.31
0325,1331,21050,R,Seinaleztapena onik zaintzea,0.0,50709.64,3733.49
0325,1331,21910,,Trafikoa kontrolatzeko sistema mantentzea,1254116.38,1254116.38,1238870.09
0325,1331,22105,,TAO agenteen aldagela,15000.0,15000.0,6684.69
0325,1331,60107,,Zirkulazioa kontrolatzeko sistema,15000.0,15000.0,11602.69
0325,1331,62901,,Tresneria erostea,15000.0,15000.0,941.38
0330,1301,12000,,Funtzionarioen oinarrizko ordainsariak,402190.0,402190.0,372439.57
0330,1301,12100,,Funtzionarioen ordainsari osagarriak,534364.0,534364.0,489692.82
0330,1301,14100,,Bestelako langileak,4066.0,4066.0,17326.35
0330,1301,16000,,"Gizarte Segurantza, enpresaren kontura",263923.0,263923.0,253714.14
0330,1301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",10550.0,10550.0,9447.2
0340,1351,21102,,Larrialdi eta elurteetako gastuak,150000.0,150000.0,93944.15
0340,1351,21102,R,Larrialdi eta elurteetako gastuak,0.0,16000.0,16000.0
0340,1351,22701,,Jaietako gastu operatibo sanitarioak,13000.0,13000.0,12324.85
0340,1361,12000,,Funtzionarioen oinarrizko ordainsariak,1563928.0,1563928.0,1515891.64
0340,1361,12100,,Funtzionarioen ordainsari osagarriak,3267054.0,3267054.0,3079291.94
0340,1361,14100,,Bestelako langileak,536774.0,536774.0,612496.21
0340,1361,16000,,"Gizarte Segurantza, enpresaren kontura",1978791.0,1978791.0,1991608.45
0340,1361,16500,,"Elkarkidetzako kuotak, Udalaren kontura",65298.0,65298.0,63020.76
0340,1361,21300,,Ibilgailuak konpontzea,65000.0,65000.0,74114.48
0340,1361,21900,,Ekipoak berritzea eta erostea,80000.0,75000.0,65863.78
0340,1361,22105,,Jantziak eta uniformeak,90000.0,90000.0,101520.52
0340,1361,22105,R,Jantziak eta uniformeak,0.0,33045.71,33045.71
0340,1361,22111,,Tresna eta lanabesak,40000.0,40000.0,27616.11
0340,1361,22199,,Bestelako hornikuntzak,30000.0,30000.0,29880.5
0340,1361,22699,,Bestelako hainbat gastu,10000.0,10000.0,10781.58
0340,1361,62400,,Ibilgailuak,140000.0,140000.0,0.0
0340,1361,62400,R,Ibilgailuak,0.0,75079.0,23206.66
0340,1361,62401,A,Altuerako ibilgailua —autoeskailera— erostea,0.0,700000.0,0.0
0340,1361,62901,,Tresneria erostea,0.0,5000.0,4908.4
0350,1321,12000,,Funtzionarioen oinarrizko ordainsariak,6276836.0,6276836.0,5924627.38
0350,1321,12100,,Funtzionarioen ordainsari osagarriak,11805035.0,11805035.0,11569036.85
0350,1321,14100,,Bestelako langileak,0.0,0.0,13631.73
0350,1321,16000,,"Gizarte Segurantza, enpresaren kontura",6399454.0,6399454.0,6185016.31
0350,1321,16500,,"Elkarkidetzako kuotak, Udalaren kontura",248260.0,248260.0,275165.63
0350,1321,20501,,TETRA irratikomunikazio sistemaren rentinga,9000.0,9000.0,8561.04
0350,1321,21001,,Andre Maria Zuriaren jaietako segurtasuna,2997.07,2997.07,2477.47
0350,1321,21300,,Ibilgailuak konpontzea,75000.0,75000.0,57385.06
0350,1321,21900,,Ekipoak berritzea eta erostea,40000.0,40000.0,37666.16
0350,1321,21905,,Segurtasun scannerra eta USPa onik zaintzea,7500.0,7500.0,4306.36
0350,1321,22105,,Jantziak eta uniformeak,155000.0,325382.0,268199.38
0350,1321,22105,R,Jantziak eta uniformeak,0.0,80052.71,76715.21
0350,1321,22111,,Tresna eta lanabesak,30000.0,30000.0,14727.23
0350,1321,22199,,Bestelako hornikuntzak,15000.0,15000.0,22982.16
0350,1321,22699,,Bestelako hainbat gastu,25000.0,25000.0,25670.94
0350,1321,22707,,Bide-segurtasuneko Plana,30000.0,30000.0,2900.0
0350,1321,62400,,Ibilgailuak,30000.0,30000.0,0.0
0350,1321,62400,R,Ibilgailuak,0.0,29900.7,29900.7
0350,1321,62501,,Altzariak,3000.0,3000.0,2890.84
0350,1321,62901,,Tresneria eta instalazioak erostea,7000.0,7000.0,402.0
0350,1331,62904,,NARCOTEST ekipoak erostea,5000.0,5000.0,0.0
0410,0111,32201,,Epe laburreko maileguen interesak,64200.0,5187.28,5187.28
0410,0111,33201,,Epe luzeko maileguen interesak,875732.59,375506.63,370723.48
0410,0111,93300,,Epe luzeko maileguen amortizazioa,18232050.0,18232050.0,18232043.75
0410,1513,73102,,Ingurugiro Gaietarako Ikastegiari,30000.0,30000.0,25778.28
0410,1513,73310,,21. Zabalguneari: urrezko auzoetako inbertsioak,360666.66,1260666.66,1260666.66
0410,1722,43102,,Ingurugiro Gaietarako Ikastegiari,2408537.08,2478537.08,2478537.08
0410,2411,20301,,GEPO - Ibilgailuen rentinga,42350.0,12350.0,8414.23
0410,2411,20301,R,GEPO - Ibilgailuen rentinga,0.0,38383.63,38142.38
0410,4411,43300,,"Ekarpena, TUVISAri",13395351.05,13395351.05,13395350.0
0410,4411,47122,,"AFA eta Parke teknologikoarekiko hitzarmena, bidaiarien garraiorako",20000.0,20000.0,7836.22
0410,4411,73300,,TUVISAri,833833.33,774714.64,755000.0
0410,4413,21105,,Autobus-geltokia onik zaindu eta mantentzea,85000.0,0.0,0.0
0410,4413,22101,,Energia elektrikoaren hornikuntza,150000.0,0.0,0.0
0410,9205,20301,,Ibilgailuen rentinga,400000.0,340000.0,328400.67
0410,9205,21300,,Ibilgailuak konpontzea,175000.0,235000.0,222167.14
0410,9205,22104,,Erregaiak,300000.0,300000.0,292893.64
0410,9205,22404,,Ibilgailuen aseguruak,138000.0,138000.0,97071.07
0410,9205,62400,,Ibilgailuak,140000.0,190000.0,128806.65
0410,9206,21400,,Altzariak konpontzea,4000.0,4000.0,3979.54
0410,9206,21500,,Ekipoak mantentzeko kontratuak,170000.0,170000.0,137835.04
0410,9206,21500,R,Ekipoak mantentzeko kontratuak,0.0,1.0,0.0
