#Orgánico,Funcional,Económico,R,Denominación Aplicación,Crédito Inicial 2023,Crédito Inicial 2023
0171,3351,48044,,Convenio geu,77175.0,77175.0
0171,3351,48048,,Convenio asociacion tinko,10500.0,10500.0
0171,3351,48049,,Convenio asociación euskharan,25000.0,25000.0
0171,3351,48065,,Convenio euskaraldia,50000.0,50000.0
0171,3351,48101,,Convenio araba euskaraz,20000.0,20000.0
0171,3351,48103,,Convenio izaskun arrue kulturgunea,315000.0,315000.0
0171,3351,48997,,Convenio bai euskarari,23100.0,23100.0
0171,3351,62501,,Izaskun arrue kulturgunea,200000.0,200000.0
0171,3351,62800,,Adquisicion publicaciones y libros,1000.0,1000.0
0180,3293,41902,,Convenio upv-cursos dchos.internacional,30000.0,30000.0
0180,9271,12000,,Retribuciones basicas de funcionarios,152259.0,152259.0
0180,9271,12100,,Retribuciones complementarias funcionarios,182897.0,182897.0
0180,9271,16000,,Seguridad social a cargo del ayuntamiento,92673.0,92673.0
0180,9271,16500,,Cuotas elkarkidetza a cargo ayuntamiento,6652.0,6652.0
0180,9271,22603,,Publicaciones y publicidad,600000.0,600000.0
0180,9271,22612,,Adquisicion prensa diaria,25000.0,25000.0
0180,9271,22616,,Servicios de asistencia tecnica a prensa,20000.0,20000.0
0180,9271,22628,,Comunicación audiovisual,10000.0,10000.0
0180,9271,22631,,Participacion municipal en otras instituciones,28000.0,28000.0
0180,9271,22632,,Suscripciones,500.0,500.0
0180,9271,22634,,Organizacion de eventos  y gastos de representación,100400.0,100400.0
0180,9271,22645,,Anuncios oficiales por ley,200000.0,200000.0
0180,9271,22730,,Servicio almacenaje fondos editoriales,20000.0,20000.0
0180,9271,22732,,Contratos de prestacion de servicios,30000.0,30000.0
0180,9271,22799,,Servicios de traducción,23000.0,23000.0
0180,9271,62505,,Otros enseres,2500.0,2500.0
0181,2327,12000,,Retribuciones basicas de funcionarios,63570.0,63570.0
0181,2327,12100,,Retribuciones complementarias funcionarios,79577.0,79577.0
0181,2327,14100,,Otro personal,28659.0,28659.0
0181,2327,16000,,Seguridad social a cargo del ayuntamiento,49504.0,49504.0
0181,2327,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1040.0,1040.0
0181,2361,22604,,Estrategia antirumor,42500.0,42500.0
0181,2361,22608,,Programa de (in)formación,30000.0,30000.0
0181,2361,22610,,Ciudad educadora,17500.0,17500.0
0181,2361,22613,,Traduccion e interpretacion,40000.0,40000.0
0181,2361,22642,,Plan de convivencia y diversidad,110000.0,110000.0
0181,2361,41910,,Conv. red vasca antirrumores,5000.0,5000.0
0181,2361,48128,,Convenio arabako gorrak,22000.0,22000.0
0181,2361,48901,,Convocatoria general de subvenciones,60000.0,60000.0
0181,2361,48970,,Conv.asoc.eginaren eginez,30000.0,30000.0
0181,2361,48983,,Convenio goian,114000.0,114000.0
0181,2361,48986,,Fundación memorial 3 de marzo,25000.0,25000.0
0210,1502,11000,,Retribuciones personal eventual gabinete,83322.0,83322.0
0210,1502,12000,,Retribuciones basicas de funcionarios,45150.0,45150.0
0210,1502,12100,,Retribuciones complementarias funcionarios,58682.0,58682.0
0210,1502,14100,,Otro personal,51307.49,51307.49
0210,1502,16000,,Seguridad social a cargo del ayuntamiento,60697.0,60697.0
0210,1502,16500,,Cuotas elkarkidetza a cargo ayuntamiento,3243.0,3243.0
0210,1502,22004,,Edicion y reproduccion de cartografia y proyectos,5000.0,5000.0
0210,1502,22111,,Menaje,2000.0,2000.0
0210,1502,22205,,"Reuniones,conferencias y congresos",5000.0,5000.0
0210,1502,22707,,Asistencias técnicas,4000.0,4000.0
0210,1502,23901,,Indemnizaciones jurados expropiacion,1000.0,1000.0
0211,1511,12000,,Retribuciones basicas de funcionarios,275979.0,275979.0
0211,1511,12100,,Retribuciones complementarias funcionarios,353151.0,353151.0
0211,1511,14100,,Otro personal,90520.0,90520.0
0211,1511,16000,,Seguridad social a cargo del ayuntamiento,200031.0,200031.0
0211,1511,16500,,Cuotas elkarkidetza a cargo ayuntamiento,15536.0,15536.0
0211,1511,60001,,Expropiaciones y adquisicion de suelo,1250000.0,1250000.0
0211,1511,60926,,Regularización convenio obispado aparcamiento catedral,400000.0,400000.0
0211,1511,61405,,Revisión del catálogo ciudad,40000.0,40000.0
0211,1511,64202,,Actualizaciones cartográficas,93000.0,93000.0
0211,1511,64203,,Honorarios,40000.0,40000.0
0211,1511,64206,,Revision pgou,192000.0,192000.0
0211,1511,64208,,Revisión plan especial casco histórico,50000.0,50000.0
0211,1511,64212,,Previsión cuotas urbanización,50000.0,50000.0
0211,1511,64334,,Honorarios notarios registro regularización propiedades,50000.0,50000.0
0213,1512,12000,,Retribuciones basicas de funcionarios,55491.0,55491.0
0213,1512,12100,,Retribuciones complementarias funcionarios,78555.0,78555.0
0213,1512,14100,,Otro personal,55939.0,55939.0
0213,1512,16000,,Seguridad social a cargo del ayuntamiento,49533.0,49533.0
0213,1512,16500,,Cuotas elkarkidetza a cargo ayuntamiento,3243.0,3243.0
0213,1512,22620,,Obras subsidiarias y apuntalamiento,50000.0,50000.0
0213,1512,22747,,Inspecc técnica edificios intervencion edif casco histórico,40000.0,40000.0
0214,1502,62630,,Licencias software,34000.0,34000.0
0214,1502,62901,,Adquisicion equipos,5000.0,5000.0
0214,1502,64201,,Estudios y proyectos,30000.0,30000.0
0214,9211,12000,,Retribuciones basicas de funcionarios,252488.0,252488.0
0214,9211,12100,,Retribuciones complementarias funcionarios,289933.0,289933.0
0214,9211,16000,,Seguridad social a cargo del ayuntamiento,149834.0,149834.0
0214,9211,16500,,Cuotas elkarkidetza a cargo ayuntamiento,9091.0,9091.0
0214,9211,60507,,Aramangelu - abetxuko,100000.0,100000.0
0214,9211,62215,,Inversiones en patrimonio municipal,1000000.0,1000000.0
0214,9211,62226,,Rehabilitación viviendas municipales,300000.0,300000.0
0214,9211,62297,,Rehabilitacion edificios mples. directiva 2012/2017 ue,1000000.0,1000000.0
0214,9211,64326,,Plan de reactivacion del centro urbano,250000.0,250000.0
0214,9212,62290,,Reforma teatro principal,300000.0,300000.0
0216,1502,12000,,Retribuciones basicas de funcionarios,349653.0,349653.0
0216,1502,12100,,Retribuciones complementarias funcionarios,426548.0,426548.0
0216,1502,14100,,Otro personal,109441.0,109441.0
0216,1502,16000,,Seguridad social a cargo del ayuntamiento,241430.0,241430.0
0216,1502,16500,,Cuotas elkarkidetza a cargo ayuntamiento,13112.0,13112.0
0218,1741,60150,,Obras en pueblos,150000.0,150000.0
0218,1741,60700,,Mejora paisajistica zona rural,20000.0,20000.0
0218,1741,73401,,Cofinanciacion obras plan foral,200000.0,200000.0
0218,1742,22700,,"Recogida residuos, mantenimiento elm y cementerios",1100000.0,1100000.0
0218,1743,21000,,Infraestructura y bienes naturales,60000.0,60000.0
0218,1743,21902,,"Mantenimiento vias forestales,plantaciones y espacios naturales",90000.0,90000.0
0218,1743,21911,,Mantenimiento jardines nucleos rurales,308045.4,308045.4
0218,1743,22111,,Menaje,19000.0,19000.0
0218,1743,22145,,Recuperacion espacios degradados,30000.0,30000.0
0218,1743,72000,,A la dfa para la ejecucion de caminos parcelarios,100000.0,100000.0
0218,1749,12000,,Retribuciones basicas de funcionarios,156494.0,156494.0
0218,1749,12100,,Retribuciones complementarias funcionarios,208432.0,208432.0
0218,1749,13000,,Retribuciones personal laboral fijo,129103.0,129103.0
0218,1749,16000,,Seguridad social a cargo del ayuntamiento,136020.0,136020.0
0218,1749,16500,,Cuotas elkarkidetza a cargo ayuntamiento,9286.0,9286.0
0218,1749,48112,,Convenio asociacion concejos,115000.0,115000.0
0218,1749,78919,,Subvenc.para centros sociales,60000.0,60000.0
022201,1691,12000,,Retribuciones basicas de funcionarios,139107.0,139107.0
022201,1691,12100,,Retribuciones complementarias funcionarios,179453.0,179453.0
022201,1691,14100,,Otro personal,96749.0,96749.0
022201,1691,16000,,Seguridad social a cargo del ayuntamiento,134189.0,134189.0
022201,1691,16500,,Cuotas elkarkidetza a cargo ayuntamiento,6807.0,6807.0
022201,1721,60305,,Instalaciones del vertedero gardelegui,20000.0,20000.0
022201,1722,62916,,Calidad ambiental del vertedero,75000.0,75000.0
022203,1621,22700,,"Contrato serv limpieza, recogida y transporte rsu",10162598.28,10162598.28
022203,1621,22703,,Contrato recogida neumatica en casco medieval,1520371.0,1520371.0
022203,1621,22704,,Suministro eléctrico recogida neumática,880000.0,880000.0
022203,1621,22715,,Recogidas selectivas de residuos,492627.7,492627.7
022203,1621,22724,,Contrato de explotación de garbigunes,511138.19,511138.19
022203,1622,21204,,Mantenimiento de las instalaciones del vertedero,10000.0,10000.0
022203,1622,22707,,Actuaciones conservacion biodiversidad,40800.81,40800.81
022203,1622,22723,,Contrato explotacion del vertedero,1500000.0,1500000.0
022203,1623,22702,,Contrato explotación planta rsu jundiz,8889462.92,8889462.92
022203,1623,22710,,Contrato recogida voluminosos,1562302.7,1562302.7
022203,1623,47133,,Convenio fundación vital plasticos 0,20000.0,20000.0
022203,1623,60907,,"Control de calidad agua, aire y suelo",50000.0,50000.0
022203,1631,22700,,Contrato servicio de limpieza viaria,15326737.8,15326737.8
022203,1631,22701,,Plan antigrafitis,97100.0,97100.0
022203,1722,12000,,Retribuciones basicas de funcionarios,193803.0,193803.0
022203,1722,12100,,Retribuciones complementarias funcionarios,243334.0,243334.0
022203,1722,14100,,Otro personal,34226.0,34226.0
022203,1722,16000,,Seguridad social a cargo del ayuntamiento,137321.0,137321.0
022203,1722,16500,,Cuotas elkarkidetza a cargo ayuntamiento,7797.0,7797.0
022204,1711,12000,,Retribuciones basicas de funcionarios,70437.0,70437.0
022204,1711,12100,,Retribuciones complementarias funcionarios,85589.0,85589.0
022204,1711,13000,,Retribuciones personal laboral fijo,93062.0,93062.0
022204,1711,16000,,Seguridad social a cargo del ayuntamiento,70561.0,70561.0
022204,1711,16500,,Cuotas elkarkidetza a cargo ayuntamiento,4270.0,4270.0
022204,1711,21073,,Conservacion arboreto,26250.0,26250.0
022204,1711,21074,,Trabajos de conservacion anillo verde exterior,400000.0,400000.0
022204,1711,22663,,Canon demanial arkaute-elorriaga,10954.6,10954.6
022204,1711,22699,,Estrategia de economía circular,55000.0,55000.0
022204,1711,60916,,Agenda local 2030,85000.0,85000.0
022204,1711,62800,,Suscripciones,700.0,700.0
022204,1711,64305,,Plan de acción clima energía sostenible,85000.0,85000.0
022204,1711,64306,,Instalación placas fotovoltaicas,1000000.0,1000000.0
022204,1711,64319,,Red de control campos electromagnéticos,10000.0,10000.0
022204,1711,64321,,Plan de energías renovables,175000.0,175000.0
022204,1711,64336,,Inversiones transición energética,500000.0,500000.0
022204,1711,64337,,Misiones climáticas,100000.0,100000.0
022204,1711,64338,,Plan de sensibilización ambiental (konpondu),60000.0,60000.0
022204,1711,78004,,Subv. plan aislamiento acustico zpae,200000.0,200000.0
022301,1623,60711,,Adecuacion vertedero real decreto 14/81/2001,1000000.0,1000000.0
022301,1623,60712,,Obra presellado_fase 2_vertedero,1500000.0,1500000.0
022301,1691,12000,,Retribuciones basicas de funcionarios,54847.0,54847.0
022301,1691,12100,,Retribuciones complementarias funcionarios,72689.0,72689.0
022301,1691,16000,,Seguridad social a cargo del ayuntamiento,28529.0,28529.0
022301,1691,16500,,Cuotas elkarkidetza a cargo ayuntamiento,3335.0,3335.0
022301,1691,21040,,Mantenimiento de equipos y control y diagnóstico,110000.0,110000.0
022301,1691,22115,,Repuestos y fungibles,5000.0,5000.0
022301,1691,48196,,Convenio gaia,10000.0,10000.0
022301,1721,64316,,Plan de acción del mapa estratégico de ruidos,60000.0,60000.0
022301,1721,64329,,Plan sensibilizacion ruidos casco medieval,25000.0,25000.0
022301,1721,64330,,Red de control del ruido,5000.0,5000.0
022301,1722,60182,,Proyecto arboles,50000.0,50000.0
022301,1722,60183,,Actuaciones de conservación de biodiversidad,10000.0,10000.0
022301,1722,60919,,Infraestructuras anillo verde,10000.0,10000.0
022302,1691,12000,,Retribuciones basicas de funcionarios,21401.0,21401.0
022302,1691,12100,,Retribuciones complementarias funcionarios,26505.0,26505.0
022302,1691,14100,,Otro personal,27577.0,27577.0
022302,1691,16000,,Seguridad social a cargo del ayuntamiento,29702.0,29702.0
022302,1691,16500,,Cuotas elkarkidetza a cargo ayuntamiento,2946.0,2946.0
022401,1514,12000,,Retribuciones basicas de funcionarios,345388.0,345388.0
022401,1514,12100,,Retribuciones complementarias funcionarios,462152.0,462152.0
022401,1514,14100,,Otro personal,197839.0,197839.0
022401,1514,16000,,Seguridad social a cargo del ayuntamiento,275698.0,275698.0
022401,1514,16500,,Cuotas elkarkidetza a cargo ayuntamiento,15323.0,15323.0
0320,1301,12000,,Retribuciones basicas de funcionarios,72373.99,72373.99
0320,1301,12100,,Retribuciones complementarias funcionarios,100873.0,100873.0
0320,1301,14100,,Otro personal,15600.0,15600.0
0320,1301,16000,,Seguridad social a cargo del ayuntamiento,43213.0,43213.0
0320,1301,16500,,Cuotas elkarkidetza a cargo ayuntamiento,2473.0,2473.0
0330,1301,12000,,Retribuciones basicas de funcionarios,368172.0,368172.0
0330,1301,12100,,Retribuciones complementarias funcionarios,456691.0,456691.0
0330,1301,14100,,Otro personal,210879.0,210879.0
0330,1301,16000,,Seguridad social a cargo del ayuntamiento,307446.0,307446.0
0330,1301,16500,,Cuotas elkarkidetza a cargo ayuntamiento,12098.0,12098.0
0340,1351,21102,,Gastos de emergencia y nevadas,100000.0,100000.0
0340,1351,21300,,Reparacion vehiculos,75000.0,75000.0
0340,1351,22701,,Gastos operativo sanitario de fiestas,18000.0,18000.0
0340,1361,12000,,Retribuciones basicas de funcionarios,1788829.0,1788829.0
0340,1361,12100,,Retribuciones complementarias funcionarios,3524928.0,3524928.0
0340,1361,14100,,Otro personal,443546.0,443546.0
0340,1361,16000,,Seguridad social a cargo del ayuntamiento,2293834.0,2293834.0
0340,1361,16500,,Cuotas elkarkidetza a cargo ayuntamiento,70165.0,70165.0
0340,1361,21900,,Renovación y reposición de equipos,75000.0,75000.0
0340,1361,22105,,Vestuario y uniformes,150000.0,150000.0
0340,1361,22111,,"Menaje, utiles y herramientas",25000.0,25000.0
0340,1361,22199,,Otros suministros,20000.0,20000.0
0340,1361,22699,,Otros gastos diversos,10000.0,10000.0
0340,1361,62400,,Vehiculos,40000.0,40000.0
0340,1361,62901,,Adquisicion equipos,5000.0,5000.0
0350,1321,12000,,Retribuciones basicas de funcionarios,6626914.0,6626914.0
0350,1321,12100,,Retribuciones complementarias funcionarios,13965959.0,13965959.0
0350,1321,16000,,Seguridad social a cargo del ayuntamiento,7365657.0,7365657.0
0350,1321,16500,,Cuotas elkarkidetza a cargo ayuntamiento,329798.0,329798.0
0350,1321,20501,,Renting sist.radiocomunicaciones tetra,9000.0,9000.0
0350,1321,21001,,Seguridad en fiestas virgen blanca,2997.0,2997.0
0350,1321,21300,,Reparacion vehiculos,65000.0,65000.0
0350,1321,21900,,Renovación y reposición de equipos,174270.0,174270.0
0350,1321,21905,,Manten.scanner seguridad y usp,7500.0,7500.0
0350,1321,22105,,Vestuario y uniformes,200000.0,200000.0
0350,1321,22111,,"Menaje, utiles y herramientas",20000.0,20000.0
0350,1321,22199,,Otros suministros,15000.0,15000.0
0350,1321,22624,,Servicio nocturno de grúa,90000.0,90000.0
0350,1321,22699,,Otros gastos diversos,20000.0,20000.0
0350,1321,62400,,Vehiculos,130000.0,130000.0
0350,1321,62501,,Mobiliario,20000.0,20000.0
0350,1321,62901,,Adquisicion equipos e instalaciones,12000.0,12000.0
0410,0111,32201,,Intereses prestamos a corto plazo,5000.0,5000.0
0410,0111,33201,,Intereses de prestamos a largo plazo,1985000.0,1985000.0
0410,0111,93300,,Amortizacion de prestamos a l/p,13782538.9,13782538.9
0410,1513,73102,,Al centro de estudios ambientales,185000.0,185000.0
0410,1513,73310,,A ensanche 21,1550000.0,1550000.0
0410,1513,73311,,A ensanche 21 observatorio municipal vivienda,25000.0,25000.0
0410,1722,43102,,Al centro de estudios ambientales,2800000.0,2800000.0
0410,2381,22675,,Asistencia técnica ppto perspectiva genero,20000.0,20000.0
0410,4411,43300,,Aportacion a tuvisa,18700000.0,18700000.0
0410,4411,73300,,A tuvisa,886000.0,886000.0
0410,9202,16205,,Seguro vida-accidentes empleados,820000.0,820000.0
0410,9202,16206,,Seguros corporativos,6000.0,6000.0
0410,9204,62629,,Sistema informático inventario municipal,320000.0,320000.0
0410,9205,20301,,Renting de vehiculos,421000.0,421000.0
0410,9205,21300,,Reparacion vehiculos,240000.0,240000.0
0410,9205,22104,,Combustibles y carburantes,375000.0,375000.0
0410,9205,22404,,Seguros de vehiculos,92000.0,92000.0
0410,9205,62400,,Vehiculos,200000.0,200000.0
0410,9206,21400,,Reparacion mobiliario,2000.0,2000.0
0410,9206,21500,,Contratos mantenimiento de equipos,175000.0,175000.0
0410,9206,22001,,Ordinario no inventariable,230000.0,230000.0
0410,9206,62318,,Inversiones reprografía,70000.0,70000.0
0410,9206,62501,,Mobiliario,10000.0,10000.0
0410,9206,62505,,Adquisiciones varias dptos. municipales,15000.0,15000.0
0410,9207,20100,,Arrendamiento locales y edificios,4059000.0,4059000.0
0410,9207,22110,,Gastos de reprografia,60000.0,60000.0
0410,9207,22402,,Seguros de responsabilidad civil,282000.0,282000.0
0410,9207,22407,,Seguro vida y accidentes,40000.0,40000.0
0410,9207,22600,,Gastos de registro de bienes,25000.0,25000.0
0410,9207,22732,,Contratos de prestacion de servicios,68200.0,68200.0
0410,9207,62900,,Reposiciones por siniestros,1.0,1.0
0410,9211,62298,,Inversiones san martin,10000.0,10000.0
0410,9211,62299,,Inversiones san martin seguridad cpd,110000.0,110000.0
0410,9213,22102,,Suministro agua y depuración de residuales,1500000.0,1500000.0
0410,9213,22103,,Fraccionamiento suministro agua convenio amvisa,680000.0,680000.0
0410,9271,41800,,A eudel,302601.0,302601.0
0410,9311,22499,,Indemnizaciones por responsabilidad patrimonial,150000.0,150000.0
0410,9312,50001,,Crédito global,51737.89,51737.89
0410,9319,12000,,Retribuciones basicas de funcionarios,113860.0,113860.0
0410,9319,12100,,Retribuciones complementarias funcionarios,165146.0,165146.0
0410,9319,13000,,Retribuciones personal laboral fijo,57577.0,57577.0
0410,9319,14100,,Otro personal,3062.0,3062.0
0410,9319,16000,,Seguridad social a cargo del ayuntamiento,68217.0,68217.0
0410,9319,16500,,Cuotas elkarkidetza a cargo ayuntamiento,5654.0,5654.0
0410,9321,22776,,Servicios de la unidad de multas,192758.18,192758.18
0410,9331,22401,,Seguros de edificios y locales municipales,360000.0,360000.0
0410,9331,22601,,Gastos comunidades vecinos,500000.0,500000.0
0410,9331,22631,,Tasa airef,5750.0,5750.0
0410,9331,22760,,Mantenimiento relojes publicos,20500.0,20500.0
0410,9331,64900,,Propiedad industrial,1000.0,1000.0
0410,9341,36100,,Intereses devolucion ingresos indebidos,70000.0,70000.0
0410,9341,36101,,Gastos financieros asociados a ingresos,90000.0,90000.0
0410,9341,36102,,Intereses de demora,225000.0,225000.0
0410,9341,36900,,Otros gastos financieros,101433.0,101433.0
0411,9321,12000,,Retribuciones basicas de funcionarios,54081.0,54081.0
0411,9321,12100,,Retribuciones complementarias funcionarios,74240.0,74240.0
0411,9321,14100,,Otro personal,39421.0,39421.0
0411,9321,16000,,Seguridad social a cargo del ayuntamiento,43155.0,43155.0
0411,9321,16500,,Cuotas elkarkidetza a cargo ayuntamiento,3359.0,3359.0
0412,9314,12000,,Retribuciones basicas de funcionarios,30296.0,30296.0
0412,9314,12100,,Retribuciones complementarias funcionarios,45221.0,45221.0
0412,9314,16000,,Seguridad social a cargo del ayuntamiento,13341.0,13341.0
0414,9312,12000,,Retribuciones basicas de funcionarios,80612.0,80612.0
0414,9312,12100,,Retribuciones complementarias funcionarios,100737.0,100737.0
0414,9312,16000,,Seguridad social a cargo del ayuntamiento,43121.0,43121.0
0414,9312,16500,,Cuotas elkarkidetza a cargo ayuntamiento,3243.0,3243.0
0415,9323,12000,,Retribuciones basicas de funcionarios,120942.0,120942.0
0415,9323,12100,,Retribuciones complementarias funcionarios,162743.0,162743.0
0415,9323,16000,,Seguridad social a cargo del ayuntamiento,54375.0,54375.0
0415,9323,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1608.0,1608.0
0416,9341,12000,,Retribuciones basicas de funcionarios,56053.0,56053.0
0416,9341,12100,,Retribuciones complementarias funcionarios,81466.0,81466.0
0416,9341,14100,,Otro personal,90214.0,90214.0
0416,9341,16000,,Seguridad social a cargo del ayuntamiento,56014.0,56014.0
0416,9341,16500,,Cuotas elkarkidetza a cargo ayuntamiento,6136.02,6136.02
0417,9322,12000,,Retribuciones basicas de funcionarios,86742.0,86742.0
0417,9322,12100,,Retribuciones complementarias funcionarios,115857.0,115857.0
0417,9322,14100,,Otro personal,55112.0,55112.0
0417,9322,16000,,Seguridad social a cargo del ayuntamiento,55444.0,55444.0
0417,9322,16500,,Cuotas elkarkidetza a cargo ayuntamiento,3243.0,3243.0
0418,9319,12000,,Retribuciones basicas de funcionarios,1063956.0,1063956.0
0418,9319,12100,,Retribuciones complementarias funcionarios,1219677.0,1219677.0
0418,9319,14100,,Otro personal,271952.0,271952.0
0418,9319,16000,,Seguridad social a cargo del ayuntamiento,736458.0,736458.0
0418,9319,16500,,Cuotas elkarkidetza a cargo ayuntamiento,50092.0,50092.0
0421,9314,12000,,Retribuciones basicas de funcionarios,109015.0,109015.0
0421,9314,12100,,Retribuciones complementarias funcionarios,140134.0,140134.0
0421,9314,16000,,Seguridad social a cargo del ayuntamiento,53727.0,53727.0
0421,9314,16500,,Cuotas elkarkidetza a cargo ayuntamiento,2946.0,2946.0
0810,4301,11000,,Retribuciones personal eventual gabinete,84405.45,84405.45
