#Económico,Denominacion Aplicacion Ingresos,C.DEFINITVO,DRN NETOS
32115,Transporte de energia,300000.0,0.0
32201,Entrada de vehículos por las aceras y reservas de la vía publica para aparcamien,1650000.0,1638768.97
34001,Talleres salud publica,15500.0,14372.16
34002,"Escuelas infantiles,colonias abiertas y rincones de juego",291497.0,335667.52
34004,Asistencia a domicilio 3ª edad,2696133.0,3265076.12
34005,Estancias residencias 3ª edad,3260000.0,3240274.47
34006,Talleres de intervencion social,60000.0,78512.54
34007,Formacion ocupacional,24000.0,18554.88
34008,Abono instalaciones mendizorrotza,6155000.0,6157488.73
34009,Abonos temporales y de temporada (gamarra),140000.0,110370.6
34010,Utilizacion instalaciones deportivas (reserva y venta),800000.0,1463866.06
34012,Matriculas en la academia mpal. de folklore,80000.0,82993.24
34013,Cursos y talleres de cultura,225000.0,455913.83
34014,Taquillas  teatro,600000.0,427134.95
34015,Prestacion de servicios de ludotecas,40000.0,36369.21
34016,Prestamos de material audiovisual e luminacion de juventud,7000.0,7454.57
34018,Talleres de presidencia,175000.0,255317.42
34020,Abonados a campañas deportivas,975000.0,1261408.23
34023,Estancia en el c.a.m.a.s.,50000.0,6985.94
34024,Estancias en pisos tutelados,4000.0,6206.42
34025, comidas centro socioculturales de mayores,2550.0,2423.15
34026,Liquidacion estancias en residencias 3ª edad,60000.0,133456.37
34029,Cursos y actividades formativas,5000.0,0.0
34032,Venta de entradas presidencia,5000.0,6396.6
34038,Servicio de bodas,20000.0,20400.7
34039,Compensacion gastos de gestion,843036.98,965695.61
34040,Ingresos estación de autobuses,700000.0,880508.6
34041,Uso de parcelas en huertos urbanos,10100.0,10111.39
34043,Ingresos aparcamientos de bicicletas seguros,20000.0,25584.67
36100,Extinción incendios - cuota unespa y cias no conveniadas,1150000.0,1205351.62
38001,Reintegro por pagos,820000.0,1245620.04
38002,Reintegros gastos por publicaciones en anuncios,30000.0,35218.03
38003,Reintegro de gastos o indemnizaciones de cias. aseguradoras,1071638.3,1357678.46
38004,Reintegros por costas de la via de apremio,8000.0,14214.23
38005,Reintegro indemnizaciones via judicial,1000.0,805.24
38008,Reintegro explotaciones de servicios,126000.0,116313.54
39101,Multas por infracciones de trafico,5160000.0,5256741.81
39102,Ingresos por procedimientos sancionadores,1630000.0,1260153.39
39103,Sanciones por incumplimientos contracuales,0.0,-48825.29
39201,Recargos de apremio,1030000.0,978050.89
39401,Daños en via publica por accidentes de vehiculos,90000.0,44161.39
39402,Daños en bienes mpales.por actos vandalicos,15000.0,655.94
39403,Actuaciones del seis por limpieza de calzadas por accid,5000.0,4855.12
39404,Ingresos ejecuciones subsidiarias,20000.0,0.0
39405,Ingresos derivados de costas judiciales,25000.0,5680.59
39601,Ingresos  empresas de telefonia,850000.0,716627.32
39901,Donativos,0.0,979.09
39902,Otros ingresos diversos,125000.0,110051.17
39903,Intereses demora ejercicios anteriores,1000.0,0.0
39906,Donativos belen de la florida,1.0,21325.95
39907,Ingresos rifa san anton,1.0,15349.35
39909,Participacion ingresos aparcamientos,20000.0,2905.91
40000,De la admon. general,3626928.68,4091917.31
40001,Impuestos no concertados,300000.0,436408.92
41000,Del gobierno vasco,20123121.96,20122878.96
42000,De la diputacion foral de alava,8699577.45,8318216.72
42001,Fofel,205734797.72,205756389.16
42002,Liquidacion fofel,3566407.11,3566407.11
43000,Del organismo autonomo centro de estudios ambientales,5166.21,0.0
47000,Plan esponsorización,19000.0,19000.0
48000,De familias,139525.0,223600.0
48001,Fundación vital - convenio hazia inserción laboral de jóvenes,50000.0,0.0
49000,De entes de la union europea,37250.0,117386.99
52500,Intereses en cajas y bancos ayuntamiento,300000.0,1868259.71
54001,Rentas arrendamientos fincas urbanas ayto,105000.0,136521.86
54002,Arrendamiento locales semillero de empresas,125000.0,132661.34
54003,Arrendamiento plaza de toros,25000.0,0.0
54004,Servicio hostelería en inmuebles municipales,25000.0,25011.71
54101,Arrendamiento de terrenos rusticos,0.0,32.41
55000,Productos de concesiones,600000.0,808221.21
55004,Cesion de uso plazas aparcamiento,20000.0,67357.03
59002,Utilizacion de terrenos,20000.0,72065.61
60300,Venta de terrenos pms (incluidos honorarios de proy basicos),12768000.0,485516.96
61200,De edificios y otras construcciones,880000.0,48842.16
65000,Convenio florida 53,400000.0,0.0
70000,Del estado,4427613.24,4677613.24
71000,Del gobierno vasco,21831861.15,23915779.1
72000,De la diputacion foral de alava,3178105.25,3214623.9
73000,Entes publicos dentro termino municipal,0.0,40105.16
79000,Entes publicos union europea,0.0,-4268124.55
87001,Remanente de tesoreria para gastos generales,31944795.02,0.0
87002,Remanente de tesoreria para gastos afectados,34247589.34,0.0
93301,Prestamos para la financiacion de inversiones,13364000.0,13364000.0
