#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2020ko Hasierako kreditua,g,h
0130,9201,16000,,"Gizarte Segurantza, enpresaren kontura",129955.0,120569.3,30088.66
0130,9201,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,9385.7,2174.46
0130,9201,22610,,Kalte-ordainak,14000.0,14000.0,0.0
0130,9201,22617,,"Ordainsariak, minutak",39620.0,39620.0,3732.43
0145,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,212239.0,212239.0,35663.73
0145,9121,16000,,"Gizarte Segurantza, enpresaren kontura",52674.0,52674.0,7668.06
0160,2381,12000,,Funtzionarioen oinarrizko ordainsariak,124391.0,124391.0,24132.7
0160,2381,12100,,Funtzionarioen ordainsari osagarriak,149794.0,149794.0,38679.32
0160,2381,14100,,Bestelako langileak,3143.0,3143.0,0.0
0160,2381,16000,,"Gizarte Segurantza, enpresaren kontura",81349.0,77265.24,19713.87
0160,2381,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,4083.76,858.45
0160,2381,22711,,Berdintasun Plana,85000.0,85000.0,2275.01
0160,2381,22712,,Jabetze feministarako eskola,130000.0,130000.0,8597.37
0160,2381,22713,,Indarkeria matxistaren prebentzioa eta arreta,100000.0,100000.0,897.0
0160,2381,22714,,Sexu- eta genero-aniztasunerako agenda,60000.0,60000.0,68.6
0160,2381,47132,,Hitzarmena: Emakumeen etxearen kudeaketa,150000.0,150000.0,150000.0
0160,2381,48120,,Hitzarmena: LGTBI behatokia,70000.0,70000.0,70000.0
0160,2381,48139,,Emakume elkarteentzako diru-laguntza deialdia,80000.0,80000.0,0.0
0160,2381,62516,,"Emakumeen etxea, ekipamenduak",30000.0,30000.0,0.0
0160,2381,62925,,LGTBI behatokia,20000.0,20000.0,0.0
0171,3351,12000,,Funtzionarioen oinarrizko ordainsariak,194429.0,194429.0,34386.64
0171,3351,12100,,Funtzionarioen ordainsari osagarriak,224112.0,224112.0,53079.46
0171,3351,14100,,Bestelako langileak,51446.0,51446.0,0.0
0171,3351,16000,,"Gizarte Segurantza, enpresaren kontura",148638.0,141491.57,28426.01
0171,3351,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,7146.43,1331.1
0171,3351,22741,,Gurasoentzako euskara eskolak,500000.0,500000.0,116463.6
0171,3351,22748,,Euskararen Astea,25000.0,25000.0,0.0
0171,3351,22780,,Euskara plana,200044.8,200044.8,589.58
0171,3351,22780,R,Euskara plana,0.0,3200.0,0.0
0171,3351,22799,,"Kanpoko itzulpenak, euskera",20000.0,20000.0,634.96
0171,3351,41803,,Hitzarmena: EUSKALTZAINDIA,73000.0,73000.0,0.0
0171,3351,42302,,Hitzarmena: Merkataritzako Ganbera,10500.0,10500.0,5250.0
0171,3351,48001,,"Euskara ikasteko laguntzak, herritarrentzat",150000.0,150000.0,0.0
0171,3351,48002,,Langileentzako ikasketa beka eta poltsak,60000.0,60000.0,858.63
0171,3351,48003,,Euskaltegientzako dirulaguntzak,99000.0,99000.0,0.0
0171,3351,48005,,Euskararen Plan Nagusiko dirulaguntzak,120000.0,120000.0,0.0
0171,3351,48044,,Hitzarmena GEUrekin,77175.0,77175.0,0.0
0171,3351,48048,,Hitzarmena Tinko elkartearekin,10500.0,10500.0,0.0
0171,3351,48049,,Hitzarmena Euskharan elkartearekin,24255.0,24255.0,0.0
0171,3351,48065,,Euskaraldia,100000.0,100000.0,0.0
0171,3351,48997,,Hitzarmena: Bai euskarari,23100.0,23100.0,0.0
0171,3351,62800,,Argitalpenak eta liburuak erostea,1000.0,1000.0,0.0
0180,9271,11000,,Kabineteko behin-behineko langileen ordainsariak,98010.0,98010.0,16290.22
0180,9271,12000,,Funtzionarioen oinarrizko ordainsariak,108096.0,108096.0,19257.39
0180,9271,12100,,Funtzionarioen ordainsari osagarriak,124837.0,124837.0,31240.72
0180,9271,14100,,Bestelako langileak,3774.0,3774.0,0.0
0180,9271,16000,,"Gizarte Segurantza, enpresaren kontura",107860.0,102051.78,25437.09
0180,9271,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,5808.22,1244.25
0180,9271,22603,,Publizitatea,650000.0,650000.0,95139.82
0180,9271,22603,R,Publizitatea,0.0,91834.82,0.0
0180,9271,22612,,Eguneko prentsa erostea,25000.0,25000.0,8879.95
0180,9271,22616,,Prentsa-zerbitzuak,20000.0,20000.0,4959.35
0180,9271,22628,,Ikus-entxunezko komunikazioa,10000.0,10000.0,0.0
0180,9271,22631,,Erakundeetako parte-hartzea,28000.0,28000.0,0.0
0180,9271,22632,,Harpidetzak,4397.43,4397.43,0.0
0180,9271,22634,,Ekitaldiak antolatzea eta ordezkaritza-gastuak,120440.0,120440.0,39869.68
0180,9271,22634,A,Ekitaldiak antolatzea eta ordezkaritza-gastuak,0.0,1739.82,0.0
0180,9271,22645,,Legez argitaratu beharreko iragarki ofizialak,180000.0,180000.0,111399.34
0180,9271,22730,,Argitalpen funtsak gordetzeko zerbitzua,20000.0,20000.0,8875.74
0180,9271,22732,,Zerbitzuak emateko kontratuak,30000.0,30000.0,0.0
0180,9271,22732,R,Zerbitzuak emateko kontratuak,0.0,2052.84,0.0
0180,9271,62505,,Bestelako tresnak,2502.57,2502.57,1349.97
0180,9271,62518,,Prentsa aretoa berritu eta eguneratzea,50000.0,50000.0,0.0
0181,2327,12000,,Funtzionarioen oinarrizko ordainsariak,63812.0,63812.0,13697.36
0181,2327,12100,,Funtzionarioen ordainsari osagarriak,77141.0,77141.0,22043.26
0181,2327,14100,,Bestelako langileak,45030.0,45030.0,4340.7
0181,2327,16000,,"Gizarte Segurantza, enpresaren kontura",52388.0,51121.54,12515.92
0181,2327,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,1266.46,266.22
0181,2361,22604,,Zurrumurruen kontrako estrategia,30000.0,30000.0,935.49
0181,2361,22608,,Informazio- eta prestakuntza-programa,22000.0,22000.0,0.0
0181,2361,22610,,Hiri Hezitzailea,23000.0,23000.0,2301.84
0181,2361,22613,,Itzulpena eta interpretazioa,28000.0,28000.0,2824.5
0181,2361,22642,,Bizikidetza eta Aniztasun Plana,200000.0,200000.0,3069.68
0181,2361,41910,,Zurrumurruen kontrako euskal sarea,5000.0,5000.0,0.0
0181,2361,48128,,Hitzarmena: Arabako Gorren Zentroa,22000.0,22000.0,22000.0
0181,2361,48150,,Hitzarmena: SECOT elkartearekin,3000.0,3000.0,0.0
0181,2361,48150,R,Hitzarmena: SECOT elkartearekin,0.0,2400.0,0.0
0181,2361,48901,,Diru-laguntza deialdi orokorra,80000.0,80000.0,0.0
0181,2361,48970,,Hitzarmena: Eginaren Eginez elkartea,28000.0,28000.0,0.0
0181,2361,48983,,Hitzarmena: Goian,104000.0,104000.0,0.0
0181,2361,48985,,Diru-laguntzak: memoria historikoa,20000.0,20000.0,0.0
0210,1502,12000,,Funtzionarioen oinarrizko ordainsariak,100470.0,100470.0,18055.4
0210,1502,12100,,Funtzionarioen ordainsari osagarriak,152071.0,152071.0,39544.5
0210,1502,14100,,Bestelako langileak,52460.0,52460.0,10906.24
0210,1502,16000,,"Gizarte Segurantza, enpresaren kontura",69240.0,64761.08,16077.71
0210,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,4478.92,918.24
0210,1502,22004,,Kartografia eta proiektuak editatu eta erreproduzitzea,2000.0,2000.0,257.32
0210,1502,22111,,Tresnak,1000.0,1000.0,47.92
0210,1502,22205,,"Bilerak, hitzaldiak eta biltzarrak",5000.0,5000.0,3410.0
0210,1502,22707,,Laguntza teknikoak,4000.0,4000.0,0.0
0210,1502,22732,,Zerbitzuak emateko kontratuak,70000.0,70000.0,0.0
0210,1502,23901,,Kalte-ordainak desjabetzeetako epaimahaiak,1000.0,1000.0,0.0
0211,1511,12000,,Funtzionarioen oinarrizko ordainsariak,191612.0,191612.0,31342.53
0211,1511,12100,,Funtzionarioen ordainsari osagarriak,239047.0,239047.0,56632.74
0211,1511,14100,,Bestelako langileak,77251.0,77251.0,26350.11
0211,1511,16000,,"Gizarte Segurantza, enpresaren kontura",154522.0,148782.64,40030.59
0211,1511,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,5739.36,1462.65
0211,1511,60001,,Lurzoru desjabetzeak eta erosketak,679336.28,679336.28,0.0
0211,1511,60203,,"Erakundearteko lankidetzaren ekarpena, San Frantsizko komentua",50000.0,50000.0,0.0
0211,1511,60926,,"Hiitzarmenak arautzea, Katedraleko aparkalekua",40000.0,40000.0,0.0
0211,1511,61405,,Eraikin eta espazio babestuen katalogoa,70000.0,70000.0,0.0
0211,1511,64202,,Eguneratze kartografikoak,50000.0,50000.0,4446.75
0211,1511,64202,R,Eguneratze kartografikoak,0.0,34000.0,0.0
0211,1511,64203,,Ordainsariak,50000.0,50000.0,0.0
0211,1511,64203,R,Ordainsariak,0.0,3993.0,0.0
0211,1511,64206,,HAPO berrikustea,145000.0,145000.0,2952.82
0211,1511,64206,A,HAPO berrikustea,0.0,384000.0,0.0
0211,1511,64206,R,HAPO berrikustea,0.0,245566.0,0.0
0211,1511,64208,,Hirigune historikoko plan bereziaren berrikuspena,75000.0,75000.0,0.0
0211,1511,64212,,Urbanizazio kuoten aurreikuspena,50000.0,50000.0,0.0
0211,1511,64215,,"Akordio estrajudiziala, GSDNren lurzoruak okupatzea",20000.0,20000.0,0.0
0211,1511,64334,,Notarioen ordainsaria. Jabetzak erregulatzeko erregistroa.,70000.0,70000.0,0.0
0211,1513,71001,,Koroatzeko proiektua (REHABILITATION & DISTRICT HEATING),420000.0,420000.0,0.0
0213,1502,22730,,Argitalpen funtsak gordetzeko zerbitzua,10000.0,10000.0,1083.0
0213,1512,12000,,Funtzionarioen oinarrizko ordainsariak,339849.0,339849.0,59415.01
0213,1512,12100,,Funtzionarioen ordainsari osagarriak,461991.0,461991.0,120740.64
0213,1512,14100,,Bestelako langileak,96124.0,96124.0,30739.04
0213,1512,16000,,"Gizarte Segurantza, enpresaren kontura",280672.0,268684.46,66564.53
0213,1512,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,11987.54,2698.11
0213,1512,22620,,Lan subsidiarioak eta eskoratzeak,250000.0,250000.0,0.0
0213,1512,22620,A,Lan subsidiarioak eta eskoratzeak,0.0,9643.87,0.0
0213,1512,22620,R,Lan subsidiarioak eta eskoratzeak,0.0,29983.8,0.0
0213,1512,22747,,Eraikinen ikuskaritza teknikoa. Erdi Aroko eraikinetako esku hartzeak.,150000.0,150000.0,0.0
0214,1502,62901,,Tresneria erostea,5000.0,5000.0,0.0
0214,1502,64201,,Azterlanak eta proiektuak,30000.0,30000.0,0.0
0214,1502,64516,R,Gasteiz Antzokia,0.0,1251563.08,0.0
0214,3421,62257,R,"Astronomos, Adurtza, Abetxuko eta Beti Jai",0.0,694179.3,0.0
0214,9211,12000,,Funtzionarioen oinarrizko ordainsariak,245533.0,245533.0,41742.03
0214,9211,12100,,Funtzionarioen ordainsari osagarriak,303153.0,303153.0,73665.76
0214,9211,13000,,Lan-kontratudun langile finkoen ordainsariak,14848.0,14848.0,0.0
0214,9211,14100,,Bestelako langileak,44502.0,44502.0,13130.51
0214,9211,16000,,"Gizarte Segurantza, enpresaren kontura",179178.0,168677.18,39792.37
0214,9211,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,10500.82,2175.75
0214,9211,60202,,Eskoriatza Eskibel jauregia,110000.0,110000.0,0.0
0214,9211,60507,,Abetxukuko ekimen-etxea,500000.0,500000.0,0.0
0214,9211,60608,,Patioak birnaturalizatzea,50000.0,50000.0,0.0
0214,9211,60611,,Haztegiak eraistea,143373.9,143373.9,0.0
0214,9211,60612,,Aratxabaletako haztegi berriak,1.0,1.0,0.0
0214,9211,61305,,Entzunaretoa,250000.0,250000.0,0.0
0214,9211,61402,,Mendizorrotzeko eraikin soziala - Eraikinaren segurtasuna.,5000.0,5000.0,0.0
0214,9211,61403,,Montehermoso. Eraikinaren segurtasuna.,5000.0,5000.0,0.0
0214,9211,61404,,Udal eraikinetako beste esku hartze batzuk,5000.0,5000.0,0.0
0214,9211,62215,,Udal ondareko inbertsioak,15000.0,15000.0,19900.6
0214,9211,62215,R,Udal ondareko inbertsioak,0.0,2239.92,0.0
0214,9211,62278,,Udal txakurtegia,250000.0,250000.0,0.0
0214,9211,62297,,Udal eraikinak birgaitzea - EBren 2012/2017 Zuzentaraua,50000.0,50000.0,0.0
0214,9211,64326,,Hirigunea biziberritzeko plana,200000.0,200000.0,0.0
0214,9211,64516,,Gasteiz antzokia,1400000.0,1400000.0,0.0
0214,9211,77101,,Reforma campo fútbol mendizorroza,304000.0,304000.0,0.0
0214,9212,62290,,Principal antzokia eraberritzea,530000.0,530000.0,0.0
0216,1502,12000,,Funtzionarioen oinarrizko ordainsariak,192402.0,192402.0,57651.74
0216,1502,12100,,Funtzionarioen ordainsari osagarriak,238731.0,238731.0,95934.82
0216,1502,14100,,Bestelako langileak,28393.0,28393.0,5682.51
0216,1502,16000,,"Gizarte Segurantza, enpresaren kontura",134351.0,126554.41,49113.21
0216,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,7796.59,2557.83
0218,1741,60150,,Herrietako obrak,150000.0,150000.0,0.0
0218,1741,60150,R,Herrietako obrak,0.0,137492.44,0.0
0218,1741,60151,,Foru-planeko lanen finantzaketa,100000.0,100000.0,0.0
0218,1741,60700,,Nekazaritza Eremuko paisaia hobetzea,20000.0,20000.0,0.0
0218,1741,60700,R,Nekazaritza Eremuko paisaia hobetzea,0.0,8576.86,0.0
0218,1742,22700,,"Hondakinak jasotzea eta mantentze lanak, herrietan eta hilerrian",1150000.0,1150000.0,176872.84
0218,1742,22700,R,"Hondakinak jasotzea eta mantentze lanak, herrietan eta hilerrian",0.0,27217.45,0.0
0218,1743,21000,,Azpiegiturak eta ondasun naturalak,60000.0,60000.0,1306.27
0218,1743,21902,,"Baso-bide, landaketak eta naturguneak mantentzea",60000.0,60000.0,399.3
0218,1743,21911,,Herrietako lorategiak onik zaintzea,260000.0,260000.0,0.0
0218,1743,22111,,Tresnak,12000.0,12000.0,23.85
0218,1743,22145,,Eremu hondatuak lehengoratzea,30000.0,30000.0,1790.8
0218,1743,72000,,"AFA, lursailen arteko bideak egitea",100000.0,100000.0,0.0
0218,1749,12000,,Funtzionarioen oinarrizko ordainsariak,153463.0,153463.0,26539.9
0218,1749,12100,,Funtzionarioen ordainsari osagarriak,225952.0,225952.0,56656.18
0218,1749,13000,,Lan-kontratudun langile finkoen ordainsariak,119353.0,119353.0,26042.16
0218,1749,14100,,Bestelako langileak,2915.0,2915.0,0.0
0218,1749,16000,,"Gizarte Segurantza, enpresaren kontura",157657.0,147411.52,35009.65
0218,1749,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,10245.48,2192.85
0218,1749,48112,,Hitzarmena: Kontzejuen elkartea,115000.0,115000.0,0.0
0218,1749,78919,,Diru-laguntzak: gizarte zentroak,40000.0,40000.0,0.0
0218,1749,78919,R,Diru-laguntzak: gizarte zentroak,0.0,40000.0,0.0
022201,1691,12000,,Funtzionarioen oinarrizko ordainsariak,95504.0,95504.0,18332.28
022201,1691,12100,,Funtzionarioen ordainsari osagarriak,136237.0,136237.0,37227.24
022201,1691,14100,,Bestelako langileak,123821.0,123821.0,17786.8
022201,1691,16000,,"Gizarte Segurantza, enpresaren kontura",113883.0,107191.71,25230.18
022201,1691,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,6691.29,1610.35
022201,1722,62916,,Zabortegiaren ingurumen kalitatea,125000.0,125000.0,3641.71
022202,1623,60706,,Hondakinen plana,85000.0,85000.0,0.0
022202,1623,60711,,Zabortegia 481/2001 Errege Dekretura egokitzea,145000.0,145000.0,0.0
022202,1623,60711,R,Zabortegia 481/2001 Errege Dekretura egokitzea,0.0,71148.0,0.0
022202,1623,64316,,Zaraten mapa estrategikoko ekintza plana (MER),75000.0,75000.0,0.0
022202,1623,64316,R,Zaraten mapa estrategikoko ekintza plana (MER),0.0,10890.0,0.0
022202,1711,60920,A,Azpiegitura berdeak,0.0,991.01,0.0
022202,1721,21040,,Kontrol- eta diagnosi-ekipoak mantentzea,130000.0,130000.0,9195.07
022202,1721,21040,R,Kontrol- eta diagnosi-ekipoak mantentzea,0.0,40686.7,0.0
022202,1721,22115,,Ordezko piezak eta suntsikorrak,5000.0,5000.0,7575.48
022202,1721,60305,,Gardelegiko zabortegiko instalazioak,20000.0,20000.0,0.0
022202,1722,12000,,Funtzionarioen oinarrizko ordainsariak,50762.0,50762.0,8888.1
022202,1722,12100,,Funtzionarioen ordainsari osagarriak,69203.0,69203.0,16896.9
022202,1722,14100,,Bestelako langileak,9924.0,9924.0,6239.28
022202,1722,16000,,"Gizarte Segurantza, enpresaren kontura",32310.0,30698.21,8798.65
022202,1722,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,1611.79,543.35
022202,1722,48196,,Hitzarmena: GAIA,10000.0,10000.0,0.0
022202,1722,60182,,Zuhaitz proiektua,65000.0,65000.0,0.0
022202,1722,60919,,Eraztun berdeko azpiegitura berdeak,50000.0,50000.0,0.0
022202,1722,64321,A,Energia berriztagarrien plana,0.0,47649.96,0.0
022202,1722,64321,R,Energia berriztagarrien plana,0.0,47649.96,0.0
022202,1722,64329,,Erdi Aroko hirigunean zarataren kontra sentsibilizatzeko plana,25000.0,25000.0,0.0
022202,1722,64330,,Zarata kontrolatzeko sarea,15000.0,15000.0,0.0
022203,1621,22700,,Garbiketarako eta hondakinen bilketa eta garraiorako kontratua,9437066.3,9437066.3,0.0
022203,1621,22700,R,Garbiketarako eta hondakinen bilketa eta garraiorako kontratua,0.0,1356299.1,0.0
022203,1621,22703,,Bilketa pneumatikoaren kontratua alde zaharrean,1839675.5,1839675.5,331773.9
022203,1621,22703,R,Bilketa pneumatikoaren kontratua alde zaharrean,0.0,497660.85,0.0
022203,1621,22715,,Hondakinen gaikako bilketa,549343.0,549343.0,9337.18
022203,1621,22715,R,Hondakinen gaikako bilketa,0.0,61638.94,0.0
022203,1621,22724,,Garbiguneak ustiatzeko kontratua,427396.17,427396.17,0.0
022203,1621,22724,R,Garbiguneak ustiatzeko kontratua,0.0,94349.05,0.0
022203,1622,21204,,Zabortegiko instalazioak mantentzea,10000.0,10000.0,0.0
022203,1622,22723,,Zabortegia ustiatzeko kontratua,1180413.41,1180413.41,201413.43
022203,1622,64304,,"Ordainsariak, azterlanak eta proiektuak",20000.0,20000.0,0.0
022203,1622,64318,,Dibertsitatea kontserbatzeko azterlanak,75000.0,75000.0,0.0
022203,1623,22111,,Tresnak,5000.0,5000.0,0.0
022203,1623,22702,,Jundizko hiri hondakinen lantegia ustiatzeko kontratua,8372877.63,8372877.63,1363690.92
022203,1623,22710,,Tamaina handikoen bilketarako kontratua,1044371.23,1044371.23,0.0
022203,1623,47132,,"Hitzarmena, Vital Fundazioa, 0 plastiko",20000.0,20000.0,0.0
022203,1623,60706,A,Hondakinen plana,0.0,36220.94,0.0
022203,1623,60711,A,Zabortegia 481/2001 Errege Dekretura egokitzea,0.0,103680.94,0.0
022203,1623,60907,,"Uraren, airearen eta lurraren kalitatea kontrolatzea",55000.0,55000.0,0.0
022203,1623,62901,,Ekipoak erostea,6000.0,6000.0,0.0
022203,1631,22700,,Kale-garbiketa,17083488.45,17083488.45,0.0
022203,1631,22700,R,Kale-garbiketa,0.0,2524385.02,0.0
022203,1722,12000,,Funtzionarioen oinarrizko ordainsariak,134866.0,134866.0,22890.37
022203,1722,12100,,Funtzionarioen ordainsari osagarriak,183638.0,183638.0,46043.24
022203,1722,13000,,Lan-kontratudun langile finkoen ordainsariak,53175.0,53175.0,11737.04
022203,1722,14100,,Bestelako langileak,42185.0,42185.0,0.0
022203,1722,16000,,"Gizarte Segurantza, enpresaren kontura",144252.0,137791.12,25618.49
022203,1722,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,6460.88,1358.22
022204,1711,12000,,Funtzionarioen oinarrizko ordainsariak,60700.0,60700.0,11040.06
022204,1711,12100,,Funtzionarioen ordainsari osagarriak,78639.0,78639.0,20380.71
022204,1711,13000,,Lan-kontratudun langile finkoen ordainsariak,72015.0,72015.0,16495.02
022204,1711,14100,,Bestelako langileak,5656.0,5656.0,0.0
022204,1711,16000,,"Gizarte Segurantza, enpresaren kontura",64191.0,60107.24,15245.44
022204,1711,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,4083.76,858.45
022204,1711,21073,,Arboretoa onik zaintzea,20000.0,20000.0,0.0
022204,1711,21074,,Kanpoko Eraztun Berdea onik zaintzeko lanak,400000.0,400000.0,12201.99
022204,1711,22758,,Etxebizitzaren alokairu-indizeei buruzko kanpaina,20000.0,20000.0,0.0
022204,1711,22759,,50-50 Programa ,20000.0,20000.0,0.0
022204,1711,22793,,Our City - Our energy,10000.0,10000.0,0.0
022204,1711,60916,,Tokiko (Hiriko) 2030 Agenda ,40000.0,40000.0,0.0
022204,1711,64305,,Klimaren eta energia iraunkorraren aldeko ekintza plana,50000.0,50000.0,0.0
022204,1711,64306,,Eguzki-eraztuna,150000.0,150000.0,0.0
022204,1711,64319,,Eremu elektromagnetikoak kontrolatzeko sarea,15000.0,15000.0,0.0
022204,1711,64321,,Energia berriztagarrien plana,100000.0,100000.0,0.0
0320,1301,11000,,Kabineteko behin-behineko langileen ordainsariak,86442.0,86442.0,18501.03
0320,1301,12000,,Funtzionarioen oinarrizko ordainsariak,50255.0,50255.0,5714.09
0320,1301,12100,,Funtzionarioen ordainsari osagarriak,54646.0,54646.0,8056.89
0320,1301,14100,,Bestelako langileak,0.0,0.0,9665.34
0320,1301,16000,,"Gizarte Segurantza, enpresaren kontura",39572.0,35203.85,12938.36
0320,1301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",16161.0,20529.15,918.24
0330,1301,12000,,Funtzionarioen oinarrizko ordainsariak,385164.0,385164.0,64902.28
0330,1301,12100,,Funtzionarioen ordainsari osagarriak,506480.0,506480.0,129955.22
0330,1301,14100,,Bestelako langileak,19110.0,19110.0,11651.56
0330,1301,16000,,"Gizarte Segurantza, enpresaren kontura",272495.0,262788.0,66940.55
0330,1301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,9707.0,2259.0
0340,1351,21102,,Larrialdi eta elurteetako gastuak,100000.0,100000.0,3025.0
0340,1351,21102,R,Larrialdi eta elurteetako gastuak,0.0,15476.86,0.0
0340,1351,21300,,Ibilgailuak konpontzea,65000.0,65000.0,6102.88
0340,1351,22701,,Jaietako gastu operatibo sanitarioak,13000.0,13000.0,0.0
0340,1361,12000,,Funtzionarioen oinarrizko ordainsariak,1532845.0,1532845.0,249786.89
0340,1361,12100,,Funtzionarioen ordainsari osagarriak,3186825.0,3186825.0,816372.34
0340,1361,14100,,Bestelako langileak,572760.0,572760.0,163202.32
0340,1361,16000,,"Gizarte Segurantza, enpresaren kontura",2108237.0,2043841.29,501955.37
0340,1361,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,64395.71,14303.98
