#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2020ko Hasierako kreditua
0130,9201,12000,,Funtzionarioen oinarrizko ordainsariak,195834.0
0130,9201,12100,,Funtzionarioen ordainsari osagarriak,297512.0
0130,9201,14100,,Bestelako langileak,4622.0
0130,9201,16000,,"Gizarte Segurantza, enpresaren kontura",129955.0
0130,9201,22610,,Kalte-ordainak,14000.0
0130,9201,22617,,"Ordainsariak, minutak",39620.0
0145,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,212239.0
0145,9121,16000,,"Gizarte Segurantza, enpresaren kontura",52674.0
0160,2381,12000,,Funtzionarioen oinarrizko ordainsariak,124391.0
0160,2381,12100,,Funtzionarioen ordainsari osagarriak,149794.0
0160,2381,14100,,Bestelako langileak,3143.0
0160,2381,16000,,"Gizarte Segurantza, enpresaren kontura",81349.0
0160,2381,22711,,Berdintasun Plana,85000.0
0160,2381,22712,,Jaabetze feministarako eskola,130000.0
0160,2381,22713,,Indarkeria matxistaren prebentzioa eta arreta,100000.0
0160,2381,22714,,Sexu- eta genero-aniztasunerako agenda,60000.0
0160,2381,47132,,Hitzarmena: Emakumeen etxearen kudeaketa,150000.0
0160,2381,48120,,Hitzarmena: LGTBI behatokia,70000.0
0160,2381,48139,,Emakume elkarteentzako diru-laguntza deialdia,80000.0
0160,2381,62516,,"Emakumeen etxea, ekipamenduak",30000.0
0160,2381,62925,,LGTBI behatokia,20000.0
0171,3351,12000,,Funtzionarioen oinarrizko ordainsariak,194429.0
0171,3351,12100,,Funtzionarioen ordainsari osagarriak,224112.0
0171,3351,14100,,Bestelako langileak,51446.0
0171,3351,16000,,"Gizarte Segurantza, enpresaren kontura",148638.0
0171,3351,22741,,Gurasoentzako euskara eskolak,500000.0
0171,3351,22748,,Euskararen Astea,25000.0
0171,3351,22780,,Euskara plana,200044.8
0171,3351,22799,,"Kanpoko itzulpenak, euskera",20000.0
0171,3351,41803,,Hitzarmena: EUSKALTZAINDIA,73000.0
0171,3351,42302,,Hitzarmena: Merkataritzako Ganbera,10500.0
0171,3351,48001,,"Euskara ikasteko laguntzak, herritarrentzat",150000.0
0171,3351,48002,,Langileentzako ikasketa beka eta poltsak,60000.0
0171,3351,48003,,Euskaltegientzako dirulaguntzak,99000.0
0171,3351,48005,,Euskararen Plan Nagusiko dirulaguntzak,120000.0
0171,3351,48044,,Hitzarmena GEUrekin,77175.0
0171,3351,48048,,Hitzarmena Tinko elkartearekin,10500.0
0171,3351,48049,,Hitzarmena Euskharan elkartearekin,24255.0
0171,3351,48065,,Euskaraldia,100000.0
0171,3351,48997,,Hitzarmena: Bai euskarari,23100.0
0171,3351,62800,,Argitalpenak eta liburuak erostea,1000.0
0180,9271,11000,,Kabineteko behin-behineko langileen ordainsariak,98010.0
0180,9271,12000,,Funtzionarioen oinarrizko ordainsariak,108096.0
0180,9271,12100,,Funtzionarioen ordainsari osagarriak,124837.0
0180,9271,14100,,Bestelako langileak,3774.0
0180,9271,16000,,"Gizarte Segurantza, enpresaren kontura",107860.0
0180,9271,22603,,Argitalpenak eta publizitatea,650000.0
0180,9271,22612,,Eguneko prentsa erostea,25000.0
0180,9271,22616,,Prentsa-zerbitzuak,20000.0
0180,9271,22628,,Ikus-entxunezko komunikazioa,10000.0
0180,9271,22631,,Erakundeetako parte-hartzea,28000.0
0180,9271,22632,,Harpidetzak,4397.43
0180,9271,22634,,Ekitaldiak antolatzea eta ordezkaritza-gastuak,120440.0
0180,9271,22645,,Legez argitaratu beharreko iragarki ofizialak,180000.0
0180,9271,22730,,Argitalpen funtsak gordetzeko zerbitzua,20000.0
0180,9271,22732,,Bideo-akten zerbitzuaren kontratua,30000.0
0180,9271,62505,,Bestelako tresnak,2502.57
0180,9271,62518,,Prentsa aretoa berritu eta eguneratzea,50000.0
0181,2327,12000,,Funtzionarioen oinarrizko ordainsariak,63812.0
0181,2327,12100,,Funtzionarioen ordainsari osagarriak,77141.0
0181,2327,14100,,Bestelako langileak,45030.0
0181,2327,16000,,"Gizarte Segurantza, enpresaren kontura",52388.0
0181,2361,22604,,Zurrumurruen kontrako estrategia,30000.0
0181,2361,22608,,Informazio- eta prestakuntza-programa,22000.0
0181,2361,22610,,Hiri Hezitzailea,23000.0
0181,2361,22613,,Itzulpena eta interpretazioa,28000.0
0181,2361,22642,,Bizikidetza eta Aniztasun Plana,200000.0
0181,2361,41910,,Zurrumurruen kontrako euskal sarea,5000.0
0181,2361,48128,,Hitzarmena: Arabako Gorren Zentroa,22000.0
0181,2361,48150,,Hitzarmena: SECOT elkartearekin,3000.0
0181,2361,48901,,Diru-laguntza deialdi orokorra,80000.0
0181,2361,48970,,Hitzarmena: Eginaren Eginez elkartea,28000.0
0181,2361,48983,,Hitzarmena: Goian,104000.0
0181,2361,48985,,Diru-laguntzak: memoria historikoa,20000.0
0210,1502,12000,,Funtzionarioen oinarrizko ordainsariak,100470.0
0210,1502,12100,,Funtzionarioen ordainsari osagarriak,152071.0
0210,1502,14100,,Bestelako langileak,52460.0
0210,1502,16000,,"Gizarte Segurantza, enpresaren kontura",69240.0
0210,1502,22004,,Kartografia eta proiektuak editatu eta erreproduzitzea,2000.0
0210,1502,22111,,Tresnak,1000.0
0210,1502,22205,,"Bilerak, hitzaldiak eta biltzarrak",5000.0
0210,1502,22707,,Laguntza teknikoak,4000.0
0210,1502,22732,,Zerbitzuak emateko kontratuak,70000.0
0210,1502,23901,,Kalte-ordainak desjabetzeetako epaimahaiak,1000.0
0211,1511,12000,,Funtzionarioen oinarrizko ordainsariak,191612.0
0211,1511,12100,,Funtzionarioen ordainsari osagarriak,239047.0
0211,1511,14100,,Bestelako langileak,77251.0
0211,1511,16000,,"Gizarte Segurantza, enpresaren kontura",154522.0
0211,1511,60001,,Lurzoru desjabetzeak eta erosketak,679336.28
0211,1511,60203,,"Erakundearteko lankidetzaren ekarpena, San Frantsizko komentua",50000.0
0211,1511,60926,,"Hiitzarmenak arautzea, Katedraleko aparkalekua",40000.0
0211,1511,61405,,Eraikin eta espazio babestuen katalogoa,70000.0
0211,1511,64202,,Eguneratze kartografikoak,50000.0
0211,1511,64203,,Ordainsariak,50000.0
0211,1511,64206,,HAPO berrikustea,145000.0
0211,1511,64208,,Hirigune historikoko plan bereziaren berrikuspena,75000.0
0211,1511,64212,,Urbanizazio kuoten aurreikuspena,50000.0
0211,1511,64215,,"Akordio estrajudiziala, GSDNren lurzoruak okupatzea",20000.0
0211,1511,64334,,Notarioen ordainsaria. Jabetzak erregulatzeko erregistroa.,70000.0
0211,1513,71001,,Koroatzeko proiektua (REHABILITATION & DISTRICT HEATING),420000.0
0213,1502,22730,,Argitalpen funtsak gordetzeko zerbitzua,10000.0
0213,1512,12000,,Funtzionarioen oinarrizko ordainsariak,339849.0
0213,1512,12100,,Funtzionarioen ordainsari osagarriak,461991.0
0213,1512,14100,,Bestelako langileak,96124.0
0213,1512,16000,,"Gizarte Segurantza, enpresaren kontura",280672.0
0213,1512,22620,,Obras subsidiarias y apuntalamiento,250000.0
0213,1512,22747,,Eraikinen ikuskaritza teknikoa. Erdi Aroko eraikinetako esku hartzeak.,150000.0
0214,1502,62901,,Tresneria erostea,5000.0
0214,1502,64201,,Azterlanak eta proiektuak,30000.0
0214,9211,12000,,Funtzionarioen oinarrizko ordainsariak,245533.0
0214,9211,12100,,Funtzionarioen ordainsari osagarriak,303153.0
0214,9211,13000,,Lan-kontratudun langile finkoen ordainsariak,14848.0
0214,9211,14100,,Bestelako langileak,44502.0
0214,9211,16000,,"Gizarte Segurantza, enpresaren kontura",179178.0
0214,9211,60202,,Eskoriatza Eskibel jauregia,110000.0
0214,9211,60507,,Abetxukuko ekimen-etxea,500000.0
0214,9211,60608,,Patioak birnaturalizatzea,50000.0
0214,9211,60611,,Haztegiak eraistea,143373.9
0214,9211,60612,,Aratxabaletako haztegi berriak,1.0
0214,9211,61305,,Entzunaretoa,250000.0
0214,9211,61402,,Mendizorrotzeko eraikin soziala - Eraikinaren segurtasuna.,5000.0
0214,9211,61403,,Montehermoso. Eraikinaren segurtasuna.,5000.0
0214,9211,61404,,Udal eraikinetako beste esku hartze batzuk,5000.0
0214,9211,62215,,Udal ondareko inbertsioak,15000.0
0214,9211,62278,,Udal txakurtegia,250000.0
0214,9211,62297,,Udal eraikinak birgaitzea - EBren 2012/2017 Zuzentaraua,50000.0
0214,9211,64326,,Hirigunea biziberritzeko plana,200000.0
0214,9211,64516,,Gasteiz antzokia,1400000.0
0214,9211,77101,,Reforma campo fútbol mendizorroza,304000.0
0214,9212,62290,,Principal antzokia eraberritzea,530000.0
0216,1502,12000,,Funtzionarioen oinarrizko ordainsariak,192402.0
0216,1502,12100,,Funtzionarioen ordainsari osagarriak,238731.0
0216,1502,14100,,Bestelako langileak,28393.0
0216,1502,16000,,"Gizarte Segurantza, enpresaren kontura",134351.0
0218,1741,60150,,Herrietako obrak,150000.0
0218,1741,60151,,Foru-planeko lanen finantzaketa,100000.0
0218,1741,60700,,Nekazaritza Eremuko paisaia hobetzea,20000.0
0218,1742,22700,,"Hondakinak jasotzea eta mantentze lanak, herrietan eta hilerrian",1150000.0
0218,1743,21000,,Azpiegiturak eta ondasun naturalak,60000.0
0218,1743,21902,,"Baso-bide, landaketak eta naturguneak mantentzea",60000.0
0218,1743,21911,,Herrietako lorategiak onik zaintzea,260000.0
0218,1743,22111,,Tresnak,12000.0
0218,1743,22145,,Eremu hondatuak lehengoratzea,30000.0
0218,1743,72000,,"AFA, lursailen arteko bideak egitea",100000.0
0218,1749,12000,,Funtzionarioen oinarrizko ordainsariak,153463.0
0218,1749,12100,,Funtzionarioen ordainsari osagarriak,225952.0
0218,1749,13000,,Lan-kontratudun langile finkoen ordainsariak,119353.0
0218,1749,14100,,Bestelako langileak,2915.0
0218,1749,16000,,"Gizarte Segurantza, enpresaren kontura",157657.0
0218,1749,48112,,Hitzarmena: Kontzejuen elkartea,115000.0
0218,1749,78919,,Diru-laguntzak: gizarte zentroak,40000.0
022201,1691,12000,,Funtzionarioen oinarrizko ordainsariak,95504.0
022201,1691,12100,,Funtzionarioen ordainsari osagarriak,136237.0
022201,1691,14100,,Bestelako langileak,123821.0
022201,1691,16000,,"Gizarte Segurantza, enpresaren kontura",113883.0
022201,1722,62916,,Zabortegiaren ingurumen kalitatea,125000.0
022202,1623,60706,,Hondakinen plana,85000.0
022202,1623,60711,,Zabortegia 481/2001 Errege Dekretura egokitzea,145000.0
022202,1623,64316,,Zaraten mapa estrategikoko ekintza plana (MER),75000.0
022202,1721,21040,,Kontrol- eta diagnosi-ekipoak mantentzea,130000.0
022202,1721,22115,,Ordezko piezak eta suntsikorrak,5000.0
022202,1721,60305,,Gardelegiko zabortegiko instalazioak,20000.0
022202,1722,12000,,Funtzionarioen oinarrizko ordainsariak,50762.0
022202,1722,12100,,Funtzionarioen ordainsari osagarriak,69203.0
022202,1722,14100,,Bestelako langileak,9924.0
022202,1722,16000,,"Gizarte Segurantza, enpresaren kontura",32310.0
022202,1722,48196,,Hitzarmena: GAIA,10000.0
022202,1722,60182,,Zuhaitz proiektua,65000.0
022202,1722,60919,,Eraztun berdeko azpiegitura berdeak,50000.0
022202,1722,64329,,Erdi Aroko hirigunean zarataren kontra sentsibilizatzeko plana,25000.0
022202,1722,64330,,Zarata kontrolatzeko sarea,15000.0
022203,1621,22700,,Garbiketarako eta hondakinen bilketa eta garraiorako kontratua,9437066.3
022203,1621,22703,,Bilketa pneumatikoaren kontratua,1839675.5
022203,1621,22715,,Hondakinen gaikako bilketa,549343.0
022203,1621,22724,,Garbiguneak ustiatzeko kontratua,427396.17
022203,1622,21204,,Zabortegiko instalazioak mantentzea,10000.0
022203,1622,22723,,Zabortegia ustiatzeko kontratua,1180413.41
022203,1622,64304,,"Ordainsariak, azterlanak eta proiektuak",20000.0
022203,1622,64318,,Dibertsitatea kontserbatzeko azterlanak,75000.0
022203,1623,22111,,Tresnak,5000.0
022203,1623,22702,,Jundizko hiri hondakinen lantegia ustiatzeko kontratua,8372877.63
022203,1623,22710,,Tamaina handikoen bilketarako kontratua,1044371.23
022203,1623,47132,,"Hitzarmena, Vital Fundazioa, 0 plastiko",20000.0
022203,1623,60907,,"Uraren, airearen eta lurraren kalitatea kontrolatzea",55000.0
022203,1623,62901,,Ekipoak erostea,6000.0
022203,1631,22700,,Garbiketa-zerbitzuaren kontratua - kale-garbiketa,17083488.45
022203,1722,12000,,Funtzionarioen oinarrizko ordainsariak,134866.0
022203,1722,12100,,Funtzionarioen ordainsari osagarriak,183638.0
022203,1722,13000,,Lan-kontratudun langile finkoen ordainsariak,53175.0
022203,1722,14100,,Bestelako langileak,42185.0
022203,1722,16000,,"Gizarte Segurantza, enpresaren kontura",144252.0
022204,1711,12000,,Funtzionarioen oinarrizko ordainsariak,60700.0
022204,1711,12100,,Funtzionarioen ordainsari osagarriak,78639.0
022204,1711,13000,,Lan-kontratudun langile finkoen ordainsariak,72015.0
022204,1711,14100,,Bestelako langileak,5656.0
022204,1711,16000,,"Gizarte Segurantza, enpresaren kontura",64191.0
022204,1711,21073,,Arboretoa onik zaintzea,20000.0
022204,1711,21074,,Kanpoko Eraztun Berdea onik zaintzeko lanak,400000.0
022204,1711,22758,,Etxebizitzaren alokairu-indizeei buruzko kanpaina,20000.0
022204,1711,22759,,50-50 Programa ,20000.0
022204,1711,22793,,Our City - Our energy,10000.0
022204,1711,60916,,Tokiko (Hiriko) 2030 Agenda ,40000.0
022204,1711,64305,,Klimaren eta energia iraunkorraren aldeko ekintza plana,50000.0
022204,1711,64306,,Eguzki-eraztuna,150000.0
022204,1711,64319,,Eremu elektromagnetikoak kontrolatzeko sarea,15000.0
022204,1711,64321,,Energia berriztagarrien plana,100000.0
0320,1301,11000,,Kabineteko behin-behineko langileen ordainsariak,86442.0
0320,1301,12000,,Funtzionarioen oinarrizko ordainsariak,50255.0
0320,1301,12100,,Funtzionarioen ordainsari osagarriak,54646.0
0320,1301,16000,,"Gizarte Segurantza, enpresaren kontura",39572.0
0320,1301,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,16161.0
0330,1301,12000,,Funtzionarioen oinarrizko ordainsariak,385164.0
0330,1301,12100,,Funtzionarioen ordainsari osagarriak,506480.0
0330,1301,14100,,Bestelako langileak,19110.0
0330,1301,16000,,"Gizarte Segurantza, enpresaren kontura",272495.0
0340,1351,21102,,Larrialdi eta elurteetako gastuak,100000.0
0340,1351,21300,,Ibilgailuak konpontzea,65000.0
0340,1351,22701,,Jaietako gastu operatibo sanitarioak,13000.0
0340,1361,12000,,Funtzionarioen oinarrizko ordainsariak,1532845.0
0340,1361,12100,,Funtzionarioen ordainsari osagarriak,3186825.0
0340,1361,14100,,Bestelako langileak,572760.0
0340,1361,16000,,"Gizarte Segurantza, enpresaren kontura",2108237.0
0340,1361,21900,,Ekipoak berritzea eta erostea,75000.0
0340,1361,22105,,Jantziak eta uniformeak,90000.0
0340,1361,22111,,Tresna eta lanabesak ,40000.0
0340,1361,22199,,Bestelako hornikuntzak,30000.0
0340,1361,22699,,Bestelako hainbat gastu,10000.0
0340,1361,62400,,Ibilgailuak,63693.96
0340,1361,62901,,Tresneria erostea,5000.0
0350,1321,12000,,Funtzionarioen oinarrizko ordainsariak,5810882.0
0350,1321,12100,,Funtzionarioen ordainsari osagarriak,12762973.0
0350,1321,14100,,Bestelako langileak,9915.0
0350,1321,16000,,"Gizarte Segurantza, enpresaren kontura",1783839.0
0350,1321,16500,,"Elkarkidetzako kuotak, Udalaren kontura",5054675.0
0350,1321,20501,,TETRA irratikomunikazio sistemaren rentinga,9000.0
0350,1321,21001,,Andre Maria Zuriaren jaietako segurtasuna,2997.0
0350,1321,21300,,Ibilgailuak konpontzea,75000.0
0350,1321,21900,,Ekipoak berritzea eta erostea,86936.0
0350,1321,21905,,Segurtasun scannerra eta USPa onik zaintzea,7500.0
0350,1321,22105,,Jantziak eta uniformeak,250000.0
0350,1321,22111,,Tresna eta lanabesak ,30000.0
0350,1321,22199,,Bestelako hornikuntzak,15000.0
0350,1321,22699,,Bestelako hainbat gastu,25000.0
0350,1321,62400,,Ibilgailuak,100000.0
0350,1321,62501,,Altzariak,3000.0
0350,1321,62901,,Tresneria eta instalazioak erostea,12000.0
0410,0111,32201,,Epe laburreko maileguen interesak,75000.0
0410,0111,33201,,Epe luzeko maileguen interesak,550000.0
0410,0111,93300,,Epe luzeko maileguen amortizazioa,10950550.0
0410,1513,73102,,Ingurugiro Gaietarako Ikastegiari,45000.0
0410,1513,73310,,21. Zabalguneari: urrezko auzoetako inbertsioak,1500000.0
0410,1722,43102,,Ingurugiro Gaietarako Ikastegiari,2790939.79
0410,2381,22675,,Genero-ikuspegi aurrekontua - Aholkularitza teknikoa,20000.0
0410,2411,20301,,GEPO - Ibilgailuen rentinga,42350.0
0410,4411,43300,,"Ekarpena, TUVISAri",14500000.0
0410,4411,73300,,TUVISAri,1100000.0
0410,9204,62629,,"Sistema informatikoa, udal inbentarioa",200000.0
0410,9205,20301,,Ibilgailuen rentinga,410000.0
0410,9205,21300,,Ibilgailuak konpontzea,185000.0
0410,9205,22104,,Erregaiak,300000.0
0410,9205,22404,,Ibilgailuen aseguruak,138000.0
0410,9205,62400,,Ibilgailuak erostea,140000.0
0410,9206,21400,,Altzariak konpontzea,4000.0
0410,9206,21500,,Ekipoak mantentzeko kontratuak,200000.0
0410,9206,22001,,"Ohikoa, inbentariatu ezina",200000.0
0410,9206,62501,,Altzariak,15000.0
0410,9206,62505,,Udal sailetako hainbat erosketa,15000.0
0410,9207,20100,,Lokal eta eraikinak alokatzea,3431000.0
0410,9207,22110,,Kopiagintza-gastuak,60000.0
0410,9207,22402,,Erantzukizun zibileko aseguruak,336000.0
0410,9207,22407,,Bizitza- eta istripu-asegurua,40000.0
0410,9207,22600,,Ondasunen erregistro-gastuak,25000.0
0410,9207,22732,,Zerbitzuak emateko kontratuak,90000.0
0410,9207,62900,,Ezbeharrengatiko berritzeak,1.0
0410,9211,62298,,"Inbertsioak, San Martin",125000.0
0410,9213,22102,,Ur-hornidura eta hondar-urak araztea,1700000.0
0410,9213,22103,,Ur hornikuntza zatikatzea - AMVISArekin hitzarmena,1593757.31
0410,9271,41800,,EUDELi,258925.04
0410,9311,22499,,Ondarearen gaineko erantzukizunarengatiko kalte-ordaina,150000.0
0410,9312,50001,,Kreditu Globala,208393.66
0410,9319,12000,,Funtzionarioen oinarrizko ordainsariak,53042.0
0410,9319,12100,,Funtzionarioen ordainsari osagarriak,92125.0
0410,9319,14100,,Bestelako langileak,1057.0
0410,9319,16000,,"Gizarte Segurantza, enpresaren kontura",29777.0
0410,9321,22776,,Isunen Ataleko zerbitzuak,180500.0
0410,9331,22401,,Udal eraikin eta lokalen aseguruak,385000.0
0410,9331,22601,,Auzo-komunitateetako gastuak,506000.0
0410,9331,22631,,AIREF tasa,3300.0
0410,9331,22663,,Elorriagako ustiapenak bertan behera geratzea konpentsatzea,52300.0
0410,9331,22760,,Erloju publikoak mantentzea,20000.0
0410,9331,64900,,Industria jabegoa,1000.0
0410,9341,36100,,"Interesak, zor ez ziren sarrerak itzultzean",100000.0
0410,9341,36101,,Diru-sarrerei loturiko finantza-gastuak,130000.0
0410,9341,36102,,Berandutze interesak,368500.0
0410,9341,36900,,Bestelako finantza-gastuak,5000.0
0411,9321,12000,,Funtzionarioen oinarrizko ordainsariak,73501.0
0411,9321,12100,,Funtzionarioen ordainsari osagarriak,97197.0
0411,9321,14100,,Bestelako langileak,9725.0
0411,9321,16000,,"Gizarte Segurantza, enpresaren kontura",55330.0
0412,9314,12000,,Funtzionarioen oinarrizko ordainsariak,27655.0
0412,9314,12100,,Funtzionarioen ordainsari osagarriak,42259.0
0412,9314,16000,,"Gizarte Segurantza, enpresaren kontura",12809.0
0414,9312,12000,,Funtzionarioen oinarrizko ordainsariak,99894.0
0414,9312,12100,,Funtzionarioen ordainsari osagarriak,128829.0
0414,9312,16000,,"Gizarte Segurantza, enpresaren kontura",56505.0
0415,9323,12000,,Funtzionarioen oinarrizko ordainsariak,106395.0
0415,9323,12100,,Funtzionarioen ordainsari osagarriak,138432.0
0415,9323,16000,,"Gizarte Segurantza, enpresaren kontura",54734.0
0416,9341,12000,,Funtzionarioen oinarrizko ordainsariak,98422.0
0416,9341,12100,,Funtzionarioen ordainsari osagarriak,133769.0
0416,9341,16000,,"Gizarte Segurantza, enpresaren kontura",58759.0
0417,9322,12000,,Funtzionarioen oinarrizko ordainsariak,79211.0
0417,9322,12100,,Funtzionarioen ordainsari osagarriak,107714.0
0417,9322,14100,,Bestelako langileak,50838.0
0417,9322,16000,,"Gizarte Segurantza, enpresaren kontura",57374.0
0418,9319,12000,,Funtzionarioen oinarrizko ordainsariak,935043.0
0418,9319,12100,,Funtzionarioen ordainsari osagarriak,1155822.0
0418,9319,14100,,Bestelako langileak,327294.0
0418,9319,16000,,"Gizarte Segurantza, enpresaren kontura",717600.0
0421,9314,12000,,Funtzionarioen oinarrizko ordainsariak,103859.0
0421,9314,12100,,Funtzionarioen ordainsari osagarriak,128317.0
0421,9314,14100,,Bestelako langileak,8047.0
0421,9314,16000,,"Gizarte Segurantza, enpresaren kontura",62594.0
0810,4301,11000,,Kabineteko behin-behineko langileen ordainsariak,6710.0
0810,4301,12000,,Funtzionarioen oinarrizko ordainsariak,43302.0
0810,4301,12100,,Funtzionarioen ordainsari osagarriak,62882.0
0810,4301,14100,,Bestelako langileak,32990.0
0810,4301,16000,,"Gizarte Segurantza, enpresaren kontura",36652.0
0810,4331,22712,,Film Office bultzatzea,20000.0
0810,4331,22797,,Toki garapenerako bulegoa: Dinamizazio Ekonomikoa,590000.0
0810,4331,47104,,Toki garapenerako bulegoa: ekitaldiak erakartzeko laguntzak,70000.0
0817,4334,85107,,Parke teknologikoaren kapital-zabalkuntza,52600.0
0819,4301,12000,,Funtzionarioen oinarrizko ordainsariak,178748.0
0819,4301,12100,,Funtzionarioen ordainsari osagarriak,222883.0
0819,4301,14100,,Bestelako langileak,54693.0
0819,4301,16000,,"Gizarte Segurantza, enpresaren kontura",136027.0
0820,4301,12000,,Funtzionarioen oinarrizko ordainsariak,146881.0
0820,4301,12100,,Funtzionarioen ordainsari osagarriak,160500.0
0820,4301,14100,,Bestelako langileak,57461.0
0820,4301,16000,,"Gizarte Segurantza, enpresaren kontura",106954.0
0821,4221,22683,,Jundiz eko-industriala,30000.0
0821,4221,22763,,Ekonomia zirkularra,37000.0
0821,4221,22779,,Festval - Fila 2 babestea,32500.0
0821,4221,62952,,Industrialdeak mantentzea,100000.0
0821,4331,12000,,Funtzionarioen oinarrizko ordainsariak,214029.0
0821,4331,12100,,Funtzionarioen ordainsari osagarriak,235691.0
0821,4331,14100,,Bestelako langileak,53679.0
0821,4331,16000,,"Gizarte Segurantza, enpresaren kontura",153496.0
0821,4331,22677,,Ekintzaileentzako laguntza,63000.0
0821,4331,22712,,Enpresa-mintegien kudeaketa,19500.0
0821,4331,22713,,Interreg Phydsudoe2,1.0
0821,4331,22769,,Laguntza berezien zerbitzua,190000.0
0821,4331,22770,,F2pcampus Katoid Techno babestea ,25000.0
0821,4331,41900,,Ekintzailetzari laguntzeko EHU-rekiko hitzarmena,5000.0
0821,4331,47002,,Ekarpena BIC,100000.0
0821,4331,47102,,Sorkuntzarekin lotutako industrientzako enplegu-laguntzak,100000.0
0821,4331,47107,,Hitzarmena: AJEBASK- Prestakuntza eta mintegia,15000.0
0821,4331,47131,,Hitzarmena: Euskal Irudigileak,13000.0
0821,4331,47132,,Araba Garapen Agentzia hitzarmena,10000.0
0821,4331,48175,,"Hitzarmena VIA-rekin, pasaiari-jarduera bultzatzeko",300000.0
0821,4331,48180,,VIArentzako transferentziak,60000.0
0821,4331,48905,,"Hitzarmena: Prestaturik, berrerabili",23000.0
0821,4331,48943,,Enpresen Gizarte Erantzukizunari buruzko Foroa,4000.0
0821,4331,48949,,Ekintzaileentzako bekak,85000.0
0821,4331,48967,,Enpresak sortzeko eta sendotzeko laguntzak,126700.0
0821,4331,48985,,Itun Berdea sariak,10000.0
0821,4331,48986,,"Hitzarmena, Merkataritza Ganberarekin - enpresa txikiei laguntzea",32000.0
0821,4331,48996,,Hitzarmena: Arco n1,9200.0
0821,4331,60902,,Mintegiko inbertsioak - Basaldea proiektua,75000.0
0821,4331,62601,,Mintegietako berrikuntza eta ekipamenduak,60000.0
0821,4333,48172,,Hitzarmena: Santa Maria Katedrala fundazioa,32000.0
0822,4312,61406,,Azoketako obrak ,45000.0
0822,4314,12000,,Funtzionarioen oinarrizko ordainsariak,58196.0
0822,4314,12100,,Funtzionarioen ordainsari osagarriak,63002.0
0822,4314,14100,,Bestelako langileak,88351.0
0822,4314,16000,,"Gizarte Segurantza, enpresaren kontura",62186.0
