#Económico,Denominación Aplicación Ingresos,C.DEFINITVO,DRN NETOS
34013,Cursos y talleres de cultura,203871.52,237324.29
34014,Taquillas  teatro,370000.0,339356.1
34015,Prestación de servicios de ludotecas,11000.0,10969.56
34016,Prestamos de material audiovisual e iluminación de juventud,4900.0,3322.6
34018,Talleres de presidencia,169575.86,195854.99
34020,Abonados a campañas deportivas,750000.0,951347.66
34023,Estancia en el C.A.M.A.S.,50000.0,84898.98
34024,Estancias en pisos tutelados,0.0,460.0
34025, comidas centro socioculturales de mayores,290000.0,68.0
34026,Liquidación estancias en residencias 3ª edad,55000.0,21266.42
34029,Cursos y actividades formativas,7500.0,0.0
34032,Venta de entradas presidencia,6371.62,3693.35
34038,Servicio de bodas,12000.0,16932.96
34039,Compensación gastos de gestión,822148.01,980131.51
34040,Ingresos estación de autobuses,450000.0,497747.54
34041,Usos parcelas huertos urbanos,10000.0,9675.61
34043,Ingresos aparcamientos de bicicletas seguros,7300.0,11973.5
36100,Extinción incendios - cuota UNESPA y cías no conveniadas,1040000.0,1237984.62
38001,Reintegro por pagos,995272.04,1079002.1
38002,Reintegros gastos por publicaciones en anuncios,15000.0,31642.04
38003,Reintegro de gastos o indemnizaciones de cías. aseguradoras,209001.0,529079.38
38004,Reintegros por costas de la vía de apremio,8000.0,148.33
38005,Reintegro indemnizaciones vía judicial,1000.0,0.0
38008,Reintegro explotaciones de servicios,126000.0,98770.68
39101,Multas por infracciones de tráfico,5480000.0,4124583.49
39102,Ingresos por procedimientos sancionadores,1600000.0,1840730.09
39103,Sanciones por incumplimientos contractuales,0.0,1302958.66
39201,Recargos de apremio,1030000.0,993699.38
39401,Daños en vía pública por accidentes de vehículos,90000.0,54433.87
39402,Daños en bienes mpales.por actos vandálicos,15000.0,5212.85
39403,Actuaciones del SEIS por limpieza de calzadas por accid,0.0,137.21
39404,Ingresos ejecuciones subsidiarias,40000.0,4538.3
39405,Ingresos derivados de costas judiciales,25000.0,0.0
39601,Ingresos  empresas de telefonía,850000.0,787044.91
39901,Donativos,0.0,3112.2
39902,Otros ingresos diversos,125000.0,586.37
39903,Intereses demora ejercicios anteriores,1000.0,-119.71
39906,Donativos Belén de La Florida,5405.47,5404.47
39907,Ingresos rifa San Antón,1.0,8342.8
39909,Participación ingresos aparcamientos,25000.0,1947.25
40000,De la Admón. General,622600.0,3272898.01
40001,Impuestos no concertados,0.0,297225.64
41000,Del Gobierno Vasco,23500247.08,19444895.13
42000,De la Diputación foral de Alava,7005094.36,8390932.16
42001,FOFEL,166226932.34,166312871.22
42002,Liquidación FOFEL,6420976.29,7208976.29
47000,Plan esponsorización,0.0,31200.0
47101,Laboral Kutxa,19000.0,0.0
48000,De familias,50000.0,113500.0
48100,Fundación Vital,15000.0,0.0
49000,De entes de la Unión Europea,50000.0,13578.57
52500,Intereses en cajas y bancos ayuntamiento,1000.0,51.71
53100,Participación en beneficios de empresas con participación mpal.,1700000.0,900000.0
53200,De otras empresas,0.0,0.0
54001,Rentas arrendamientos fincas urbanas Ayto,105000.0,66956.25
54002,Arrendamiento locales semillero de empresas,125000.0,139507.43
54003,Arrendamiento plaza de toros,25000.0,0.0
54004,Servicio hostelería en inmuebles municipales,23000.0,0.0
54101,Arrendamiento de terrenos rústicos,0.0,1428.62
55000,Productos de concesiones,675500.0,527956.72
55004,Cesión de uso plazas aparcamiento,28000.0,19207.86
59002,Utilización de terrenos,40000.0,5764.31
60300,Venta de terrenos PMS (incluídos honorarios de proy. básicos),3675132.85,5122552.0
61200,De edificios y otras construcciones,4466515.33,0.0
65000,Plusvalías construcción viviendas en Dato - Gral. Alava,976694.0,0.0
65100,Aprovechamientos urbanísticos,0.0,976964.56
70000,Del Estado,0.0,250000.0
71000,Del Gobierno Vasco,25621245.03,18630655.04
72000,De la Diputación Foral de Alava,9684489.76,7564466.39
73000,Entes públicos dentro término municipal,10000.0,0.0
77000,Empresas privadas,0.0,19000.0
87000,Remanente Tesorería gastos generales,10819536.17,0.0
87001,Remanente de Tesorería para gastos financiación afectada,13287416.04,0.0
93301,Préstamos para la financiación de inversiones,17050000.0,15050000.0
