#Organikoa,Funtzionala,Ekonomikoa,Aplikazioaren izena,Hasierako kreditua,Behin betiko kreditua,Behartua
0210,1900,16000,"Gizarte Segurantza, enpresaren kontura",48926.0,48926.0,69329.79
0210,1900,16500,"Elkarkidetzako kuotak, Udalaren kontura",2458.0,2458.0,2568.72
0210,1900,22004,Kartografia eta proiektuak editatu eta erreproduzitzea,4000.0,4000.0,1511.9
0210,1900,22707,Laguntza teknikoak,10000.0,10000.0,1361.25
0210,4321,12000,Funtzionarioen oinarrizko ordainsariak,0.0,0.0,0.0
0210,4321,12100,Funtzionarioen ordainsari osagarriak,0.0,0.0,0.0
0210,4321,16000,"Gizarte Segurantza, enpresaren kontura",0.0,0.0,0.0
0211,4321,12000,Funtzionarioen oinarrizko ordainsariak,23658.0,23658.0,114498.76
0211,4321,12100,Funtzionarioen ordainsari osagarriak,35384.0,35384.0,155015.38
0211,4321,14100,Bestelako langileak,0.0,0.0,227415.8
0211,4321,16000,"Gizarte Segurantza, enpresaren kontura",9860.0,9860.0,135795.33
0211,4321,16500,"Elkarkidetzako kuotak, Udalaren kontura",93.0,93.0,685.66
0211,4322,12000,Funtzionarioen oinarrizko ordainsariak,205370.0,205370.0,73454.24
0211,4322,12100,Funtzionarioen ordainsari osagarriak,278606.0,278606.0,93252.21
0211,4322,14100,Bestelako langileak,177517.0,177517.0,0.0
0211,4322,16000,"Gizarte Segurantza, enpresaren kontura",172386.0,172386.0,45650.8
0211,4322,16500,"Elkarkidetzako kuotak, Udalaren kontura",573.0,573.0,216.02
0213,4340,12000,Funtzionarioen oinarrizko ordainsariak,298868.0,298868.0,291876.9
0213,4340,12100,Funtzionarioen ordainsari osagarriak,383496.0,383496.0,382140.51
0213,4340,14100,Bestelako langileak,99272.0,99272.0,33903.76
0213,4340,16000,"Gizarte Segurantza, enpresaren kontura",214800.0,214800.0,191597.25
0213,4340,16500,"Elkarkidetzako kuotak, Udalaren kontura",1142.0,1142.0,1772.94
0213,4340,22620,Lan subsidiarioak eta eskoratzeak,30000.0,21366.5,11516.78
0213,4340,22730,Argitalpen funtsak gordetzeko zerbitzua,15000.0,15000.0,12095.48
0214,4311,12000,Funtzionarioen oinarrizko ordainsariak,83245.0,83245.0,84047.69
0214,4311,12100,Funtzionarioen ordainsari osagarriak,99505.0,99505.0,98860.12
0214,4311,16000,"Gizarte Segurantza, enpresaren kontura",56577.0,56577.0,56386.61
0214,4311,16500,"Elkarkidetzako kuotak, Udalaren kontura",374.0,374.0,584.0
0214,4330,12000,Funtzionarioen oinarrizko ordainsariak,158580.0,158580.0,167349.27
0214,4330,12100,Funtzionarioen ordainsari osagarriak,195319.0,195319.0,214059.12
0214,4330,14100,Bestelako langileak,37810.0,37810.0,38084.54
0214,4330,16000,"Gizarte Segurantza, enpresaren kontura",106922.0,106922.0,113684.73
0214,4330,16500,"Elkarkidetzako kuotak, Udalaren kontura",345.0,345.0,540.1
0216,4321,12000,Funtzionarioen oinarrizko ordainsariak,208845.0,208845.0,191347.74
0216,4321,12100,Funtzionarioen ordainsari osagarriak,264262.0,264262.0,236858.83
0216,4321,14100,Bestelako langileak,19819.0,19819.0,26566.05
0216,4321,16000,"Gizarte Segurantza, enpresaren kontura",148961.0,148961.0,143730.48
0216,4321,16500,"Elkarkidetzako kuotak, Udalaren kontura",979.0,979.0,1432.72
0320,1900,12000,Funtzionarioen oinarrizko ordainsariak,69881.0,69881.0,50979.97
0320,1900,12100,Funtzionarioen ordainsari osagarriak,98542.0,98542.0,71249.19
0320,1900,16000,"Gizarte Segurantza, enpresaren kontura",29507.0,29507.0,31432.79
0320,1900,16500,"Elkarkidetzako kuotak, Udalaren kontura",480.0,480.0,264.04
0320,2224,12000,Funtzionarioen oinarrizko ordainsariak,0.0,0.0,0.0
0320,2224,12100,Funtzionarioen ordainsari osagarriak,0.0,0.0,0.0
0320,2224,14100,Bestelako langileak,0.0,0.0,0.0
0320,2224,16000,"Gizarte Segurantza, enpresaren kontura",0.0,0.0,0.0
0320,2224,16500,"Elkarkidetzako kuotak, Udalaren kontura",0.0,0.0,0.0
0320,5111,20200,TAO txartelak saltzeko makinak mantentzea,0.0,0.0,0.0
0320,5112,12000,Funtzionarioen oinarrizko ordainsariak,0.0,0.0,0.0
0320,5112,12100,Funtzionarioen ordainsari osagarriak,0.0,0.0,0.0
0320,5112,16000,"Gizarte Segurantza, enpresaren kontura",0.0,0.0,0.0
0320,5112,16500,"Elkarkidetzako kuotak, Udalaren kontura",0.0,0.0,0.0
0320,5112,21910,Trafikoa kontrolatzeko sistema mantentzea,0.0,0.0,0.0
0320,5113,21050,Seinaleztapena onik zaintzea,0.0,0.0,0.0
0330,1900,12000,Funtzionarioen oinarrizko ordainsariak,344875.0,344875.0,365199.06
0330,1900,12100,Funtzionarioen ordainsari osagarriak,454998.0,454998.0,485577.77
0330,1900,14100,Bestelako langileak,87047.0,87047.0,118279.64
0330,1900,16000,"Gizarte Segurantza, enpresaren kontura",260364.0,260364.0,283231.22
0330,1900,16220,Kalte-ordainak,0.0,0.0,0.0
0330,1900,16500,"Elkarkidetzako kuotak, Udalaren kontura",1226.0,1226.0,2001.46
0340,2231,12000,Funtzionarioen oinarrizko ordainsariak,1564056.0,1564056.0,1556076.63
0340,2231,12100,Funtzionarioen ordainsari osagarriak,2965976.0,2965976.0,2855747.26
0340,2231,14100,Bestelako langileak,1641966.0,1641966.0,1595864.9
0340,2231,16000,"Gizarte Segurantza, enpresaren kontura",2286484.0,2286484.0,2324469.52
0340,2231,16500,"Elkarkidetzako kuotak, Udalaren kontura",36531.0,36531.0,13239.03
0340,2231,21300,Ibilgailuak konpontzea,60000.0,40000.0,63920.85
0340,2231,21900,Ekipoak berritzea eta erostea,50000.0,65000.0,40143.66
0340,2231,22105,Jantziak eta uniformeak,100000.0,89482.35,84972.08
0340,2231,22111,Tresna eta lanabesak,30000.0,20000.0,15410.28
0340,2231,22199,Bestelako hornikuntzak,36000.0,29277.3,28898.74
0340,2231,22699,Bestelako hainbat gastu,10000.0,10000.0,13266.45
0340,2233,21300,Ibilgailuak konpontzea - SISEU,0.0,0.0,0.0
0340,2233,21900,Ekipoak berritzea eta erostea - SISEU,0.0,0.0,0.0
0340,2233,22105,Jantziak eta uniformeak,0.0,0.0,0.0
0340,2233,22111,Tresna eta lanabesak - SISEU,0.0,0.0,0.0
0340,2233,22199,Bestelako hornikuntzak - SISEU,0.0,0.0,0.0
0340,2233,22638,Boluntarioen prestakuntza - Gobiaran - Kanpezu,0.0,0.0,0.0
0340,2233,22699,Bestelako hainbat gastu,0.0,0.0,0.0
0340,2234,21000,Azpiegiturak eta ondasun naturalak,1.0,1.0,0.0
0340,2234,21102,Larrialdietako gastuak,65000.0,65000.0,65139.12
0340,2234,21104,Elurteetako jardunak,1.0,430439.06,431212.75
0350,2221,12000,Funtzionarioen oinarrizko ordainsariak,5551948.0,5551948.0,6112215.24
0350,2221,12100,Funtzionarioen ordainsari osagarriak,10825915.0,10825915.0,10748222.52
0350,2221,14100,Bestelako langileak,0.0,0.0,0.0
0350,2221,16000,"Gizarte Segurantza, enpresaren kontura",4463031.0,4463031.0,4776773.68
0350,2221,16220,Kalte-ordainak,0.0,0.0,0.0
0350,2221,16500,"Elkarkidetzako kuotak, Udalaren kontura",32503.0,32503.0,23102.72
0350,2221,20501,TETRA irratikomunikazio sistemaren rentinga,8000.0,8000.0,7355.13
0350,2221,21300,Ibilgailuak konpontzea,60000.0,90000.0,93383.33
0350,2221,21900,Ekipoak berritzea eta erostea,60000.0,60000.0,39989.64
0350,2221,21905,Segurtasun scannerra eta USPa onik zaintzea,7500.0,7500.0,5255.08
0350,2221,22105,Jantziak eta uniformeak,115000.0,100000.0,81200.53
0350,2221,22111,Tresna eta lanabesak,50000.0,20000.0,9100.48
0350,2221,22112,Osasun-material eta -jarduerak,3000.0,3000.0,1350.9
0350,2221,22199,Bestelako hornikuntzak,20000.0,20000.0,22014.2
0350,2221,22699,Bestelako hainbat gastu,10000.0,10000.0,12668.74
0350,2223,21900,Ekipoak berritzea eta erostea,5000.0,5000.0,524.68
0350,2223,22199,Bestelako hornikuntzak,10000.0,10000.0,2768.27
0350,2223,22699,Bestelako hainbat gastu,11000.0,11000.0,28516.39
0350,2234,21000,Azpiegiturak eta ondasun naturalak,3900.0,3900.0,3060.33
0410,0111,32000,Epe laburreko zorraren interes eta komisioak,780640.0,780640.0,277873.98
0410,0111,33000,Epe luzeko zorraren interesak eta komisioak,2936000.0,2505561.94,1512253.09
0410,0111,36100,"Interesak, zor ez ziren sarrerak itzultzean",140000.0,140000.0,66614.13
0410,0111,36101,Diru-sarrerei loturiko finantza-gastuak,130000.0,130000.0,168210.15
0410,0111,36900,Bestelako finantza-gastuak,10000.0,10000.0,1009.09
0410,0111,91005,Kredituen amortizazioa,14344111.84,24635933.68,14344111.88
0410,1200,22101,Energia elektrikoa,9000000.0,10218381.49,10131917.68
0410,1200,22102,Ur-hornidura eta hondar-urak araztea,900000.0,900000.0,431894.38
0410,1200,22401,Udal eraikin eta lokalen aseguruak,350000.0,350000.0,340987.43
0410,1201,20301,Ibilgailuen rentinga,753000.0,666776.21,587418.36
0410,1201,21300,Ibilgailuak konpontzea,200000.0,180000.0,122470.12
0410,1201,22104,Erregaiak,420000.0,420000.0,391102.06
0410,1201,22404,Ibilgailuen aseguruak,127000.0,127000.0,130304.02
0410,1203,21400,Altzariak konpontzea,10000.0,10000.0,4517.99
0410,1203,21500,Ekipoak mantentzeko kontratuak,160000.0,160000.0,165375.04
0410,1203,22001,"Ohikoa, inbentariatu ezina",270000.0,220000.0,166026.03
0410,1203,22110,Kopiagintza-gastuak,100000.0,100000.0,57685.75
0410,1203,22663,Elorriagako ustiapenak bertan behera geratzea konpentsatzea,51000.0,51000.0,51252.35
0410,1203,22732,Zerbitzuak emateko kontratuak,119000.0,107505.0,85299.16
0410,1204,20100,Lokal eta eraikinak alokatzea,2800000.0,2847127.7,2846115.03
0410,1204,22402,Erantzukizun zibileko aseguruak,315000.0,315000.0,312208.81
0410,1204,22407,Bizitza- eta istripu-asegurua,20000.0,20000.0,35080.95
0410,1204,22499,Ondarearen gaineko erantzukizunarengatiko kalte-ordaina,230000.0,335693.52,314075.67
0410,1204,22601,Auzo-komunitateetako gastuak,250000.0,250000.0,235179.85
0410,1204,22760,Erloju publikoak mantentzea,19300.0,19300.0,20455.6
0410,1261,22639,Atezaintza-gastuak,475.0,475.0,0.0
0410,1900,22695,CEDRO lizentziak,5524.0,5524.0,0.0
0410,6111,12000,Funtzionarioen oinarrizko ordainsariak,26184.0,26184.0,26183.54
0410,6111,12100,Funtzionarioen ordainsari osagarriak,48717.0,48717.0,48716.52
0410,6111,16000,"Gizarte Segurantza, enpresaren kontura",9866.0,9866.0,10359.36
0410,6111,16500,"Elkarkidetzako kuotak, Udalaren kontura",93.0,93.0,145.34
0410,6111,22600,Ondasunen erregistro-gastuak,30000.0,30000.0,27594.88
0410,6111,22611,Katastroa mantentzea,516000.0,516000.0,496777.92
0410,6111,22776,Isunen Ataleko zerbitzuak,190000.0,190000.0,189747.36
0411,6111,12000,Funtzionarioen oinarrizko ordainsariak,91775.0,91775.0,72595.71
0411,6111,12100,Funtzionarioen ordainsari osagarriak,122893.0,122893.0,93343.64
0411,6111,14100,Bestelako langileak,0.0,0.0,0.0
0411,6111,16000,"Gizarte Segurantza, enpresaren kontura",44666.0,44666.0,33862.51
0411,6111,16500,"Elkarkidetzako kuotak, Udalaren kontura",191.0,191.0,218.0
0412,6111,12000,Funtzionarioen oinarrizko ordainsariak,78127.0,78127.0,119536.07
0412,6111,12100,Funtzionarioen ordainsari osagarriak,99018.0,99018.0,154208.68
0412,6111,16000,"Gizarte Segurantza, enpresaren kontura",37962.0,37962.0,57982.46
0412,6111,16500,"Elkarkidetzako kuotak, Udalaren kontura",646.0,646.0,2179.3
0414,6111,12000,Funtzionarioen oinarrizko ordainsariak,48880.0,48880.0,48927.82
0414,6111,12100,Funtzionarioen ordainsari osagarriak,73412.0,73412.0,73410.96
0414,6111,14100,Bestelako langileak,44000.0,44000.0,44441.92
0414,6111,16000,"Gizarte Segurantza, enpresaren kontura",31751.0,31751.0,33339.0
0414,6111,16500,"Elkarkidetzako kuotak, Udalaren kontura",93.0,93.0,145.34
0415,6111,12000,Funtzionarioen oinarrizko ordainsariak,93547.0,93547.0,94521.2
0415,6111,12100,Funtzionarioen ordainsari osagarriak,127010.0,127010.0,126696.04
0415,6111,16000,"Gizarte Segurantza, enpresaren kontura",49868.0,49868.0,52568.18
0415,6111,16500,"Elkarkidetzako kuotak, Udalaren kontura",2272.0,2272.0,2420.0
0416,6111,12000,Funtzionarioen oinarrizko ordainsariak,114007.0,114007.0,77621.81
0416,6111,12100,Funtzionarioen ordainsari osagarriak,158335.0,158335.0,106785.22
0416,6111,14100,Bestelako langileak,0.0,0.0,17929.05
0416,6111,16000,"Gizarte Segurantza, enpresaren kontura",56685.0,56685.0,47602.28
0416,6111,16500,"Elkarkidetzako kuotak, Udalaren kontura",418.0,418.0,352.96
0417,6111,12000,Funtzionarioen oinarrizko ordainsariak,62418.0,62418.0,76699.78
0417,6111,12100,Funtzionarioen ordainsari osagarriak,96829.0,96829.0,113782.22
0417,6111,16000,"Gizarte Segurantza, enpresaren kontura",32453.0,32453.0,41770.81
0417,6111,16500,"Elkarkidetzako kuotak, Udalaren kontura",279.0,279.0,530.57
0418,6111,12000,Funtzionarioen oinarrizko ordainsariak,1136814.0,1136814.0,1102390.67
0418,6111,12100,Funtzionarioen ordainsari osagarriak,1462190.0,1462190.0,1396542.94
0418,6111,14100,Bestelako langileak,442919.0,442919.0,450325.9
0418,6111,16000,"Gizarte Segurantza, enpresaren kontura",842373.0,842373.0,841523.96
0418,6111,16500,"Elkarkidetzako kuotak, Udalaren kontura",10872.0,10872.0,6611.46
0419,6111,12000,Funtzionarioen oinarrizko ordainsariak,0.0,0.0,0.0
0419,6111,12100,Funtzionarioen ordainsari osagarriak,0.0,0.0,0.0
0419,6111,16000,"Gizarte Segurantza, enpresaren kontura",0.0,0.0,0.0
0419,6111,16500,"Elkarkidetzako kuotak, Udalaren kontura",0.0,0.0,0.0
0810,7211,12000,Funtzionarioen oinarrizko ordainsariak,26271.0,26271.0,258811.79
0810,7211,12100,Funtzionarioen ordainsari osagarriak,54974.0,54974.0,327939.57
0810,7211,14100,Bestelako langileak,42995.0,42995.0,82605.83
0810,7211,16000,"Gizarte Segurantza, enpresaren kontura",24783.0,24783.0,178052.13
0810,7211,16500,"Elkarkidetzako kuotak, Udalaren kontura",25.0,25.0,1540.67
0811,3220,12000,Funtzionarioen oinarrizko ordainsariak,0.0,0.0,0.0
0811,3220,12100,Funtzionarioen ordainsari osagarriak,0.0,0.0,0.0
0811,3220,13000,Lan-kontratudun langile finkoen ordainsariak,0.0,0.0,7179.24
0811,3220,14100,Bestelako langileak,0.0,0.0,0.0
0811,3220,16000,"Gizarte Segurantza, enpresaren kontura",0.0,0.0,0.0
0811,3220,16500,"Elkarkidetzako kuotak, Udalaren kontura",0.0,0.0,0.0
0811,3220,22769,"Lan-dinamizazioa, langabe kualifikatuak",0.0,0.0,0.0
0811,3220,22770,Lan bitartekaritza,0.0,0.0,0.0
0811,3220,22780,Lan orientazioa,0.0,0.0,0.0
0811,3220,22795,Prestakuntza,0.0,0.0,0.0
0811,3221,20100,Lokal eta eraikinak alokatzea,0.0,0.0,0.0
0811,3221,22742,Sektore estrategikoetako berariazko prestakuntza,0.0,0.0,0.0
0811,3221,22745,Prestakuntza - pertsonentzako eta komunitatearentzako zerbitzuak,0.0,0.0,0.0
0811,3221,22796,Udalaren sasoiko enplegua sustatzea,0.0,0.0,0.0
0811,3223,22116,Enplegurako prestakuntza eta birziklatzea,0.0,0.0,0.0
0811,3223,22677,Ekintzaileentzako berariazko prestakuntza,0.0,0.0,0.0
0811,4444,22732,Zerbitzuak emateko kontratuak - Green capital,0.0,0.0,0.0
0817,4531,22640,Udalerriko Gizarte Kontseilua,0.0,0.0,0.0
0817,7110,22601,"Publizitate babesa, Alavés SADi",0.0,0.0,0.0
0817,7110,22602,"Publizitate babesa, saski baskonia SADri",0.0,0.0,0.0
0817,7110,22605,"Bilerak, hitzaldiak eta biltzarrak",0.0,0.0,0.0
0817,7110,22606,Babes kontratuak,0.0,0.0,0.0
0817,7110,22707,Azterlanak eta lan teknikoak,0.0,0.0,0.0
0817,7211,12000,Funtzionarioen oinarrizko ordainsariak,0.0,0.0,103608.14
