#Orgánico,Funcional,Económico,R,Denominación Aplicacion,Tot Crédito inicial 2020,Tot Crédito Definitivo,Tot Obligado
0116,2371,48936,,Convocatoria jóvenes informadores en eemm,10000.0,10000.0,4500.0
0116,2371,62505,,Otros enseres,1000.0,1000.0,916.31
0116,2371,62800,,Adquisición publicaciones y libros,1000.0,1000.0,993.37
0125,9124,12000,,Retribuciones básicas de funcionarios,90580.0,90580.0,106512.15
0125,9124,12100,,Retribuciones complementarias funcionarios,140429.0,140429.0,177329.67
0125,9124,14100,,Otro personal,78256.0,78256.0,83598.96
0125,9124,16000,,Seguridad social a cargo del Ayuntamiento,87691.0,80753.71,99853.67
0125,9124,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,6937.29,6912.15
0126,9124,12000,,Retribuciones básicas de funcionarios,10736.0,10736.0,0.0
0126,9124,12100,,Retribuciones complementarias funcionarios,27412.0,27412.0,0.0
0126,9124,14100,,Otro personal,16752.0,16752.0,0.0
0126,9124,16000,,Seguridad social a cargo del Ayuntamiento,16193.0,15228.32,0.0
0126,9124,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,964.68,0.0
0130,9201,11000,,Retribuciones personal eventual gabinete,85548.0,85548.0,84824.1
0130,9201,12000,,Retribuciones básicas de funcionarios,195834.0,195834.0,224270.0
0130,9201,12100,,Retribuciones complementarias funcionarios,297512.0,297512.0,337562.44
0130,9201,14100,,Otro personal,4622.0,4622.0,0.0
0130,9201,16000,,Seguridad social a cargo del Ayuntamiento,129955.0,120569.3,120408.71
0130,9201,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,9385.7,10147.48
0130,9201,22610,,Indemnizaciones,14000.0,14000.0,0.0
0130,9201,22617,,Honorarios y minutas,39620.0,39620.0,32910.04
0145,9121,11000,,Retribuciones personal eventual gabinete,212239.0,212239.0,164551.8
0145,9121,16000,,Seguridad social a cargo del Ayuntamiento,52674.0,52674.0,30672.24
0160,2381,12000,,Retribuciones básicas de funcionarios,124391.0,124391.0,123310.95
0160,2381,12100,,Retribuciones complementarias funcionarios,149794.0,149794.0,142978.98
0160,2381,14100,,Otro personal,3143.0,48143.0,24771.68
0160,2381,16000,,Seguridad social a cargo del Ayuntamiento,81349.0,92265.24,81071.61
0160,2381,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,4083.76,4006.1
0160,2381,22684,,Indemnizacion suspension contratos coronavirus,0.0,0.0,144.0
0160,2381,22711,,Plan para la igualdad,85000.0,65000.0,43469.07
0160,2381,22712,,Escuela empoderamiento feminista,130000.0,130000.0,83533.98
0160,2381,22713,,Prevención y atención violencia machista,100000.0,80000.0,43900.06
0160,2381,22714,,Agenda diversidad sexual y de género,60000.0,38000.0,24016.77
0160,2381,47132,,Convenio para la gestión de emakumeen etxea,150000.0,150000.0,150000.0
0160,2381,48120,,Convenio observatorio lgtbi,70000.0,70000.0,70000.0
0160,2381,48139,,Convocatoria de subvenciones a asoc. mujeres,80000.0,80000.0,0.0
0160,2381,62516,,Equipamientos emakumeen etxea,30000.0,30000.0,5772.06
0160,2381,62803,,Adq. libros - agenda lgtbi,0.0,2000.0,1883.86
0160,2381,62925,,Observatorio lgtbi,20000.0,20000.0,3121.97
0171,3351,12000,,Retribuciones básicas de funcionarios,194429.0,194429.0,185374.95
0171,3351,12100,,Retribuciones complementarias funcionarios,224112.0,224112.0,208685.01
0171,3351,14100,,Otro personal,51446.0,51446.0,0.0
0171,3351,16000,,Seguridad social a cargo del Ayuntamiento,148638.0,141491.57,113627.17
0171,3351,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,7146.43,6566.76
0171,3351,22684,,Indemnizacion suspension contratos coronavirus,0.0,0.0,103075.3
0171,3351,22741,,Cursos de euskera para madres y padres,500000.0,500000.0,200215.8
0171,3351,22748,,Semana del euskera,25000.0,25000.0,0.0
0171,3351,22780,,Plan euskera,200044.8,307844.8,123752.28
0171,3351,22780,R,Plan euskera,0.0,3200.0,3200.0
0171,3351,22799,,Traducciones externas euskera,20000.0,20000.0,4002.37
0171,3351,41803,,Convenio euskaltzaindia,73000.0,73000.0,58400.0
0171,3351,42302,,Convenio con la Cámara de Comercio,10500.0,10500.0,10500.0
0171,3351,48001,,Subvenciones a particulares para estudios de euskera,150000.0,150000.0,0.0
0171,3351,48002,,Becas y bolsas de estudio al personal,60000.0,57000.0,12273.51
0171,3351,48003,,Subvenciones cursos euskera a Euskaltegi,99000.0,99000.0,0.0
0171,3351,48005,,Subvención plan general uso del euskera,120000.0,120000.0,75400.0
0171,3351,48044,,Convenio GEU,77175.0,77175.0,77175.0
0171,3351,48048,,Convenio asociacion TINKO,10500.0,10500.0,8400.0
0171,3351,48049,,Convenio asociación Euskharan,24255.0,19455.0,15564.0
0171,3351,48065,,Euskaraldia,100000.0,0.0,0.0
0171,3351,48997,,Convenio Bai Euskarari,23100.0,23100.0,23100.0
0171,3351,62800,,Adquisición publicaciones y libros,1000.0,1000.0,35.3
0180,9271,11000,,Retribuciones personal eventual gabinete,98010.0,98010.0,67428.65
0180,9271,12000,,Retribuciones básicas de funcionarios,108096.0,108096.0,118678.4
0180,9271,12100,,Retribuciones complementarias funcionarios,124837.0,124837.0,136660.18
0180,9271,13000,,Retribuciones personal laboral,0.0,0.0,3806.54
0180,9271,14100,,Otro personal,3774.0,3774.0,0.0
0180,9271,16000,,Seguridad social a cargo del Ayuntamiento,107860.0,102051.78,99850.68
0180,9271,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,5808.22,6241.18
0180,9271,22603,,Publicidad,650000.0,640000.0,351017.75
0180,9271,22603,R,Publicidad,0.0,91834.82,91811.63
0180,9271,22612,,Adquisición prensa diaria,25000.0,25000.0,27312.86
0180,9271,22616,,Servicios de asistencia técnica a prensa,20000.0,20000.0,21323.46
0180,9271,22628,,Comunicación audiovisual,10000.0,10000.0,0.0
0180,9271,22631,,Participación municipal en otras instituciones,28000.0,28000.0,26343.79
0180,9271,22632,,Suscripciones,4397.43,2543.44,0.0
0180,9271,22634,,Organización de eventos  y gastos de representación,120440.0,120440.0,80444.25
0180,9271,22634,A,Organización de eventos  y gastos de representación,0.0,1739.82,0.0
0180,9271,22645,,Anuncios oficiales por ley,180000.0,180000.0,272522.06
0180,9271,22730,,Servicio almacenaje fondos editoriales,20000.0,20000.0,26828.46
0180,9271,22732,,Contratos de prestación de servicios,30000.0,30000.0,16386.7
0180,9271,22732,R,Contratos de prestación de servicios,0.0,2052.84,0.0
0180,9271,62505,,Otros enseres,2502.57,4356.56,3697.7
0180,9271,62518,,Renovación actualización sala de prensa,50000.0,50000.0,0.0
0181,2327,12000,,Retribuciones básicas de funcionarios,63812.0,63812.0,65294.26
0181,2327,12100,,Retribuciones complementarias funcionarios,77141.0,77141.0,76586.64
0181,2327,14100,,Otro personal,45030.0,45030.0,35997.47
0181,2327,16000,,Seguridad social a cargo del Ayuntamiento,52388.0,51121.54,48627.28
0181,2327,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,1266.46,621.18
0181,2361,22604,,Estrategia antirumor,30000.0,30000.0,5147.54
0181,2361,22608,,Programa de (in)formación,22000.0,22000.0,3000.0
0181,2361,22610,,Ciudad educadora,23000.0,23000.0,12747.8
0181,2361,22613,,Traducción e interpretación,28000.0,28000.0,16181.83
0181,2361,22642,,Plan de convivencia y diversidad,200000.0,205000.0,94466.77
0181,2361,41910,,Conv. red vasca antirrumores,5000.0,5000.0,4000.0
0181,2361,48128,,Conv.c. del sordo Alava-Arabako gorra,22000.0,22000.0,22000.0
0181,2361,48150,,Convenio SECOT,3000.0,0.0,0.0
0181,2361,48150,R,Convenio SECOT,0.0,2400.0,2400.0
0181,2361,48901,,Convocatoria general de subvenciones,80000.0,80000.0,0.0
0181,2361,48970,,Conv.asoc.Eginaren Eginez,28000.0,28000.0,22400.0
0181,2361,48983,,Convenio Goian,104000.0,104000.0,83200.0
0181,2361,48985,,Covenio Memoria Histórica,20000.0,0.0,0.0
0210,1502,12000,,Retribuciones básicas de funcionarios,100470.0,100470.0,89594.08
0210,1502,12100,,Retribuciones complementarias funcionarios,152071.0,152071.0,146203.02
0210,1502,14100,,Otro personal,52460.0,52460.0,46805.99
0210,1502,16000,,Seguridad social a cargo del Ayuntamiento,69240.0,64761.08,58852.46
0210,1502,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,4478.92,3406.74
0210,1502,22004,,Edicion y reproduccion de cartografia y proyectos,2000.0,2000.0,3433.78
0210,1502,22111,,"Menaje, útiles y herramientas",1000.0,1000.0,1836.24
0210,1502,22205,,"Reuniones,conferencias y congresos",5000.0,5000.0,4990.0
0210,1502,22707,,Asistencias técnicas,4000.0,4000.0,0.0
0210,1502,22732,,Contratos de prestación de servicios,70000.0,70000.0,0.0
0210,1502,23901,,Indemnizaciones jurados expropiación,1000.0,1000.0,0.0
0211,1511,12000,,Retribuciones básicas de funcionarios,191612.0,191612.0,187864.88
0211,1511,12100,,Retribuciones complementarias funcionarios,239047.0,239047.0,233761.72
0211,1511,14100,,Otro personal,77251.0,77251.0,100057.43
0211,1511,16000,,Seguridad social a cargo del Ayuntamiento,154522.0,148782.64,155317.75
0211,1511,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,5739.36,8059.04
0211,1511,60001,,Expropiaciones y Adquisición de suelo,679336.28,747182.48,304778.24
0211,1511,60203,,Particp interinstitucional convento San Francisco,50000.0,50000.0,0.0
0211,1511,60926,,Regularización convenio Obispado aparcamiento catedral,40000.0,40000.0,0.0
0211,1511,61405,,Catalogo de edificios y espacios protegidos,70000.0,70000.0,0.0
0211,1511,64202,,Actualizaciones cartográficas,50000.0,50000.0,4446.75
0211,1511,64202,R,Actualizaciones cartográficas,0.0,34000.0,30144.08
0211,1511,64203,,Honorarios,50000.0,50000.0,159.7
0211,1511,64203,R,Honorarios,0.0,3993.0,3993.0
0211,1511,64206,,Revision PGOU,145000.0,145000.0,51680.7
0211,1511,64206,A,Revision PGOU,0.0,384000.0,0.0
0211,1511,64206,R,Revision PGOU,0.0,245566.0,5566.0
0211,1511,64208,,Revisión plan especial casco histórico,75000.0,75000.0,0.0
0211,1511,64212,,Previsión cuotas urbanización,50000.0,50000.0,0.0
0211,1511,64215,,Acuerdo extrajudicial ocupación suelo TGSS,20000.0,0.0,0.0
0211,1511,64334,,Honorarios notarios registro regularización propiedades,70000.0,70000.0,156.32
0211,1513,71001,,Proyecto Coronación (rehabilitation & distric heating,420000.0,0.0,0.0
0211,1513,71001,A,Proyecto Coronación (rehabilitation & distric heating,0.0,281213.18,281213.18
0211,1513,71001,R,Proyecto Coronación (rehabilitation & distric heating,0.0,0.0,0.0
0213,1502,22730,,Servicio almacenaje fondos editoriales,10000.0,10000.0,7842.48
0213,1512,12000,,Retribuciones básicas de funcionarios,339849.0,339849.0,343508.56
0213,1512,12100,,Retribuciones complementarias funcionarios,461991.0,461991.0,470405.65
0213,1512,14100,,Otro personal,96124.0,96124.0,155665.35
0213,1512,16000,,Seguridad social a cargo del Ayuntamiento,280672.0,268684.46,274195.03
0213,1512,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,11987.54,12870.16
0213,1512,22620,,Obras subsidiarias y apuntalamiento,250000.0,58712.6,0.0
0213,1512,22620,A,Obras subsidiarias y apuntalamiento,0.0,9643.87,0.0
0213,1512,22620,R,Obras subsidiarias y apuntalamiento,0.0,29983.8,0.0
0213,1512,22747,,Inspecc técnica edificios intervencion edif casco histórico,150000.0,150000.0,0.0
0214,1502,62901,,Adquisición equipos,5000.0,5000.0,39.95
0214,1502,64201,,Estudios y proyectos,30000.0,30000.0,0.0
0214,1502,64516,R,Gasteiz antzokia,0.0,1251563.08,8712.97
0214,3421,62257,R,"Astrónomos, Adrtza, Abetxuko y Beti Jai",0.0,694179.3,642438.92
0214,4300,62259,,CC Salburua,0.0,360629.72,360629.72
0214,9211,12000,,Retribuciones básicas de funcionarios,245533.0,245533.0,218897.24
0214,9211,12100,,Retribuciones complementarias funcionarios,303153.0,303153.0,269229.91
0214,9211,13000,,Retribuciones personal laboral fijo,14848.0,14848.0,0.0
0214,9211,14100,,Otro personal,44502.0,44502.0,61052.13
0214,9211,16000,,Seguridad social a cargo del Ayuntamiento,179178.0,168677.18,154641.01
0214,9211,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,10500.82,9208.34
0214,9211,60202,,Palacio escoriaza esquivel,110000.0,70000.0,0.0
0214,9211,60507,,Casa iniciativas Abetxuko,500000.0,500000.0,0.0
0214,9211,60608,,Renaturalización de patios,50000.0,50000.0,0.0
0214,9211,60611,,Derribo viveros existentes,143373.9,113349.51,41721.68
0214,9211,60612,,Nuevos viveros en Aretxabaleta,1.0,1.0,0.0
0214,9211,61305,,Auditorium,250000.0,250000.0,0.0
0214,9211,61402,,Edificio social Mendizorroza (accesibilidad-incendios),5000.0,0.0,0.0
0214,9211,61403,,Montehermoso (accesibilidad e incencios),5000.0,0.0,0.0
0214,9211,61404,,Actuaciones en edificios municipales,5000.0,1336287.4,4065.63
0214,9211,62215,,Inversiones en patrimonio municipal,15000.0,15000.0,31803.37
0214,9211,62215,R,Inversiones en patrimonio municipal,0.0,2239.92,0.0
0214,9211,62278,,Centro protección animal,250000.0,250000.0,0.0
0214,9211,62297,,Rehabilitacion edificios mples. directiva 2012/2017 ue,50000.0,35000.0,586.85
0214,9211,64326,,Masterplan-plan de reactivacion del centro urbano,200000.0,200000.0,0.0
0214,9211,64516,,Gasteiz antzokia,1400000.0,1515024.39,0.0
0214,9211,77101,,Reforma campo futbol Mendizorroza,304000.0,304000.0,0.0
0214,9212,62290,,Reforma Teatro Principal,530000.0,530000.0,0.0
0216,1502,12000,,Retribuciones básicas de funcionarios,192402.0,192402.0,309511.97
0216,1502,12100,,Retribuciones complementarias funcionarios,238731.0,238731.0,369364.16
0216,1502,14100,,Otro personal,28393.0,28393.0,53958.44
0216,1502,16000,,Seguridad social a cargo del Ayuntamiento,134351.0,126554.41,208328.34
0216,1502,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,7796.59,11645.34
0218,1741,60150,,Obras en pueblos,150000.0,150000.0,16015.72
0218,1741,60150,R,Obras en pueblos,0.0,137492.44,123172.58
0218,1741,60151,,Cofinanciación obras plan foral,100000.0,100000.0,0.0
0218,1741,60700,,Mejora paisajística zona rural,20000.0,20000.0,18328.49
0218,1741,60700,R,Mejora paisajística zona rural,0.0,8576.86,8576.86
0218,1742,22700,,"Recogida residuos, mantenimiento ELM y cementerios",1150000.0,1150000.0,1006422.25
0218,1742,22700,R,"Recogida residuos, mantenimiento ELM y cementerios",0.0,27217.45,25809.74
0218,1743,21000,,Infraestructura y bienes naturales,60000.0,60000.0,26873.34
0218,1743,21902,,"Mantenimiento vías forestales,plantaciones y espacios naturales",60000.0,60000.0,60529.69
0218,1743,21911,,Mantenimiento jardines núcleos rurales,260000.0,260000.0,223561.15
0218,1743,22111,,"Menaje, útiles y herramientas",12000.0,33000.0,9195.49
0218,1743,22145,,Recuperación espacios degradados,30000.0,30000.0,31084.2
0218,1743,72000,,A la DFA para la ejecuciçon de caminos parcelarios,100000.0,100000.0,0.0
0218,1749,12000,,Retribuciones básicas de funcionarios,153463.0,153463.0,156014.79
0218,1749,12100,,Retribuciones complementarias funcionarios,225952.0,225952.0,222239.86
0218,1749,13000,,Retribuciones personal laboral fijo,119353.0,119353.0,118956.32
0218,1749,14100,,Otro personal,2915.0,2915.0,0.0
0218,1749,16000,,Seguridad social a cargo del Ayuntamiento,157657.0,147411.52,139632.37
0218,1749,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,10245.48,10233.3
0218,1749,48112,,Subvenciones asociación concejos,115000.0,115000.0,80000.0
0218,1749,78919,,Subvenc.para centros sociales,40000.0,40000.0,0.0
0218,1749,78919,R,Subvenc.para centros sociales,0.0,40000.0,40000.0
022201,1691,12000,,Retribuciones básicas de funcionarios,95504.0,95504.0,125900.71
022201,1691,12100,,Retribuciones complementarias funcionarios,136237.0,136237.0,160928.67
022201,1691,14100,,Otro personal,123821.0,123821.0,73730.04
022201,1691,16000,,Seguridad social a cargo del Ayuntamiento,113883.0,107191.71,114381.96
022201,1691,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,6691.29,8311.88
022201,1722,62916,,Calidad ambiental del vertedero,125000.0,125000.0,5075.56
022202,1623,60706,,Plan de residuos,85000.0,85000.0,32540.53
022202,1623,60711,,Adecuacion vertedero Real Decreto 14/81/2001,145000.0,145000.0,0.0
022202,1623,60711,R,Adecuacion vertedero Real Decreto 14/81/2001,0.0,71148.0,0.0
022202,1623,64316,,Plan de acción del mapa estratégico de ruidos,75000.0,75000.0,0.0
022202,1623,64316,R,Plan de acción del mapa estratégico de ruidos,0.0,10890.0,0.0
022202,1711,60920,A,Infraestructuras verdes,0.0,991.01,0.0
022202,1721,21040,,Mantenimiento y reparacion de equipos de control,130000.0,130000.0,67948.04
022202,1721,21040,R,Mantenimiento y reparacion de equipos de control,0.0,40686.7,15717.97
022202,1721,22115,,Repuestos y fungibles,5000.0,5000.0,7672.59
022202,1721,60305,,Instalaciónes del vertedero Gardelegui,20000.0,20000.0,0.0
022202,1722,12000,,Retribuciones básicas de funcionarios,50762.0,50762.0,41136.15
022202,1722,12100,,Retribuciones complementarias funcionarios,69203.0,69203.0,56283.71
022202,1722,14100,,Otro personal,9924.0,9924.0,6239.28
022202,1722,16000,,Seguridad social a cargo del Ayuntamiento,32310.0,30698.21,22534.11
022202,1722,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,1611.79,1738.72
022202,1722,48196,,Convenio Gaia,10000.0,10000.0,8500.0
022202,1722,60182,,Proyecto árboles,65000.0,65000.0,27195.94
022202,1722,60919,,Infraestructuras anillo verde,50000.0,50000.0,37335.88
022202,1722,64321,A,Plan de energías renovables,0.0,47649.96,20639.13
022202,1722,64321,R,Plan de energías renovables,0.0,47649.96,20639.13
022202,1722,64329,,Plan sensibilización ruidos casco medieval,25000.0,25000.0,0.0
022202,1722,64330,,Red de control del ruido,15000.0,15000.0,14143.69
022203,1621,22145,,Gastos sanitarios por Coronavirus,0.0,0.0,9897.5
022203,1621,22700,,"Contrato serv limpieza, recogida y transporte RSU",9437066.3,9437066.3,2735467.2
022203,1621,22700,R,"Contrato serv limpieza, recogida y transporte RSU",0.0,1356299.1,1356299.1
022203,1621,22703,,Contrato recogida neumática en casco medieval,1839675.5,1839675.5,1825713.45
022203,1621,22703,R,Contrato recogida neumática en casco medieval,0.0,497660.85,497660.85
022203,1621,22715,,Recogidas selectivas de residuos,549343.0,549343.0,207575.44
022203,1621,22715,R,Recogidas selectivas de residuos,0.0,61639.94,61638.84
022203,1621,22724,,Contrato de explotación de garbigunes,427396.17,427396.17,287039.05
022203,1621,22724,R,Contrato de explotación de garbigunes,0.0,94349.05,94349.05
022203,1622,21204,,Mantenimiento de las Instalaciónes del vertedero,10000.0,10000.0,3867.0
022203,1622,22723,,Contrato explotación del vertedero,1180413.41,1180413.41,1000947.03
022203,1622,64304,,"Honorarios,estudios y proyectos",20000.0,20000.0,2250.0
022203,1622,64304,R,"Honorarios,estudios y proyectos",0.0,14749.9,14749.9
022203,1622,64318,,Actuaciones conservación biodiversidad,75000.0,75000.0,61195.57
022203,1622,64318,R,Actuaciones conservación biodiversidad,0.0,35853.69,24388.11
022203,1623,22111,,"Menaje, útiles y herramientas",5000.0,5000.0,398.49
022203,1623,22702,,Contrato explotación planta RSU Júndiz,8372877.63,8372877.63,6818454.6
022203,1623,22710,,Contrato recogida voluminosos,1044371.23,1044371.23,0.0
022203,1623,47132,,Convenio fundación Vital plásticos 0,20000.0,20000.0,0.0
022203,1623,60706,A,Plan de residuos,0.0,36220.94,32689.78
022203,1623,60711,A,Adecuacion vertedero Real Decreto 14/81/2001,0.0,103680.94,100746.57
022203,1623,60907,,"Control de calidad agua, aire y suelo",55000.0,55000.0,0.0
022203,1623,62901,,Adquisición equipos,6000.0,6000.0,6295.57
022203,1631,22700,,Limpieza viaria,17083488.45,17418702.11,5048770.04
022203,1631,22700,R,Limpieza viaria,0.0,2524385.02,2524385.02
022203,1711,22699,A,Proyecto Life lutreola,0.0,35909.99,1261.9
022203,1722,12000,,Retribuciones básicas de funcionarios,134866.0,134866.0,138484.32
022203,1722,12100,,Retribuciones complementarias funcionarios,183638.0,183638.0,182072.6
022203,1722,13000,,Retribuciones personal laboral fijo,53175.0,53175.0,47310.13
022203,1722,14100,,Otro personal,42185.0,42185.0,0.0
022203,1722,16000,,Seguridad social a cargo del Ayuntamiento,144252.0,137791.12,107563.26
022203,1722,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,6460.88,6338.36
022204,1711,12000,,Retribuciones básicas de funcionarios,60700.0,60700.0,62629.47
022204,1711,12100,,Retribuciones complementarias funcionarios,78639.0,78639.0,81039.38
022204,1711,13000,,Retribuciones personal laboral fijo,72015.0,72015.0,75494.2
022204,1711,14100,,Otro personal,5656.0,5656.0,0.0
022204,1711,16000,,Seguridad social a cargo del Ayuntamiento,64191.0,60107.24,61103.64
022204,1711,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,4083.76,4006.1
022204,1711,21073,,Conservación arboreto,20000.0,42700.0,25841.67
022204,1711,21074,,Trabajos de conservación anillo verde exterior,400000.0,400000.0,353077.54
022204,1711,21074,R,Trabajos de conservación anillo verde exterior,0.0,58904.46,58901.93
022204,1711,22758,,Campaña índices alquileres vivienda,20000.0,20000.0,0.0
022204,1711,22759,,Programa 50-50,20000.0,20000.0,0.0
022204,1711,22793,,Our city - our energy,10000.0,10000.0,0.0
022204,1711,60916,,Agenda local 2030,40000.0,40000.0,4840.0
022204,1711,64305,,Plan de acción clima energía sostenible,50000.0,50000.0,0.0
022204,1711,64306,,Anillo solar,150000.0,150000.0,0.0
022204,1711,64319,,Red de control campos electromagnéticos,15000.0,15000.0,2232.45
022204,1711,64321,,Plan de energías renovables,100000.0,100000.0,258.83
0320,1301,11000,,Retribuciones personal eventual gabinete,86442.0,86442.0,85086.32
0320,1301,12000,,Retribuciones básicas de funcionarios,50255.0,50255.0,39904.59
0320,1301,12100,,Retribuciones complementarias funcionarios,54646.0,54646.0,53183.58
0320,1301,14100,,Otro personal,0.0,0.0,25831.53
0320,1301,16000,,Seguridad social a cargo del Ayuntamiento,39572.0,35203.85,46390.83
0320,1301,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,16161.0,20529.15,3633.1
0330,1301,12000,,Retribuciones básicas de funcionarios,385164.0,385164.0,366996.48
0330,1301,12100,,Retribuciones complementarias funcionarios,506480.0,506480.0,478047.22
0330,1301,14100,,Otro personal,19110.0,19110.0,80617.05
0330,1301,16000,,Seguridad social a cargo del Ayuntamiento,272495.0,262788.0,271205.08
0330,1301,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,9707.0,11415.6
0340,1351,21102,,Gastos de emergencia y nevadas,100000.0,100000.0,17498.48
0340,1351,21102,R,Gastos de emergencia y nevadas,0.0,15476.86,11485.8
0340,1351,21300,,Reparacion vehículos,65000.0,98000.0,76299.88
0340,1351,22145,,Gastos sanitarios por Coronavirus,0.0,0.0,4537.68
0340,1351,22701,,Gastos operativo sanitario de fiestas,13000.0,13000.0,0.0
0340,1361,12000,,Retribuciones básicas de funcionarios,1532845.0,1532845.0,1532342.68
0340,1361,12100,,Retribuciones complementarias funcionarios,3186825.0,3186825.0,3085271.89
0340,1361,14100,,Otro personal,572760.0,572760.0,769048.65
0340,1361,16000,,Seguridad social a cargo del Ayuntamiento,2108237.0,2043841.29,2026049.35
0340,1361,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,64395.71,65306.49
0340,1361,21900,,Renovacion y reposición de equipos,75000.0,75000.0,36401.6
0340,1361,22105,,Vestuario y uniformes,90000.0,80000.0,61963.06
0340,1361,22111,,"Menaje, útiles y herramientas",40000.0,35000.0,18128.47
0340,1361,22199,,Otros suministros,30000.0,30000.0,32120.51
0340,1361,22699,,Otros gastos diversos,10000.0,10000.0,3905.37
0340,1361,62400,,Vehículos,63693.96,50000.0,0.0
0340,1361,62400,A,Vehículos,0.0,50079.0,50079.0
0340,1361,62400,R,Vehículos,0.0,116535.58,114069.49
0340,1361,62401,A,Adquisición vehículo de altura - autoescalera,0.0,700000.0,700000.0
0340,1361,62901,,Adquisición equipos,5000.0,18693.96,7921.87
0350,1321,12000,,Retribuciones básicas de funcionarios,5810882.0,5810882.0,6290639.38
0350,1321,12100,,Retribuciones complementarias funcionarios,12762973.0,12762973.0,11788592.99
