#Orgánico,Funcional,Económico,R,Denominación Aplicación,Tot Crédito inicial 2020,Tot Crédito Definitivo,Tot Obligado 
0145,9121,16000,,Seguridad social a cargo del ayuntamiento,52674.0,52674.0,15336.12
0160,2381,12000,,Retribuciones básicas de funcionarios,124391.0,124391.0,65722.5
0160,2381,12100,,Retribuciones complementarias funcionarios,149794.0,149794.0,77239.43
0160,2381,14100,,Otro personal,3143.0,3143.0,0.0
0160,2381,16000,,Seguridad social a cargo del ayuntamiento,81349.0,77265.24,39572.57
0160,2381,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,4083.76,2003.05
0160,2381,22711,,Plan para la igualdad,85000.0,85000.0,12368.36
0160,2381,22712,,Escuela empoderamiento feminista,130000.0,130000.0,43509.44
0160,2381,22713,,Prevención y atención violencia machista,100000.0,100000.0,937.0
0160,2381,22714,,Agenda diversidad sexual y de genero,60000.0,60000.0,1159.87
0160,2381,47132,,Convenio para la gestión de Emakumeen etxea,150000.0,150000.0,150000.0
0160,2381,48120,,Convenio observatorio LGTBI,70000.0,70000.0,70000.0
0160,2381,48139,,Convocatoria de subvenciones a Asoc. mujeres,80000.0,80000.0,0.0
0160,2381,62516,,Equipamientos Emakumeen etxea,30000.0,30000.0,4711.74
0160,2381,62925,,Observatorio LGTBI,20000.0,20000.0,0.0
0171,3351,12000,,Retribuciones básicas de funcionarios,194429.0,194429.0,93858.44
0171,3351,12100,,Retribuciones complementarias funcionarios,224112.0,224112.0,106738.42
0171,3351,14100,,Otro personal,51446.0,51446.0,0.0
0171,3351,16000,,Seguridad social a cargo del ayuntamiento,148638.0,141491.57,57280.55
0171,3351,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,7146.43,3105.9
0171,3351,22741,,Cursos de euskera para madres y padres,500000.0,500000.0,137118.6
0171,3351,22748,,Semana del euskera,25000.0,25000.0,0.0
0171,3351,22780,,Plan euskera,200044.8,300044.8,13001.48
0171,3351,22780,R,Plan euskera,0.0,3200.0,0.0
0171,3351,22799,,Traducciones externas euskera,20000.0,20000.0,1269.13
0171,3351,41803,,Convenio Euskaltzaindia,73000.0,73000.0,0.0
0171,3351,42302,,Convenio con la camara de comercio,10500.0,10500.0,5250.0
0171,3351,48001,,Subvenciones a particulares para estudios de euskera,150000.0,150000.0,0.0
0171,3351,48002,,Becas y bolsas de estudio al personal,60000.0,60000.0,858.63
0171,3351,48003,,Subvenciones cursos euskera a euskaltegi,99000.0,99000.0,0.0
0171,3351,48005,,Subvención plan general uso del euskera,120000.0,120000.0,0.0
0171,3351,48044,,Convenio GEU,77175.0,77175.0,77175.0
0171,3351,48048,,Convenio asociación Tinko,10500.0,10500.0,8400.0
0171,3351,48049,,Convenio asociación Euskharan,24255.0,24255.0,0.0
0171,3351,48065,,Euskaraldia,100000.0,0.0,0.0
0171,3351,48997,,Convenio Bai Euskarari,23100.0,23100.0,23100.0
0171,3351,62800,,Adquisición publicaciones y libros,1000.0,1000.0,0.0
0180,9271,11000,,Retribuciones personal eventual gabinete,98010.0,98010.0,39161.6
0180,9271,12000,,Retribuciones básicas de funcionarios,108096.0,108096.0,54689.24
0180,9271,12100,,Retribuciones complementarias funcionarios,124837.0,124837.0,62830.57
0180,9271,14100,,Otro personal,3774.0,3774.0,0.0
0180,9271,16000,,Seguridad social a cargo del ayuntamiento,107860.0,102051.78,50866.71
0180,9271,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,5808.22,2903.25
0180,9271,22603,,Publicidad,650000.0,650000.0,144673.2
0180,9271,22603,R,Publicidad,0.0,91834.82,70770.18
0180,9271,22612,,Adquisición prensa diaria,25000.0,25000.0,14881.08
0180,9271,22616,,Servicios de asistencia técnica a prensa,20000.0,20000.0,13536.11
0180,9271,22628,,Comunicación audiovisual,10000.0,10000.0,0.0
0180,9271,22631,,Participación municipal en otras instituciones,28000.0,28000.0,17328.61
0180,9271,22632,,Suscripciones,4397.43,4397.43,0.0
0180,9271,22634,,Organización de eventos  y gastos de representación,120440.0,120440.0,54265.58
0180,9271,22634,A,Organización de eventos  y gastos de representación,0.0,1739.82,0.0
0180,9271,22645,,Anuncios oficiales por ley,180000.0,180000.0,159938.5
0180,9271,22730,,Servicio almacenaje fondos editoriales,20000.0,20000.0,15610.95
0180,9271,22732,,Contratos de prestación de servicios,30000.0,30000.0,3631.4
0180,9271,22732,R,Contratos de prestación de servicios,0.0,2052.84,0.0
0180,9271,62505,,Otros enseres,2502.57,2502.57,1349.97
0180,9271,62518,,Renovación actualización sala de prenda,50000.0,50000.0,0.0
0181,2327,12000,,Retribuciones básicas de funcionarios,63812.0,63812.0,36678.24
0181,2327,12100,,Retribuciones complementarias funcionarios,77141.0,77141.0,43379.25
0181,2327,14100,,Otro personal,45030.0,45030.0,10009.82
0181,2327,16000,,Seguridad social a cargo del ayuntamiento,52388.0,51121.54,24617.6
0181,2327,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,1266.46,621.18
0181,2361,22604,,Estrategia antirumor,30000.0,30000.0,1215.49
0181,2361,22608,,Programa de (in)formación,22000.0,22000.0,3000.0
0181,2361,22610,,Ciudad educadora,23000.0,23000.0,4656.4
0181,2361,22613,,Traducción e interpretación,28000.0,28000.0,5286.25
0181,2361,22642,,Plan de convivencia y diversidad,200000.0,200000.0,35219.78
0181,2361,41910,,Conv. red vasca antirrumores,5000.0,5000.0,0.0
0181,2361,48128,,Conv.c. del sordo Alava-Arabako gorra,22000.0,22000.0,22000.0
0181,2361,48150,,Convenio SECOT,3000.0,0.0,0.0
0181,2361,48150,R,Convenio SECOT,0.0,2400.0,2400.0
0181,2361,48901,,Convocatoria general de subvenciones,80000.0,80000.0,0.0
0181,2361,48970,,Conv.asoc.eginaren Eginez,28000.0,28000.0,22400.0
0181,2361,48983,,Convenio GOIAN,104000.0,104000.0,83200.0
0181,2361,48985,,Convenio memoria histórica,20000.0,20000.0,0.0
0210,1502,12000,,Retribuciones básicas de funcionarios,100470.0,100470.0,52812.97
0210,1502,12100,,Retribuciones complementarias funcionarios,152071.0,152071.0,78325.0
0210,1502,14100,,Otro personal,52460.0,52460.0,23383.78
0210,1502,16000,,Seguridad social a cargo del ayuntamiento,69240.0,64761.08,31617.26
0210,1502,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,4478.92,2142.56
0210,1502,22004,,Edición y reproducción de cartografía y proyectos,2000.0,2000.0,3294.42
0210,1502,22111,,"Menaje, útiles y herramientas",1000.0,1000.0,956.82
0210,1502,22205,,"Reuniones,conferencias y congresos",5000.0,5000.0,4640.0
0210,1502,22707,,Asistencias técnicas,4000.0,4000.0,0.0
0210,1502,22732,,Contratos de prestación de servicios,70000.0,70000.0,0.0
0210,1502,23901,,Indemnizaciones jurados expropiación,1000.0,1000.0,0.0
0211,1511,12000,,Retribuciones básicas de funcionarios,191612.0,191612.0,86477.0
0211,1511,12100,,Retribuciones complementarias funcionarios,239047.0,239047.0,110564.25
0211,1511,14100,,Otro personal,77251.0,77251.0,56310.31
0211,1511,16000,,Seguridad social a cargo del ayuntamiento,154522.0,148782.64,78577.34
0211,1511,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,5739.36,3412.85
0211,1511,60001,,Expropiaciones y adquisición de suelo,679336.28,947182.48,0.0
0211,1511,60203,,Particp interinstitucional convento san francisco,50000.0,50000.0,0.0
0211,1511,60926,,Regularización convenio obispado aparcamiento catedral,40000.0,40000.0,0.0
0211,1511,61405,,Catalogo de edificios y espacios protegidos,70000.0,70000.0,0.0
0211,1511,64202,,Actualizaciones cartográficas,50000.0,50000.0,4446.75
0211,1511,64202,R,Actualizaciones cartográficas,0.0,34000.0,0.0
0211,1511,64203,,Honorarios,50000.0,50000.0,0.0
0211,1511,64203,R,Honorarios,0.0,3993.0,3993.0
0211,1511,64206,,Revisión PGOU,145000.0,145000.0,16205.04
0211,1511,64206,A,Revisión PGOU,0.0,384000.0,0.0
0211,1511,64206,R,Revisión PGOU,0.0,245566.0,0.0
0211,1511,64208,,Revisión plan especial casco histórico,75000.0,75000.0,0.0
0211,1511,64212,,Previsión cuotas urbanización,50000.0,50000.0,0.0
0211,1511,64215,,Acuerdo extrajudicial ocupación suelo TGSS,20000.0,20000.0,0.0
0211,1511,64334,,Honorarios notarios registro regularización propiedades,70000.0,70000.0,0.0
0211,1513,71001,,Proyecto coronación (rehabilitation & distric heating,420000.0,420000.0,0.0
0211,1513,71001,A,Proyecto coronación (rehabilitation & distric heating,0.0,453332.7,81333.74
0211,1513,71001,R,Proyecto coronación (rehabilitation & distric heating,0.0,740000.0,0.0
0213,1502,22730,,Servicio almacenaje fondos editoriales,10000.0,10000.0,1083.0
0213,1512,12000,,Retribuciones básicas de funcionarios,339849.0,339849.0,167493.85
0213,1512,12100,,Retribuciones complementarias funcionarios,461991.0,461991.0,231636.07
0213,1512,14100,,Otro personal,96124.0,96124.0,66333.01
0213,1512,16000,,Seguridad social a cargo del ayuntamiento,280672.0,268684.46,132177.79
0213,1512,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,11987.54,6077.19
0213,1512,22620,,Obras subsidiarias y apuntalamiento,250000.0,250000.0,0.0
0213,1512,22620,A,Obras subsidiarias y apuntalamiento,0.0,9643.87,0.0
0213,1512,22620,R,Obras subsidiarias y apuntalamiento,0.0,29983.8,0.0
0213,1512,22747,,Inspecc técnica edificios intervención Edif. casco histórico,150000.0,150000.0,0.0
0214,1502,62901,,Adquisición equipos,5000.0,5000.0,0.0
0214,1502,64201,,Estudios y proyectos,30000.0,30000.0,0.0
0214,1502,64516,R, Gasteiz Antzokia,0.0,1251563.08,8712.97
0214,3421,62257,R,"Astrónomos, Adurtza, Abetxuko y Beti Jai",0.0,694179.3,639501.96
0214,4300,62259,,CC Salburua,0.0,360629.72,360629.72
0214,9211,12000,,Retribuciones básicas de funcionarios,245533.0,245533.0,112326.96
0214,9211,12100,,Retribuciones complementarias funcionarios,303153.0,303153.0,140980.87
0214,9211,13000,,Retribuciones personal laboral fijo,14848.0,14848.0,0.0
0214,9211,14100,,Otro personal,44502.0,44502.0,36408.91
0214,9211,16000,,Seguridad social a cargo del ayuntamiento,179178.0,168677.18,79873.38
0214,9211,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,10500.82,4548.91
0214,9211,60202,,Palacio Escoriaza Esquivel,110000.0,110000.0,0.0
0214,9211,60507,,Casa iniciativas Abetxuko,500000.0,500000.0,0.0
0214,9211,60608,,Renaturalización de patios,50000.0,50000.0,0.0
0214,9211,60611,,Derribo viveros existentes,143373.9,143373.9,0.0
0214,9211,60612,,Nuevos viveros en aretxabaleta,1.0,1.0,0.0
0214,9211,61305,,Auditórium,250000.0,250000.0,0.0
0214,9211,61402,,Edificio social mendizorroza (accesibilidad-incendios),5000.0,5000.0,0.0
0214,9211,61403,,Montehermoso (accesibilidad e incendios),5000.0,5000.0,0.0
0214,9211,61404,,Actuaciones en edificios municipales,5000.0,5000.0,0.0
0214,9211,62215,,Inversiones en patrimonio municipal,15000.0,15000.0,19900.6
0214,9211,62215,R,Inversiones en patrimonio municipal,0.0,2239.92,0.0
0214,9211,62278,,Centro protección animal,250000.0,250000.0,0.0
0214,9211,62297,,Rehabilitación edificios mples. directiva 2012/2017 UE,50000.0,50000.0,0.0
0214,9211,64326,,Masterplan-plan de reactivación del centro urbano,200000.0,200000.0,0.0
0214,9211,64516,, Gasteiz Antzokia,1400000.0,1400000.0,0.0
0214,9211,77101,,Reforma campo fútbol mendizorroza,304000.0,304000.0,0.0
0214,9212,62290,,Reforma teatro principal,530000.0,530000.0,0.0
0216,1502,12000,,Retribuciones básicas de funcionarios,192402.0,192402.0,144973.01
0216,1502,12100,,Retribuciones complementarias funcionarios,238731.0,238731.0,173811.55
0216,1502,14100,,Otro personal,28393.0,28393.0,11181.71
0216,1502,16000,,Seguridad social a cargo del ayuntamiento,134351.0,126554.41,96015.53
0216,1502,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,7796.59,5677.07
0218,1741,60150,,Obras en pueblos,150000.0,150000.0,8597.28
0218,1741,60150,R,Obras en pueblos,0.0,137492.44,29924.72
0218,1741,60151,,Cofinanciación obras plan foral,100000.0,100000.0,0.0
0218,1741,60700,,Mejora paisajística zona rural,20000.0,20000.0,5316.27
0218,1741,60700,R,Mejora paisajística zona rural,0.0,8576.86,0.0
0218,1742,22700,,"Recogida residuos, mantenimiento ELM y cementerios",1150000.0,1150000.0,456473.98
0218,1742,22700,R,"Recogida residuos, mantenimiento ELM y cementerios",0.0,27217.45,0.0
0218,1743,21000,,Infraestructura y bienes naturales,60000.0,60000.0,14792.42
0218,1743,21902,,"Mantenimiento vías forestales, plantaciones y espacios naturales",60000.0,60000.0,399.3
0218,1743,21911,,Mantenimiento jardines núcleos rurales,260000.0,260000.0,0.0
0218,1743,22111,,"Menaje, útiles y herramientas",12000.0,12000.0,71.65
0218,1743,22145,,Recuperación espacios degradados,30000.0,30000.0,10882.98
0218,1743,72000,,A la DFA para la ejecución de caminos parcelarios,100000.0,100000.0,0.0
0218,1749,12000,,Retribuciones básicas de funcionarios,153463.0,153463.0,78504.11
0218,1749,12100,,Retribuciones complementarias funcionarios,225952.0,225952.0,111194.42
0218,1749,13000,,Retribuciones personal laboral fijo,119353.0,119353.0,59396.73
0218,1749,14100,,Otro personal,2915.0,2915.0,0.0
0218,1749,16000,,Seguridad social a cargo del ayuntamiento,157657.0,147411.52,69954.84
0218,1749,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,10245.48,5116.65
0218,1749,48112,,Subvenciones asociación concejos,115000.0,115000.0,80000.0
0218,1749,78919,,Subvenc.para centros sociales,40000.0,40000.0,0.0
0218,1749,78919,R,Subvenc.para centros sociales,0.0,40000.0,0.0
022201,1691,12000,,Retribuciones básicas de funcionarios,95504.0,95504.0,56166.75
022201,1691,12100,,Retribuciones complementarias funcionarios,136237.0,136237.0,75192.53
022201,1691,14100,,Otro personal,123821.0,123821.0,40959.49
022201,1691,16000,,Seguridad social a cargo del ayuntamiento,113883.0,107191.71,52770.5
022201,1691,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,6691.29,4047.27
022201,1722,62916,,Calidad ambiental del vertedero,125000.0,125000.0,3641.71
022202,1623,60706,,Plan de residuos,85000.0,85000.0,0.0
022202,1623,60711,,Adecuación vertedero real decreto 14/81/2001,145000.0,145000.0,0.0
022202,1623,60711,R,Adecuación vertedero real decreto 14/81/2001,0.0,71148.0,0.0
022202,1623,64316,,Plan de acción del mapa estratégico de ruidos,75000.0,75000.0,0.0
022202,1623,64316,R,Plan de acción del mapa estratégico de ruidos,0.0,10890.0,0.0
022202,1711,60920,A,Infraestructuras verdes,0.0,991.01,0.0
022202,1721,21040,,Mantenimiento y reparación de equipos de control,130000.0,130000.0,27564.08
022202,1721,21040,R,Mantenimiento y reparación de equipos de control,0.0,40686.7,8674.22
022202,1721,22115,,Repuestos y fungibles,5000.0,5000.0,7672.59
022202,1721,60305,,Instalaciones del vertedero Gardelegui,20000.0,20000.0,0.0
022202,1722,12000,,Retribuciones básicas de funcionarios,50762.0,50762.0,24805.43
022202,1722,12100,,Retribuciones complementarias funcionarios,69203.0,69203.0,32902.25
022202,1722,14100,,Otro personal,9924.0,9924.0,6239.28
022202,1722,16000,,Seguridad social a cargo del ayuntamiento,32310.0,30698.21,15372.07
022202,1722,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,1611.79,978.03
022202,1722,48196,,Convenio GAIA,10000.0,10000.0,0.0
022202,1722,60182,,Proyecto árboles,65000.0,65000.0,5452.32
022202,1722,60919,,Infraestructuras anillo verde,50000.0,50000.0,4835.01
022202,1722,64321,A,Plan de energías renovables,0.0,47649.96,12383.47
022202,1722,64321,R,Plan de energías renovables,0.0,47649.96,0.0
022202,1722,64329,,Plan sensibilización ruidos casco medieval,25000.0,25000.0,0.0
022202,1722,64330,,Red de control del ruido,15000.0,15000.0,0.0
022203,1621,22145,,Gastos sanitarios por Coronavirus,0.0,0.0,7741.58
022203,1621,22700,,"Contrato Serv. limpieza, recogida y transporte RSU",9437066.3,9437066.3,2712598.2
022203,1621,22700,R,"Contrato Serv. limpieza, recogida y transporte RSU",0.0,1356299.1,1356299.1
022203,1621,22703,,Contrato recogida neumática en casco medieval,1839675.5,1839675.5,686843.96
022203,1621,22703,R,Contrato recogida neumática en casco medieval,0.0,497660.85,497660.85
022203,1621,22715,,Recogidas selectivas de residuos,549343.0,549343.0,59438.96
022203,1621,22715,R,Recogidas selectivas de residuos,0.0,61639.94,60561.47
022203,1621,22724,,Contrato de explotación de garbigunes,427396.17,427396.17,129790.65
022203,1621,22724,R,Contrato de explotación de garbigunes,0.0,94349.05,94349.05
022203,1622,21204,,Mantenimiento de las instalaciones del vertedero,10000.0,10000.0,1961.54
022203,1622,22723,,Contrato explotación del vertedero,1180413.41,1180413.41,401296.83
022203,1622,64304,,"Honorarios, estudios y proyectos",20000.0,20000.0,2250.0
022203,1622,64304,R,"Honorarios, estudios y proyectos",0.0,14749.9,14749.9
022203,1622,64318,,Actuaciones conservación biodiversidad,75000.0,75000.0,2390.85
022203,1622,64318,R,Actuaciones conservación biodiversidad,0.0,35853.69,17643.47
022203,1623,22111,,"Menaje, útiles y herramientas",5000.0,5000.0,0.0
022203,1623,22702,,Contrato explotación planta RSU Jundiz,8372877.63,8372877.63,2727381.84
022203,1623,22710,,Contrato recogida voluminosos,1044371.23,1044371.23,0.0
022203,1623,47132,,Convenio fundación vital plásticos 0,20000.0,20000.0,0.0
022203,1623,60706,A,Plan de residuos,0.0,36220.94,32689.78
022203,1623,60711,A,Adecuación vertedero real decreto 14/81/2001,0.0,103680.94,100746.57
022203,1623,60907,,"Control de calidad agua, aire y suelo",55000.0,55000.0,0.0
022203,1623,62901,,Adquisición equipos,6000.0,6000.0,0.0
022203,1631,22700,,Limpieza viaria,17083488.45,17418702.11,5048770.04
022203,1631,22700,R,Limpieza viaria,0.0,2524385.02,2524385.02
022203,1711,22699,A,Proyecto Life Lutreola,0.0,35909.99,1261.9
022203,1722,12000,,Retribuciones básicas de funcionarios,134866.0,134866.0,66901.05
022203,1722,12100,,Retribuciones complementarias funcionarios,183638.0,183638.0,91168.01
022203,1722,13000,,Retribuciones personal laboral fijo,53175.0,53175.0,22818.16
022203,1722,14100,,Otro personal,42185.0,42185.0,0.0
022203,1722,16000,,Seguridad social a cargo del ayuntamiento,144252.0,137791.12,49984.89
022203,1722,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,6460.88,3169.18
022204,1711,12000,,Retribuciones básicas de funcionarios,60700.0,60700.0,31344.72
022204,1711,12100,,Retribuciones complementarias funcionarios,78639.0,78639.0,40761.42
022204,1711,13000,,Retribuciones personal laboral fijo,72015.0,72015.0,37872.25
022204,1711,14100,,Otro personal,5656.0,5656.0,0.0
022204,1711,16000,,Seguridad social a cargo del ayuntamiento,64191.0,60107.24,30490.6
022204,1711,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,4083.76,2003.05
022204,1711,21073,,Conservación arboreto,20000.0,20000.0,1569.23
022204,1711,21074,,Trabajos de conservación anillo verde exterior,400000.0,400000.0,126821.09
022204,1711,21074,R,Trabajos de conservación anillo verde exterior,0.0,58904.46,55210.9
022204,1711,22758,,Campaña índices alquileres vivienda,20000.0,20000.0,0.0
022204,1711,22759,,Programa 50-50,20000.0,20000.0,0.0
022204,1711,22793,,Our City - Our energy,10000.0,10000.0,0.0
022204,1711,60916,,Agenda local 2030,40000.0,40000.0,0.0
022204,1711,64305,,Plan de acción clima energía sostenible,50000.0,50000.0,0.0
022204,1711,64306,,Anillo solar,150000.0,150000.0,0.0
022204,1711,64319,,Red de control campos electromagnéticos,15000.0,15000.0,2232.45
022204,1711,64321,,Plan de energías renovables,100000.0,100000.0,0.0
0320,1301,11000,,Retribuciones personal eventual gabinete,86442.0,86442.0,42543.16
0320,1301,12000,,Retribuciones básicas de funcionarios,50255.0,50255.0,19048.55
0320,1301,12100,,Retribuciones complementarias funcionarios,54646.0,54646.0,17323.5
0320,1301,14100,,Otro personal,0.0,0.0,20613.92
0320,1301,16000,,Seguridad social a cargo del ayuntamiento,39572.0,35203.85,25876.73
0320,1301,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,16161.0,20529.15,2142.56
0330,1301,12000,,Retribuciones básicas de funcionarios,385164.0,385164.0,184359.16
0330,1301,12100,,Retribuciones complementarias funcionarios,506480.0,506480.0,246601.22
0330,1301,14100,,Otro personal,19110.0,19110.0,33001.23
0330,1301,16000,,Seguridad social a cargo del ayuntamiento,272495.0,262788.0,133862.68
0330,1301,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,9707.0,5635.0
0340,1351,21102,,Gastos de emergencia y nevadas,100000.0,100000.0,17432.07
0340,1351,21102,R,Gastos de emergencia y nevadas,0.0,15476.86,11485.8
0340,1351,21300,,Reparación vehículos,65000.0,65000.0,21786.71
0340,1351,22145,,Gastos sanitarios por Coronavirus,0.0,0.0,250.0
0340,1351,22701,,Gastos operativo sanitario de fiestas,13000.0,13000.0,0.0
0340,1361,12000,,Retribuciones básicas de funcionarios,1532845.0,1532845.0,770431.85
0340,1361,12100,,Retribuciones complementarias funcionarios,3186825.0,3186825.0,1557983.01
0340,1361,14100,,Otro personal,572760.0,572760.0,378075.89
0340,1361,16000,,Seguridad social a cargo del ayuntamiento,2108237.0,2043841.29,1008498.48
0340,1361,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,64395.71,33193.6
0340,1361,21900,,Renovación y reposición de equipos,75000.0,75000.0,22231.59
0340,1361,22105,,Vestuario y uniformes,90000.0,90000.0,26044.62
0340,1361,22111,,"Menaje, útiles y herramientas",40000.0,40000.0,7177.37
0340,1361,22199,,Otros suministros,30000.0,30000.0,16900.99
0340,1361,22699,,Otros gastos diversos,10000.0,10000.0,1846.52
0340,1361,62400,,Vehículos,63693.96,50000.0,0.0
0340,1361,62400,A,Vehículos,0.0,50079.0,50079.0
0340,1361,62400,R,Vehículos,0.0,116535.58,114069.49
0340,1361,62401,A,Adquisición vehículo de altura - auto escalera,0.0,700000.0,700000.0
0340,1361,62901,,Adquisición equipos,5000.0,18693.96,0.0
0350,1321,12000,,Retribuciones básicas de funcionarios,5810882.0,5810882.0,3163377.39
0350,1321,12100,,Retribuciones complementarias funcionarios,12762973.0,12762973.0,5827851.99
0350,1321,14100,,Otro personal,9915.0,9915.0,16463.96
0350,1321,16000,,Seguridad social a cargo del ayuntamiento,1783839.0,1504443.39,3225398.98
0350,1321,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,5054675.0,5334070.61,149556.23
0350,1321,20501,,Renting sist.radiocomunicaciones TETRA,9000.0,9000.0,3567.1
0350,1321,21001,,Seguridad en fiestas virgen blanca,2997.0,2997.0,0.0
0350,1321,21300,,Reparación vehículos,75000.0,75000.0,14560.46
0350,1321,21900,,Renovación y reposición de equipos,86936.0,86936.0,8644.94
0350,1321,21900,R,Renovación y reposición de equipos,0.0,12586.76,10788.66
