#Económico,Denominación Aplicación Ingresos,C.DEFINITVO,DRN NETOS
34001,Talleres salud publica,31824.0,9959.19
34002,"Escuelas infantiles, colonias abiertas y rincones de juego",669630.0,115825.95
34004,Asistencia a domicilio 3ª edad,681750.0,354686.0
34005,Estancias residencias 3ª edad,4534900.0,844146.65
34006,Talleres de intervención social,72114.0,1133.85
34007,Formación ocupacional,51510.0,9767.39
34008,Abono instalaciones Mendizorrotza,6385600.0,6509218.57
34009,Abonos temporales y de temporada (gamarra),171600.0,164.9
34010,Utilización instalaciones deportivas (reserva y venta),1320800.0,219358.21
34012,Matriculas en la academia mpal. de folklore,153387.6,37492.97
34013,Cursos y talleres de cultura,318240.0,105417.01
34014,Taquillas  teatro,848400.0,350789.47
34015,Prestación de servicios de ludotecas,6758.11,6787.8
34016,Prestamos de material audiovisual e iluminación de juventud,8241.6,619.35
34018,Talleres de presidencia,293607.0,37571.87
34020,Abonados a campañas deportivas,1424800.0,319407.9
34023,Estancia en el C.A.M.A.S.,41208.0,16958.4
34025, comidas centro socioculturales de mayores,505000.0,76494.31
34026,Liquidación estancias en residencias 3ª edad,63125.0,5440.28
34029,Cursos y actividades formativas,0.0,10518.09
34032,Venta de entradas presidencia,0.0,3981.72
34038,Servicio de bodas,30300.0,5110.93
34039,Compensación gastos de gestión,1010000.0,0.0
34040,Ingresos estación de autobuses,646400.0,14773.33
34041,Uso parcelas huertos urbanos,0.0,1.13
34043,Ingresos aparcamiento seguros de bicicletas,0.0,2571.84
36003,Cuota UNESPA y compañías no conveniadas,1040000.0,0.0
36100,Extinción incendios - cuota UNESPA y cías no conveniadas,0.0,-25133.8
38001,Reintegro por pagos,700000.0,231066.4
38002,Reintegros gastos por publicaciones en anuncios,50000.0,3726.87
38003,Reintegro de gastos o indemnizaciones de cías. aseguradoras,12101.0,12115.06
38004,Reintegros por costas de la vía de apremio,8000.0,0.0
38005,Reintegro indemnizaciones vía judicial,15000.0,0.0
38007,Reintegro explotaciones de servicios,71035.0,0.0
38008,Reintegro explotaciones de servicios,0.0,25773.91
39101,Multas por infracciones de trafico,5480000.0,1178288.42
39102,Ingresos por procedimientos sancionadores,805420.0,607796.54
39104,Sanciones por condiciones higiénico sanitarias de locales,100000.0,0.0
39201,Recargos de apremio,950000.0,222850.54
39401,Daños en vía pública por accidentes de vehículos,100000.0,14715.11
39402,Daños en bienes mpales.por actos vandálicos,7500.0,181.64
39404,Ingresos ejecuciones subsidiarias,90000.0,-69805.8
39405,Ingresos derivados de costas judiciales,25000.0,120.94
39601,Ingresos  empresas de telefonía,1000000.0,219477.7
39901,Donativos,2000.0,0.0
39902,Otros ingresos diversos,50000.0,-195.85
39903,Intereses demora ejercicios anteriores,4000.0,0.0
39906,Donativos Belén de La Florida,15405.33,15301.8
39907,Ingresos rifa San Antón,1.0,13021.3
39909,Participación ingresos aparcamientos,40000.0,0.0
40000,De la admón.. general,459389.78,0.0
41000,Del gobierno vasco,17752578.7,3119692.65
42000,De la diputación foral de Alava,9228793.2,675419.24
42001,FOFEL,177063344.94,44320582.32
42003,Impuestos no concertados,300000.0,4871.54
43000,Entes públicos dentro termino mpal,10000.0,0.0
48000,De familias,130000.0,3000.0
49000,De entes de la unión europea,209593.59,0.0
52500,Intereses en cajas y bancos ayuntamiento,5000.0,0.0
54001,Rentas arrendamientos fincas urbanas Ayto,135000.0,6280.77
54002,Arrendamiento locales semillero de empresas,125000.0,28899.67
54003,Explotación Serv. hostelería inmueble map,25000.0,0.0
54004,Expl. serv. hostelería en inmuebles municipales,0.0,22753.81
55000,Productos de concesiones,800000.0,37241.9
55902,Concesión explotación publicidad marquesinas,150000.0,0.0
59002,Utilización de terrenos,40000.0,0.0
60300,Venta de terrenos PMS (incluidos honorarios de proy. básicos),250000.0,0.0
60900,De terrenos-enajenación de parcelas municipales,5191532.94,0.0
61200,De edificios y otras construcciones,537000.0,0.0
65000,Plusvalías construcción viviendas en dato - Gral. Alava,976694.0,0.0
71000,Del gobierno vasco,21161209.08,0.0
72000,De la diputación foral de Alava,9741486.1,0.0
73000,Entes públicos dentro termino municipal,25000.0,0.0
87200,RTGG remanente tesorería para gastos generales,12653628.36,0.0
87201,RTGFA remanente tesorería gastos con financiación afectada,21255269.78,0.0
93301,Préstamos para la financiación de inversiones,10750000.0,0.0
