#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2021eko Hasierako kreditua,2021eko Behin-betiko kreditua,Behartua
0160,2381,22714,,Sexu- eta genero-aniztasunerako agenda,40000.0,40000.0,19663.85
0160,2381,47132,,Hitzarmena: Emakumeen etxearen kudeaketa,80000.0,0.0,0.0
0160,2381,48120,,Hitzarmena: LGTBI behatokia,75000.0,75000.0,75000.0
0160,2381,48139,,Emakume elkarteentzako diru-laguntza deialdia,65000.0,65000.0,51999.99
0160,2381,62925,,Observatorio LGTBI,20000.0,20000.0,9054.91
0171,3351,12000,,Funtzionarioen oinarrizko ordainsariak,203279.0,203279.0,117690.31
0171,3351,12100,,Funtzionarioen ordainsari osagarriak,215049.0,215049.0,144221.25
0171,3351,14100,,Bestelako langileak,0.0,0.0,55065.73
0171,3351,16000,,"Gizarte Segurantza, enpresaren kontura",116492.0,116492.0,102458.06
0171,3351,16500,,"Elkarkidetzako kuotak, Udalaren kontura",6305.0,6305.0,5679.36
0171,3351,22111,,Tresnak eta lanabesak,1500.0,1500.0,0.0
0171,3351,22741,,Gurasoentzako euskara eskolak,300000.0,315000.0,145227.6
0171,3351,22742,,Udal langileentzako ikastaroak,8500.0,8500.0,1545.0
0171,3351,22780,,Euskara plana,171255.0,171255.0,40048.72
0171,3351,22799,,"Kanpoko itzulpenak, euskera",20000.0,20000.0,6829.64
0171,3351,41803,,Hitzarmena: EUSKALTZAINDIA,63000.0,63000.0,50400.0
0171,3351,41803,R,Hitzarmena: EUSKALTZAINDIA,0.0,14600.0,14600.0
0171,3351,42302,,Hitzarmena: Merkataritzako Ganbera,5250.0,5250.0,5250.0
0171,3351,48001,,"Euskara ikasteko laguntzak, herritarrentzat",150000.0,150000.0,55.0
0171,3351,48002,,Langileentzako ikasketa beka eta poltsak,30000.0,30000.0,1141.23
0171,3351,48003,,Euskaltegientzako dirulaguntzak,99000.0,99000.0,0.0
0171,3351,48005,,Euskararen Plan Nagusiko dirulaguntzak,120000.0,120000.0,0.0
0171,3351,48005,R,Euskararen Plan Nagusiko dirulaguntzak,0.0,13599.99,1060.97
0171,3351,48044,,Hitzarmena GEUrekin,77175.0,77175.0,61740.0
0171,3351,48048,,Hitzarmena Tinko elkartearekin,10500.0,10500.0,8400.0
0171,3351,48048,R,Hitzarmena Tinko elkartearekin,0.0,2100.0,2100.0
0171,3351,48049,,Hitzarmena Euskharan elkartearekin,18000.0,18000.0,14400.0
0171,3351,48049,R,Hitzarmena Euskharan elkartearekin,0.0,3891.0,3891.0
0171,3351,48065,,Euskaraldia,50000.0,50000.0,40000.0
0171,3351,48997,,Hitzarmena: Bai euskarari,23100.0,23100.0,18480.0
0171,3351,62800,,Argitalpenak eta liburuak erostea,1000.0,1000.0,0.0
0180,9271,11000,,Kabineteko behin-behineko langileen ordainsariak,73673.0,73673.0,40986.67
0180,9271,12000,,Funtzionarioen oinarrizko ordainsariak,118051.0,118051.0,75941.25
0180,9271,12100,,Funtzionarioen ordainsari osagarriak,133360.0,133360.0,94702.86
0180,9271,13000,,Retribuciones personal laboral fijo,8626.0,8626.0,40428.87
0180,9271,16000,,"Gizarte Segurantza, enpresaren kontura",102075.0,102075.0,74893.48
0180,9271,16500,,"Elkarkidetzako kuotak, Udalaren kontura",5894.0,5894.0,4256.17
0180,9271,22603,,Publizitatea,600000.0,600000.0,260268.47
0180,9271,22603,R,Publizitatea,0.0,8498.64,8308.9
0180,9271,22612,,Eguneko prentsa erostea,25000.0,25000.0,14082.54
0180,9271,22616,,Prentsa-zerbitzuak,20000.0,20000.0,17161.42
0180,9271,22628,,Ikus-entzunezko komunikazioa,10000.0,10000.0,0.0
0180,9271,22631,,Erakundeetako parte-hartzea,28000.0,28000.0,28185.16
0180,9271,22632,,Harpidetzak,500.0,500.0,0.0
0180,9271,22634,,Ekitaldiak antolatzea eta ordezkaritza-gastuak,100400.0,100400.0,50776.51
0180,9271,22645,,Legez argitaratu beharreko iragarki ofizialak,200000.0,200000.0,97084.37
0180,9271,22730,,Argitalpen funtsak gordetzeko zerbitzua,20000.0,20000.0,13766.58
0180,9271,22732,,Zerbitzuak emateko kontratuak,30000.0,30000.0,18687.68
0180,9271,62505,,Bestelako tresnak,2500.0,17000.0,14353.3
0181,2327,12000,,Funtzionarioen oinarrizko ordainsariak,70453.0,70453.0,36426.14
0181,2327,12100,,Funtzionarioen ordainsari osagarriak,80718.0,80718.0,49690.67
0181,2327,14100,,Bestelako langileak,37166.0,37166.0,30416.7
0181,2327,16000,,"Gizarte Segurantza, enpresaren kontura",50078.0,50078.0,37500.4
0181,2327,16500,,"Elkarkidetzako kuotak, Udalaren kontura",811.0,811.0,0.0
0181,2361,22604,,Zurrumurruen kontrako estrategia,36000.0,36000.0,18160.66
0181,2361,22608,,Informazio- eta prestakuntza-programa,21066.25,21066.25,3322.68
0181,2361,22610,,Hiri Hezitzailea,17100.0,17100.0,6114.5
0181,2361,22610,R,Hiri Hezitzailea,0.0,4603.68,4603.68
0181,2361,22613,,Itzulpena eta interpretazioa,28000.0,28000.0,22009.91
0181,2361,22642,,Bizikidetza eta Aniztasun Plana,131000.0,127000.0,30456.58
0181,2361,41910,,Zurrumurruen kontrako euskal sarea,5000.0,5000.0,4000.0
0181,2361,41910,R,Zurrumurruen kontrako euskal sarea,0.0,1000.0,1000.0
0181,2361,48128,,Hitzarmena: Arabako gorrak,22000.0,22000.0,17600.0
0181,2361,48901,,Dirulaguntza deialdi orokorra,60000.0,60000.0,48000.01
0181,2361,48970,,Hitzarmena: Eginaren Eginez elkartea,18000.0,18000.0,14400.0
0181,2361,48970,R,Hitzarmena: Eginaren Eginez elkartea,0.0,5600.0,5600.0
0181,2361,48983,,Hitzarmena: Goian,104000.0,104000.0,83200.0
0181,2361,48983,R,Hitzarmena: Goian,0.0,20800.0,20800.0
0210,1502,11000,,Kabineteko behin-behineko langileen ordainsariak,0.0,0.0,27842.72
0210,1502,12000,,Funtzionarioen oinarrizko ordainsariak,105083.0,105083.0,24682.94
0210,1502,12100,,Funtzionarioen ordainsari osagarriak,147981.0,147981.0,45282.4
0210,1502,14100,,Bestelako langileak,52837.0,52837.0,47027.24
0210,1502,16000,,"Gizarte Segurantza, enpresaren kontura",62604.0,62604.0,39538.1
0210,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",4079.0,4079.0,2390.74
0210,1502,22004,,Kartografia eta proiektuak editatu eta erreproduzitzea,5000.0,5000.0,723.79
0210,1502,22111,,Tresnak,2000.0,2000.0,246.19
0210,1502,22205,,"Bilerak, hitzaldiak eta biltzarrak",5000.0,5000.0,4240.0
0210,1502,22707,,Laguntza teknikoak,4000.0,4000.0,1790.8
0210,1502,23901,,Kalte-ordainak desjabetzeetako epaimahaiei,1000.0,1000.0,0.0
0211,1511,12000,,Funtzionarioen oinarrizko ordainsariak,196037.0,196037.0,136029.48
0211,1511,12100,,Funtzionarioen ordainsari osagarriak,235124.0,235124.0,187857.9
0211,1511,14100,,Bestelako langileak,107408.0,107408.0,52426.28
0211,1511,16000,,"Gizarte Segurantza, enpresaren kontura",159400.0,159400.0,111139.65
0211,1511,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7750.0,7750.0,5661.36
0211,1511,60001,,Lurzoru desjabetzeak eta erosketak,250000.0,250000.0,0.0
0211,1511,60926,,Apezpikutzarekiko hitzarmenak erregulatzea. Katedraleko aparkalekua,50000.0,50000.0,0.0
0211,1511,61405,,Hiriko katalogoaren berrikuspena,70000.0,70000.0,0.0
0211,1511,64202,,Eguneratze kartografikoak,72500.0,72500.0,0.0
0211,1511,64203,,Ordainsariak,132000.0,132000.0,0.0
0211,1511,64203,R,Ordainsariak,0.0,2752.75,0.0
0211,1511,64206,,HAPO berrikustea,15000.0,15000.0,0.0
0211,1511,64206,A,HAPO berrikustea,0.0,576000.0,0.0
0211,1511,64208,,Hirigune historikoko plan bereziaren berrikuspena,150000.0,150000.0,0.0
0211,1511,64212,,Urbanizazio kuoten aurreikuspena,50000.0,50000.0,0.0
0211,1511,64334,,Notarioen ordainsaria. Jabetzak erregulatzeko erregistroa.,50000.0,50000.0,290.94
0213,1512,12000,,Funtzionarioen oinarrizko ordainsariak,354818.0,354818.0,251314.2
0213,1512,12100,,Funtzionarioen ordainsari osagarriak,476538.0,476538.0,366033.0
0213,1512,14100,,Bestelako langileak,148456.0,148456.0,169690.63
0213,1512,16000,,"Gizarte Segurantza, enpresaren kontura",278625.0,278625.0,232072.18
0213,1512,16500,,"Elkarkidetzako kuotak, Udalaren kontura",12041.0,12041.0,12262.78
0213,1512,22620,,Lan subsidiarioak eta eskoratzeak,10000.0,10000.0,0.0
0213,1512,22620,A,Lan subsidiarioak eta eskoratzeak,0.0,39627.67,0.0
0213,1512,22747,,Eraikinen ikuskaritza teknikoa. Erdi Aroko eraikinetako esku hartzeak.,40000.0,40000.0,0.0
0214,1502,62901,,Tresneria erostea,5000.0,5000.0,0.0
0214,1502,64201,,Azterlanak eta proiektuak,30000.0,30000.0,2854.83
0214,1502,64201,R,Azterlanak eta proiektuak,0.0,16456.0,16456.0
0214,1502,64516,A,Gasteiz Antzokia,0.0,1242850.11,151968.07
0214,3421,62257,,Beti Jai frontoiak,105000.0,105000.0,1202.33
0214,3421,62257,A,Beti Jai frontoiak,0.0,51740.38,0.0
0214,9211,12000,,Funtzionarioen oinarrizko ordainsariak,216374.0,216374.0,147389.32
0214,9211,12100,,Funtzionarioen ordainsari osagarriak,259305.0,259305.0,194140.68
0214,9211,14100,,Bestelako langileak,52421.0,52421.0,44839.5
0214,9211,16000,,"Gizarte Segurantza, enpresaren kontura",144901.0,144901.0,116772.43
0214,9211,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7847.0,7847.0,7059.42
0214,9211,60202,,Eskoriatza Eskibel jauregia,110000.0,110000.0,0.0
0214,9211,60507,,Aramangelu - Abetxuko,1300000.0,1300000.0,0.0
0214,9211,60611,R,Haztegiak eraistea,0.0,13774.15,13756.88
0214,9211,61404,R,Udal eraikinetako beste esku hartze batzuk,0.0,799519.05,365318.04
0214,9211,62201,,Gamarrako esparruko eraikina eraberritzea,0.0,552000.0,0.0
0214,9211,62215,,Udal ondareko inbertsioak,50000.0,50000.0,32918.1
0214,9211,62226,,Udal etxebizitzak birgaitzea,200000.0,200000.0,0.0
0214,9211,62278,,Udal txakurtegia,100000.0,300000.0,0.0
0214,9211,62297,,Udal eraikinak birgaitzea - EBren 2012/2017 Zuzentaraua,250000.0,250000.0,12340.31
0214,9211,64326,,Hirigunea biziberritzeko plana,250000.0,250000.0,0.0
0214,9211,64516,R,Gasteiz Antzokia,0.0,1498010.0,0.0
0214,9211,77101,,Mendizorrotza futbol zelaia eraberritzea,100000.0,100000.0,0.0
0214,9212,62290,,Principal antzokia eraberritzea,320000.0,320000.0,17484.5
0216,1502,12000,,Funtzionarioen oinarrizko ordainsariak,320422.0,320422.0,220452.67
0216,1502,12100,,Funtzionarioen ordainsari osagarriak,382869.0,382869.0,291993.91
0216,1502,14100,,Bestelako langileak,51937.0,51937.0,61738.46
0216,1502,16000,,"Gizarte Segurantza, enpresaren kontura",217561.0,217561.0,174650.41
0216,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",12559.0,12559.0,8598.9
0218,1741,60150,,Herrietako obrak,150000.0,150000.0,33257.2
0218,1741,60150,R,Herrietako obrak,0.0,48188.18,31116.89
0218,1741,60151,,Foru-planeko lanen finantzaketa,100000.0,0.0,0.0
0218,1741,60700,,Nekazaritza Eremuko paisaia hobetzea,20000.0,20000.0,5501.99
0218,1741,72000,,"AFA, lursailen arteko bideak egitea",100000.0,100000.0,0.0
0218,1741,73401,,Foru-planeko obren baterako finantzaketa,0.0,100000.0,0.0
0218,1742,22700,,Garbiketarako eta hondakinen bilketa eta garraiorako kontratua,1150000.0,1150000.0,717357.68
0218,1743,21000,,Azpiegiturak eta ondasun naturalak,60000.0,50000.0,31757.15
0218,1743,21902,,"Baso-bide, landaketak eta naturguneak mantentzea",60000.0,60000.0,24295.02
0218,1743,21902,R,"Baso-bide, landaketak eta naturguneak mantentzea",0.0,24.16,24.16
0218,1743,21911,,Herrietako lorategiak onik zaintzea,281405.64,281405.64,189292.16
0218,1743,21911,R,Herrietako lorategiak onik zaintzea,0.0,2828.95,0.0
0218,1743,22111,,Tresnak,12000.0,19145.0,15904.02
0218,1743,22145,,Eremu hondatuak lehengoratzea,30000.0,30000.0,2147.99
0218,1743,22145,R,Eremu hondatuak lehengoratzea,0.0,67.5,0.0
0218,1749,12000,,Funtzionarioen oinarrizko ordainsariak,159099.0,159099.0,102712.51
0218,1749,12100,,Funtzionarioen ordainsari osagarriak,226704.0,226704.0,164262.81
0218,1749,13000,,Retribuciones personal laboral fijo,120065.0,120065.0,82993.22
0218,1749,16000,,"Gizarte Segurantza, enpresaren kontura",142158.0,142158.0,109150.97
0218,1749,16500,,"Elkarkidetzako kuotak, Udalaren kontura",10387.0,10387.0,7309.5
0218,1749,48112,,Dirulaguntzak: Kontzejuen elkartea,115000.0,115000.0,92000.0
0218,1749,48112,R,Dirulaguntzak: Kontzejuen elkartea,0.0,20000.0,20000.0
0218,1749,78919,,Dirulaguntzak: gizarte zentroak,40000.0,40000.0,0.0
022201,1691,12000,,Funtzionarioen oinarrizko ordainsariak,106825.0,106825.0,92677.22
022201,1691,12100,,Funtzionarioen ordainsari osagarriak,136322.0,136322.0,132331.0
022201,1691,14100,,Bestelako langileak,81375.0,81375.0,30945.04
022201,1691,16000,,"Gizarte Segurantza, enpresaren kontura",99550.0,99550.0,85913.59
022201,1691,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7113.0,7113.0,4473.86
022201,1721,60305,,Gardelegiko zabortegiko instalazioak,20000.0,20000.0,0.0
022201,1722,62916,,Zabortegiaren ingurumen kalitatea,75000.0,75000.0,0.0
022202,1623,60706,,Hondakinen plana,85000.0,85000.0,5528.85
022202,1623,60711,,Zabortegia 481/2001 Errege Dekretura egokitzea,1545000.0,1545000.0,13054.81
022202,1623,60711,A,Zabortegia 481/2001 Errege Dekretura egokitzea,0.0,71148.0,71148.0
022202,1623,60711,R,Zabortegia 481/2001 Errege Dekretura egokitzea,0.0,34978.75,0.0
022202,1623,64316,,Zaraten mapa estrategikoko ekintza plana (MER),75000.0,75000.0,0.0
022202,1623,64316,R,Zaraten mapa estrategikoko ekintza plana (MER),0.0,54563.0,0.0
022202,1711,60920,A,Azpiegitura berdeak,0.0,991.01,0.0
022202,1721,21040,,Kontrol- eta diagnosi-ekipoak mantentzea,130000.0,130000.0,2233.1
022202,1721,21040,R,Kontrol- eta diagnosi-ekipoak mantentzea,0.0,86432.72,86432.72
022202,1721,22115,,Ordezko piezak eta suntsikorrak,5000.0,5000.0,1436.44
022202,1722,12000,,Funtzionarioen oinarrizko ordainsariak,45589.0,45589.0,1775.03
022202,1722,12100,,Funtzionarioen ordainsari osagarriak,58917.0,58917.0,3583.97
022202,1722,14100,,Bestelako langileak,6295.0,6295.0,0.0
022202,1722,16000,,"Gizarte Segurantza, enpresaren kontura",24087.0,24087.0,1202.71
022202,1722,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1765.0,1765.0,108.67
022202,1722,48196,,Hitzarmena: GAIA,10000.0,10000.0,10000.0
022202,1722,60182,,Zuhaitz proiektua,50000.0,50000.0,2842.06
022202,1722,60182,R,Zuhaitz proiektua,0.0,14679.0,14621.9
022202,1722,60919,,Eraztun berdeko azpiegitura berdeak,10000.0,10000.0,4786.47
022202,1722,64321,A,Energia berriztagarrien plana,0.0,54021.66,0.0
022202,1722,64329,,Erdi Aroko hirigunean zarataren kontra sentsibilizatzeko plana,25000.0,25000.0,0.0
022202,1722,64330,,Zarata kontrolatzeko sarea,5000.0,5000.0,0.0
022203,1621,22700,,Garbiketarako eta hondakinen bilketa eta garraiorako kontratua,8829135.04,8829135.04,4747046.85
022203,1621,22700,R,Garbiketarako eta hondakinen bilketa eta garraiorako kontratua,0.0,1373472.9,1365928.6
022203,1621,22703,,Bilketa pneumatikoaren kontratua alde zaharrean,1839676.5,1839676.5,1161208.65
022203,1621,22715,,Hondakinen gaikako bilketa,600000.0,588000.0,42306.7
022203,1621,22715,R,Hondakinen gaikako bilketa,0.0,162483.81,126519.21
022203,1621,22724,,Garbiguneak ustiatzeko kontratua,459245.21,569245.21,220147.76
022203,1622,21204,,Zabortegiko instalazioak mantentzea,10000.0,10000.0,6555.54
022203,1622,22723,,Zabortegia ustiatzeko kontratua,1416496.09,1416496.09,702674.53
022203,1622,64304,,"Ordainsariak, azterlanak eta proiektuak",20000.0,20000.0,2250.0
022203,1622,64318,,Dibertsitatea kontserbatzeko azterlanak,75000.0,75000.0,30323.68
022203,1622,64318,R,Dibertsitatea kontserbatzeko azterlanak,0.0,6795.09,6795.08
022203,1623,22111,,Tresnak,5000.0,5000.0,914.29
022203,1623,22702,,Jundizko hiri hondakinen lantegia ustiatzeko kontratua,8567649.29,8457649.29,5511766.24
022203,1623,22710,,Tamaina handikoen bilketarako kontratua,1044371.23,1044371.23,0.0
022203,1623,47133,,"Hitzarmena, Vital Fundazioa, 0 plastiko",20000.0,0.0,0.0
022203,1623,60907,,"Uraren, airearen eta lurraren kalitatea kontrolatzea",55000.0,55000.0,22360.8
022203,1623,60907,R,"Uraren, airearen eta lurraren kalitatea kontrolatzea",0.0,16335.0,0.0
022203,1623,62901,,Ekipoak erostea,6000.0,6000.0,0.0
022203,1631,22700,,Kale-garbiketa,16086689.18,16086689.18,8835347.57
022203,1631,22700,R,Kale-garbiketa,0.0,2524385.02,2524385.02
022203,1722,12000,,Funtzionarioen oinarrizko ordainsariak,135832.0,135832.0,109582.64
022203,1722,12100,,Funtzionarioen ordainsari osagarriak,182491.0,182491.0,162821.79
022203,1722,13000,,Lan-kontratudun langile finkoen ordainsariak,50019.0,50019.0,13232.03
022203,1722,14100,,Bestelako langileak,0.0,0.0,1681.49
022203,1722,16000,,"Gizarte Segurantza, enpresaren kontura",107652.0,107652.0,94996.04
022203,1722,16500,,"Elkarkidetzako kuotak, Udalaren kontura",6433.0,6433.0,4745.8
022204,1711,12000,,Funtzionarioen oinarrizko ordainsariak,62468.0,62468.0,43367.57
022204,1711,12100,,Funtzionarioen ordainsari osagarriak,80701.0,80701.0,61823.46
022204,1711,13000,,Lan-kontratudun langile finkoen ordainsariak,76456.0,76456.0,52373.01
022204,1711,16000,,"Gizarte Segurantza, enpresaren kontura",61896.0,61896.0,48074.35
022204,1711,16500,,"Elkarkidetzako kuotak, Udalaren kontura",4066.0,4066.0,2861.5
022204,1711,21073,,Arboretoa onik zaintzea,20000.0,26250.0,9129.07
022204,1711,21074,,Kanpoko Eraztun Berdea onik zaintzeko lanak,400000.0,400000.0,176946.07
022204,1711,21074,R,Kanpoko Eraztun Berdea onik zaintzeko lanak,0.0,3102.08,0.0
022204,1711,60916,,Tokiko (Hiriko) 2030 Agenda ,55000.0,55000.0,3000.0
022204,1711,60916,R,Tokiko (Hiriko) 2030 Agenda ,0.0,12100.0,6050.0
022204,1711,64305,,Klimaren eta energia iraunkorraren aldeko ekintza plana,70000.0,70000.0,0.0
022204,1711,64305,R,Klimaren eta energia iraunkorraren aldeko ekintza plana,0.0,19833.33,0.0
022204,1711,64306,R,Eguzki-eraztuna,0.0,14011.8,14011.8
022204,1711,64319,,Eremu elektromagnetikoak kontrolatzeko sarea,10000.0,10000.0,0.0
022204,1711,64319,R,Eremu elektromagnetikoak kontrolatzeko sarea,0.0,3944.5,3944.5
022204,1711,64321,,Energia berriztagarrien plana,100000.0,108528.56,0.0
022204,1711,64334,,Ekonomia zirkularrerako estrategiak,55000.0,55000.0,1445.29
022204,1711,64336,,Trantsizio energetikorako inbertsioak,200000.0,200000.0,0.0
022301,1691,12000,,Funtzionarioen oinarrizko ordainsariak,18481.0,18481.0,33080.67
022301,1691,12100,,Funtzionarioen ordainsari osagarriak,21312.0,21312.0,47599.4
022301,1691,14100,,Bestelako langileak,0.0,0.0,61583.25
022301,1691,16000,,"Gizarte Segurantza, enpresaren kontura",12209.0,12209.0,39496.09
022301,1691,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1324.0,1324.0,2064.73
0320,1301,11000,,Kabineteko behin-behineko langileen ordainsariak,85887.0,85887.0,12334.02
0320,1301,12000,,Funtzionarioen oinarrizko ordainsariak,41539.0,41539.0,48902.42
0320,1301,12100,,Funtzionarioen ordainsari osagarriak,54302.0,54302.0,71867.9
0320,1301,14100,,Bestelako langileak,29397.0,29397.0,0.0
0320,1301,16000,,"Gizarte Segurantza, enpresaren kontura",48343.0,48343.0,31136.36
0320,1301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3908.0,3908.0,1974.1
0330,1301,12000,,Funtzionarioen oinarrizko ordainsariak,375576.0,375576.0,233514.1
0330,1301,12100,,Funtzionarioen ordainsari osagarriak,483307.0,483307.0,333174.71
0330,1301,14100,,Bestelako langileak,51769.0,51769.0,100040.4
0330,1301,16000,,"Gizarte Segurantza, enpresaren kontura",266642.0,266642.0,219219.77
0330,1301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",11070.0,11070.0,8258.0
0340,1351,21102,,Larrialdi eta elurteetako gastuak,75000.0,143000.0,125514.06
0340,1351,21300,,Ibilgailuak konpontzea,55000.0,55000.0,58203.87
0340,1351,21300,R,Ibilgailuak konpontzea,0.0,15884.93,15884.93
0340,1351,22145,,"Gastu sanitarioa, Koronabirusagatik",0.0,0.0,646.14
