#Económico,Denominacion Aplicacion Ingresos,Crédito Inicial,C.DEFINITVO,DRN
31104,"Apertura de zanjas, calicatas..",400000.0,400000.0,256434.14
31105,OTA rotacional,2000000.0,2000000.0,1854283.71
31106,"Ocupación de suelo, subsuelo y vuelo, incluidas Gasnalsa e Iberdrola",4000000.0,4000000.0,3866441.52
31108,"Utilización palacio congresos, Teatro Principal, plaza de toros…",100000.0,100000.0,154435.41
31109,Utilización de salas y salones de actos en centros cívicos,30000.0,30000.0,26195.69
31110,Paso de vehículos vados,1700000.0,1700000.0,2075515.73
31111,Cesiones de terrenos en el Cementerio de El Salvador,150000.0,150000.0,221561.19
31112,Utilización de salas en el Centro de empresas de Jundiz,3000.0,3000.0,1327.78
31113,Alquiler de bicicletas,0.0,0.0,187.18
34000,Prestación de servicios SSAA municipales,0.0,0.0,0.0
34001,Talleres Demsac,0.0,0.0,34295.53
34002,"Escuelas infantiles, colonias abiertas y rincones de juego",1100000.0,1100000.0,1036417.14
34003,Cursos y excursiones culturales,0.0,0.0,60.0
34004,Asistencia a domicilio 3ª edad,530000.0,530000.0,527666.17
34005,Estancias residencias 3ª edad,3500000.0,3500000.0,3605350.56
34006,Talleres de intervención social,70000.0,70000.0,69633.89
34007,Formación ocupacional,50000.0,50000.0,44405.31
34008,Abono instalaciones Mendizorrotza,5400000.0,5400000.0,5473111.41
34009,Abonos temporales y de temporada (Gamarra),135000.0,135000.0,135579.92
34010,Utilización instalaciones deportivas (reserva y venta),790000.0,790000.0,932822.83
34011,Alquiler de patines en la pista de hielo,0.0,0.0,417.1
34012,Matrículas en la Academia Municipal de Folklore,130000.0,130000.0,128480.34
34013,Cursos y talleres de Cultura,200000.0,200000.0,204623.76
34014,Taquillas teatro,460000.0,460000.0,300000.0
34015,Prestación de servicios de ludoteca,25000.0,25000.0,12632.6
34016,Prestamos de material audiovisual e luminación de juventud,9000.0,9000.0,7812.84
34018,Talleres de Presidencia,60000.0,60000.0,169494.0
34020,Abonados a Campañas Deportivas,1271000.0,1271000.0,1090158.36
34021,Precio prestación Servicio Médico,50000.0,50000.0,70014.0
34023,Estancia en el C.A.M.A.S.,35000.0,35000.0,25848.02
34025,Comidas centro socioculturales de mayores,300000.0,300000.0,370615.82
34026,Liquidación estancias en residencias 3ª edad,100000.0,100000.0,70678.05
34027,Prestación servicios a empresas municipales,0.0,1600000.0,1459631.43
34029,Cursos y actividades formativas,0.0,0.0,677.44
34032,Venta de entradas presidencia,0.0,0.0,4961.8
34036,Venta de material didáctico,0.0,0.0,155.08
34038,Servicio de bodas,50000.0,50000.0,30450.0
34039,Compensación gastos de gestión,2200000.0,2200000.0,2300514.5
36002,Cuotas de urbanización,1.0,1.0,18375.59
36003,Cuota Unespa y compañías no conveniadas,900000.0,900000.0,961868.39
38001,Reintegro por pagos,726700.0,726700.0,1601041.96
38002,Reintegros gastos por publicaciones en anuncios,2000.0,2000.0,86394.09
38003,Reintegro de gastos o indemnizaciones de cias. aseguradoras,1.0,190943.12,306919.08
38004,Reintegros por costas de la vía de apremio,20000.0,20000.0,39865.16
38005,Reintegro indemnizaciones vía judicial,10000.0,10000.0,52284.03
39101,Multas por infracciones de trafico,6680000.0,6680000.0,9817381.91
39102,Ingresos por procedimientos sancionadores,700000.0,700000.0,714585.88
39103,Sanciones por incumplimientos contractuales,40000.0,40000.0,676.97
39201,Recargos de apremio,1000000.0,1000000.0,1065246.04
39401,Daños en vía pública por accidentes de vehículos,100000.0,100000.0,103003.27
39402,Daños en bienes mpales. por actos vandálicos,5000.0,5000.0,8523.7
39404,Ingresos ejecuciones subsidiarias,10000.0,10000.0,4450.64
39405,Ingresos derivados de costas judiciales,15000.0,15000.0,88982.58
39601,Ingresos  empresas de telefonía,1200000.0,1200000.0,822423.86
39901,Donativos,2001.0,2001.0,1311.63
39902,Otros ingresos diversos,50000.0,50000.0,52082.09
39903,Intereses demora ejercicios anteriores,0.0,0.0,199.52
39906,Donativos Belén de La Florida,1.0,9082.1,9082.1
39907,Ingresos rifa San Antón,1.0,1.0,13773.0
40000,De la Administración General,138101.0,138101.0,207261.05
41000,Del Gobierno Vasco,11979947.1,11988659.5,11701988.43
42000,De la Diputación Foral de Álava,7115281.4,13689798.93,13013827.16
42001,FOFEL,119953089.93,119953089.93,126207459.59
42003,Impuestos no concertados,300000.0,300000.0,241989.42
42004,Recuperación ayudas del Estado,24747800.0,24747800.0,24930651.98
43000,Entes públicos dentro del término municipal,0.0,600000.0,600000.0
47000,De empresas,514700.0,646640.0,697500.0
48000,De familias,120000.0,120000.0,0.0
49000,De entes de la Unión Europea,569837.79,569837.79,480354.98
52500,Intereses en cajas y bancos ayuntamiento,150000.0,150000.0,478696.74
53100,Participación en beneficios de empresas con participación mpal.,1749100.0,1749100.0,1875100.0
53200,De otras empresas,8000.0,8000.0,4206.05
54001,Rentas arrendamientos fincas urbanas ayto,200000.0,200000.0,152677.66
54002,Arrendamiento locales semillero de empresas,100000.0,100000.0,126447.86
54003,Arrendamiento plaza de toros,1.0,1.0,13564.0
54101,Arrendamiento de terrenos rústicos,0.0,0.0,32.41
54200,De terrenos rústicos,1.0,1.0,0.0
55000,Productos de concesiones,1950000.0,1950000.0,1410200.99
55100,Aprovechamientos agrícolas y forestal,0.0,0.0,4650.77
59001,Utilización instalaciones parque de bomberos,0.0,0.0,480.0
59002,Utilización de terrenos,50000.0,50000.0,40305.63
60900,Enajenación y venta de bienes,4669113.78,4669113.78,5419623.0
61200,De edificios y otras construcciones,4000000.0,4000000.0,0.0
70000,Del estado,0.0,0.0,0.0
71000,Del Gobierno Vasco,17800000.0,25233111.57,13892773.24
72000,De la Diputación Foral de Álava,800000.0,800000.0,630649.02
73000,Entes públicos dentro del término municipal,0.0,0.0,27871.78
79000,Entes públicos Unión Europea,1700000.0,1700000.0,1273945.27
83200,Ingresos contratados de aseguramiento,200000.0,200000.0,23738.55
87200,Remanente de tesorería,0.0,22928152.07,0.0
