#Orgánico,Funcional,Económico,Denominación aplicación,Crédito Inicial,Crédito Definitivo,Obligado
0817,7110,22707,Estudios y trabajos tecnicos,0.0,0.0,0.0
0817,7211,12000,Retribuciones básicas de personal funcionario,0.0,0.0,103608.14
0817,7211,12100,Retribuciones complementarias de personal funcionario,0.0,0.0,107805.82
0817,7211,14100,Otro personal,0.0,0.0,38432.2
0817,7211,16000,Seguridad social a cargo del Ayuntamiento,0.0,0.0,57787.23
0817,7211,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,0.0,519.33
081801,3221,22712,Gestión semilleros de empresas,0.0,0.0,0.0
081801,3224,22796,Proyectos estrategicos vinculados,0.0,0.0,0.0
081801,3224,22797,Ponencia municipal de empleo,0.0,0.0,0.0
081801,5142,22798,Gastos gestión sociocultural y dinamización económica casco histórico,0.0,0.0,0.0
081801,7211,14100,Otro personal,0.0,0.0,123599.33
081801,7211,16000,Seguridad social a cargo del Ayuntamiento,0.0,0.0,56368.8
081802,3225,20200,Arrendamiento de maquinaria e instalaciones,0.0,0.0,0.0
081802,3225,22700,Iluminación navideña,0.0,0.0,0.0
081802,3225,22771,Jornada Urban Commerce,0.0,0.0,0.0
081802,3225,22773,Vigilancia mercados,0.0,0.0,0.0
081802,3225,22798,Dinamización comercial,0.0,0.0,0.0
081803,4517,22700,Contrato del servicio de limpieza,0.0,0.0,0.0
081803,4517,22706,Cont. empresas serv. y asist. técnica Palacio Europa,0.0,0.0,0.0
081803,4517,22776,"Gestion infraestructuras: Palacio Europa, Villasuso y turismo",0.0,0.0,0.0
081803,4517,22777,Promoción: edición de materiales y difusión turística,0.0,0.0,0.0
081803,4517,22778,Eventos turísticos singulares:  Vitoria Green Capital,0.0,0.0,0.0
