#Económico,Denominación Aplicación Ingresos,Crédito Inicial,Crédito definitivo,DRN
59001,Utilización instalaciones parque de bomberos,400.0,400.0,180.0
59002,Utilización de terrenos,40000.0,40000.0,38914.96
60900,De terrenos-enajenación de parcelas municipales,4930000.0,4930000.0,2575916.79
60901,Cesiones obligatorias de aprovechamiento,0.0,0.0,320710.62
61200,De edificios y otras construcciones,8050000.0,8050000.0,0.0
70000,Del estado,0.0,0.0,0.0
71000,Del Gobierno Vasco,542000.0,831310.24,2199825.49
72000,De la Diputación Foral de Álava,0.0,1082191.45,1082191.45
79000,Entes públicos Unión Europea,0.0,0.0,1266020.29
87200,Remanentes de tesorería para gastos generales,0.0,2279414.79,0.0
87210,Remanente de tesorería para gastos con financiación afectada,0.0,1154881.21,0.0
93301,Pasivos financieros financiación inversiones,11687000.0,11987009.23,11987009.23
