#Económico,Denominación Aplicación Ingresos,Crédito Inicial,Crédito Definitivo,DRN
54101,Arrendamiento de terrenos rústicos,0.0,0.0,32.41
54200,De terrenos rústicos,1.0,1.0,0.0
55000,Productos de concesiones,2200000.0,2200000.0,2653577.24
55100,Aprovechamientos agrícolas y forestal,0.0,0.0,8480.92
59001,Utilización instalaciones parque de bomberos,0.0,0.0,132.0
59002,Utilización de terrenos,50000.0,50000.0,40669.87
60900,Enajenación y venta de bienes,0.0,0.0,80850.04
60901,Cesiones obligatorias de aprovechamiento,0.0,0.0,1254379.85
61200,De edificios y otras construcciones,0.0,0.0,732.93
70000,Del estado,0.0,0.0,0.0
71000,Del Gobierno Vasco,0.0,10538272.89,5747142.87
72000,De la Diputación Foral de Álava,0.0,2668395.77,2942744.07
78000,Familias e inst. sin fines lucro,0.0,99401.31,99401.31
79000,Entes públicos Unión Europea,0.0,0.0,50369.05
83200,Ingresos contratados de aseguramiento,200000.0,200000.0,164911.38
87200,Rem. tesor para rtes cto,0.0,2787301.32,0.0
87201,Remanente líquido de tesoreria,0.0,3189912.02,0.0
93301,Prestamos para la financiación de inversiones,31135650.01,33147575.33,6011694.63
