#Económico,Denominación Aplicación Ingresos,Crédito Inicial,C.DEFINITVO,DRN NETOS
32110,Ocupación del suelo empresas explotadoras servicios y suministro,0.0,0.0,3582944.7
32111,"Utilización del palacio de congresos, principal, pza toros...",150000.0,150000.0,0.0
32112,Utilización de salas en centros cívicos,30000.0,30000.0,307097.98
32113,Uso salas en centro empresas Jundiz,10000.0,10000.0,14476.94
32114,Uso espacios en CSCM,1000.0,1000.0,1800.26
32201,Entrada de vehículos por las aceras y reservas de la vía publica para aparcamien,1550000.0,1550000.0,1513318.28
34000,Prestación de servicios SSAA municipales,700000.0,700000.0,0.0
34001,Talleres DEMSAC,30000.0,30000.0,39009.03
34002,"Escuelas infantiles, colonias abiertas y rincones de juego",650000.0,650000.0,433651.81
34004,Asistencia a domicilio 3ª edad,660000.0,660000.0,813055.78
34005,Estancias residencias 3ª edad,4400000.0,4400000.0,3343785.59
34006,Talleres de intervención social,70000.0,70000.0,71877.79
34007,Formación ocupacional,50000.0,50000.0,36676.76
34008,Abono instalaciones Mendizorrotza,5990000.0,5990000.0,6364502.32
34009,Abonos temporales y de temporada (gamarra),159000.0,159000.0,105707.37
34010,Utilización instalaciones deportivas (reserva y venta),1219000.0,1219000.0,899860.81
34012,Matriculas en la academia mpal. de folklore,146000.0,146000.0,59022.73
34013,Cursos y talleres de cultura,300000.0,300000.0,368902.94
34014,Taquillas  teatro,350000.0,840914.9,846388.98
34015,Prestación de servicios de ludotecas,6560.0,6560.0,11804.5
34016,Prestamos de material audiovisual e iluminación de juventud,8000.0,8000.0,6814.95
34018,Talleres de presidencia,285000.0,285000.0,285214.21
34020,Abonados a campañas deportivas,1325000.0,1325000.0,1006841.13
34023,Estancia en el C.A.M.A.S.,40000.0,40000.0,56398.39
34025,comidas centro socioculturales de mayores,488750.0,488750.0,417494.72
34026,Liquidación estancias en residencias 3ª edad,61200.0,61200.0,103178.1
34029,Cursos y actividades formativas función publica,0.0,0.0,1593.06
34032,Venta de entradas presidencia,0.0,0.0,6181.84
34038,Servicio de bodas,30000.0,30000.0,23365.17
34039,Compensación gastos de gestión,1000000.0,1000000.0,863418.54
34040,Ingresos nueva estación de autobuses,640000.0,640000.0,682289.77
34043,Ingresos gestión aparcamientos seguros de bicicletas,0.0,0.0,3578.56
36100,Extinción incendios - cuota UNESPA y cias no conveniadas,948975.0,948975.0,1019210.81
38001,Reintegro por pagos indebidos,700000.0,700000.0,773232.96
38002,Reintegros gastos por publicaciones en anuncios,50000.0,50000.0,42244.92
38003,Reintegro de gastos o indemnizaciones de cias. aseguradoras,1.0,225422.77,229881.72
38004,Reintegros por costas de la vía de apremio,8000.0,8000.0,4583.37
38005,Reintegro indemnizaciones vía judicial,15000.0,15000.0,0.0
38007,Reintegro servicio prev.riesgos laborales,71035.0,71035.0,14223.49
38008,Reintegro explotaciones de servicios,0.0,0.0,124544.59
39101,Multas por infracciones de trafico,5480000.0,5480000.0,5823610.72
39102,Ingresos por procedimientos sancionadores,805420.0,805420.0,1132808.44
39103,Sanciones por incumplimientos contractuales,0.0,0.0,436881.26
39201,Recargos de apremio,950000.0,950000.0,975342.28
39401,Daños en vía publica por accidentes de vehículos,100000.0,100000.0,89319.91
39402,Daños en bienes mpales.por actos vandálicos,7500.0,7500.0,2900.53
39403,Actuaciones del seis por limpieza de calzadas por accid,0.0,0.0,318.64
39404,Ingresos ejecuciones subsidiarias,90000.0,90000.0,0.0
39405,Ingresos derivados de costas judiciales,25000.0,25000.0,2731.13
39601,Ingresos  empresas de telefonía,1000000.0,1000000.0,789326.17
39901,Donativos,2000.0,2000.0,209149.11
39902,Otros ingresos diversos,50000.0,50000.0,281013.98
39903,Intereses demora ejercicios anteriores,4000.0,4000.0,-5311.92
39906,Donativos Belén de La Florida,1.0,15405.33,15404.34
39907,Ingresos rifa san Antón,1.0,1.0,13528.6
39909,Participación ingresos aparcamientos,40000.0,40000.0,2094.24
40000,De la admón.. general,465425.0,465425.0,261849.47
41000,Del gobierno vasco,12912583.0,15121880.31,14718682.57
42000,De la diputación foral de Alava,8926839.11,9188536.98,10323008.86
42001,FOFEL,162168391.33,162168391.33,162387753.34
42003,Impuestos no concertados,300000.0,300000.0,302097.15
43000,Entes públicos dentro termino mpal,12000.0,12000.0,0.0
48000,De familias,125000.0,176366.0,91366.0
49000,De entes de la unión europea,99700.0,259700.0,751200.67
52500,Intereses en cajas y bancos ayuntamiento,5000.0,5000.0,5357.04
53200,De otras empresas,0.0,0.0,884.48
54001,Rentas arrendamientos fincas urbanas Ayto,150000.0,150000.0,117357.96
54002,Arrendamiento locales semillero de empresas,100000.0,100000.0,123528.94
54004,Expl.serv.hosteleria en inmuebles municipales,0.0,0.0,22065.1
54101,Arrendamiento de terrenos rústicos,1.0,1.0,1428.62
55000,Productos de concesiones,800000.0,800000.0,581112.36
55004,Cesión de uso plazas aparcamiento,0.0,0.0,29824.26
55005,Concesión explotación publicidad mobiliario urbano,150000.0,150000.0,0.0
59002,Utilización de terrenos,40000.0,40000.0,38914.96
60300,Venta de terrenos PMS (incluidos honorarios de proy básicos),1277231.3,1277231.3,0.0
61200,De edificios y otras construcciones,1767000.0,1767000.0,0.0
70000,Del estado,0.0,1700000.0,0.0
71000,Del gobierno vasco,5560000.0,33412500.0,13949041.18
72000,De la diputación foral de Alava,2500000.0,10360123.0,3391373.6
73000,Entes públicos dentro termino municipal,0.0,0.0,37500.84
77000,Empresas privadas,0.0,0.0,401871.0
79000,Entes públicos unión europea,0.0,0.0,108625.0
85200,Enaj.accs.sin cotizac.oficial,0.0,0.0,1422.83
87200,Remanente de tesorería para gastos generales,0.0,7923564.72,0.0
87201,Remanente de tesorería para gastos con financiación afectada,0.0,5269556.83,0.0
93301,Préstamos para la financiación de inversiones,10750000.0,10750000.0,10750000.0
